CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A MARZO 2020;CON LA INFORMACION SUMINISTRADA POR LAS OFICINAS REGIONALES
 
ESTACION  : 14191
NOMBRE    : VALLE DE JUAREZ (SMN)
ESTADO    : JALISCO
MUNICIPIO : VALLE DE JUAREZ
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-SMN
CVE-OMM   : Nulo
LATITUD   : 019.933°
LONGITUD  : -102.950°
ALTITUD   : 1,950 msnm
 
EMISION   : 06/04/2020 
 
           PRECIP  EVAP   TMAX   TMIN
  FECHA     (MM)   (MM)   (°C)   (°C)
01/04/2014  0      3.8    24     12 
02/04/2014  0      3.8    26     11 
03/04/2014  0      3.8    27     12 
04/04/2014  0      4.5    26     14 
05/04/2014  0      3.5    25     16 
06/04/2014  0      4.5    28     11 
07/04/2014  0      3      27     11 
08/04/2014  0      4.8    26     12 
09/04/2014  0      2.4    28     10 
10/04/2014  0      3      27     11 
11/04/2014  0      2.4    29     11 
12/04/2014  0      4.9    30     13 
13/04/2014  0      4.8    28     15 
14/04/2014  0      3.2    27     13 
15/04/2014  0      0.2    26     12 
16/04/2014  0      4.2    28     11 
17/04/2014  0      4.1    26     12 
18/04/2014  0     Nulo    28     14 
19/04/2014  0     Nulo    27     11 
20/04/2014  0     Nulo    29     13 
21/04/2014  0     Nulo    30     12 
22/04/2014  0     Nulo    28     11 
23/04/2014  0     Nulo    29     11 
24/04/2014  0     Nulo    27     13 
25/04/2014  0     Nulo    28     14 
26/04/2014  0     Nulo    27     15 
27/04/2014  0     Nulo    26     11 
28/04/2014  0     Nulo    26     13 
29/04/2014  0     Nulo    28     14 
30/04/2014  0     Nulo    26     15 
01/05/2014  0      5.1    26     14 
02/05/2014  0      4.8    27     12 
03/05/2014  1      3.3    28     12 
04/05/2014  10     4.1    30     13 
05/05/2014  0      3.7    30     12 
06/05/2014  15     4.3    27     12 
07/05/2014  13     3.1    28     12 
08/05/2014  0      4.6    27     12 
09/05/2014  0      5.2    27     13 
10/05/2014  0      6.5    26     15 
11/05/2014  0      8      28     14 
12/05/2014  0      8.2    29     15 
13/05/2014  0      5.4    29     15 
14/05/2014  8      4.7    30     13 
15/05/2014  0      6.8    29     12 
16/05/2014  0      4.8    25     11 
17/05/2014  0      4.2    28     12 
18/05/2014  16     5.7    26     11 
19/05/2014  13     7.3    29     10 
20/05/2014  16     3.8    25     11 
21/05/2014  2      2.1    29     12 
22/05/2014  4      4.1    28     11 
23/05/2014  3      3.3    28     11 
24/05/2014  3      5.1    23     11 
25/05/2014  8      3.1    25     13 
26/05/2014  3      1.8    26     13 
27/05/2014  4      6.9    26     14 
28/05/2014  2      2      29     13 
29/05/2014  15     9.6    25     11 
30/05/2014  3      1.6    28     10 
31/05/2014  0      4.1    30     10 
01/06/2014  0      5.6    28     12 
02/06/2014  0      4.4    28     11 
03/06/2014  8      1.4    30     11 
04/06/2014  0      4.2    28     12 
05/06/2014  0      4.3    32     9 
06/06/2014  0      5.1    29     11 
07/06/2014  0      3.7    28     11 
08/06/2014  16     2.1    31     10 
09/06/2014  4      4.1    28     12 
10/06/2014  6      3.2    30     11 
11/06/2014  0      4.5    29     12 
12/06/2014  0      6.3    31     12 
13/06/2014  14     3.7    30     14 
14/06/2014  0      4.2    28     13 
15/06/2014  8      3.2    27     11 
16/06/2014  0      4.6    32     11 
17/06/2014  5      3.3    28     12 
18/06/2014  0      5.4    30     8 
19/06/2014  18     2.7    28     10 
20/06/2014  28     3      27     11 
21/06/2014  2      6.6    22     11 
22/06/2014  0      5.2    24     12 
23/06/2014  19     4.3    25     15 
24/06/2014  24     4.7    24     14 
25/06/2014  33     4      23     15 
26/06/2014  0      4.3    23     13 
27/06/2014  0      2.6    23     14 
28/06/2014  3      2      26     14 
29/06/2014  0      4.1    26     13 
30/06/2014  0      4.6    25     11 
01/07/2014  0      4.3    26     10 
02/07/2014  2      3.8    28     11 
03/07/2014  2      6.1    29     13 
04/07/2014  126    3      26     12 
05/07/2014  0      6.3    23     10 
06/07/2014  15     4.6    24     12 
07/07/2014  7      2.1    22     14 
08/07/2014  0      4.7    23     14 
09/07/2014  0      5.3    23     13 
10/07/2014  1      3.2    24     13 
11/07/2014  13     2.7    24     13 
12/07/2014  6      4.2    23     14 
13/07/2014  32     9.1    21     14 
14/07/2014  0      2.8    23     11 
15/07/2014  21     3.2    26     11 
16/07/2014  0      4.1    24     13 
17/07/2014  0      3.9    26     12 
18/07/2014  26     3.2    23     11 
19/07/2014  8      3.5    26     8 
20/07/2014  6      3.2    27     11 
21/07/2014  28     2.1    25     12 
22/07/2014  3      2.7    25     11 
23/07/2014  13     2.8    26     10 
24/07/2014  8      3.1    23     10 
25/07/2014  2      4.1    26     9 
26/07/2014  0      3.1    26     11 
27/07/2014  11     4.5    26     11 
28/07/2014  4      4      26     12 
29/07/2014  3      3      24     11 
30/07/2014  4      5      26     9 
31/07/2014  3      5      25     11 
01/08/2014  6      2.7    29     10 
02/08/2014  0      4.1    27     12 
03/08/2014  3      4.1    30     11 
04/08/2014  0      4.1    28     13 
05/08/2014  0      4.1    26     11 
06/08/2014  6      4.4    28     10 
07/08/2014  0      4.8    27     12 
08/08/2014  0      4.2    26     11 
09/08/2014  0      6.1    30     10 
10/08/2014  0      5      29     12 
11/08/2014  0      5      30     12 
12/08/2014  2      4.9    28     12 
13/08/2014  0      3.1    29     11 
14/08/2014  0      4.4    27     12 
15/08/2014  0      5.5    31     11 
16/08/2014  0      4.8    26     13 
17/08/2014  6      1.2    29     13 
18/08/2014  3      3.8    30     12 
19/08/2014  0      4.7    29     14 
20/08/2014  2      4.5    28     13 
21/08/2014  1      4.8    28     12 
22/08/2014  1      2.3    30     11 
23/08/2014  3      6.2    27     13 
24/08/2014  0      2.6    26     13 
25/08/2014  1      2.5    26     11 
26/08/2014  0      4      26     13 
27/08/2014  0      2.9    27     13 
28/08/2014  25     4      26     14 
29/08/2014  6      2.8    24     10 
30/08/2014  1      2.3    23     12 
31/08/2014  22     3.5    24     14 
01/01/2016  0      2.8    20     4 
02/01/2016  0      3.2    19     3 
03/01/2016  0      2.7    22     2 
04/01/2016  0      2.4    19     4 
05/01/2016  0      2.1    20     6 
06/01/2016  0      3      21     9 
07/01/2016  0      3.2    17     8 
08/01/2016  0      3.7    18     6 
09/01/2016  0      3      20     4 
10/01/2016  0      3.5    19     6 
11/01/2016  0      3      19     8 
12/01/2016  9      2.9    20     6 
13/01/2016  6      1.1    18     2 
14/01/2016  0      3.2    20     1 
15/01/2016  0      3.1    21     1 
16/01/2016  0      3.1    19     2 
17/01/2016  0      3.2    22     1 
18/01/2016  0      2.1    25     3 
19/01/2016  0      3.1    19     4 
20/01/2016  0      3.1    28     2 
21/01/2016  0      2.2    21     0 
22/01/2016  0      2.1    19     2 
23/01/2016  0      3.9    22     1 
24/01/2016  0      3.1    25     3 
25/01/2016  0      3.6    24     5 
26/01/2016  0      4.4    20     4 
27/01/2016  0      3.9    21     2 
28/01/2016  0      3.1    25     3 
29/01/2016  0      3.6    29     5 
30/01/2016  0      3.2    24     3 
31/01/2016  0      3      20     4 
01/02/2016  0      2.7    22     2 
02/02/2016  0      3.2    24     3 
03/02/2016  0      4.1    22     4 
04/02/2016  0      3.1    21     2 
05/02/2016  0      2.9    22     1 
06/02/2016  0      2.5    24     3 
07/02/2016  0      4.5    23     4 
08/02/2016  0      3.5    25     3 
09/02/2016  0      3.8    21     4 
10/02/2016  0      2.3    19     2 
11/02/2016  0      4.4    20     1 
12/02/2016  0      4.3    25     3 
13/02/2016  0      4.1    23     5 
14/02/2016  0      3.6    20     6 
15/02/2016  0      4.3    21     4 
16/02/2016  0      3.1    25     5 
17/02/2016  0      4      20     7 
18/02/2016  0      3.4    24     4 
19/02/2016  0      3.3    23     6 
20/02/2016  0      3.2    23     6 
21/02/2016  0      2.7    21     4 
22/02/2016  0      3.3    23     3 
23/02/2016  0      3.1    21     4 
24/02/2016  0      3      22     3 
25/02/2016  0      3.6    25     5 
26/02/2016  0      4.2    24     8 
27/02/2016  0      3.8    20     8 
28/02/2016  0      2.3    19     4 
29/02/2016  0      2      19     5 
01/03/2016  0      3.8    27     6 
02/03/2016  0      3.2    18     7 
03/03/2016  0      3.2    15     4 
04/03/2016  0      3      20     4 
05/03/2016  0      3.1    23     6 
06/03/2016  0      3.6    22     8 
07/03/2016  0      4.1    22     7 
08/03/2016  2      2      16     6 
09/03/2016  29     1.2    13     3 
10/03/2016  2      1.8    11     2 
11/03/2016  0      3.2    13     0 
12/03/2016  0      2.8    16     2 
13/03/2016  0      3.3    12     3 
14/03/2016  0      2.7    17     3 
15/03/2016  0      4.2    21     5 
16/03/2016  0      3.9    21     6 
17/03/2016  0      3.3    23     3 
18/03/2016  0      4.2    24     4 
19/03/2016  0      3.6    23     6 
20/03/2016  0      6.3    20     5 
21/03/2016  0      3.9    23     4 
22/03/2016  0      4.2    25     6 
23/03/2016  0      3.6    21     7 
24/03/2016  0      4.7    24     6 
25/03/2016  0      4.1    21     7 
26/03/2016  0      4.7    23     6 
27/03/2016  0      4.2    25     7 
28/03/2016  0      4.8    26     8 
29/03/2016  0      4.1    26     9 
30/03/2016  0      5.2    25     11 
31/03/2016  0      4.8    25     10 
01/04/2016  0      4.7    28     7 
02/04/2016  0      5.2    29     8 
03/04/2016  0      4.9    28     9 
04/04/2016  0      5.9    28     8 
05/04/2016  0      6.9    31     9 
06/04/2016  0      5.1    29     11 
07/04/2016  0      5.2    28     10 
08/04/2016  0      5.2    29     9 
09/04/2016  0      5.6    29     10 
10/04/2016  0      6.3    30     11 
11/04/2016  0      5.1    28     11 
12/04/2016  0      6.2    31     8 
13/04/2016  0      7.5    33     10 
14/04/2016  0      8.8    26     12 
15/04/2016  0      5.6    30     11 
16/04/2016  0      5.4    29     12 
17/04/2016  0      7.1    28     11 
18/04/2016  0      6.2    29     13 
19/04/2016  0      5.6    27     12 
20/04/2016  0      6.4    21     10 
21/04/2016  0      5.6    29     12 
22/04/2016  0      6.3    31     11 
23/04/2016  0      7.4    33     11 
24/04/2016  0      6.8    29     15 
25/04/2016  0      5.7    31     13 
26/04/2016  0      7.3    33     14 
27/04/2016  0      6.8    32     15 
28/04/2016  0      6.2    33     13 
29/04/2016  0      6.5    20     12 
30/04/2016  0      7.3    34     14 
--------------------------------------
CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A MARZO 2020;CON LA INFORMACION SUMINISTRADA POR LAS OFICINAS REGIONALES
 
ESTACION  : 14191
NOMBRE    : VALLE DE JUAREZ (SMN)
ESTADO    : JALISCO
MUNICIPIO : VALLE DE JUAREZ
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-SMN
CVE-OMM   : Nulo
LATITUD   : 019.933°
LONGITUD  : -102.950°
ALTITUD   : 1,950 msnm
 
EMISION   : 06/04/2020 
 
           PRECIP  EVAP   TMAX   TMIN
  FECHA     (MM)   (MM)   (°C)   (°C)
01/04/2014  0      3.8    24     12 
02/04/2014  0      3.8    26     11 
03/04/2014  0      3.8    27     12 
04/04/2014  0      4.5    26     14 
05/04/2014  0      3.5    25     16 
06/04/2014  0      4.5    28     11 
07/04/2014  0      3      27     11 
08/04/2014  0      4.8    26     12 
09/04/2014  0      2.4    28     10 
10/04/2014  0      3      27     11 
11/04/2014  0      2.4    29     11 
12/04/2014  0      4.9    30     13 
13/04/2014  0      4.8    28     15 
14/04/2014  0      3.2    27     13 
15/04/2014  0      0.2    26     12 
16/04/2014  0      4.2    28     11 
17/04/2014  0      4.1    26     12 
18/04/2014  0     Nulo    28     14 
19/04/2014  0     Nulo    27     11 
20/04/2014  0     Nulo    29     13 
21/04/2014  0     Nulo    30     12 
22/04/2014  0     Nulo    28     11 
23/04/2014  0     Nulo    29     11 
24/04/2014  0     Nulo    27     13 
25/04/2014  0     Nulo    28     14 
26/04/2014  0     Nulo    27     15 
27/04/2014  0     Nulo    26     11 
28/04/2014  0     Nulo    26     13 
29/04/2014  0     Nulo    28     14 
30/04/2014  0     Nulo    26     15 
01/05/2014  0      5.1    26     14 
02/05/2014  0      4.8    27     12 
03/05/2014  1      3.3    28     12 
04/05/2014  10     4.1    30     13 
05/05/2014  0      3.7    30     12 
06/05/2014  15     4.3    27     12 
07/05/2014  13     3.1    28     12 
08/05/2014  0      4.6    27     12 
09/05/2014  0      5.2    27     13 
10/05/2014  0      6.5    26     15 
11/05/2014  0      8      28     14 
12/05/2014  0      8.2    29     15 
13/05/2014  0      5.4    29     15 
14/05/2014  8      4.7    30     13 
15/05/2014  0      6.8    29     12 
16/05/2014  0      4.8    25     11 
17/05/2014  0      4.2    28     12 
18/05/2014  16     5.7    26     11 
19/05/2014  13     7.3    29     10 
20/05/2014  16     3.8    25     11 
21/05/2014  2      2.1    29     12 
22/05/2014  4      4.1    28     11 
23/05/2014  3      3.3    28     11 
24/05/2014  3      5.1    23     11 
25/05/2014  8      3.1    25     13 
26/05/2014  3      1.8    26     13 
27/05/2014  4      6.9    26     14 
28/05/2014  2      2      29     13 
29/05/2014  15     9.6    25     11 
30/05/2014  3      1.6    28     10 
31/05/2014  0      4.1    30     10 
01/06/2014  0      5.6    28     12 
02/06/2014  0      4.4    28     11 
03/06/2014  8      1.4    30     11 
04/06/2014  0      4.2    28     12 
05/06/2014  0      4.3    32     9 
06/06/2014  0      5.1    29     11 
07/06/2014  0      3.7    28     11 
08/06/2014  16     2.1    31     10 
09/06/2014  4      4.1    28     12 
10/06/2014  6      3.2    30     11 
11/06/2014  0      4.5    29     12 
12/06/2014  0      6.3    31     12 
13/06/2014  14     3.7    30     14 
14/06/2014  0      4.2    28     13 
15/06/2014  8      3.2    27     11 
16/06/2014  0      4.6    32     11 
17/06/2014  5      3.3    28     12 
18/06/2014  0      5.4    30     8 
19/06/2014  18     2.7    28     10 
20/06/2014  28     3      27     11 
21/06/2014  2      6.6    22     11 
22/06/2014  0      5.2    24     12 
23/06/2014  19     4.3    25     15 
24/06/2014  24     4.7    24     14 
25/06/2014  33     4      23     15 
26/06/2014  0      4.3    23     13 
27/06/2014  0      2.6    23     14 
28/06/2014  3      2      26     14 
29/06/2014  0      4.1    26     13 
30/06/2014  0      4.6    25     11 
01/07/2014  0      4.3    26     10 
02/07/2014  2      3.8    28     11 
03/07/2014  2      6.1    29     13 
04/07/2014  126    3      26     12 
05/07/2014  0      6.3    23     10 
06/07/2014  15     4.6    24     12 
07/07/2014  7      2.1    22     14 
08/07/2014  0      4.7    23     14 
09/07/2014  0      5.3    23     13 
10/07/2014  1      3.2    24     13 
11/07/2014  13     2.7    24     13 
12/07/2014  6      4.2    23     14 
13/07/2014  32     9.1    21     14 
14/07/2014  0      2.8    23     11 
15/07/2014  21     3.2    26     11 
16/07/2014  0      4.1    24     13 
17/07/2014  0      3.9    26     12 
18/07/2014  26     3.2    23     11 
19/07/2014  8      3.5    26     8 
20/07/2014  6      3.2    27     11 
21/07/2014  28     2.1    25     12 
22/07/2014  3      2.7    25     11 
23/07/2014  13     2.8    26     10 
24/07/2014  8      3.1    23     10 
25/07/2014  2      4.1    26     9 
26/07/2014  0      3.1    26     11 
27/07/2014  11     4.5    26     11 
28/07/2014  4      4      26     12 
29/07/2014  3      3      24     11 
30/07/2014  4      5      26     9 
31/07/2014  3      5      25     11 
01/08/2014  6      2.7    29     10 
02/08/2014  0      4.1    27     12 
03/08/2014  3      4.1    30     11 
04/08/2014  0      4.1    28     13 
05/08/2014  0      4.1    26     11 
06/08/2014  6      4.4    28     10 
07/08/2014  0      4.8    27     12 
08/08/2014  0      4.2    26     11 
09/08/2014  0      6.1    30     10 
10/08/2014  0      5      29     12 
11/08/2014  0      5      30     12 
12/08/2014  2      4.9    28     12 
13/08/2014  0      3.1    29     11 
14/08/2014  0      4.4    27     12 
15/08/2014  0      5.5    31     11 
16/08/2014  0      4.8    26     13 
17/08/2014  6      1.2    29     13 
18/08/2014  3      3.8    30     12 
19/08/2014  0      4.7    29     14 
20/08/2014  2      4.5    28     13 
21/08/2014  1      4.8    28     12 
22/08/2014  1      2.3    30     11 
23/08/2014  3      6.2    27     13 
24/08/2014  0      2.6    26     13 
25/08/2014  1      2.5    26     11 
26/08/2014  0      4      26     13 
27/08/2014  0      2.9    27     13 
28/08/2014  25     4      26     14 
29/08/2014  6      2.8    24     10 
30/08/2014  1      2.3    23     12 
31/08/2014  22     3.5    24     14 
01/01/2016  0      2.8    20     4 
02/01/2016  0      3.2    19     3 
03/01/2016  0      2.7    22     2 
04/01/2016  0      2.4    19     4 
05/01/2016  0      2.1    20     6 
06/01/2016  0      3      21     9 
07/01/2016  0      3.2    17     8 
08/01/2016  0      3.7    18     6 
09/01/2016  0      3      20     4 
10/01/2016  0      3.5    19     6 
11/01/2016  0      3      19     8 
12/01/2016  9      2.9    20     6 
13/01/2016  6      1.1    18     2 
14/01/2016  0      3.2    20     1 
15/01/2016  0      3.1    21     1 
16/01/2016  0      3.1    19     2 
17/01/2016  0      3.2    22     1 
18/01/2016  0      2.1    25     3 
19/01/2016  0      3.1    19     4 
20/01/2016  0      3.1    28     2 
21/01/2016  0      2.2    21     0 
22/01/2016  0      2.1    19     2 
23/01/2016  0      3.9    22     1 
24/01/2016  0      3.1    25     3 
25/01/2016  0      3.6    24     5 
26/01/2016  0      4.4    20     4 
27/01/2016  0      3.9    21     2 
28/01/2016  0      3.1    25     3 
29/01/2016  0      3.6    29     5 
30/01/2016  0      3.2    24     3 
31/01/2016  0      3      20     4 
01/02/2016  0      2.7    22     2 
02/02/2016  0      3.2    24     3 
03/02/2016  0      4.1    22     4 
04/02/2016  0      3.1    21     2 
05/02/2016  0      2.9    22     1 
06/02/2016  0      2.5    24     3 
07/02/2016  0      4.5    23     4 
08/02/2016  0      3.5    25     3 
09/02/2016  0      3.8    21     4 
10/02/2016  0      2.3    19     2 
11/02/2016  0      4.4    20     1 
12/02/2016  0      4.3    25     3 
13/02/2016  0      4.1    23     5 
14/02/2016  0      3.6    20     6 
15/02/2016  0      4.3    21     4 
16/02/2016  0      3.1    25     5 
17/02/2016  0      4      20     7 
18/02/2016  0      3.4    24     4 
19/02/2016  0      3.3    23     6 
20/02/2016  0      3.2    23     6 
21/02/2016  0      2.7    21     4 
22/02/2016  0      3.3    23     3 
23/02/2016  0      3.1    21     4 
24/02/2016  0      3      22     3 
25/02/2016  0      3.6    25     5 
26/02/2016  0      4.2    24     8 
27/02/2016  0      3.8    20     8 
28/02/2016  0      2.3    19     4 
29/02/2016  0      2      19     5 
01/03/2016  0      3.8    27     6 
02/03/2016  0      3.2    18     7 
03/03/2016  0      3.2    15     4 
04/03/2016  0      3      20     4 
05/03/2016  0      3.1    23     6 
06/03/2016  0      3.6    22     8 
07/03/2016  0      4.1    22     7 
08/03/2016  2      2      16     6 
09/03/2016  29     1.2    13     3 
10/03/2016  2      1.8    11     2 
11/03/2016  0      3.2    13     0 
12/03/2016  0      2.8    16     2 
13/03/2016  0      3.3    12     3 
14/03/2016  0      2.7    17     3 
15/03/2016  0      4.2    21     5 
16/03/2016  0      3.9    21     6 
17/03/2016  0      3.3    23     3 
18/03/2016  0      4.2    24     4 
19/03/2016  0      3.6    23     6 
20/03/2016  0      6.3    20     5 
21/03/2016  0      3.9    23     4 
22/03/2016  0      4.2    25     6 
23/03/2016  0      3.6    21     7 
24/03/2016  0      4.7    24     6 
25/03/2016  0      4.1    21     7 
26/03/2016  0      4.7    23     6 
27/03/2016  0      4.2    25     7 
28/03/2016  0      4.8    26     8 
29/03/2016  0      4.1    26     9 
30/03/2016  0      5.2    25     11 
31/03/2016  0      4.8    25     10 
01/04/2016  0      4.7    28     7 
02/04/2016  0      5.2    29     8 
03/04/2016  0      4.9    28     9 
04/04/2016  0      5.9    28     8 
05/04/2016  0      6.9    31     9 
06/04/2016  0      5.1    29     11 
07/04/2016  0      5.2    28     10 
08/04/2016  0      5.2    29     9 
09/04/2016  0      5.6    29     10 
10/04/2016  0      6.3    30     11 
11/04/2016  0      5.1    28     11 
12/04/2016  0      6.2    31     8 
13/04/2016  0      7.5    33     10 
14/04/2016  0      8.8    26     12 
15/04/2016  0      5.6    30     11 
16/04/2016  0      5.4    29     12 
17/04/2016  0      7.1    28     11 
18/04/2016  0      6.2    29     13 
19/04/2016  0      5.6    27     12 
20/04/2016  0      6.4    21     10 
21/04/2016  0      5.6    29     12 
22/04/2016  0      6.3    31     11 
23/04/2016  0      7.4    33     11 
24/04/2016  0      6.8    29     15 
25/04/2016  0      5.7    31     13 
26/04/2016  0      7.3    33     14 
27/04/2016  0      6.8    32     15 
28/04/2016  0      6.2    33     13 
29/04/2016  0      6.5    20     12 
30/04/2016  0      7.3    34     14 
--------------------------------------
