CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A MARZO 2020;CON LA INFORMACION SUMINISTRADA POR LAS OFICINAS REGIONALES
 
ESTACION  : 14195
NOMBRE    : ANTONIO ESCOBEDO (DGE)
ESTADO    : JALISCO
MUNICIPIO : SAN JUANITO DE ESCOBEDO
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 020.799°
LONGITUD  : -104.004°
ALTITUD   : 1,360 msnm
 
EMISION   : 06/04/2020 
 
           PRECIP  EVAP   TMAX   TMIN
  FECHA     (MM)   (MM)   (°C)   (°C)
01/01/2012  0      1.1    28     0 
02/01/2012  0      1.3    26    -1 
03/01/2012  0      1.2    25     4 
04/01/2012  0      1.1    26     2 
05/01/2012  0      0.8    24     2 
06/01/2012  0      0.6    25    -2 
07/01/2012  0      0.7    27     1 
08/01/2012  0      0.4    28     2 
09/01/2012  0      0.5    26     0.4 
10/01/2012  0      0.4    26     5 
11/01/2012  0      0.4    27     2 
12/01/2012  0      0.6    28     2 
13/01/2012  0      0.2    28     4 
14/01/2012  0      0.2    27     7 
15/01/2012  0      0.3    28     8 
16/01/2012  0      0.3    28     6 
17/01/2012  0      0.2    29     7 
18/01/2012  0      0.3    29     6 
19/01/2012  0      0.3    28     6 
20/01/2012  0      0.2    29     5 
21/01/2012  0      0.3    29     7 
22/01/2012  0      0.3    28     7 
23/01/2012  0      0.3    28     5 
24/01/2012  0      0.4    29     6 
25/01/2012  0      0.3    28     5 
26/01/2012  0      0.4    27     7 
27/01/2012  0      0.3    27     7 
28/01/2012  0      0.4    26     6 
29/01/2012  0      0.3    27     2 
30/01/2012  0      0.2    27     3 
31/01/2012  0      0.3    26     5 
01/02/2012  0      3.5    27     7 
02/02/2012  0      5.5    26     10 
03/02/2012  0      3.4    28     6 
04/02/2012  0      3.1    29     5 
05/02/2012  0      4.3    27     6 
06/02/2012  0      3.2    27     4 
07/02/2012  0      3.7    26     5 
08/02/2012  0      4.3    25     3 
09/02/2012  2      3.6    24     5 
10/02/2012  16     5.4    20     6 
11/02/2012  20.5   5.2    21     8 
12/02/2012  5      5.1    25     10 
13/02/2012  52     5      22     10 
14/02/2012  6      4.2    21     11 
15/02/2012  17     3.8    22     13 
16/02/2012  0      3.4    20     12 
17/02/2012  0      3.2    24     9 
18/02/2012  0      2.7    23     7 
19/02/2012  0      3.3    25     8 
20/02/2012  0      2.7    25     10 
21/02/2012  0      3.1    26     10 
22/02/2012  0      3      28     11 
23/02/2012  0      4.8    27     11 
24/02/2012  0      3.6    28     9 
25/02/2012  0      3.4    29     9 
26/02/2012  0      3.2    28     9 
27/02/2012  0      3.8    28     9 
28/02/2012  0      3.5    30     10 
29/02/2012  0      4.9    30     10 
01/03/2012  0      5.5    30     9 
02/03/2012  0      4.3    29     10 
03/03/2012  0      4.1    32     8 
04/03/2012  0      9.5    29     9 
05/03/2012  0      11.1   31     8 
06/03/2012  0      6.3    31     9 
07/03/2012  0      4.5    31     9 
08/03/2012  0      4.4    31     10 
09/03/2012  0      4.5    31     9 
10/03/2012  0      4.1    32     10 
11/03/2012  0      5.6    31     9 
12/03/2012  0      5.4    31     8 
13/03/2012  0      5.7    32     8 
14/03/2012  0      5.5    32     9 
15/03/2012  0      5.7    32     8 
16/03/2012  0      8.3    32     9 
17/03/2012  0      6.8    33     9 
18/03/2012  0      8      28     10 
19/03/2012  0      3.9    30     8 
20/03/2012  0      5.9    29     8 
21/03/2012  0      5.2    30     9 
22/03/2012  0      6.2    30     8 
23/03/2012  0      11.3   30     7 
24/03/2012  0      6.5    31     8 
25/03/2012  0      7      31     8 
26/03/2012  0      10.5   31     9 
27/03/2012  0      5.5    29     8 
28/03/2012  0      3.6    30     7 
29/03/2012  0      5.6    30     9 
30/03/2012  0      5.2    31     8 
31/03/2012  0      6.6    31     8 
01/04/2012  0      5.6    30     9 
02/04/2012  0      6.3    29     7 
03/04/2012  0      8.5    31     5 
04/04/2012  0      6.2    32     6 
05/04/2012  0      6.3    27     8 
06/04/2012  0      6      31     4 
07/04/2012  0      6.9    32     6 
08/04/2012  0      5.6    32     6 
09/04/2012  0      5.8    33     7 
10/04/2012  0      8.4    33     8 
11/04/2012  0      1.1    33     9 
12/04/2012  0      7.8    33     6 
13/04/2012  0      1.2    33     7 
14/04/2012  0      7.3    33     6 
15/04/2012  0      6.3    31     6 
16/04/2012  0      6.8    33     6 
17/04/2012  0      7.2    32     7 
18/04/2012  0      5.7    32     6 
19/04/2012  0      7.1    32     7 
20/04/2012  0      1      31     5 
21/04/2012  0      9.2    33     5 
22/04/2012  0      7.2    34     6 
23/04/2012  0      8.3    33     10 
24/04/2012  0      7.5    33     12 
25/04/2012  0      8.2    34     12 
26/04/2012  0      7.3    35     10 
27/04/2012  0      9.3    34     10 
28/04/2012  0      8.4    32     12 
29/04/2012  0      8.6    32     10 
30/04/2012  0      8.9    32     10 
01/05/2012  0      8.3    35     11 
02/05/2012  0      8      35     12 
03/05/2012  0      6.7    34     12 
04/05/2012  0      8.1    33     12 
05/05/2012  0      7.6    35     12 
06/05/2012  0      8.6    33     12 
