CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A MARZO 2020;CON LA INFORMACION SUMINISTRADA POR LAS OFICINAS REGIONALES
 
ESTACION  : 14269
NOMBRE    : AHUALULCO DE MERCADO (SMN)
ESTADO    : JALISCO
MUNICIPIO : AHUALULCO DE MERCADO
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-SMN
CVE-OMM   : Nulo
LATITUD   : 020.700°
LONGITUD  : -103.976°
ALTITUD   : 1,340 msnm
 
EMISION   : 06/04/2020 
 
           PRECIP  EVAP   TMAX   TMIN
  FECHA     (MM)   (MM)   (°C)   (°C)
01/01/2008  0      6.7    28     5 
02/01/2008  0      5.9    22     6 
03/01/2008  0      4.1    23     7 
04/01/2008  0      4.1    26     5 
05/01/2008  0      3.6    27     4 
06/01/2008  0      4.8    27     4 
07/01/2008  0      5.2    29     5 
08/01/2008  0      4.6    29     5 
09/01/2008  0      5.8    29     5 
10/01/2008  0      4.6    26     4 
11/01/2008  0      4.3    27     5 
12/01/2008  0      4.7    28     4 
13/01/2008  0      4.2    27     3 
14/01/2008  0      5.3    27     3 
15/01/2008  0      4.6    25     6 
16/01/2008  0      4.2    27     6 
17/01/2008  0      4.4    25     4 
18/01/2008  0      3.4    25     4 
19/01/2008  0      2.8    26     6 
20/01/2008  0      4.2    26     6 
21/01/2008  0      4.4    27     5 
22/01/2008  0      4.5    27     6 
23/01/2008  0      5.2    32     7 
24/01/2008  0      5.1    31     8 
25/01/2008  0      5.2    30     9 
26/01/2008  0      4.8    31     10 
27/01/2008  0      4.8    31     10 
28/01/2008  0      5.3    29     8 
29/01/2008  0      5.6    28     8 
30/01/2008  0      5.8    29     8 
31/01/2008  0      5.2    29     7 
01/02/2008  0      5.7    29     7 
02/02/2008  0      5.7    30     8 
03/02/2008  0      5.6    27     7 
04/02/2008  0      5.8    28     6 
05/02/2008  0      6.2    28     6 
06/02/2008  0      5.8    28     5 
07/02/2008  0      4.3    27     6 
08/02/2008  0      4      28     6 
09/02/2008  0      6.1    29     7 
10/02/2008  0      5.1    29     7 
11/02/2008  0      5.2    28     9 
12/02/2008  0      6.7    28     7 
13/02/2008  0      6.2    29     6 
14/02/2008  0      6.6    30     6 
15/02/2008  0      7      31     5 
16/02/2008  0      6.2    31     6 
17/02/2008  0      6.9    30     5 
18/02/2008  0      7.2    30     5 
19/02/2008  0      6.6    31     6 
20/02/2008  0      6.3    30     5 
21/02/2008  0      6      30     6 
22/02/2008  0      7.8    30     7 
23/02/2008  0      6.8    32     6 
24/02/2008  0      6.9    35     7 
25/02/2008  0      6.8    32     8 
26/02/2008  0      8      32     7 
27/02/2008  0      6.7    30     9 
28/02/2008  0      6.9    30     9 
29/02/2008  0      6.8    31     8 
01/03/2008  0      6.3    31     8 
02/03/2008  0      8.8    30     8 
03/03/2008  0      8.6    31     6 
04/03/2008  0      7.4    31     8 
05/03/2008  0      9.3    29     6 
06/03/2008  0      8.9    26     5 
07/03/2008  0      7.1    27     3 
08/03/2008  0      7.7    28     5 
09/03/2008  0      7.8    29     5 
10/03/2008  0      7.3    29     6 
11/03/2008  0      6.1    30     8 
12/03/2008  0      8      30     8 
13/03/2008  0      8.6    31     9 
14/03/2008  0      6.5    32     5 
15/03/2008  0      9.6    33     6 
16/03/2008  0      7.8    32     7 
17/03/2008  0      8.5    32     9 
18/03/2008  0      8.1    29     10 
19/03/2008  0      8.9    29     6 
20/03/2008  0      6.4    31     8 
21/03/2008  0      7.9    32     9 
22/03/2008  0      8.6    32     9 
23/03/2008  0      9      33     9 
24/03/2008  0      8.8    31     9 
25/03/2008  0      5.7    30     11 
26/03/2008  0      6.3    32     11 
27/03/2008  0      10.5   32     10 
28/03/2008  0      10.3   33     9 
29/03/2008  0      9.6    34     9 
30/03/2008  0      8.3    35     9 
31/03/2008  0      10.6   35     9 
01/04/2008  0      8.9    36     9 
02/04/2008  0      9.3    35     10 
03/04/2008  0      10.9   35     10 
04/04/2008  0      10.8   35     10 
05/04/2008  0      9.1    32     8 
06/04/2008  0      9      32     10 
07/04/2008  0      8.8    34     11 
08/04/2008  0      9.9    33     8 
09/04/2008  0      10.8   34     9 
10/04/2008  0      10     30     9 
11/04/2008  0      8.4    33     9 
12/04/2008  0      9.9    36     9 
13/04/2008  7      8      34     12 
14/04/2008  0      7.1    30     8 
15/04/2008  0      7.1    31     10 
16/04/2008  0      8.9    33     12 
17/04/2008  0      9.8    32     10 
18/04/2008  0      9.4    35     8 
19/04/2008  0      9.1    35     9 
20/04/2008  0      1.1    35     11 
21/04/2008  0      10.3   36     11 
22/04/2008  0      11.2   36     12 
23/04/2008  0      9.7    36     11 
24/04/2008  0      11.8   35     12 
25/04/2008  0      10.4   36     11 
26/04/2008  0      9.9    35     11 
27/04/2008  0      12.5   34     11 
28/04/2008  0      9.3    35     11 
29/04/2008  0      7.9    34     11 
30/04/2008  0      9.8    32     13 
01/05/2008  0      11     32     10 
02/05/2008  0      9.6    33     10 
