CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A MARZO 2020;CON LA INFORMACION SUMINISTRADA POR LAS OFICINAS REGIONALES
 
ESTACION  : 14294
NOMBRE    : TLAJOMULCO DE ZUÑIGA
ESTADO    : JALISCO
MUNICIPIO : TLAJOMULCO DE ZUÑIGA
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-SMN
CVE-OMM   : Nulo
LATITUD   : 020.473°
LONGITUD  : -103.447°
ALTITUD   : 1,560 msnm
 
EMISION   : 06/04/2020 
 
           PRECIP  EVAP   TMAX   TMIN
  FECHA     (MM)   (MM)   (°C)   (°C)
01/02/2008  0     Nulo    26     6 
02/02/2008  0     Nulo    26     6 
03/02/2008  0     Nulo    26     6 
04/02/2008  0     Nulo    26.5   5.5 
05/02/2008  0     Nulo    26.5   4.5 
06/02/2008  0     Nulo    25.5   3 
07/02/2008  0     Nulo    26     4 
08/02/2008  0     Nulo    27     5.5 
09/02/2008  0     Nulo    27     5.5 
10/02/2008  0     Nulo    25.5   3.5 
11/02/2008  0     Nulo    25.5   6.5 
12/02/2008  0     Nulo    25.5   7 
13/02/2008  0     Nulo    26.5   5 
14/02/2008  0     Nulo    27     4.5 
15/02/2008  0     Nulo    28.5   3 
16/02/2008  0     Nulo    28.5   4 
17/02/2008  0     Nulo    29     3.5 
18/02/2008  0     Nulo    28.5   3.5 
19/02/2008  0     Nulo    28     2.5 
20/02/2008  0     Nulo    28     3 
21/02/2008  0     Nulo    29     4 
22/02/2008  0     Nulo    30.5   4.5 
23/02/2008  0     Nulo    31.5   4.5 
24/02/2008  0     Nulo    30.5   5.5 
25/02/2008  0     Nulo    31     8 
26/02/2008  0     Nulo    26     7.5 
27/02/2008  0     Nulo    26     9.5 
28/02/2008  0     Nulo    27.5   7 
29/02/2008  0     Nulo    28.5   6 
01/03/2008  0     Nulo    28.5   7.5 
02/03/2008  0     Nulo    28.5   8 
03/03/2008  0     Nulo    28.5   5 
04/03/2008  0     Nulo    27.5   9.5 
05/03/2008  0     Nulo    26     5.5 
06/03/2008  0     Nulo    25.5   3.5 
07/03/2008  0     Nulo    25.5  -0.5 
08/03/2008  0     Nulo    26     5.5 
09/03/2008  0     Nulo    27     5.5 
10/03/2008  0     Nulo    27.5   3.5 
11/03/2008  0     Nulo    29     6.5 
12/03/2008  0     Nulo    28     6.5 
13/03/2008  0     Nulo    29     7.5 
14/03/2008  0     Nulo    29     3.5 
15/03/2008  0     Nulo    29.5   4.5 
16/03/2008  0     Nulo    28.5   6.5 
17/03/2008  0     Nulo    28     6 
18/03/2008  0     Nulo    27     12.5 
19/03/2008  0     Nulo    27     5.5 
20/03/2008  0     Nulo    29     7.5 
21/03/2008  0     Nulo    30     7 
22/03/2008  0     Nulo    29.5   11 
23/03/2008  0     Nulo    26     7 
24/03/2008  0     Nulo    27     10.5 
25/03/2008  0     Nulo    29.5   7.5 
26/03/2008  0     Nulo    30.5   12 
27/03/2008  0     Nulo    31     8.5 
28/03/2008  0     Nulo    31.5   8 
29/03/2008  0     Nulo    32     8 
30/03/2008  0     Nulo    32.5   8 
31/03/2008  0     Nulo    33.5   7 
01/04/2008  0     Nulo    34     11.5 
02/04/2008  0     Nulo    33.5   9.5 
03/04/2008  0     Nulo    32.5   7 
04/04/2008  0     Nulo    30     14 
05/04/2008  0     Nulo    30     8 
06/04/2008  0     Nulo    32     10 
07/04/2008  0     Nulo    32.5   10 
08/04/2008  0     Nulo    32.5   10 
09/04/2008  0     Nulo    32.5   9.5 
10/04/2008  0     Nulo    32     7 
11/04/2008  0     Nulo    32.8   11 
12/04/2008  0     Nulo    29.8   11.5 
13/04/2008  0     Nulo    26     16 
14/04/2008  0     Nulo    29.5   14.5 
15/04/2008  0     Nulo    31.5   12.5 
16/04/2008  0     Nulo    31     13.5 
17/04/2008  0     Nulo    33     12.5 
18/04/2008  0     Nulo    34     8 
19/04/2008  0     Nulo    32.5   10 
20/04/2008  0     Nulo    34     12.5 
21/04/2008  0     Nulo    34.5   14.5 
22/04/2008  0     Nulo    34.5   15 
23/04/2008  0     Nulo    34     10.5 
24/04/2008  0     Nulo    33.5   14 
25/04/2008  0     Nulo    33.5   13.5 
26/04/2008  0     Nulo    32     15 
27/04/2008  0     Nulo    32.5   13.5 
28/04/2008  0     Nulo    31.5   9.5 
29/04/2008  0     Nulo    31     14 
30/04/2008  0     Nulo    31.6   10.5 
01/05/2008  0     Nulo    31.5   11.5 
02/05/2008  0     Nulo    33.5   10.5 
03/05/2008  0     Nulo    32.5   9 
04/05/2008  0     Nulo    31.5   10.5 
05/05/2008  0     Nulo    32.5   14 
06/05/2008  0     Nulo    30.5   15.5 
07/05/2008  0     Nulo    33.5   15.5 
08/05/2008  0     Nulo    33.5   14.5 
09/05/2008  0     Nulo    35     13.5 
10/05/2008  0     Nulo    36     15.5 
11/05/2008  3     Nulo    32.5   16.5 
12/05/2008  0     Nulo    32     15.5 
13/05/2008  0     Nulo   Nulo    12 
04/06/2008  0     Nulo    31.5  Nulo
05/06/2008  2     Nulo    32.5   22 
06/06/2008  0.3   Nulo    31     14.5 
07/06/2008  13.5  Nulo    29.5   18 
08/06/2008  23.1  Nulo    25     16.5 
09/06/2008  26.7  Nulo    22.5   17.5 
10/06/2008  31    Nulo    22.5   16 
11/06/2008  6.1   Nulo    23     16.5 
12/06/2008  2.3   Nulo    28.5   17 
13/06/2008  0     Nulo    30     16.5 
14/06/2008  3     Nulo    28     17 
15/06/2008  9.9   Nulo    29     17.5 
16/06/2008  6.1   Nulo    31     16.5 
17/06/2008  2     Nulo    30.5   18 
18/06/2008  0     Nulo    30.5   16.5 
19/06/2008  0     Nulo    31     18.5 
20/06/2008  21.8  Nulo    30     17.5 
21/06/2008  18    Nulo    29     14.5 
22/06/2008  0     Nulo    28     16 
23/06/2008  1.3   Nulo    28.5   16.5 
24/06/2008  3.6   Nulo    27.5   17.5 
25/06/2008  0     Nulo    29     16.5 
26/06/2008  0.3   Nulo    30     18 
27/06/2008  13    Nulo    29.5   16.5 
28/06/2008  0.3   Nulo    27.5   15.5 
29/06/2008  7.1   Nulo    26     17 
30/06/2008  0     Nulo    23.5   16.5 
01/07/2008  0.3   Nulo    26     17.3 
02/07/2008  0.3   Nulo    27.9   18.5 
03/07/2008  0     Nulo    28     18.9 
04/07/2008  62.2  Nulo    27.3   16.1 
05/07/2008  24.2  Nulo    27.4   16.4 
06/07/2008  16.5  Nulo    23.7   16.7 
07/07/2008  17.8  Nulo    22.9   17.5 
08/07/2008  98.4  Nulo    21.4   16.9 
09/07/2008  37.1  Nulo    24.2   17.3 
10/07/2008  21.8  Nulo    23.9   16.4 
11/07/2008  0.3   Nulo    25.9   16.7 
12/07/2008  0     Nulo    26.8   13.5 
13/07/2008  1     Nulo    26.3   16.3 
14/07/2008  0.3   Nulo    26.8   17.1 
15/07/2008  0     Nulo    28.2   17.4 
16/07/2008  0     Nulo    29.2   17.6 
17/07/2008  0.3   Nulo    26.7   16.7 
18/07/2008  0     Nulo    26     15.6 
19/07/2008  0     Nulo    26.9   15.3 
20/07/2008  0     Nulo    26.8   15.3 
21/07/2008  0     Nulo    28.9   15.9 
22/07/2008  0     Nulo    29.7   15.8 
23/07/2008  11.2  Nulo    29.8   16.4 
24/07/2008  21.2  Nulo    26.5   17.7 
25/07/2008  2.3   Nulo    26.8   15.3 
26/07/2008  13.7  Nulo    25.8   17 
27/07/2008  0     Nulo    29.1   15.9 
28/07/2008  0     Nulo    29.1   14.2 
