CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A MARZO 2020;CON LA INFORMACION SUMINISTRADA POR LAS OFICINAS REGIONALES
 
ESTACION  : 14297
NOMBRE    : GUACHINANGO (SMN)
ESTADO    : JALISCO
MUNICIPIO : GUACHINANGO
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-SMN
CVE-OMM   : Nulo
LATITUD   : 020.576°
LONGITUD  : -104.381°
ALTITUD   : 1,440 msnm
 
EMISION   : 06/04/2020 
 
           PRECIP  EVAP   TMAX   TMIN
  FECHA     (MM)   (MM)   (°C)   (°C)
01/01/2008  0      3.2    27     1.5 
02/01/2008  0      1.6    21     3 
03/01/2008  0      2.5    24.5   2 
04/01/2008  0      2.6    26.5  -1 
05/01/2008  0      3.4    26.5  -0.5 
06/01/2008  0      3.1    26.5   0 
07/01/2008  0      3.1    28    -1 
08/01/2008  0      3.5    28.5  -1.5 
09/01/2008  0      3.5    28    -0.5 
10/01/2008  0      3.3    26.5  -2 
11/01/2008  0      3.8    26    -0.5 
12/01/2008  0      4.2    26    -2.5 
13/01/2008  0      3.5    27.5  -3.5 
14/01/2008  0      4.8    25.5   1.5 
15/01/2008  0      4.3    23.5   5 
16/01/2008  0      4      24.5   2 
17/01/2008  0      3.5    23.5  -1 
18/01/2008  0      2.5    22.5   1.5 
19/01/2008  0      4.1    27     0.5 
20/01/2008  0      4.1    26     2 
21/01/2008  0      4.2    27     2 
22/01/2008  0      3.8    26.5   3 
23/01/2008  0      4.5    31     3 
24/01/2008  0      4.2    28     3 
25/01/2008  0      4.9    27.5   4.5 
26/01/2008  0      3.6    28.5   5.5 
27/01/2008  0      3.8    28.5   5 
28/01/2008  0      3.2    27.5   3.5 
29/01/2008  0      6.1    26     2.5 
30/01/2008  0      4.4    27     3 
31/01/2008  0      4.1    29     1.5 
01/02/2008  0      3.4    28.5   3 
02/02/2008  0      4.5    29.5   2 
03/02/2008  0      5.3    26     1.5 
04/02/2008  0      4.1    28     1.5 
05/02/2008  0      4.7    25.5   1 
06/02/2008  0      4.9    29     0.5 
07/02/2008  0      4.9    26     2 
08/02/2008  0      2.9    28     3.5 
09/02/2008  0      4.8    29     2 
10/02/2008  1.1    0.9    26.5   4 
11/02/2008  0      5      28     4.5 
12/02/2008  0      6      27.5   1 
13/02/2008  0      4.8    28.5   0.5 
14/02/2008  0      4.6    28.5   0 
15/02/2008  0      5.1    30     0 
16/02/2008  0      5.5    29.5  -0.5 
17/02/2008  0      5.5    28    -0.5 
18/02/2008  0      6.6    28     0 
19/02/2008  0      5.5    30    -0.5 
20/02/2008  0      6.7    29    -0.5 
21/02/2008  0      4.8    29.5   1.5 
22/02/2008  0      5.6    30     0 
23/02/2008  0      7.6    31     0.5 
24/02/2008  0      6.4    33.5   1.5 
25/02/2008  0      5.3    30     4 
26/02/2008  0      7.5    30     2 
27/02/2008  0      6.2    29.5   1.5 
28/02/2008  0      5.8    30     4.5 
29/02/2008  0      5.8    30     2.5 
01/03/2008  0      4.6    30.5   3 
02/03/2008  0      5.5    30     3 
03/03/2008  0      7.9    29.5   0 
04/03/2008  0      6.4    29.5   5 
05/03/2008  0      6.8    27.5   1.5 
06/03/2008  0      7.8    27    -1 
07/03/2008  0      6.4    26    -4.5 
08/03/2008  0      6.6    28    -1 
09/03/2008  0      6.3    27     0 
10/03/2008  0      6.1    28.5   0.5 
11/03/2008  0      6.4    30     3 
12/03/2008  0      5.8    31     3 
13/03/2008  0      7.5    29.5   4.5 
14/03/2008  0      8.7    30    -2 
15/03/2008  0      6.9    32     1 
16/03/2008  0      6.5    29.5   2 
17/03/2008  0      8.4    27     2 
18/03/2008  0      7.3    23.5   8 
19/03/2008  0      6.6    29    -1 
20/03/2008  0      5.7    29     2.5 
21/03/2008  0      6.3    29.5   4 
22/03/2008  0      7.2    30     4 
23/03/2008  0      6      31     3 
