CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A MARZO 2020;CON LA INFORMACION SUMINISTRADA POR LAS OFICINAS REGIONALES
 
ESTACION  : 14311
NOMBRE    : CANOAS
ESTADO    : JALISCO
MUNICIPIO : TOLIMAN
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 019.574°
LONGITUD  : -103.913°
ALTITUD   : 760 msnm
 
EMISION   : 06/04/2020 
 
           PRECIP  EVAP   TMAX   TMIN
  FECHA     (MM)   (MM)   (°C)   (°C)
01/01/2008  0      3.8    32     11 
02/01/2008  0      3.7    33     11 
03/01/2008  0      4.4    31     11 
04/01/2008  0      5.9    31     10 
05/01/2008  0      6.2    33     9 
06/01/2008  0      4.4    32     8.5 
07/01/2008  0      1.6    33     8 
08/01/2008  0      4.5    33     6.5 
09/01/2008  0      3      33     4.5 
10/01/2008  0      3.7    36     5 
11/01/2008  0      3      31     6 
12/01/2008  0      4.9    31     5 
13/01/2008  0      4.9    31     5 
14/01/2008  0      4.1    32     5 
15/01/2008  0      2.2    29     6.5 
16/01/2008  0      4.5    32     7.5 
17/01/2008  0      2.8    31     7.5 
18/01/2008  0      3.7    30     7 
19/01/2008  0      4      33     9 
20/01/2008  0      4      31     10 
21/01/2008  0      5      32     10 
22/01/2008  0      2.3    34     10 
23/01/2008  0      1.9    36     10 
24/01/2008  0      2.4    33     10 
25/01/2008  0      4.9    33     11.5 
26/01/2008  0      4.5    35     11.5 
27/01/2008  0      4.7    34     11.5 
28/01/2008  0      3.1    34     10 
29/01/2008  0      4.1    35     10.5 
30/01/2008  0      4.6    32     11 
31/01/2008  0      6.6    33     9.5 
01/02/2008  0      3      32     8 
02/02/2008  0      4.1    33     9 
03/02/2008  0      5      34     9.5 
04/02/2008  0      5.9    33.5   8 
05/02/2008  0      6      32.5   9 
06/02/2008  0      5      31.5   9.5 
07/02/2008  0      4.5    32     9 
08/02/2008  0      5.1    32     10 
09/02/2008  0      4.2    33     10 
10/02/2008  0      3.3    32     11 
11/02/2008  0      4.3    33     11 
12/02/2008  0      4.8    33     10 
13/02/2008  0      2.9    34     9 
14/02/2008  0      4.5    32     7 
15/02/2008  0      6.9    34     6 
16/02/2008  0      5.9    35     6 
17/02/2008  0      4.9    35     7 
18/02/2008  0      7.1    31     8 
19/02/2008  0      3.8    32     6 
20/02/2008  0      5.9    33     6 
21/02/2008  0      4.2    34     6 
22/02/2008  0      5.4    36     7 
23/02/2008  0      5.2    35     9 
24/02/2008  0      7.9    36     10 
25/02/2008  0      7.9    34     9 
26/02/2008  0      5.8    34     7.5 
27/02/2008  0      5.6    34     7.5 
28/02/2008  0      7.3    32     8 
29/02/2008  0      5.7    34     8 
01/03/2008  0      6.7    36     9 
02/03/2008  0      5.2    33     10 
03/03/2008  0      5.6    32     8 
04/03/2008  0      4.8    29.5   8 
05/03/2008  0      8.2    30     6.5 
06/03/2008  0      7.9    30.5   5.5 
07/03/2008  0      6.9    35     4.5 
08/03/2008  0      7.2    32     3.5 
09/03/2008  0      7.8    33     4 
10/03/2008  0      7      35     6 
11/03/2008  0      7.4    36.5   8 
12/03/2008  0      7.1    36     10 
13/03/2008  0      7      34     8.5 
14/03/2008  0      8      34     7.8 
15/03/2008  0      7.8    34     6 
16/03/2008  0      7.7    34     7 
17/03/2008  0      7      33.5   6.5 
18/03/2008  0      7.7    31     7 
19/03/2008  0      7.4    31     5.5 
20/03/2008  0      7.3    34     6 
21/03/2008  0      7.3    33     7 
22/03/2008  0      8.8    36     10 
23/03/2008  0      7.7    36     10 
24/03/2008  0      5.4    35     9.5 
25/03/2008  0      6.9    36     10.5 
26/03/2008  0      8      36     12 
27/03/2008  0      9      36     12 
28/03/2008  0      8.2    36     11 
29/03/2008  0      6.8    35     9 
30/03/2008  0      8.6    34.5   9 
31/03/2008  0      5.9    37     9 
01/04/2008  0      6.1    35     9 
02/04/2008  0      7.2    36     10 
03/04/2008  0      7.1    36     12 
04/04/2008  0      6.8    34     9 
05/04/2008  0      8      33     11 
06/04/2008  0      9.1    33     14 
07/04/2008  0      7.6    35     11 
08/04/2008  0      7.2    33.5   13 
09/04/2008  0      8.8    35     11.5 
10/04/2008  0      6.9    35     11.5 
11/04/2008  0      7.5    33.5   13.5 
12/04/2008  0      8.2    34     15.5 
13/04/2008  0      7.1    36     14 
14/04/2008  7.5    6.6    37     15.5 
15/04/2008  2.8    5.9    37     15 
16/04/2008  0      9      36     15 
17/04/2008  0      9.8    34     10.5 
18/04/2008  0      8.8    34     11 
19/04/2008  0      9.2    36     11 
20/04/2008  0      9.1    36.5   12 
21/04/2008  0      5.9    34     13 
22/04/2008  0      7.6    39     12 
23/04/2008  0      7.7    35.5   12.5 
