CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A MARZO 2020;CON LA INFORMACION SUMINISTRADA POR LAS OFICINAS REGIONALES
 
ESTACION  : 14317
NOMBRE    : MIXTLAN
ESTADO    : JALISCO
MUNICIPIO : MIXTLAN
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 020.438°
LONGITUD  : -104.409°
ALTITUD   : 1,540 msnm
 
EMISION   : 06/04/2020 
 
           PRECIP  EVAP   TMAX   TMIN
  FECHA     (MM)   (MM)   (°C)   (°C)
01/01/2008  0      3.9    30     6 
02/01/2008  0      1.3    29     6 
03/01/2008  0      3.5    27     3 
04/01/2008  0      3.5    27     3 
05/01/2008  0      2.6    29     3 
06/01/2008  0      2.3    30     3.5 
07/01/2008  0      3.6    31     4 
08/01/2008  0      4.3    28     3 
09/01/2008  0      3.9    29     2 
10/01/2008  0      4.8    27     3 
11/01/2008  0      3      27     2 
12/01/2008  0      4.9    25     2 
13/01/2008  0      3.7    29     0.5 
14/01/2008  0      4.1    25     2 
15/01/2008  0      4.3    23     6 
16/01/2008  0      7.6    24     6 
17/01/2008  0      7.6    24     3 
18/01/2008  0      7.5    24     3 
19/01/2008  0      6.7    24     3 
20/01/2008  0      6      26     4 
21/01/2008  0      6      28     5 
22/01/2008  0      0.2    29     5 
23/01/2008  0      3.8    31     5.5 
24/01/2008  0      2      23     7 
25/01/2008  0      5.4    31     7 
26/01/2008  0      7.5    30     7 
27/01/2008  0      3.3    39     8 
28/01/2008  0      2.3    31     6 
29/01/2008  0      5.3    30     5 
30/01/2008  0      5.3    28     5 
31/01/2008  0      5.3    28     5 
01/02/2008  0      5.5    28     8 
02/02/2008  0      5      27     6.5 
03/02/2008  0      5      27     5.5 
04/02/2008  0      5      30     5.5 
05/02/2008  0      5      30     3 
06/02/2008  0      5      29     3 
07/02/2008  0      3.7    30     5 
08/02/2008  0      3.1    30     5.5 
09/02/2008  0      4      31     6 
10/02/2008  1.5    1.4    28     7 
11/02/2008  0      4.9    27     7 
12/02/2008  0      4.9    21     4 
13/02/2008  0      5.8    30     3 
14/02/2008  0      4.2    28     3 
15/02/2008  0      7.4    32     3 
16/02/2008  0      1.3    31     4 
17/02/2008  0      5.9    31     4 
18/02/2008  0      5.9    32     5 
19/02/2008  0      6.8    30     3 
20/02/2008  0      5.2    29     4 
21/02/2008  0      5.8    28     4 
