CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A MARZO 2020;CON LA INFORMACION SUMINISTRADA POR LAS OFICINAS REGIONALES
 
ESTACION  : 14323
NOMBRE    : TECHALUTA
ESTADO    : JALISCO
MUNICIPIO : TECHALUTA DE MONTENEGRO
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 020.067°
LONGITUD  : -103.550°
ALTITUD   : 1,406 msnm
 
EMISION   : 06/04/2020 
 
           PRECIP  EVAP   TMAX   TMIN
  FECHA     (MM)   (MM)   (°C)   (°C)
12/03/2014  0     Nulo    38    Nulo
13/03/2014  0      9.1    31.5   9.5 
14/03/2014  0      6.8    30     11 
15/03/2014  0      6.3    31     11.5 
16/03/2014  0      8.8    29.5   12 
17/03/2014  0      6.7    21.5   8 
18/03/2014  0      8.9    28     9 
19/03/2014  0      5.1    30     8 
20/03/2014  0      6.1    33     12.5 
21/03/2014  0      7.5    33     10 
22/03/2014  0      6      33     13.5 
23/03/2014  0      5.6    35     15 
24/03/2014  0      0.6    35     11 
25/03/2014  0      8.4    33     10 
26/03/2014  0      10.4   31     12.5 
27/03/2014  0      7.8    30     13 
28/03/2014  0      6.9    31     13.5 
29/03/2014  0      7      32.5   13.5 
30/03/2014  0      8.8    32     11 
31/03/2014  0      9      32     12 
01/06/2014  0      6.8    32.5   19 
02/06/2014  0      7.6    32     19 
03/06/2014  0      8.1    32     19.5 
04/06/2014  0      7.4    33     20 
05/06/2014  2.6    4.6    33     18.5 
06/06/2014  0      4.9    29     18.5 
07/06/2014  0.6    5.6    32     18.5 
08/06/2014  0      7.8    31     18.5 
09/06/2014  0      6.4    31     19 
10/06/2014  0      5.7    32     19 
11/06/2014  0      7.5    31     18.5 
12/06/2014  0      6      31     18.5 
13/06/2014  0      7.1    32.5   19 
14/06/2014  0      6.9    33     19.5 
15/06/2014  0      5.6    32     17.5 
16/06/2014  0      7.8    31     18 
17/06/2014  26.5   7.1    32     18 
18/06/2014  9.5    4.8    29     17 
19/06/2014  0      5.4    29     18 
20/06/2014  28     2.3    28     19 
21/06/2014  0.5    8.8    27     17 
22/06/2014  3      5.3    28     17.5 
23/06/2014  0.2    2.5    28     18 
24/06/2014  0.2    2.9    27     17 
25/06/2014  40     11.4   29     18 
26/06/2014  0      6.2    26     18.5 
27/06/2014  0      4.8    26.5   18 
28/06/2014  0      6.1    27     18.5 
29/06/2014  0.2    1.9    28     18.5 
30/06/2014  0.7    1.9    23     18 
01/07/2014  0      5.2    25     18 
02/07/2014  0      3.6    27     18.5 
03/07/2014  0.8    3.3    26     18 
04/07/2014  0.6    1.7    27     17.5 
05/07/2014  10.8   3.4    28     17.5 
06/07/2014  70.2   3.7    29     18 
07/07/2014  0      3.6    28     11.5 
08/07/2014  0      5      29     16 
09/07/2014  0      4      28     17 
10/07/2014  33     9.7    26     17.5 
11/07/2014  0      4      29     16.5 
12/07/2014  0      4.6    27     16 
13/07/2014  0      4.1    29.5   16 
14/07/2014  0      5.6    29     15.5 
15/07/2014  0      4.3    31     16 
16/07/2014  0      5.8    32     15 
17/07/2014  0      3.3    28     16 
18/07/2014  0      5.4    30     16.5 
19/07/2014  0      4.6    29     17 
20/07/2014  0      3.9    29     17 
21/07/2014  0      6.6    32     16.5 
22/07/2014  0      2.5    30     17 
23/07/2014  0      1.9    33     17.5 
24/07/2014  0      5.9    26     18 
25/07/2014  0      1.9    28     15 
26/07/2014  0      1.4    33     15.5 
27/07/2014  0      2.8    29     15 
28/07/2014  0      5.2    32     17 
29/07/2014  0      5.4    29     15 
30/07/2014  0      5.6    30     14.5 
31/07/2014  0      4.3    30     15 
01/09/2018  0      8      28     15 
02/09/2018  0      5.3    31     17 
03/09/2018  0      2.1    31     17.5 
04/09/2018  4.8    0.9    30.5   16 
05/09/2018  0      2.1    30.5   17 
06/09/2018  0      3.2    32     17 
07/09/2018  0      6.7    30.5   17 
08/09/2018  1.4    3.1    29.5   16.5 
09/09/2018  24.7   8.4    29     17 
10/09/2018  5.7    1.6    25.5   16.5 
11/09/2018  0      3.8    27     17 
12/09/2018  0      6      29     17.5 
13/09/2018  14.8   5.4    30     16.5 
14/09/2018  0      4.6    28.5   17.5 
15/09/2018  0      5.7    28.5   18 
