CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A MARZO 2020;CON LA INFORMACION SUMINISTRADA POR LAS OFICINAS REGIONALES
 
ESTACION  : 14329
NOMBRE    : LA EXPERIENCIA
ESTADO    : JALISCO
MUNICIPIO : GUADALAJARA
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 020.670°
LONGITUD  : -103.286°
ALTITUD   : 1,550 msnm
 
EMISION   : 06/04/2020 
 
           PRECIP  EVAP   TMAX   TMIN
  FECHA     (MM)   (MM)   (°C)   (°C)
01/01/2008  0      4.3    28     7.5 
02/01/2008  0      2.8    21.5   7.5 
03/01/2008  0      2.9    23.5   4.5 
04/01/2008  0      2.5    25     4.5 
05/01/2008  0      2.8    26     5 
06/01/2008  0      2.6    28     6.5 
07/01/2008  0      3.3    29     7 
08/01/2008  0      2.9    28.5   6.5 
09/01/2008  0      3.4    28.5   6.5 
10/01/2008  0      3      27.5   6 
11/01/2008  0      3.5    27.5   6.5 
12/01/2008  0      2.9    27.5   7 
13/01/2008  0      2.5    28     4.5 
14/01/2008  0      4.8    27     4.5 
15/01/2008  0      3.9    25     7 
16/01/2008  0      2.9    24.5   8 
17/01/2008  0      2.1    24     6 
18/01/2008  0      2.1    22.5   6 
19/01/2008  0      2.8    26     7 
20/01/2008  0      3      26     7 
21/01/2008  0      3.3    28     8 
22/01/2008  0      2.5    28.5   8 
23/01/2008  0      4.5    30.5   9 
24/01/2008  0      3.9    29.5   9.5 
25/01/2008  0      3.2    29.5   10.5 
26/01/2008  0      2.6    31.5   11 
27/01/2008  0      4      30.5   11.5 
28/01/2008  0      4.2    29.5   10.5 
29/01/2008  0      4.4    27.5   10 
30/01/2008  0      4.8    28     10 
31/01/2008  0      4.9    29     9 
01/02/2008  0      3.3    28.5   8 
02/02/2008  0      5      30     9 
03/02/2008  0      3.9    28     8 
04/02/2008  0      4      29.5   9 
05/02/2008  0      4.5    28     7.5 
06/02/2008  0      4.7    29     8 
07/02/2008  0      3.8    27     8.5 
08/02/2008  0      3.6    28.5   9 
09/02/2008  0      4.5    30     9 
10/02/2008  0      4.1    29     9.5 
11/02/2008  0      3.9    27     11 
12/02/2008  0      5.1    27     9.5 
13/02/2008  0      5.7    28.5   8.5 
14/02/2008  0      5.1    28.5   8.5 
15/02/2008  0      3.6    30     8 
16/02/2008  0      4.8    30     8 
17/02/2008  0      5.2    30.5   8.5 
18/02/2008  0      6.4    31     8 
19/02/2008  0      5      30.5   8 
20/02/2008  0      6.4    29.5   8.5 
21/02/2008  0      4.5    30     8.5 
22/02/2008  0      4.1    30.5   9 
23/02/2008  0      4.9    32     8.5 
24/02/2008  0      5.2    34.5   9 
25/02/2008  0      5.4    33.5   9.5 
26/02/2008  0      7.6    33     10 
27/02/2008  0      3.6    30     10.5 
28/02/2008  0      4.8    30.5   10.5 
