CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A MARZO 2020;CON LA INFORMACION SUMINISTRADA POR LAS OFICINAS REGIONALES
 
ESTACION  : 14331
NOMBRE    : EL ZAPOTE
ESTADO    : JALISCO
MUNICIPIO : COLOTLAN
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 022.043°
LONGITUD  : -103.329°
ALTITUD   : 1,458 msnm
 
EMISION   : 06/04/2020 
 
           PRECIP  EVAP   TMAX   TMIN
  FECHA     (MM)   (MM)   (°C)   (°C)
01/03/2008  0     Nulo    34     1.5 
02/03/2008  0     Nulo    33     1 
03/03/2008  0     Nulo    34     1 
04/03/2008  0     Nulo    31.5  -1 
05/03/2008  0     Nulo    32     0 
06/03/2008  0     Nulo    33     1 
07/03/2008  0     Nulo    34     1.5 
08/03/2008  0     Nulo    33     2 
09/03/2008  0     Nulo    32     2 
10/03/2008  0     Nulo    33     2 
11/03/2008  0     Nulo    34     2 
12/03/2008  0     Nulo    31.5   2 
13/03/2008  0     Nulo    33     2 
14/03/2008  0     Nulo    34     2 
15/03/2008  0     Nulo    32.5   1 
16/03/2008  0     Nulo    33     1.5 
17/03/2008  0     Nulo    33     2 
18/03/2008  0     Nulo    33     2 
19/03/2008  0     Nulo    33     1 
20/03/2008  0     Nulo    33     1 
21/03/2008  0     Nulo    34     2 
22/03/2008  0     Nulo    33     2 
23/03/2008  0     Nulo    33     2.5 
24/03/2008  0     Nulo    34     2 
25/03/2008  0     Nulo    34     5 
26/03/2008  0     Nulo    33     2 
27/03/2008  0     Nulo    34     3.5 
28/03/2008  0     Nulo    34     4 
29/03/2008  0     Nulo    34     4 
30/03/2008  0     Nulo    34     5 
31/03/2008  0     Nulo    35     3.5 
01/04/2008  0     Nulo    29     4 
02/04/2008  0     Nulo    30     4 
03/04/2008  0     Nulo    33     3 
04/04/2008  0     Nulo    34     3 
05/04/2008  0     Nulo    33     4 
06/04/2008  0     Nulo    37     4 
07/04/2008  0     Nulo    34     4 
08/04/2008  0     Nulo    36     4 
09/04/2008  0     Nulo    35     4 
10/04/2008  0     Nulo    35     4 
11/04/2008  0     Nulo    35     4 
12/04/2008  0     Nulo    35     4 
13/04/2008  0     Nulo    35     4 
14/04/2008  0     Nulo    36     5 
15/04/2008  0     Nulo    36     5 
16/04/2008  0     Nulo    31.5   5 
17/04/2008  0     Nulo    30     9 
18/04/2008  0     Nulo    31     7 
19/04/2008  0     Nulo    30     8 
20/04/2008  0     Nulo    32     9 
21/04/2008  0     Nulo    30     5 
22/04/2008  0     Nulo    30.5   6 
23/04/2008  0     Nulo    30     5 
24/04/2008  0     Nulo    31     7 
25/04/2008  0     Nulo    39     5 
26/04/2008  0     Nulo    30     6 
27/04/2008  0     Nulo    39     5 
28/04/2008  0     Nulo    30     6.5 
29/04/2008  0     Nulo    31.5   6 
30/04/2008  0     Nulo    32     6.5 
01/05/2008  0     Nulo    31.5   5 
02/05/2008  0     Nulo    31.5   4 
03/05/2008  0     Nulo    33     4.5 
04/05/2008  0     Nulo    31.5   5 
05/05/2008  0     Nulo    33     8.5 
06/05/2008  0     Nulo    33.5   4.5 
07/05/2008  0     Nulo    31.5   4.5 
08/05/2008  0     Nulo    33     6 
09/05/2008  0     Nulo    33     5.5 
10/05/2008  0     Nulo    32.5   4.5 
11/05/2008  0     Nulo    36     6 
12/05/2008  0     Nulo    34     5.5 
13/05/2008  0     Nulo    34     6 
14/05/2008  0     Nulo    35     6 
15/05/2008  0     Nulo    36     7 
16/05/2008  0     Nulo    36     5 
17/05/2008  0     Nulo    34     6 
18/05/2008  0     Nulo    34     6 
19/05/2008  0     Nulo    33     5 
20/05/2008  0     Nulo    35     6 
21/05/2008  0     Nulo    31.5   5 
22/05/2008  0     Nulo    33     5.5 
23/05/2008  0     Nulo    34     11.5 
24/05/2008  0     Nulo    32.5   8 
25/05/2008  0     Nulo    31.5   7.5 
26/05/2008  0     Nulo    34     11 
27/05/2008  0     Nulo    30     9 
28/05/2008  0     Nulo    34.5   9.5 
29/05/2008  0     Nulo    34     8.5 
30/05/2008  0     Nulo    34     9 
31/05/2008  0     Nulo    34     9 
01/06/2008  0     Nulo    33     9.5 
02/06/2008  0     Nulo    31.5   8.5 
03/06/2008  0     Nulo    33     9 
04/06/2008  0     Nulo    34     9 
05/06/2008  0     Nulo    32.5   9 
06/06/2008  0     Nulo    33     8 
07/06/2008  0     Nulo    34     11 
08/06/2008  3     Nulo    35     13 
09/06/2008  8     Nulo    33     9 
10/06/2008  10.8  Nulo    34     10 
11/06/2008  4.6   Nulo    33     11 
12/06/2008  10.2  Nulo    32     9 
13/06/2008  0     Nulo    33     9.5 
14/06/2008  0     Nulo    37     16 
15/06/2008  0     Nulo    31     17 
16/06/2008  0.2   Nulo    34     16 
17/06/2008  22.5  Nulo    34     17 
18/06/2008  2     Nulo    30     17 
19/06/2008  0     Nulo    26     15 
20/06/2008  8.5   Nulo    29     16 
21/06/2008  0     Nulo    29     17 
22/06/2008  0     Nulo    33     17 
23/06/2008  0     Nulo    31     16 
24/06/2008  0     Nulo    34     17 
25/06/2008  0     Nulo    36     16 
26/06/2008  0     Nulo    37     16 
27/06/2008  0     Nulo    35     16 
28/06/2008  3.5   Nulo    36     17 
29/06/2008  2.5   Nulo    37     16 
30/06/2008  0     Nulo    34     15 
01/07/2008  8.4   Nulo    35     15 
02/07/2008  10.5  Nulo    34     17 
03/07/2008  10    Nulo    33     15 
04/07/2008  18    Nulo    29     15 
05/07/2008  10.4  Nulo    29     15 
06/07/2008  12.4  Nulo    27     13 
07/07/2008  22    Nulo    26     13 
08/07/2008  20.4  Nulo    29     14 
09/07/2008  38    Nulo    33     16 
10/07/2008  4     Nulo    33     16 
11/07/2008  0     Nulo    34     17 
12/07/2008  0     Nulo    34     17 
13/07/2008  4.5   Nulo    29     14.5 
14/07/2008  0     Nulo    34     16 
15/07/2008  20    Nulo    34     15 
16/07/2008  0     Nulo    33     15 
17/07/2008  0     Nulo    29     14 
18/07/2008  26    Nulo    30     16 
19/07/2008  22.5  Nulo    29     14 
20/07/2008  0     Nulo    29     14 
21/07/2008  0     Nulo    30     16 
22/07/2008  0     Nulo    30     15 
23/07/2008  0     Nulo    31     14 
24/07/2008  0     Nulo    30     15 
25/07/2008  24.4  Nulo    30     16 
26/07/2008  0     Nulo    34     14 
27/07/2008  0     Nulo    33     14 
28/07/2008  18    Nulo    33     13 
29/07/2008  0     Nulo    31     14 
30/07/2008  12    Nulo    34     14 
31/07/2008  15    Nulo    32     16 
01/08/2008  10    Nulo    33     14 
02/08/2008  8     Nulo    34     15 
03/08/2008  16    Nulo    26     14 
04/08/2008  0     Nulo    34     15 
05/08/2008  0     Nulo    33     14 
06/08/2008  0     Nulo    34     14 
07/08/2008  16.5  Nulo    33     13 
08/08/2008  32.4  Nulo    34     14 
09/08/2008  18    Nulo    33     13 
10/08/2008  10    Nulo    34     16 
11/08/2008  0     Nulo    38     13 
12/08/2008  0     Nulo    31     16 
13/08/2008  0     Nulo    36     16 
14/08/2008  36.5  Nulo    34     16 
15/08/2008  8.4   Nulo    33     13 
16/08/2008  2     Nulo    36     13 
17/08/2008  0     Nulo    34     14 
18/08/2008  0     Nulo    33     13 
19/08/2008  4.6   Nulo    31     11.5 
20/08/2008  18.6  Nulo    33     11 
21/08/2008  32    Nulo    29     13 
22/08/2008  22.5  Nulo    29     11 
23/08/2008  8.4   Nulo    29     11 
24/08/2008  29    Nulo    30     13 
25/08/2008  0     Nulo    33     16 
26/08/2008  32.4  Nulo    29     11.5 
27/08/2008  0     Nulo    30     16 
28/08/2008  6.5   Nulo    30     14 
29/08/2008  8.4   Nulo    33     15 
30/08/2008  0     Nulo    33     16 
31/08/2008  0     Nulo    34     15 
01/09/2008  0     Nulo    33     11.5 
02/09/2008  10.9  Nulo    33     13 
03/09/2008  32    Nulo    33     16 
04/09/2008  12.4  Nulo    32     15 
05/09/2008  0     Nulo    33     15 
06/09/2008  0     Nulo    31     16 
07/09/2008  0     Nulo    31     18 
08/09/2008  8.5   Nulo    33     16 
09/09/2008  18.5  Nulo    34     15 
10/09/2008  25    Nulo    30     16 
11/09/2008  8.5   Nulo    31     15 
12/09/2008  0     Nulo    31     16 
13/09/2008  0     Nulo    30     16 
14/09/2008  22    Nulo    29     13 
15/09/2008  10.4  Nulo    30     14 
16/09/2008  8     Nulo    30     16 
17/09/2008  10.6  Nulo    31     15 
18/09/2008  6     Nulo    29     15 
19/09/2008  48    Nulo    30     16 
20/09/2008  18    Nulo    30     15 
21/09/2008  26    Nulo    29     14 
22/09/2008  0     Nulo    31     14 
23/09/2008  0     Nulo    30     16 
24/09/2008  0     Nulo    30     14 
25/09/2008  0     Nulo    29     13 
26/09/2008  0     Nulo    30     14 
27/09/2008  0     Nulo    34     18 
28/09/2008  0     Nulo    33     13 
29/09/2008  0     Nulo    33     14 
30/09/2008  0     Nulo    30     14 
01/01/2011  0      2.1    26.5   2 
02/01/2011  0      2      27     1.5 
03/01/2011  0      2.9    29     2 
04/01/2011  0      2.8    27     3 
05/01/2011  0      3      28     3 
06/01/2011  0      3.1    29     4 
07/01/2011  0      3      29     3 
08/01/2011  0      2.9    28.5   2.5 
09/01/2011  0      2.8    27.5   2.5 
10/01/2011  0      3      28     7.5 
11/01/2011  0      2.8    22.5   2 
12/01/2011  0      2.4    29     3.5 
13/01/2011  0      2.4    29     3.5 
14/01/2011  0      2.4    27     1.5 
15/01/2011  0      2.8    27     2 
16/01/2011  0      2.4    27.5   1.5 
17/01/2011  0      2.7    27     2 
18/01/2011  0      3      28     3 
19/01/2011  0      2.8    27     2.5 
20/01/2011  0      2.8    27     2.5 
21/01/2011  0      3      27.5   2.5 
22/01/2011  0      3      28     2 
23/01/2011  0      3.2    27.5   2 
24/01/2011  0      2.8    22.5   1.5 
25/01/2011  0      7.8    27.5   2 
26/01/2011  0      3.1    28     2.5 
27/01/2011  0      3.6    29     3 
28/01/2011  0      3.7    30     3.5 
29/01/2011  0      3.1    29     3 
30/01/2011  0      2.6    27.5   2.5 
31/01/2011  0      2.6    27.5   2.5 
01/02/2011  0      2.2    26.5   2 
02/02/2011  0      2.1    26.5   1 
03/02/2011  0      3.8    27     2 
04/02/2011  0      2.9    25     1 
05/02/2011  0      2.6    23     0 
06/02/2011  0      2.3    24     1 
07/02/2011  0      3      24.5   2 
08/02/2011  0      3      25.5   0 
09/02/2011  0      2.4    26     3.5 
10/02/2011  0      7.5    25     3 
11/02/2011  0      2.8    24.5   3.5 
12/02/2011  0      2.9    25.5   3 
13/02/2011  0      2.8    26     3.5 
14/02/2011  0      3      26.5   3 
15/02/2011  0      2.9    27     4 
16/02/2011  0      2.9    27.5   4.5 
17/02/2011  0      8      26     4.5 
