CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A MARZO 2020;CON LA INFORMACION SUMINISTRADA POR LAS OFICINAS REGIONALES
 
ESTACION  : 14336
NOMBRE    : EL GUAYABO
ESTADO    : JALISCO
MUNICIPIO : PIHUAMO
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 019.265°
LONGITUD  : -103.291°
ALTITUD   : 1,460 msnm
 
EMISION   : 06/04/2020 
 
           PRECIP  EVAP   TMAX   TMIN
  FECHA     (MM)   (MM)   (°C)   (°C)
01/01/2008  0.6    5      36.5   17 
02/01/2008  0      4.8    33.5   15.5 
03/01/2008  0      3.8    34     14 
04/01/2008  0      3.9    36     10.5 
05/01/2008  0      5.1    32.5   10.5 
06/01/2008  0      2      34     11 
07/01/2008  0      4.1    33.5   11.5 
08/01/2008  0      5      34     10 
09/01/2008  0      5      32     10 
10/01/2008  0      4.2    34.5   10 
11/01/2008  0      5      35     10.5 
12/01/2008  0      5.2    34.5   8.5 
13/01/2008  0      3.6    33.5   8.5 
14/01/2008  0      3.9    34.5   9 
15/01/2008  0      5.8    31.5   8 
16/01/2008  0      4      32.5   7 
17/01/2008  0      3.1    31.5   7.5 
18/01/2008  0      3      36     9 
19/01/2008  0      6      37.5   10 
20/01/2008  0      6.2    30.5   10 
21/01/2008  0      3.1    35     10 
22/01/2008  0      5.8    36     11 
23/01/2008  0      6.5    35.5   13.5 
24/01/2008  0      6.2    34     14 
25/01/2008  0      4.5    35     14 
26/01/2008  0      5.1    26     13.5 
27/01/2008  0      6.7    36     13 
28/01/2008  0      6.6    33     13 
29/01/2008  0      4.6    35     13.5 
30/01/2008  0      4.8    33.5   13.5 
31/01/2008  0      5      34     13.5 
01/02/2008  0      5      33     11 
02/02/2008  0      4.9    34     12 
03/02/2008  0      4.9    34.5   12 
04/02/2008  0      5.1    35     12 
05/02/2008  0      5.2    35.5   11 
06/02/2008  0      5.2    35     11.5 
07/02/2008  0      5.1    34.5   12 
08/02/2008  0      6      33.5   11 
09/02/2008  0      4      23     11 
10/02/2008  0      4.4    34.5   14 
11/02/2008  0      3.4    32.5   10 
12/02/2008  0      3.1    34     9.5 
13/02/2008  0      4.1    35     10 
14/02/2008  0      4.2    33.5   8.5 
15/02/2008  0      3.2    26     9 
16/02/2008  0      5.5    35.5   9 
17/02/2008  0      5.6    35     9.5 
18/02/2008  0      4.7    35.5   9.5 
19/02/2008  0      4.5    34     9 
20/02/2008  0      4.2    34     9.5 
21/02/2008  0      4.1    33.5   13 
22/02/2008  0      4      34     10.5 
23/02/2008  0      3.9    35     11 
24/02/2008  0      4.9    35.5   10 
25/02/2008  0      5.1    35     10.5 
26/02/2008  0      4.4    36     11 
27/02/2008  0      5.5    35.5   11.5 
28/02/2008  0      5.2    35     13 
29/02/2008  0      5.1    35     13.5 
01/03/2008  0      5.1    35     13 
02/03/2008  0      5.1    35.5   13 
03/03/2008  0      5.1    33.5   12 
04/03/2008  0      4.8    34     10.5 
05/03/2008  0      4.8    35     11 
06/03/2008  0      4.9    34.5   10 
07/03/2008  0      4.7    35.5   9.5 
08/03/2008  0      4.9    33.5   10 
09/03/2008  0      4.3    34     10.5 
10/03/2008  0      4.2    33     10 
11/03/2008  0      4.1    34     9 
12/03/2008  0      4.2    37     10 
13/03/2008  0      6.3    34.5   10 
14/03/2008  0      4.1    35     9.5 
15/03/2008  0      5.2    35     8 
16/03/2008  0      5.7    35     9 
17/03/2008  0      5.3    34     9.5 
18/03/2008  0      5.6    33.5   9.5 
19/03/2008  0      5.3    34     10 
20/03/2008  0      5.5    35     10 
21/03/2008  0      5.6    36     10.5 
22/03/2008  0      6      35     11 
23/03/2008  0      5.4    34     11.5 
24/03/2008  0      4.1    35.5   10 
25/03/2008  0      5.6    36     9.5 
26/03/2008  0      5.9    35.5   9 
27/03/2008  0      5.2    36     10 
28/03/2008  0      5.4    36     10 
29/03/2008  0      5.9    36.5   12 
30/03/2008  0      6.1    37     11 
31/03/2008  0      6.4    37     10 
01/04/2008  0      6.5    37     11 
02/04/2008  0      6.5    36.5   12.5 
03/04/2008  0      5.3    37     13 
04/04/2008  0      6.2    37     13.5 
05/04/2008  0      6.6    36.5   14 
06/04/2008  0      6.2    36.5   13 
07/04/2008  0      6.1    36     12.5 
08/04/2008  0      6.7    36.5   11 
09/04/2008  0      6.6    37     11 
10/04/2008  0      6.1    37     11.5 
11/04/2008  0      6.1    35     15.5 
12/04/2008  0      5.5    37     16.5 
13/04/2008  0      6.8    37     12.5 
14/04/2008  0      6.9    37     13.5 
15/04/2008  0      6.8    36.5   14.5 
16/04/2008  0      6.4    36     17 
17/04/2008  0      5.4    36     17.5 
18/04/2008  0      5.2    38     12.5 
19/04/2008  0      7.8    36.5   13.5 
20/04/2008  0      6.8    36.5   15 
21/04/2008  0      5.9    35     14.5 
22/04/2008  0      5.9    36     14 
23/04/2008  0      6      35     14 
24/04/2008  0      5.9    36     14.5 
25/04/2008  0      6      38.5   14.5 
26/04/2008  0      7.1    35.5   15 
27/04/2008  0      6.1    35     16.5 
28/04/2008  0      5.9    37     19.5 
29/04/2008  0      6.8    37     18.5 
30/04/2008  0      6.9    36     18 
01/05/2008  0      6.9    35.5   11.5 
02/05/2008  0      5      36     12.5 
03/05/2008  0      5.1    35     12 
04/05/2008  0      5      35     12.5 
05/05/2008  0      6.8    35     12.5 
06/05/2008  0      5.6    38     13 
07/05/2008  0      5.1    38     13.5 
08/05/2008  0      7.8    36     17 
09/05/2008  0      5.6    37     18.5 
10/05/2008  0      6.9    37.5   18 
11/05/2008  0      6.4    36.5   19.5 
12/05/2008  0      5.2    36     19.5 
13/05/2008  0      6      36.5   15 
14/05/2008  0      6.7    36     15.5 
15/05/2008  0      5.6    36.5   15 
16/05/2008  0      5.2    37     15 
17/05/2008  0      6.6    37     16 
18/05/2008  0      6.2    35.5   15 
19/05/2008  0      5.2    37     15.5 
20/05/2008  0      6.8    38     16 
21/05/2008  0      7.2    37.5   15.5 
22/05/2008  0      6.8    38.5   15.5 
23/05/2008  0      7.5    34.5   15.5 
24/05/2008  0      4.3    33.5   16.5 
25/05/2008  0      3.4    39     14 
26/05/2008  0      9.4    37.5   15 
27/05/2008  0      7.1    35     15.5 
28/05/2008  0      6.5    37.5   16.5 
29/05/2008  0      6.1    37     22 
30/05/2008  0      6      36.5   21 
31/05/2008  0      6      34     16.5 
01/06/2008  0      4      36     18 
02/06/2008  0      4      35     20 
03/06/2008  0      4      35.5   19.5 
04/06/2008  0      4.1    33     18.5 
05/06/2008  0      4      36     18 
06/06/2008  0      4.2    35     19 
07/06/2008  0      4.1    33.5   21 
08/06/2008  0      3.7    35     24 
09/06/2008  0      4.1    36     23 
10/06/2008  14.6   5.1    33.5   21 
11/06/2008  0      3.8    32     19.5 
