CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A MARZO 2020;CON LA INFORMACION SUMINISTRADA POR LAS OFICINAS REGIONALES
 
ESTACION  : 14337
NOMBRE    : APOZOL
ESTADO    : JALISCO
MUNICIPIO : YAHUALICA DE GONZALEZ GALLO
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 021.018°
LONGITUD  : -102.826°
ALTITUD   : 1,698 msnm
 
EMISION   : 06/04/2020 
 
           PRECIP  EVAP   TMAX   TMIN
  FECHA     (MM)   (MM)   (°C)   (°C)
01/01/2008  0      3      28     0 
02/01/2008  0      4      22     2 
03/01/2008  0      4      22     0 
04/01/2008  0      4      28     0 
05/01/2008  0      3      28     0 
06/01/2008  0      3      30     0 
07/01/2008  0      4      29     1 
08/01/2008  0      4      29     1 
09/01/2008  0      2      29     0 
10/01/2008  0      4      28     0 
11/01/2008  0      3      28     1 
12/01/2008  0      4      27     0 
13/01/2008  0      3      28     0 
14/01/2008  0      3      29     0 
15/01/2008  0      4      28     0 
16/01/2008  0      3      25     5 
17/01/2008  0      2      26     0 
18/01/2008  0      3      24     1 
19/01/2008  0      2      27     0 
20/01/2008  0      2      26     2 
21/01/2008  0      4      28     3 
22/01/2008  0      2      29     2 
23/01/2008  0      3      32     3 
24/01/2008  0      4      31     5 
25/01/2008  0      4      32     6 
26/01/2008  0      4      30     6 
27/01/2008  0      4      30     5 
28/01/2008  0      3      31     5 
29/01/2008  0      3      30     6 
30/01/2008  0      4      29     6 
31/01/2008  0      5      28     6 
01/02/2008  0      5      29     2 
02/02/2008  0      3      29     4 
03/02/2008  0      4      30     6 
04/02/2008  0      4      29     6 
05/02/2008  0      4      29     6 
06/02/2008  0      4      29     2 
07/02/2008  0      6      29     3 
08/02/2008  0      5.1    29     2 
09/02/2008  0      5      30     3 
10/02/2008  0      3      28     6 
11/02/2008  0      2      29     7 
12/02/2008  0      3      28     7 
13/02/2008  0      5      29     4 
14/02/2008  0      4      29     4 
15/02/2008  0      5      31     2 
16/02/2008  0      4      31     4 
17/02/2008  0      6      31     5 
18/02/2008  0      5      32     3 
19/02/2008  0      5      31     4 
20/02/2008  0      4      30     5 
21/02/2008  0      7      30     5 
22/02/2008  0      6      32     6 
23/02/2008  0      5      32     3 
24/02/2008  0      4      33     5 
25/02/2008  0      4      33     5 
26/02/2008  0      5      35     7 
27/02/2008  0      4      29     7 
28/02/2008  0      3      30     5 
29/02/2008  0      3      30     6 
