CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A MARZO 2020;CON LA INFORMACION SUMINISTRADA POR LAS OFICINAS REGIONALES
 
ESTACION  : 14339
NOMBRE    : EL CUALE
ESTADO    : JALISCO
MUNICIPIO : PUERTO VALLARTA
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 020.596°
LONGITUD  : -105.220°
ALTITUD   : 53 msnm
 
EMISION   : 06/04/2020 
 
           PRECIP  EVAP   TMAX   TMIN
  FECHA     (MM)   (MM)   (°C)   (°C)
01/01/2008  0      1.6    23     10 
02/01/2008  0      2.9    27.5   12 
03/01/2008  0      3.9    29     13.5 
04/01/2008  0      3.1    26     13 
05/01/2008  0      3.4    24     11 
06/01/2008  0      1.7    27.5   11 
07/01/2008  0      2.8    25     11 
08/01/2008  0      3.5    23.5   9.5 
09/01/2008  0      2.5    23     9.5 
10/01/2008  0      1.9    24     10 
11/01/2008  0      2.7    21.5   9 
12/01/2008  0      3.1    23.5   8.5 
13/01/2008  0      3.5    22.5   7.5 
14/01/2008  0      1.4    23.5   7.5 
15/01/2008  0      3.6    24     11.5 
16/01/2008  0      3.1    22.5   11 
17/01/2008  0      2.6    23     10 
18/01/2008  0      1.7    21.5   9 
19/01/2008  0      2.8    23.5   9.5 
20/01/2008  0      2.8    24     9 
21/01/2008  0      3.3    24     10 
22/01/2008  0      1.4    25     12 
23/01/2008  0      4.4    25.5   12.5 
24/01/2008  0      1.2    26     12 
25/01/2008  0      4.5    30.5   12.5 
26/01/2008  0      2.6    25     14 
27/01/2008  0      1.9    25.5   14 
28/01/2008  0      3.2    25.5   13 
29/01/2008  0      3.5    27     13 
30/01/2008  0      3.2    25.5   13 
31/01/2008  0      3.2    24     13.5 
01/02/2008  0      4.2    25.5   13.5 
02/02/2008  0      2.4    25     13 
03/02/2008  0      3.5    28.5   12.5 
04/02/2008  0      4.2    25.5   12.5 
05/02/2008  0      2.3    25     13 
06/02/2008  0      4.2    25.5   13 
07/02/2008  0      2.8    25.5   13.5 
08/02/2008  0      4.3    25     13.5 
09/02/2008  0      4.2    26     13 
10/02/2008  0      3.4    26     13.5 
11/02/2008  0      5.1    25.5   14 
12/02/2008  0      3.2    25.5   12 
13/02/2008  0      4.2    26.5   12 
14/02/2008  0      4.8    28     11 
15/02/2008  0      4.6    27     10 
16/02/2008  0      4      26     10 
17/02/2008  0      4.3    24     10 
18/02/2008  0      3.9    25     10.5 
19/02/2008  0      3.9    24     11 
20/02/2008  0      3.1    24     10.5 
21/02/2008  0      3.8    24     11 
22/02/2008  0      4.4    25     11 
23/02/2008  0      4.2    25     9 
24/02/2008  0      3.7    25     9 
25/02/2008  0      3.2    24     10 
26/02/2008  0      4.4    24     11 
27/02/2008  0      3.8    25     10 
28/02/2008  0      3.5    25     10 
29/02/2008  0      4.8    26     12 
01/03/2008  0      4.1    26     12 
02/03/2008  0      3.9    26.5   11 
03/03/2008  0      4.5    26     10 
04/03/2008  0      4.4    26.5   10 
05/03/2008  0      4.9    26     10.5 
06/03/2008  0      5.1    26     11 
07/03/2008  0      4.8    26     10 
08/03/2008  0      4.6    25     9 
09/03/2008  0      5.4    27     8 
10/03/2008  0      5      27     9 
11/03/2008  0      4.1    26     10 
12/03/2008  0      5.2    26     10 
13/03/2008  0      4.8    27     11 
14/03/2008  0      5.9    27     9 
15/03/2008  0      5.2    26     9.5 
16/03/2008  0      4.5    25     10 
17/03/2008  2.5    4      24     10 
18/03/2008  0      4.8    22     11 
19/03/2008  0      5      23     8 
20/03/2008  0      5.3    27     9 
21/03/2008  0      7.2    30.5   10 
22/03/2008  0      6.6    29     15 
23/03/2008  0      5.6    26     11 
24/03/2008  0      4.5    25     10 
25/03/2008  0      4.7    25     10 
26/03/2008  0      6.3    30.5   12 
27/03/2008  0      7.8    31     11.5 
28/03/2008  0      6.9    29     10 
29/03/2008  0      4.7    25     10 
30/03/2008  0      5.4    26     10 
31/03/2008  0      5.2    25     10 
01/04/2008  0      5.7    25     12 
02/04/2008  0      5.5    25     11 
03/04/2008  0      6.1    28     11 
04/04/2008  0      5.1    27     11.5 
05/04/2008  0      4.7    27     10 
06/04/2008  0      6.2    29     11 
07/04/2008  0      5.1    28     13 
08/04/2008  0      6.6    27     13.5 
09/04/2008  0      5.4    28     12 
10/04/2008  0      5.6    28     12 
11/04/2008  0      4.3    25     12 
12/04/2008  0      5      26     13 
13/04/2008  0      3.5    27     13 
14/04/2008  0      5.1    28     15 
15/04/2008  0      4.4    28     17 
16/04/2008  0      7.3    30.5   15 
17/04/2008  0      7.1    32     13.5 
18/04/2008  0      5.9    30     12 
19/04/2008  0      4.5    28     12 
20/04/2008  0      6      29     13 
21/04/2008  0      6.6    32     14 
22/04/2008  0      5.7    29     13 
23/04/2008  0      5.3    28     14 
24/04/2008  0      4.8    29     14 
25/04/2008  0      6.2    29     14 
26/04/2008  0      6.2    30     14 
27/04/2008  0      5.9    30     13 
28/04/2008  0      6.3    26     13 
29/04/2008  0      5      28     13 
30/04/2008  0      5      27     13 
01/05/2008  0      6.4    28     14 
02/05/2008  0      7.2    29     14 
03/05/2008  0      6.5    30     14 
04/05/2008  0      5.6    27     14 
05/05/2008  0      5.7    29     14.5 
06/05/2008  0      5.7    30     15 
07/05/2008  0      5.8    30     16 
08/05/2008  0      6.2    30     17 
09/05/2008  0      6.2    30     16 
10/05/2008  0      6      30     15.5 
11/05/2008  0      6.2    29     15 
12/05/2008  0      5.7    30     15 
13/05/2008  0      5      30     16 
14/05/2008  0      5.6    30     17 
15/05/2008  0      5.4    31     20 
