CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A MARZO 2020;CON LA INFORMACION SUMINISTRADA POR LAS OFICINAS REGIONALES
 
ESTACION  : 14343
NOMBRE    : PRESA BASILIO BADILLO
ESTADO    : JALISCO
MUNICIPIO : EJUTLA
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 019.914°
LONGITUD  : -104.064°
ALTITUD   : 824 msnm
 
EMISION   : 06/04/2020 
 
           PRECIP  EVAP   TMAX   TMIN
  FECHA     (MM)   (MM)   (°C)   (°C)
01/01/2008  0      4.4    34     12 
02/01/2008  0      4.3    30     10 
03/01/2008  0      4.1    30     12 
04/01/2008  0      4.3    32     10 
05/01/2008  0      4.2    32     11 
06/01/2008  0      4.4    31     10 
07/01/2008  0      4      32     10 
08/01/2008  0      4.1    32     9 
09/01/2008  0      4      32     9 
10/01/2008  0      4.2    31     8 
11/01/2008  0      4.3    32     8 
12/01/2008  0      4.4    32     7 
13/01/2008  0      4.2    31     8 
14/01/2008  0      4.3    32     10 
15/01/2008  0      4.2    28     10 
16/01/2008  0      4.3    30     9 
17/01/2008  0      4.1    29     8 
18/01/2008  0      4.2    29     10 
19/01/2008  0      4.4    32     11 
20/01/2008  0      4      30     10 
21/01/2008  0      4.4    33     10 
22/01/2008  0      6      31     10 
23/01/2008  0      4.1    31     10 
24/01/2008  0      4.9    35     10 
25/01/2008  0      4.7    34     11 
26/01/2008  0      4.8    35     12 
27/01/2008  0      4.9    35     13 
28/01/2008  0      4.7    35     13 
29/01/2008  0      4.8    35     10 
30/01/2008  0      4.6    33     11 
31/01/2008  0      4.8    34     12 
01/02/2008  0      4.6    34     12 
02/02/2008  0      4.3    33     10 
03/02/2008  0      4.4    33     10 
04/02/2008  0      4.6    33     10 
05/02/2008  0      4.6    33     10 
06/02/2008  0      4.7    33     10 
07/02/2008  0      4.8    33     10 
08/02/2008  0      4.5    33     11 
09/02/2008  0      4.9    34     11 
10/02/2008  0      4.9    34     11 
11/02/2008  0      5      35     12 
12/02/2008  0      4.6    32     11 
13/02/2008  0      4.8    33     10 
14/02/2008  0      4.7    32     10 
15/02/2008  0      4.9    34     9 
16/02/2008  0      5      35     9 
17/02/2008  0      5      35     10 
18/02/2008  0      5.1    35     10 
19/02/2008  0      5      35     10 
20/02/2008  0      5.1    35     9 
21/02/2008  0      5.1    35     9 
22/02/2008  0      5.1    35     10 
23/02/2008  0      5.4    36     10 
24/02/2008  0      5.4    36     11 
25/02/2008  0      5.1    35     12 
26/02/2008  0      5.1    35     10 
27/02/2008  0      5.5    36     9 
28/02/2008  0      5.6    36     10 
29/02/2008  0      5.1    35     11 
01/03/2008  0      5.2    35     12 
02/03/2008  0      5      35     11 
03/03/2008  0      5.1    34     9 
04/03/2008  0      5.2    35     11 
05/03/2008  0      5.3    35     10 
06/03/2008  0      4.9    34     9 
07/03/2008  0      5.2    35     8 
08/03/2008  0      4.9    33     8 
09/03/2008  0      4.5    32     8 
10/03/2008  0      4.8    34     8 
11/03/2008  0      5.2    35     10 
12/03/2008  0      5.3    35     10 
13/03/2008  0      5.4    35     10 
14/03/2008  0      5.4    35     9 
15/03/2008  0      5.4    35     10 
16/03/2008  0      5.4    35     10 
17/03/2008  0      5.2    34     10 
18/03/2008  0      5.4    35     10 
