CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A MARZO 2020;CON LA INFORMACION SUMINISTRADA POR LAS OFICINAS REGIONALES
 
ESTACION  : 14346
NOMBRE    : BOCAS
ESTADO    : JALISCO
MUNICIPIO : MEZQUITIC
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 022.400°
LONGITUD  : -103.726°
ALTITUD   : 1,352 msnm
 
EMISION   : 06/04/2020 
 
           PRECIP  EVAP   TMAX   TMIN
  FECHA     (MM)   (MM)   (°C)   (°C)
01/01/2008  0      3.5    30    -4 
02/01/2008  0      3.8    24.5   0 
03/01/2008  0      2.8    23.5   1 
04/01/2008  0      2.8    27     0.5 
05/01/2008  0      3      29    -1 
06/01/2008  0      3.1    30    -0.5 
07/01/2008  0      3.7    28.5  -1 
08/01/2008  0      3.5    28    -1 
09/01/2008  0      3.2    28.5  -0.5 
10/01/2008  0      2.8    26.5   1 
11/01/2008  0      2.9    26.5   2 
12/01/2008  0      3.7    27.5   0 
13/01/2008  0      3.2    27.5  -3 
14/01/2008  0      3.8    27.5  -2.5 
15/01/2008  0      4      25     4.5 
16/01/2008  0      3.5    25     3 
17/01/2008  0      3.8    25    -0.5 
18/01/2008  0      2.1    23     0 
19/01/2008  0      3.9    24.5  -5 
20/01/2008  0      3.8    26.5  -4 
21/01/2008  0      3.3    27     0 
22/01/2008  0      3.5    28.5   3.5 
23/01/2008  0      4.7    31.5   5 
24/01/2008  0      3.7    27.5   6 
25/01/2008  0      5.1    31.5   5.5 
26/01/2008  0      4.4    32     6 
27/01/2008  0      4.6    31     6 
28/01/2008  0      4.4    31     5 
29/01/2008  0      4.2    28.5   5.5 
30/01/2008  0      4.8    29     4 
31/01/2008  0      4.2    28.5   1.5 
01/02/2008  0      4      29    -2 
02/02/2008  0      4.8    28.5  -1.5 
03/02/2008  0      4.6    28.5   3 
04/02/2008  0      5.1    28.5   3 
05/02/2008  0      4.9    29     3 
06/02/2008  0      5      29    -1 
07/02/2008  0      4.5    27    -1.5 
08/02/2008  0      4.6    28    -1 
09/02/2008  0      4.6    30     1 
10/02/2008  5.4    3.8    28.5   2.5 
11/02/2008  0      4      27.5   4.5 
12/02/2008  0      4.1    28     5 
13/02/2008  0      6      29     2 
14/02/2008  0      5.1    29     2 
15/02/2008  0      5.3    30     2.5 
16/02/2008  0      5.1    30     1.5 
17/02/2008  0      5.4    30.5   0 
18/02/2008  0      5.2    31.5  -1 
19/02/2008  0      5.3    31.5  -0.5 
20/02/2008  0      5.9    30.5   0.5 
21/02/2008  0      5.7    30     1 
22/02/2008  0      5.4    30.5   1.5 
23/02/2008  0      5.8    34     2 
24/02/2008  0      6.7    36     3 
25/02/2008  0      6.5    35.5   3.5 
26/02/2008  0      6.6    35     4.5 
27/02/2008  0      5      30     5 
28/02/2008  0      5.8    31     6 
29/02/2008  0      5.9    32     4 
01/03/2008  0      6.3    32     3.5 
02/03/2008  0      6.7    31     4 
03/03/2008  0      7.2    30.5   6 
04/03/2008  0      7.3    30.5   6.5 
05/03/2008  0      7.2    29.5   2.5 
06/03/2008  0      7.2    27.5   3 
07/03/2008  0      6.4    27    -2 
08/03/2008  0      5.7    27.5  -1.5 
09/03/2008  0      6.6    28     2.5 
10/03/2008  0      5.4    29     3 
11/03/2008  0      7.7    31     4 
12/03/2008  0      7.3    31     6.5 
13/03/2008  0      7.2    32     3.5 
14/03/2008  0      5.9    33.5   3 
15/03/2008  0      7.1    33.5   3.5 
16/03/2008  0      7.7    34     3.5 
17/03/2008  0      7      29.5   4 
18/03/2008  0      7.8    27     5.5 
19/03/2008  0      7.2    28     1.5 
20/03/2008  0      6.3    30.5   2 
21/03/2008  0      6.7    33     2.5 
22/03/2008  0      7.9    34     4 
23/03/2008  0      7.9    33.5   8 
24/03/2008  0      7      32     8.5 
25/03/2008  0      7.4    32.5   12 
26/03/2008  0      7.2    33     13 
27/03/2008  0      7.9    33.5   8.5 
28/03/2008  0      7.5    34.5   6 
29/03/2008  0      8.2    34.5   5.5 
30/03/2008  0      7.7    35.5   3 
31/03/2008  0      7.6    36.5   3 
01/04/2008  0      8.6    37.5   4.5 
02/04/2008  0      8.4    38.5   6 
03/04/2008  0      8.7    36.5   8.5 
04/04/2008  0      7.7    35.5   7.5 
05/04/2008  0      7.6    34     5 
06/04/2008  0      7.9    33.5   4 
07/04/2008  0      8      35     3.5 
08/04/2008  0      7.9    35     4.5 
09/04/2008  0      8      35     6 
10/04/2008  0      8.9    36     5.5 
11/04/2008  0      8      34     5.5 
12/04/2008  0      9.7    37     6 
13/04/2008  1.5    7.1    35     6.5 
14/04/2008  0      7.2    34     11.5 
15/04/2008  0      7.2    33.5   11 
16/04/2008  0      7.4    34.5   10 
17/04/2008  0      7.5    34.5   8.5 
18/04/2008  0      9.9    36     7.5 
19/04/2008  0      9.9    37.5   8 
20/04/2008  0      9.2    37     9.5 
21/04/2008  0      10.2   38.5   11 
22/04/2008  0      9.8    39     11.5 
23/04/2008  0      9.3    38.5   10 
24/04/2008  0      9      37     9.5 
25/04/2008  0      9.2    37.5   9.5 
26/04/2008  0      10     36.5   9 
27/04/2008  0      9.2    36     10.5 
28/04/2008  0      9.2    34     9 
29/04/2008  0      9.5    35.5   13 
30/04/2008  0      9.8    34.5   13.5 
01/05/2008  0      9.2    34     7.5 
02/05/2008  0      9.2    34.5   5 
03/05/2008  0      9.4    37     6.5 
04/05/2008  0      9.1    37.5   8.5 
05/05/2008  0      9.4    37     10 
06/05/2008  0      9.5    36.5   14 
07/05/2008  0      7.7    33.5   14 
08/05/2008  0      9.5    38     11.5 
09/05/2008  0      9.7    38     11 
10/05/2008  0      9.8    39     11.5 
11/05/2008  0      10.9   41.5   15 
12/05/2008  0      8.7    39     16 
13/05/2008  0      8.4    37.5   15 
14/05/2008  0      7.4    35     15.5 
15/05/2008  0.3    1.6    28     18 
16/05/2008  0      6.9    33.5   14 
17/05/2008  0      8      34     11.5 
18/05/2008  0      7.4    34     12 
19/05/2008  0      4.3    29.5   13.5 
20/05/2008  6.8    5.7    32     10.5 
21/05/2008  0      7.9    33.5   10.5 
22/05/2008  0      8      32     10.5 
23/05/2008  0      7.6    33     10 
24/05/2008  0      7.8    36.5   10 
25/05/2008  0      10     38     11.5 
26/05/2008  0      8.2    37.5   13.5 
27/05/2008  0      7      37     16 
28/05/2008  0      9.4    38.5   16 
29/05/2008  0      10.1   37     17 
30/05/2008  0      7.7    38     16 
31/05/2008  0      10.6   39.5   16 
01/06/2008  0      11.7   40     18 
02/06/2008  0      9.3    40.5   18.5 
03/06/2008  0      12.9   40.5   17.5 
04/06/2008  0      9      39.5   17.5 
05/06/2008  0.4    9      38.5   19 
06/06/2008  2.7    8.9    38.5   18.5 
07/06/2008  4.6    3.2    30     17 
08/06/2008  15.9   5.3    32     17.5 
09/06/2008  36.8   2.9    25.5   18.5 
10/06/2008  32.4   1.6    25     17 
11/06/2008  3.5    6.1    29.5   17 
12/06/2008  1.6    2.6    30     17 
13/06/2008  0      5.7    33.5   18 
14/06/2008  0      6      34.5   18 
15/06/2008  0.7    5.6    34.5   18.5 
16/06/2008  0.3    5.3    33     18.5 
17/06/2008  0      5.9    33.5   18.5 
18/06/2008  0      6.1    36     16.5 
19/06/2008  0      7.5    37     17 
20/06/2008  1.8    3.1    33.5   18 
21/06/2008  0      6.3    34.5   16 
22/06/2008  0      5.9    33.5   15.5 
23/06/2008  0.2    4.9    33.5   17.5 
24/06/2008  7.2    6.6    35.5   16.5 
25/06/2008  0      6.3    33.5   16.5 
26/06/2008  0.2    6.7    36     18 
27/06/2008  1      4.3    33.5   17 
28/06/2008  1.5    4.8    34.5   19 
29/06/2008  0.4    4.3    32.5   17 
30/06/2008  30     3.3    32     16 
01/07/2008  10.6   4.5    28.5   16 
02/07/2008  20.8   4      30.5   17 
03/07/2008  13.2   2.7    27     17 
04/07/2008  3.1    3.5    28.5   17 
05/07/2008  0.5    2.7    28.5   18 
06/07/2008  8.5    4      30     17 
07/07/2008  13.4   2.1    28.5   17 
08/07/2008  16.5   2.4    26     18 
09/07/2008  0.6    1.2    24.5   18.5 
10/07/2008  7.3    2.1    27.5   18 
11/07/2008  35.8   4.8    28     16.5 
12/07/2008  3.8    2      26.5   16.5 
13/07/2008  6.5    4.8    31     14 
14/07/2008  0      5      31     14 
15/07/2008  0      5      31.5   15 
16/07/2008  0      5.4    32.5   14.5 
17/07/2008  30.2   6      31.5   16.5 
18/07/2008  0      4      29.5   15.5 
19/07/2008  20     1.4    27     16 
20/07/2008  0      5.4    30.5   16 
21/07/2008  0      4      30     16 
22/07/2008  0      5      31.5   13 
23/07/2008  2.2    5      33     14 
24/07/2008  7.4    4      31     17 
25/07/2008  5.1    4.5    30     17 
26/07/2008  4.3    5.2    30.5   16 
27/07/2008  0      4.8    29.5   15.5 
28/07/2008  0      4.6    31.5   14 
29/07/2008  0      4.3    32     14.5 
30/07/2008  18.3   6.2    32     17.5 
31/07/2008  0      3.7    29.5   16 
01/08/2008  0      3.7    30.5   16 
02/08/2008  20.4   5.1    29.5   16.5 
03/08/2008  0      3.9    31     13.5 
04/08/2008  0      4      31.5   14 
05/08/2008  3.2    5.4    32     15.5 
06/08/2008  4.5    4.1    30.5   15 
07/08/2008  3.5    5.7    28.5   16 
08/08/2008  22.1   3.2    27     16.5 
09/08/2008  0      4      30.5   15 
10/08/2008  0      4.6    31     15.5 
11/08/2008  0      4.1    31     14.5 
12/08/2008  6.7    4.7    32.5   14.5 
13/08/2008  10.6   5.2    32.5   15 
14/08/2008  0      4.7    31     15.5 
15/08/2008  0      2.9    30     15 
16/08/2008  0.5    4.3    31.5   15 
17/08/2008  0      3.2    29.5   15.5 
18/08/2008  11.3   3.5    31     16.5 
19/08/2008  7.3    2.8    29.5   17 
20/08/2008  8.7    1.6    25.5   16.5 
21/08/2008  0.5    3.3    26     17 
22/08/2008  2.1    4.9    31.5   17 
23/08/2008  0      3.6    29     17 
24/08/2008  0      3.5    30     16.5 
25/08/2008  20.2   3.3    29     17 
26/08/2008  0.3    1      25     18 
27/08/2008  2.7    2.2    30     18 
28/08/2008  2.8    2.9    29.5   18 
29/08/2008  8.6    2.2    28     18 
30/08/2008  0.7    2.1    28     17.5 
31/08/2008  0.4    3.5    29     17.5 
01/09/2008  0.7    4.2    32     15.5 
02/09/2008  15.8   3.7    32     14.5 
03/09/2008  0      4.3    31     16 
04/09/2008  0      3      31     18 
05/09/2008  0      3.9    31     17.5 
06/09/2008  0      3.4    32     13.5 
07/09/2008  0      3.5    30     12.5 
08/09/2008  3.4    4.6    31.5   14 
09/09/2008  0      3.4    29.5   17 
10/09/2008  0.2    4.6    30.5   18 
11/09/2008  0      4.1    30     18 
12/09/2008  0      4.2    31.5   15 
13/09/2008  2.5    3.8    31.5   14.5 
14/09/2008  6.7    2.5    28.5   15.5 
15/09/2008  0.3    1.9    26     17.5 
16/09/2008  8.3    2      26.5   17 
17/09/2008  0.5    3.2    30     16.5 
18/09/2008  7      4.3    31     17 
19/09/2008  2.4    3.8    30     16.5 
20/09/2008  0      4.6    31     16.5 
21/09/2008  0      3      28.5   16 
22/09/2008  0      2.3    27.5   14.5 
23/09/2008  0      3.2    30     13.5 
24/09/2008  0      3.3    29.5   15 
25/09/2008  0      2.5    27.5   15.5 
26/09/2008  0      2.4    26     14 
27/09/2008  0      4.2    31.5   11 
28/09/2008  0      4.6    31.5   10 
29/09/2008  0      4.6    30.5   10.5 
30/09/2008  0      4.3    29     10.5 
01/10/2008  0      4.1    31     8 
02/10/2008  0      4.5    30     6 
03/10/2008  0      4.8    30.5   5 
04/10/2008  0      3.5    30.5   5.5 
05/10/2008  0      3.7    31.5   6 
06/10/2008  0      3.4    32.5   6.5 
07/10/2008  0      3.5    33     7 
08/10/2008  0      3.6    29     9.5 
09/10/2008  0      4      32.5   12 
10/10/2008  0      4.7    33.5   11 
11/10/2008  0      3.5    33     12 
12/10/2008  6      2.4    29     15.5 
13/10/2008  33.9   4.9    33     15 
14/10/2008  0      2.9    28.5   14 
15/10/2008  0      2.5    29     12.5 
16/10/2008  1.6    4      31.5   12 
17/10/2008  0      2.5    30     12.5 
18/10/2008  0      3.4    30     11.5 
19/10/2008  0      3.6    30.5   11.5 
20/10/2008  0      3.9    31.5   10.5 
21/10/2008  0      4.1    32     9.5 
22/10/2008  0      2.9    28.5   9 
23/10/2008  0      3.8    31.5   10 
24/10/2008  0      1.7    26.5   10 
25/10/2008  0.2    2.1    26.5   10.5 
26/10/2008  0      4.7    32.5   11.5 
27/10/2008  0      2.8    29.5   12 
28/10/2008  0      4.4    30.5   10 
29/10/2008  0      2.8    27.5   8.5 
30/10/2008  0      3.2    30     6 
31/10/2008  0      5.3    31.5   6.5 
01/11/2008  0      3.8    28.5   10.5 
02/11/2008  0      3.6    29.5   5 
03/11/2008  0      3.4    30     4 
04/11/2008  0      3.7    30     4 
05/11/2008  0      2.8    30     5 
06/11/2008  0      3.2    29     5.5 
07/11/2008  0      3      30     5.5 
08/11/2008  0      3.2    30     6 
09/11/2008  0      3.9    29.5   6 
10/11/2008  0      3.2    27.5   4.5 
11/11/2008  0      3.4    28     5 
12/11/2008  0      3.8    28.5   3.5 
13/11/2008  0      3      27     1 
14/11/2008  0      3      29     1 
15/11/2008  0      3.1    31     1.5 
16/11/2008  0      3.2    30     2.5 
17/11/2008  0      4.6    29     2 
18/11/2008  0      4      28.5   3 
19/11/2008  0      2.1    26     0.5 
20/11/2008  0      3.7    28.5  -1.5 
21/11/2008  0      3      26.5  -1.5 
22/11/2008  0      2.5    26.5  -1 
23/11/2008  0      2.6    28     3 
24/11/2008  0      3.8    30     3.5 
25/11/2008  0      2.5    28     4.5 
26/11/2008  0      2.5    29.5   3.5 
27/11/2008  0      2.9    30.5   3.5 
28/11/2008  0      3      29.5   4.5 
29/11/2008  0      3.1    26     4.5 
30/11/2008  0      2.4    24.5   0.5 
01/12/2008  0      2.3    27    -1.5 
02/12/2008  0      2.5    27.5  -2 
03/12/2008  0      2.3    25.5  -2 
04/12/2008  0      2.2    27    -0.5 
05/12/2008  0      2.8    27     1 
06/12/2008  0      2.6    27     3.5 
07/12/2008  0      2.2    26.5   3.5 
08/12/2008  0      3      27.5   3.5 
09/12/2008  0      3.2    27     4 
10/12/2008  0      3.2    22.5   4 
11/12/2008  0      2.5    24    -1.5 
12/12/2008  0      2.6    27    -2 
13/12/2008  0      2.4    26    -2 
14/12/2008  0      2.5    25.5  -0.5 
15/12/2008  0      2.2    26.5   0 
16/12/2008  0      2.1    30     1.5 
17/12/2008  0      2.6    29.5   1.5 
18/12/2008  0      2.4    28.5   2 
19/12/2008  0      2.8    30     2.5 
20/12/2008  0      2.9    31.5   2.5 
21/12/2008  0      2.9    31     2 
22/12/2008  0      2.7    27.5   1.5 
23/12/2008  0      2.9    26     2 
24/12/2008  0      2.6    27     2 
25/12/2008  0      2.3    28     1.5 
26/12/2008  0      3      27.5   2 
27/12/2008  0      2.5    26.5   3 
28/12/2008  0      2      27     3 
29/12/2008  0      1.8    26.5   3.5 
30/12/2008  0      1.7    25     5 
31/12/2008  0      2.8    28     5.5 
01/01/2009  0      3      27.5   5.5 
02/01/2009  0      2.9    27.5   3 
03/01/2009  0      2.6    27     3 
04/01/2009  0      2.1    27     3.5 
05/01/2009  0      3.4    27.5   3 
06/01/2009  0      3      25     3.5 
07/01/2009  0      2.6    27.5   1 
08/01/2009  0      2.7    29    -0.5 
09/01/2009  0      3.2    30    -0.5 
10/01/2009  0      3.3    29.5  -1 
11/01/2009  0      1.7    24    -0.5 
12/01/2009  0      3.4    29     1 
13/01/2009  0      3.2    26.5   3.5 
14/01/2009  0      2.4    27     0.5 
15/01/2009  0      3.1    27.5   1 
16/01/2009  0      3.2    26.5   7 
17/01/2009  0      3      27     3 
18/01/2009  0      2.6    27     3.5 
19/01/2009  0      3.1    29     5 
20/01/2009  0      3.2    29     8 
21/01/2009  0      3.1    29.5   5 
22/01/2009  0      3.4    30.5   4 
23/01/2009  0      3.8    30     5 
24/01/2009  0      3.6    31     6 
25/01/2009  0      3.5    24     6 
26/01/2009  0      3.7    31     6.5 
27/01/2009  0      4      31     5.5 
28/01/2009  0      3.9    31     3 
29/01/2009  0      3.6    31     2.5 
30/01/2009  0      3.8    29.5   3 
31/01/2009  0      4.3    28.5   2.5 
01/02/2009  0      4.4    26.5   1.5 
02/02/2009  0      4.4    27.5   1 
03/02/2009  0      3.5    28     1 
04/02/2009  0      4.1    29.5   1 
05/02/2009  0      4.7    29     3 
06/02/2009  0      4.8    30     2.5 
07/02/2009  0      4      31.5   3 
08/02/2009  0      3.3    27     3 
09/02/2009  0      4.7    28.5   3 
10/02/2009  0      4.8    28     3 
11/02/2009  0      4.4    30     0 
12/02/2009  0      4.1    29     0.5 
13/02/2009  0      4.9    30.5   2 
14/02/2009  0      4.8    30.5   3 
15/02/2009  0      5.1    31.5   3 
16/02/2009  0      5.2    32.5   2.5 
17/02/2009  0      5      32.5   3 
18/02/2009  0      5.6    32     4.5 
19/02/2009  0      5.7    33.5   5 
20/02/2009  0      5.7    32     5.5 
21/02/2009  0      5.5    32.5   7 
22/02/2009  0      5.9    31     6.5 
23/02/2009  0      6.5    32     7 
24/02/2009  0      5.9    33.5   3.5 
25/02/2009  0      6      33.5   4 
26/02/2009  0      6.1    36     4.5 
27/02/2009  0      6.1    36     5 
28/02/2009  0      6.2    36.5   7 
01/03/2009  0      7.9    37.5   7.5 
02/03/2009  0      6.7    34.5   8 
03/03/2009  0      6.9    36.5   6 
04/03/2009  0      6.4    35.5   4 
05/03/2009  0      6.6    36     4.5 
06/03/2009  0      6.8    36     8.5 
07/03/2009  0      6.5    32     5.5 
08/03/2009  0      6.3    33.5   4.5 
09/03/2009  0      6.4    33.5   5 
10/03/2009  0      6.5    32.5   5.5 
11/03/2009  0      6.6    32.5   6 
12/03/2009  0      5.8    32     6 
13/03/2009  0      6.6    31.5   3.5 
14/03/2009  0      4.9    29     8 
15/03/2009  0      4.8    28     9 
16/03/2009  0      5.4    31.5   8.5 
17/03/2009  0      6      37     9 
18/03/2009  0      7.2    34     9.5 
19/03/2009  0      7.3    34.5   7 
20/03/2009  0      7      33.5   7 
21/03/2009  0      7.2    34.5   7.5 
22/03/2009  0      7.3    34.5   8 
23/03/2009  0      7.6    35.5   7.5 
24/03/2009  0      7.4    35     6.5 
25/03/2009  0      7.3    33.5   6.5 
26/03/2009  0      7.2    31.5   5.5 
27/03/2009  0      6.7    30     5 
28/03/2009  0      6.7    30     2 
29/03/2009  0      6.7    33     2 
30/03/2009  0      6.8    32     2.5 
31/03/2009  0      6.8    33.5   3.5 
01/04/2009  0      6.7    32     6 
02/04/2009  0      6.9    33.5   6 
03/04/2009  0      7.1    32.5   4.5 
04/04/2009  0      6.7    33.5   5 
05/04/2009  0      7      34     5.5 
06/04/2009  0      8.4    37     5.5 
07/04/2009  0      7.8    35     6 
08/04/2009  0      7.6    33.5   10.5 
09/04/2009  0      8.3    32     8.5 
10/04/2009  0      8.5    35.5   7.5 
11/04/2009  0      8.6    34.5   6.5 
12/04/2009  0      8.7    33.5   8.5 
13/04/2009  0      8.3    33.5   3.5 
14/04/2009  0      7.4    34.5   2.5 
15/04/2009  0      7.6    34     3 
16/04/2009  0      7.9    32.5   4.5 
17/04/2009  0      7.5    34     5 
18/04/2009  0      7      31.5   5 
19/04/2009  0      8.4    34.5   10 
20/04/2009  0      8.6    34.5   10.5 
21/04/2009  0      9      34.5   10.5 
22/04/2009  0      8.1    35     10.5 
23/04/2009  0      8.4    35     6 
24/04/2009  0      8.2    35     6.5 
25/04/2009  0      9      36.5   7 
26/04/2009  0      8.4    36.5   5.5 
27/04/2009  0      8.7    36.5   6 
28/04/2009  0      9.1    38     6.5 
29/04/2009  0      9.1    38     7.5 
30/04/2009  0      9.7    38     10 
01/05/2009  0      9.9    38.5   10.5 
02/05/2009  0      9.4    38     12 
03/05/2009  0      9.5    38     11 
04/05/2009  0      9.6    38     9.5 
05/05/2009  0      9.8    39     9 
06/05/2009  0      9.4    39.5   9.5 
07/05/2009  0      9      38.5   11 
08/05/2009  6.9    10.6   40     13 
09/05/2009  0      7.7    39     14 
10/05/2009  0      8      39     14.5 
11/05/2009  0.3    7.9    37     14.5 
12/05/2009  0.6    4.2    36     15 
13/05/2009  3.3    6.8    35     10.5 
14/05/2009  1.4    5.7    37     11 
15/05/2009  0      5.7    34     15.5 
16/05/2009  0      6.6    36     12.5 
17/05/2009  11.5   2      27     13 
18/05/2009  2      1.6    29.5   15 
19/05/2009  2.5    3.1    30     15.5 
20/05/2009  8.2    1.7    27.5   16 
21/05/2009  0      6.1    31.5   13 
22/05/2009  0      6.3    31.5   13.5 
