CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A MARZO 2020;CON LA INFORMACION SUMINISTRADA POR LAS OFICINAS REGIONALES
 
ESTACION  : 14348
NOMBRE    : JILOTLAN
ESTADO    : JALISCO
MUNICIPIO : JILOTLAN DE LOS DOLORES
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 019.371°
LONGITUD  : -103.019°
ALTITUD   : 740 msnm
 
EMISION   : 06/04/2020 
 
           PRECIP  EVAP   TMAX   TMIN
  FECHA     (MM)   (MM)   (°C)   (°C)
01/01/2008  0      3.9    13     7 
02/01/2008  0      2.8    8      7 
03/01/2008  0      2.5    8      2 
04/01/2008  0      4.2    11     2 
05/01/2008  0      3.4    11     3 
06/01/2008  0      2      11     5 
07/01/2008  0      2.9    7      5 
08/01/2008  0      5.6    7      1 
09/01/2008  0      2.6    7      1 
10/01/2008  0      4.7    8      1 
11/01/2008  0      3.5    7      2 
12/01/2008  0      3.5    8      1 
13/01/2008  0      3.1    10     2 
14/01/2008  0      2.6    10     3 
15/01/2008  0      2.2    8      4 
16/01/2008  0      3.6    8      2 
17/01/2008  0      2.7    11     2 
18/01/2008  0      2.6    11     3 
19/01/2008  0      3.2    10     5 
20/01/2008  0      2.7    10     4 
21/01/2008  0      3.2    12     4 
22/01/2008  0      2.5    11     5 
23/01/2008  0      4.4    11     5 
24/01/2008  0      3.2    11     5 
25/01/2008  0      3.2    11     5 
26/01/2008  0      4.2    13     5 
27/01/2008  0      4.4    13     6 
28/01/2008  0      2.4    13     5 
29/01/2008  0      5.8    13     6 
30/01/2008  0      4.7    10     7 
31/01/2008  0      5      10     4 
01/02/2008  0      2.9    11     5 
02/02/2008  0      4.6    10     5 
03/02/2008  0      4      10     4 
04/02/2008  0      4.4    9      4 
05/02/2008  0      2.9    9      3 
06/02/2008  0      1.4    9      3 
07/02/2008  0      4      12     3 
08/02/2008  0      5.6    12     4 
09/02/2008  0      3.5    12     6 
10/02/2008  0      2.7    12     6 
11/02/2008  0      8.6    12     6 
12/02/2008  0      2.5    12     6 
13/02/2008  0      5.9    8      6 
14/02/2008  0      5.6    8      2 
15/02/2008  0      4.3    10     2 
16/02/2008  0      4.2    8      3 
17/02/2008  0      7.2    7      2 
18/02/2008  0      4.6    7      1 
19/02/2008  0      3.6    9      1 
20/02/2008  0      5.5    9      2 
21/02/2008  0      4      9      3 
22/02/2008  0      4.5    9      3 
23/02/2008  0      4.9    12     3 
24/02/2008  0      4.4    12     4 
25/02/2008  0      4.2    10     6 
26/02/2008  0      6.3    10     4 
27/02/2008  0      6.2    10     4 
28/02/2008  0      3.6    12     4 
29/02/2008  0      3.6    12     5 
01/03/2008  0      4.6    12     6 
02/03/2008  0      7.8    12     6 
03/03/2008  0      5.6    15     6 
04/03/2008  0      4.3    14     7 
05/03/2008  0      5.7    10     8 
06/03/2008  0      7.5    9      2 
07/03/2008  0      5.3    9      2 
08/03/2008  0      3.8    12     3 
09/03/2008  0      2.2    12     4 
10/03/2008  0      5      13     6 
11/03/2008  0      4.8    13     7 
12/03/2008  0      5.2    13     7 
13/03/2008  0      3.2    11     7 
14/03/2008  0      7.6    10     5 
15/03/2008  0      5.4    11     4 
16/03/2008  0      5.9    11     5 
17/03/2008  0      6.8    13     5 
18/03/2008  0      3.2    11     6 
19/03/2008  0      7.2    14     5 
20/03/2008  0      6.8    15     6 
21/03/2008  0      6.5    16     9 
22/03/2008  0      3.9    16     10 
23/03/2008  0      2.9    14     10 
24/03/2008  0      1.9    14     8 
25/03/2008  0      4      16     8 
26/03/2008  0      6.1    16     9 
27/03/2008  0      5.3    16     10 
28/03/2008  0      5.5    14     10 
29/03/2008  0      3.9    14     8 
30/03/2008  0      8.1    14     8 
31/03/2008  0      3.4    14     8 
01/04/2008  0      6.1    15     9 
02/04/2008  0      5.9    17     9 
03/04/2008  0      8      17     10 
04/04/2008  0      6      19     11 
05/04/2008  0      4.6    17     12 
06/04/2008  0      3.2    17     11 
07/04/2008  0      4.9    15     11 
08/04/2008  0      5.5    13     9 
09/04/2008  0      7.2    12     7 
10/04/2008  0      6.6    14     6 
11/04/2008  0      6.9    14     7 
12/04/2008  0      5.2    14     8 
13/04/2008  0      6.4    21     8 
14/04/2008  0      6.8    21     9 
15/04/2008  0      5.2    19     15 
16/04/2008  1.5    3.5    16     13 
17/04/2008  0      9.7    14     10 
18/04/2008  0      5.9    15     7 
19/04/2008  0      7.8    16     8 
20/04/2008  0      6.7    16     10 
21/04/2008  0      5.9    15     10 
22/04/2008  0      5.1    15     9 
23/04/2008  0      6      18     9 
24/04/2008  0      7.3    15     10 
25/04/2008  0      7.8    16     9 
26/04/2008  0      8.2    16     10 
27/04/2008  0      3.7    16     10 
28/04/2008  0      9.7    15     10 
29/04/2008  0      8      15     9 
30/04/2008  0      8      15     9 
01/05/2008  0      7.9    15     9 
02/05/2008  0      10     15     9 
03/05/2008  0      6.1    15     9 
04/05/2008  0      6.2    18     9 
05/05/2008  0      5.2    18     10 
06/05/2008  0      7.4    18     12 
07/05/2008  0      6.3    18     12 
08/05/2008  0      6.3    19     12 
09/05/2008  0      6.7    19     13 
10/05/2008  0      5.5    20     13 
11/05/2008  0      6.7    20     14 
12/05/2008  0      6.7    20     14 
13/05/2008  0      6.2    18     14 
14/05/2008  0      12.7   21     12 
15/05/2008  0      3      21     13 
16/05/2008  0      6.6    18     15 
17/05/2008  0      6.6    18     12 
18/05/2008  0      6.6    18     12 
19/05/2008  0      6.9    18     12 
20/05/2008  0      7.9    21     12 
21/05/2008  0      5.8    21     13 
22/05/2008  0      6.7    16     15 
23/05/2008  0      5.7    16     9 
24/05/2008  0      7.5    18     9 
25/05/2008  0      4.5    20     10 
26/05/2008  0      5.9    21     13 
27/05/2008  0      4.6    21     15 
28/05/2008  0      3.4    21     15 
29/05/2008  0      9      22     15 
30/05/2008  0      7.5    25     16 
31/05/2008  0      7.5    25     17 
01/06/2008  0      5.8    22     15 
02/06/2008  0      8.7    21     16 
03/06/2008  0      7.6    21     15 
04/06/2008  0      2.3    21     15 
05/06/2008  0      4      19     15 
06/06/2008  0      7.4    20     13 
07/06/2008  20     12.7   22     14 
08/06/2008  0.2    6.6    22     15 
09/06/2008  15     9.5    21     16 
10/06/2008  20     8.7    21     15 
11/06/2008  0      4      21     15 
12/06/2008  4      6.4    21     15 
13/06/2008  0      1.9    21     15 
14/06/2008  5      8.7    21     15 
15/06/2008  16     13.5   21     15 
16/06/2008  0      3      20     15 
17/06/2008  0      3.2    20     14 
18/06/2008  0      11.9   22     14 
19/06/2008  0      2      22     15 
20/06/2008  8      7      22     16 
21/06/2008  0      2.9    22     16 
22/06/2008  28     2.9    20     16 
23/06/2008  8      3      20     14 
24/06/2008  36     3.6    19     14 
25/06/2008  0      7.8    19     13 
26/06/2008  0      4.5    22     13 
27/06/2008  8      7.5    22     14 
28/06/2008  15     3.9    22     16 
29/06/2008  36     3.9    22     16 
30/06/2008  0.2    3.9    22     16 
01/07/2008  2      3.1    20     15 
02/07/2008  0      2      20     14 
03/07/2008  0      2.1    20     14 
04/07/2008  6      6      20     14 
05/07/2008  13     8.9    21     14 
06/07/2008  63     8.9    21     15 
07/07/2008  23     8.9    20     15 
08/07/2008  24     9.6    21     14 
