CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A MARZO 2020;CON LA INFORMACION SUMINISTRADA POR LAS OFICINAS REGIONALES
 
ESTACION  : 14351
NOMBRE    : TALA
ESTADO    : JALISCO
MUNICIPIO : TALA
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 020.648°
LONGITUD  : -103.701°
ALTITUD   : 1,330 msnm
 
EMISION   : 06/04/2020 
 
           PRECIP  EVAP   TMAX   TMIN
  FECHA     (MM)   (MM)   (°C)   (°C)
01/01/2008  0      5.4    30.5   6 
02/01/2008  0      3.1    22.5   6 
03/01/2008  0      3.1    24.5   5 
04/01/2008  0      3      27     3 
05/01/2008  0      3.2    27.5   3 
06/01/2008  0      2.8    29.5   5 
07/01/2008  0      3.2    29.5   5 
08/01/2008  0      2.9    29.5   4 
09/01/2008  0      2.8    29.5   4 
10/01/2008  0      3.1    29     3.5 
11/01/2008  0      3.1    29.5   4.5 
12/01/2008  0      2.9    27.5   4 
13/01/2008  0      3.1    28     3.5 
14/01/2008  0      2.8    28     2 
15/01/2008  0      3.2    26.5   6 
16/01/2008  0      2.9    26     5 
17/01/2008  0      3.1    25.5   3.5 
18/01/2008  0      2.9    24     5 
19/01/2008  1      0.2    28     5 
20/01/2008  0      2.8    27     6 
21/01/2008  0      2.8    29.5   6.5 
22/01/2008  0      3.1    30     6.5 
23/01/2008  0      2.9    32     7.5 
24/01/2008  0      2.9    31.5   8 
25/01/2008  0      3.1    32     9 
26/01/2008  0      3.1    32.5   9 
27/01/2008  0      2.9    33     7.5 
28/01/2008  0      2.9    31.5   8 
29/01/2008  0      3.1    32.5   7.5 
30/01/2008  0      2.9    31     7.5 
31/01/2008  0      2.9    30.5   7 
01/02/2008  0      3.2    29.5   6.5 
02/02/2008  0      2.9    30     7 
03/02/2008  0      2.9    31     8 
04/02/2008  0      2.9    29.5   6.5 
05/02/2008  0      2.8    30     7.5 
06/02/2008  0      2.9    29.5   6.5 
07/02/2008  0      3.2    28.5   5 
08/02/2008  0      2.9    30     7 
09/02/2008  0      3.1    31     6.5 
10/02/2008  0      2.9    31.5   6.5 
11/02/2008  0      3.1    30.5   7 
12/02/2008  0      2.9    31.5   7 
13/02/2008  0      2.8    31     6 
14/02/2008  0      3.1    30     7.5 
15/02/2008  0      3.2    30.5   5 
16/02/2008  0      2.9    31.5   5 
17/02/2008  0      3.2    30     7 
18/02/2008  0      2.9    32.5   7.5 
19/02/2008  0      2.9    32     5 
20/02/2008  0      3.2    31.5   5 
21/02/2008  0      2.9    32     6 
22/02/2008  0      2.9    32.5   6 
23/02/2008  0      2.9    33     6 
24/02/2008  0      3.1    34     7 
25/02/2008  0      3      34     6 
26/02/2008  0      2.9    34     6 
27/02/2008  0      3.2    31.5   6 
28/02/2008  0      3.2    32     9 
29/02/2008  0      2.9    32.5   8 
01/03/2008  0      3.1    32     8 
02/03/2008  0      2.9    33     8 
03/03/2008  0      2.9    32     6 
04/03/2008  0      3.3    32     6 
05/03/2008  0      2.9    31     5 
06/03/2008  0      2.9    28     4 
07/03/2008  0      3.3    29.5   2 
