CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A MARZO 2020;CON LA INFORMACION SUMINISTRADA POR LAS OFICINAS REGIONALES
 
ESTACION  : 14367
NOMBRE    : TLACUITAPAN
ESTADO    : JALISCO
MUNICIPIO : UNION DE SAN ANTONIO
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 021.198°
LONGITUD  : -102.125°
ALTITUD   : 1,800 msnm
 
EMISION   : 06/04/2020 
 
           PRECIP  EVAP   TMAX   TMIN
  FECHA     (MM)   (MM)   (°C)   (°C)
01/02/2008  0      6.2    29.5   7 
02/02/2008  0      0.2    29.5   7 
03/02/2008  0      4.3    29     7 
04/02/2008  0      4.4    29     11 
05/02/2008  0      1.7    29     6 
06/02/2008  0      6      29     5 
07/02/2008  0      3      29     9 
08/02/2008  0      4.9    29     5 
09/02/2008  0      2.6    29     4.5 
10/02/2008  0      2      29     4.5 
11/02/2008  0      1.9    29.5   8.5 
12/02/2008  0      4.8    29     6.5 
13/02/2008  0      3.5    29.5   6.5 
14/02/2008  0      4.2    29     3.5 
15/02/2008  0      4.1    29     3 
16/02/2008  0      2.4    29     9 
17/02/2008  0      6.8    28.5   5 
18/02/2008  0      5.7    28.5   4.5 
19/02/2008  0      4.3    29     5 
20/02/2008  0      3      29     6.5 
21/02/2008  0      5.5    30     4 
22/02/2008  0      3.3    29     6 
23/02/2008  0      4      32     6 
24/02/2008  0      6.9    32     12 
25/02/2008  0      5.8    32     11 
26/02/2008  0      4.6    32     8 
27/02/2008  0      4.4    32     10 
28/02/2008  0      4.2    30     4 
29/02/2008  0      3.2    30     8 
01/03/2008  0      5.6    32.5   7 
02/03/2008  0      4.4    32     9.5 
03/03/2008  0      5.5    31.5   9 
04/03/2008  0      7      31     8.5 
05/03/2008  0      3.2    31     3.5 
06/03/2008  0      4.6    30     8 
07/03/2008  0      7.4    31     8 
08/03/2008  0      4.6    30.5   3 
09/03/2008  0      3.5    30.5   4.5 
10/03/2008  0      5.2    30.5   5 
11/03/2008  0      5.3    30     6 
12/03/2008  0      5.2    30     9.5 
13/03/2008  0      5.1    30     5 
14/03/2008  0      8.9    29     5 
15/03/2008  0      5.1    30     8 
16/03/2008  0      6.9    30     9 
17/03/2008  0      7.1    30     12 
