CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A MARZO 2020;CON LA INFORMACION SUMINISTRADA POR LAS OFICINAS REGIONALES
 
ESTACION  : 14368
NOMBRE    : USMAJAC
ESTADO    : JALISCO
MUNICIPIO : SAYULA
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 019.873°
LONGITUD  : -103.543°
ALTITUD   : 1,360 msnm
 
EMISION   : 06/04/2020 
 
           PRECIP  EVAP   TMAX   TMIN
  FECHA     (MM)   (MM)   (°C)   (°C)
01/01/2008  0      3      29     6 
02/01/2008  0      4.3    22.5   9.5 
03/01/2008  0      6.5    22     5 
04/01/2008  0      2.2    26     2 
05/01/2008  0      0.9    30.5   3 
06/01/2008  0      5.3    31     5 
07/01/2008  0      2.8    31     4.5 
08/01/2008  0      3.2    30.5   3 
09/01/2008  0      4      30     3 
10/01/2008  0      5      29.5   4 
11/01/2008  0      4.2    28     0.7 
12/01/2008  0      3.6    29     4 
13/01/2008  0      4      28.5   3 
14/01/2008  0      3.2    26.5   3 
15/01/2008  0      2.8    27     8 
16/01/2008  0      4.4    27     9 
17/01/2008  0      4.2    25     9 
18/01/2008  0      4.5    26.5   10 
19/01/2008  0      1.2    30.5   9 
20/01/2008  0      4      27     7 
21/01/2008  0      5.6    29.5   6 
22/01/2008  0      3.8    28     6 
23/01/2008  0      2.5    33.5   7 
24/01/2008  0      3.5    33     7.5 
25/01/2008  0      4.3    32     5 
26/01/2008  0      3.9    30.5   9 
27/01/2008  0      4      30.5   10 
28/01/2008  0      3.5    31     9 
29/01/2008  0      3.7    29.5   7 
30/01/2008  0      3.8    30.5   7 
31/01/2008  0      4.4    31     6 
01/02/2008  0      4.3    29.5   7 
02/02/2008  0      4.4    31.5   5.5 
03/02/2008  0      4.8    31     6 
04/02/2008  0      3.8    31.5   6.5 
05/02/2008  0      3.6    31     7 
06/02/2008  0      5.2    29.5   5 
07/02/2008  0      5.2    30     5 
08/02/2008  0      2.9    30     6.5 
09/02/2008  0      3.9    32     6.5 
10/02/2008  0      3.9    21     7.5 
11/02/2008  0      2.4    30.5   6.5 
12/02/2008  0      3.7    30.5   7 
13/02/2008  0      3      30.5   6 
14/02/2008  0      5.9    29.5   5.5 
15/02/2008  0      5.2    31.5   3.5 
16/02/2008  0      4.6    33.5   4 
17/02/2008  0      5.3    33.5   5.5 
18/02/2008  0     Nulo    31.5   5 
19/02/2008  0     Nulo    31.5   8 
20/02/2008  0     Nulo    31.5   5 
21/02/2008 Nulo   Nulo    33     5 
22/02/2008  0     Nulo    32     5.5 
23/02/2008  0     Nulo    34.5   5.5 
24/02/2008  0     Nulo    36     7 
25/02/2008  0     Nulo    34     8 
26/02/2008  0     Nulo    34     6.5 
27/02/2008  0     Nulo    30     6 
28/02/2008  0     Nulo    30.5   8.5 
29/02/2008  0     Nulo    30.5   7 
01/03/2008  0      6.6    33     5.5 
02/03/2008  0      6.6    33     5.5 
03/03/2008  0      6.6    32     5.5 
04/03/2008  0      6.6    30.5   6 
05/03/2008  0      5      33     6.5 
06/03/2008  0      5.7    30.5   4.5 
07/03/2008  0      5.8    31     3 
08/03/2008  0      7.5    28.5   2 
09/03/2008  0      5.5    30     4 
10/03/2008  0      6.8    32     5 
11/03/2008  0      4.7    33     6 
12/03/2008  0      5.7    33     8 
13/03/2008  0      6.9    34     6 
14/03/2008  0      7.2    33     5 
15/03/2008  0      6.5    34     5 
16/03/2008  0      7      33     6.5 
17/03/2008  0      5.6    31     8 
18/03/2008  0      8.6    31     10 
19/03/2008  0      6.6    33     5 
20/03/2008  0      7.8    33     7.5 
21/03/2008  0      6.1    34     7 
22/03/2008  0      5.2    34     8 
23/03/2008  0      7.8    33     7 
24/03/2008  0      6.3    33.5   7.5 
25/03/2008  0      5.7    32.5   8.5 
26/03/2008  0      5.6    35.5   8.5 
27/03/2008  0      6      35     8 
28/03/2008  0      8.4    34     8.5 
29/03/2008  0      7.9    34.5   9 
30/03/2008  0      9.6    34     8.5 
31/03/2008  0      6.2    33     7.5 
01/04/2008  0      5.5    37     8.5 
02/04/2008  0      10     38     9 
03/04/2008  0      6.9    37.5   9.5 
04/04/2008  0      7      37     8.5 
05/04/2008  0      6.1    32.5   12 
06/04/2008  0      6.1    32.5   13 
07/04/2008  0      7.9    35.5   10 
08/04/2008  0      6.1    35.5   10 
09/04/2008  0      8.3    35.5   8 
10/04/2008  0      7.5    35.5   8 
11/04/2008  0      7.3    36.5   9.5 
12/04/2008  0      7      37     9.5 
13/04/2008  3.4    7.3    34.5   12.5 
14/04/2008  0      2.6    31     14.5 
15/04/2008  0      5.6    33     12.5 
16/04/2008  0      6      33.5   12 
17/04/2008  0      6.1    35     10.5 
18/04/2008  0      7.6    36.5   8 
19/04/2008  0      8.2    37.5   8.5 
20/04/2008  0      8.5    38     12 
21/04/2008  0      7.5    38     11 
22/04/2008  0      9.2    39     11 
23/04/2008  0      8.4    38     11.5 
24/04/2008  0      9      36.5   16 
25/04/2008  0      9.2    37.5   11 
26/04/2008  0      8      38     11.5 
27/04/2008  0      7.1    38     12 
28/04/2008  0      7.6    36     12 
29/04/2008  0      6.7    35     13 
30/04/2008  0      6.8    35     14.5 
01/05/2008  0      7.8    36.5   9.5 
02/05/2008  0      8.6    36     9.5 
03/05/2008  0      8.2    37     9.5 
04/05/2008  0      8.3    37.5   10.5 
05/05/2008  0      7.8    36     11 
06/05/2008  0      8.1    35     12 
07/05/2008  0      6.1    35     15.5 
08/05/2008  0      5.9    37     12.5 
09/05/2008  0      8.6    38     13 
10/05/2008  0      6.4    38     15 
11/05/2008  0      8.3    39.5   15 
12/05/2008  22.5   8.6    36     17 
13/05/2008  0      12.5   34.5   14 
14/05/2008  0      8.9    34.5   14 
15/05/2008  0      7.1    33.5   16.5 
16/05/2008  0      5.4    34     16 
17/05/2008  0      7.5    33     13 
18/05/2008  0      8.5    33.5   13.5 
19/05/2008  0      6      32.5   14 
20/05/2008  0      7.2    31.5   13 
21/05/2008  0      1.2    32.5   13.5 
22/05/2008  0      6.7    30.5   13.5 
23/05/2008  0      6.8    34.5   11 
24/05/2008  0      7.5    36.5   11 
25/05/2008  0      7      36.5   12 
26/05/2008  0      8.4    37     16 
27/05/2008  9.2    7.8    35.5   16 
28/05/2008  0      0.8    34     17 
29/05/2008  0      6.6    32.5   15.5 
30/05/2008  0      9.4    36     16 
31/05/2008  0.8    8.4    31     16 
01/06/2008  0      2.6    37     15 
02/06/2008  0      7      36.5   16 
03/06/2008  0      9.7    35.5   14.5 
04/06/2008  0      9.6    35     15.5 
05/06/2008  0      9      35     15.5 
06/06/2008  3      6      35     15 
07/06/2008  0      2.9    35     17.5 
08/06/2008  0      6.5    33     17.5 
09/06/2008  22.2   8.3    28     17 
10/06/2008  18.8   10.2   31     16.5 
11/06/2008  0      10.2   31     18 
12/06/2008  0      10.2   31     17.5 
13/06/2008  31     6.8    31     17 
14/06/2008  16.5   6.8    29     18 
15/06/2008  24     6.8    28     15.5 
16/06/2008  0      5.7    31     15 
17/06/2008  0      9.8    34.5   15.5 
18/06/2008  0      4.2    34     15 
19/06/2008  0      3      36     15.5 
20/06/2008  6.5    7.5    37     16 
21/06/2008  18.9   12     32     15 
22/06/2008  27     5.9    28     16 
23/06/2008  2      2.2    28     15 
24/06/2008  7.5    2.3    28     15 
25/06/2008  21     11.3   29.5   15 
26/06/2008  21.5   5.2    30     15 
27/06/2008  0.5    2.4    30     16 
28/06/2008  2.4    3.5    31.5   16 
29/06/2008  4      0.4    29.5   16 
30/06/2008  7.5    0.4    30     16.5 
01/07/2008  1.5    8.1    29     17 
02/07/2008  3      5.4    30     16 
03/07/2008  6.6    2.7    30     16 
04/07/2008  1      1.2    31.5   16 
05/07/2008  5.2    2.3    31.5   16 
06/07/2008  25     0.6    26     16.5 
07/07/2008  5      3      27.5   17 
08/07/2008  15     1.7    28.5   17 
09/07/2008  23     9.4    27     16 
10/07/2008  12.5   1.5    27.5   15.5 
11/07/2008  0      5      26.5   16 
12/07/2008  6.9    1      27     15 
13/07/2008  3      6.9    27     15 
14/07/2008  0      0.8    28     15 
15/07/2008  3      6.1    29     16 
16/07/2008  7      3      29     14 
17/07/2008  16.5   3      27     14.5 
18/07/2008  0      13.4   29     14.5 
19/07/2008  1.2    5.5    32     13.5 
20/07/2008  0      1.2    27     13 
21/07/2008  0      3.9    29     15 
22/07/2008  0      5.7    30     15 
23/07/2008  0.5    4.3    31     15.5 
24/07/2008  0.2    6.1    29     16 
25/07/2008  4.3    0.8    25     18 
26/07/2008  1.8    2.2    28.5   15 
27/07/2008  0      2.6    29     15 
28/07/2008  0      1.9    30     15 
29/07/2008  0      3.1    29     15 
30/07/2008  10     4.8    28     16.5 
31/07/2008  0      4.8    30     14 
01/08/2008  0      5.3    32.5   15 
02/08/2008  0.5    6.2    33.5   15.5 
03/08/2008  0      6.5    33     15 
