CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A MARZO 2020;CON LA INFORMACION SUMINISTRADA POR LAS OFICINAS REGIONALES
 
ESTACION  : 14369
NOMBRE    : LA VAQUERA
ESTADO    : JALISCO
MUNICIPIO : ARANDAS
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 020.858°
LONGITUD  : -102.220°
ALTITUD   : 2,081 msnm
 
EMISION   : 06/04/2020 
 
           PRECIP  EVAP   TMAX   TMIN
  FECHA     (MM)   (MM)   (°C)   (°C)
01/01/2008  0      3.8    21     6 
02/01/2008  0      2.2    21     2 
03/01/2008  0      5.5    16    -1 
04/01/2008  0      1.4    21     0 
05/01/2008  0      3.1    23     1 
06/01/2008  0      3      23.5   0.5 
07/01/2008  0      4.1    23     6 
08/01/2008  0      2.2    23     4.5 
09/01/2008  0      5      22     4 
10/01/2008  0      3.6    21.5   4 
11/01/2008  0      2.4    23     3 
12/01/2008  0      5.3    22     2 
13/01/2008  0      3.5    22.5   4 
14/01/2008  0      3.9    22     5 
15/01/2008  0      2.9    22     4 
16/01/2008  0      2.8    18     3 
17/01/2008  0      2.6    19     4 
18/01/2008  0      2.2    19     4 
19/01/2008  0      3.8    19     4 
20/01/2008  0      2.4    18     3 
21/01/2008  0      2.5    24     4 
22/01/2008  0      3.3    24     5 
23/01/2008  0      3.8    26     6 
24/01/2008  0      2.3    25     7 
25/01/2008  0      1.6    21.5   8 
26/01/2008  0      4.3    26     8 
27/01/2008  0      3.8    22     5 
28/01/2008  0      3.8    22     7 
29/01/2008  0      3.4    22.5   7 
30/01/2008  0      5.4    22.5   7 
31/01/2008  0      4      22.5   5 
01/02/2008  0      4.1    23     5 
02/02/2008  0      3.4    18     5 
03/02/2008  0      6.3    17     6 
04/02/2008  0      4.6    21     6.5 
05/02/2008  0      3.7    22     4.5 
06/02/2008  0      6.3    23     5 
07/02/2008  0      4.7    21     5.5 
08/02/2008  0      5.6    21     4 
09/02/2008  0      3.2    25     4 
10/02/2008  0      3.8    23     6 
11/02/2008  0      3.2    22     7 
12/02/2008  0      7.1    23     7.5 
13/02/2008  0      3.8    23.5   4 
14/02/2008  0      2.3    20     4 
15/02/2008  0      4.3    20.5   4 
16/02/2008  0      6.1    24     5 
17/02/2008  0      5.4    18     6 
18/02/2008  0      6      18     6 
19/02/2008  0      4.1    19     5 
20/02/2008  0      7.6    18     5 
21/02/2008  0      5.4    19     6 
22/02/2008  0      3.2    19     7 
23/02/2008  0      5.1    23     5 
24/02/2008  0      5.8    16     6 
25/02/2008  0      6.2    18     8 
26/02/2008  0      6.6    18     6 
27/02/2008  0      6.3    18     6 
28/02/2008  0      4.8    17     4 
29/02/2008  0      5.6    17     7 
01/03/2008  0      5      16     6.5 
02/03/2008  0      4.9    16     6 
03/03/2008  0      7.5    18     6.5 
04/03/2008  0      7.5    18     7 
05/03/2008  0      6      18     6 
06/03/2008  0      8      22     4 
07/03/2008  0      4.5    21     5 
08/03/2008  0      10.3   18     0.5 
09/03/2008  0      6.1    21.5   4 
10/03/2008  0      6.5    25     4 
11/03/2008  0      4.7    26     5 
12/03/2008  0      6.8    25.5   5.5 
13/03/2008  0      7.2    26     7 
14/03/2008  0      6.4    26     6 
15/03/2008  0      9.1    26     6 
16/03/2008  0      7      17     7 
17/03/2008  0      7.1    18     6 
18/03/2008  0      4.7    18     5 
19/03/2008  0      4.8    24     5 
20/03/2008  0      5.4    25     5 
21/03/2008  0      5.8    27     5 
22/03/2008  0      6.6    24     8 
23/03/2008  0      7.2    26     8 
24/03/2008  0      8      21     9 
25/03/2008  0      7.4    21     7 
26/03/2008  0      3.9    21     6 
27/03/2008  0      6.2    21.5   8 
28/03/2008  0      5.8    22     9 
29/03/2008  0      11.2   21     9.5 
30/03/2008  0      9      18     9 
31/03/2008  0      9.2    18     10 
01/04/2008  0      7.7    26     9 
02/04/2008  0      8.2    24     9.5 
03/04/2008  0      7.6    24     8 
04/04/2008  0      5.8    22     8 
05/04/2008  0      5.8    18     7 
06/04/2008  0      9.3    18     11 
07/04/2008  0      8.8    20     10 
08/04/2008  0      7      22     10 
09/04/2008  0      10     18     10 
10/04/2008  0      8.9    20     9 
11/04/2008  0      8.7    21.5   9 
12/04/2008  0      6.8    22     10 
13/04/2008  0      6.4    18     10.5 
14/04/2008  1.5    4.6    21     9 
15/04/2008  0      8.8    21     8 
16/04/2008  0      2.5    18     9 
17/04/2008  0      5.7    29     11 
18/04/2008  0      5.3    30     8 
19/04/2008  0      11.4   29.5   8 
20/04/2008  0      7.3    29     10 
21/04/2008  0      9.5    32     12 
22/04/2008  0      8.4    31     11 
23/04/2008  0      9.6    31     11.5 
24/04/2008  0      9.4    30     13 
25/04/2008  0      8.9    30.5   13 
26/04/2008  0      9      30     12 
27/04/2008  0      8      29     11 
28/04/2008  0      8.3    28     11 
29/04/2008  0      6.7    28     10 
30/04/2008  0      6.9    27     10.5 
01/05/2008  0      9.4    28     10 
02/05/2008  0      8.6    28     9 
03/05/2008  0      10.7   30     9 
04/05/2008  0      7.2    28     10 
05/05/2008  0      12.5   29     12 
06/05/2008  0      9.8    31.5   13 
07/05/2008  0      5.8    31     13 
08/05/2008  0      5.4    32.5   12 
09/05/2008  0      8.1    32.5   12 
10/05/2008  0      7.3    33     12 
11/05/2008  0      8.6    34     15 
12/05/2008  10.5   9.2    32     16 
13/05/2008  0      7.8    32     11.5 
14/05/2008  0      7.6    28     11 
15/05/2008  0      7.3    28     14 
16/05/2008  0      6.4    28     13 
17/05/2008  0      9.7    27     12.5 
18/05/2008  0      8.3    27     12 
19/05/2008  0      7.6    27     11.5 
20/05/2008  0      8.2    27     11.5 
21/05/2008  0      8.5    26.5   12 
22/05/2008  0      7.8    28     12 
23/05/2008  0      8.9    28     11 
24/05/2008  0      7.3    30     11 
25/05/2008  0      8.3    31     12 
26/05/2008  0      8.2    31     15 
27/05/2008  0      8.6    31     11.5 
28/05/2008  0      7.7    30     11 
29/05/2008  0      7.5    29     10 
30/05/2008  0      8.1    29     7 
31/05/2008  0      9.1    31     6 
01/06/2008  0      9.1    31     10 
02/06/2008  0      9.2    31     11 
03/06/2008  0      7.3    31     11 
04/06/2008  0      10.2   32     11.5 
05/06/2008  0      8.2    31     14 
06/06/2008  3      6.7    31     13 
07/06/2008  59     6.9    30     13 
08/06/2008  5.4    8.9    26     14 
09/06/2008  0      6.5    28     15 
10/06/2008  44     2.5    27     13 
11/06/2008  16     4.4    18     12 
12/06/2008  0      1.7    23.5   13 
13/06/2008  10     3.6    22     14 
14/06/2008  0      2.9    25     13 
15/06/2008  2.5    2.5    25     12 
16/06/2008  40     4.6    26     13 
17/06/2008  25     2.8    26     13 
18/06/2008  0      6.5    26.5   13 
19/06/2008  0      6.9    27     15 
20/06/2008  0      5.3    27     14 
21/06/2008  0      6.7    25     15 
22/06/2008  0      5.1    25     13 
23/06/2008  0      3.6    25     12 
24/06/2008  0      4.6    25.5   12.5 
25/06/2008  0      6.8    25     12.5 
26/06/2008  0      5.4    25     13 
27/06/2008  8.5    6.6    26     13 
28/06/2008  20     2.9    25     14 
29/06/2008  0      7.6    24     12 
30/06/2008  2.5    5.1    24     13 
01/07/2008  0      5.1    19     14 
02/07/2008  25     3.1    19     14 
03/07/2008  35     5.1    22     14 
04/07/2008  0      4.8    22     13 
05/07/2008  3.5    8.2    22     14 
06/07/2008  0      2.1    23.5   15 
07/07/2008  34.5   4.2    21     14 
08/07/2008  45.5   1.5    20     12 
09/07/2008  34     6.5    16     14 
10/07/2008  17.5   0.6    19     14 
11/07/2008  0      2.5    21.5   13 
12/07/2008  2      4.2    21     14 
13/07/2008  12.5   3.9    23     12 
14/07/2008  0      4.5    24     13 
15/07/2008  5.5    3.8    23     12 
16/07/2008  0      3.2    24     12 
17/07/2008  8      4.5    24     12 
18/07/2008  0      2.8    24     13 
19/07/2008  0      6.3    22     12 
20/07/2008  0      3.8    23.5   12 
21/07/2008  0      4.7    24     11 
22/07/2008  0      5.8    24.5   10 
23/07/2008  0      3.4    25     10 
24/07/2008  35     3.5    24     15 
25/07/2008  61     3.2    23.5   12 
26/07/2008  4      8.8    23     13 
27/07/2008  0      5.2    18     11 
28/07/2008  1.5    2.9    25     12 
29/07/2008  3      2.1    25     11 
30/07/2008  0      3.5    23.5   10 
31/07/2008  12.5   5.6    24     13 
01/08/2008  0      2.3    24     12 
02/08/2008  1.5    4.3    24     13 
03/08/2008  0      5.8    23     12 
04/08/2008  0      3.7    24     13 
05/08/2008  0      4.5    24     12 
06/08/2008  43     5.3    24     12.5 
