CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A MARZO 2020;CON LA INFORMACION SUMINISTRADA POR LAS OFICINAS REGIONALES
 
ESTACION  : 14379
NOMBRE    : MEZCALA
ESTADO    : JALISCO
MUNICIPIO : PONCITLAN
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 020.336°
LONGITUD  : -103.018°
ALTITUD   : 1,530 msnm
 
EMISION   : 06/04/2020 
 
           PRECIP  EVAP   TMAX   TMIN
  FECHA     (MM)   (MM)   (°C)   (°C)
01/01/2008  0     Nulo    22.5   9.5 
02/01/2008  0     Nulo    18.5   8.5 
03/01/2008  0     Nulo    17     5 
04/01/2008  0     Nulo    18     5.5 
05/01/2008  0     Nulo    21     6 
06/01/2008  0     Nulo    22     7 
07/01/2008  0     Nulo    22.5   8.5 
08/01/2008  0     Nulo    22     7 
09/01/2008  0     Nulo    24     7.5 
10/01/2008  0     Nulo    22.5   7.5 
11/01/2008  0     Nulo    22     8 
12/01/2008  0     Nulo    22.5   8 
13/01/2008  0     Nulo    21     7 
14/01/2008  0     Nulo    22     7.5 
15/01/2008  0     Nulo    22     10.5 
16/01/2008  0     Nulo    21.5   8 
17/01/2008  0     Nulo    21.5   8 
18/01/2008  0     Nulo    22     8.5 
19/01/2008  0     Nulo    23.5   9 
20/01/2008  0     Nulo    18.5   8.5 
21/01/2008  0     Nulo    29.5   8.5 
22/01/2008  0     Nulo    22.5   9 
23/01/2008  0     Nulo    23.5   10 
24/01/2008  0     Nulo    24     10.5 
25/01/2008  0     Nulo    23.5   11 
26/01/2008  0     Nulo    24     11 
27/01/2008  0     Nulo    23.5   11.5 
28/01/2008  0     Nulo    24     11 
29/01/2008  0     Nulo    24     11 
30/01/2008  0     Nulo    26     11 
31/01/2008  0     Nulo    24.5   9.5 
01/02/2008  0     Nulo    24     10 
02/02/2008  0     Nulo    24     10 
03/02/2008  0     Nulo    23.5   10 
04/02/2008  0     Nulo    24     10.5 
05/02/2008  0     Nulo    25     9.5 
06/02/2008  0     Nulo    23.5   10 
07/02/2008  0     Nulo    23.5   9 
08/02/2008  0     Nulo    24     9.5 
09/02/2008  0     Nulo    23.5   10 
10/02/2008  0     Nulo    22     10.5 
11/02/2008  0     Nulo    22.5   10.5 
12/02/2008  0     Nulo    25     10 
13/02/2008  0     Nulo    24     10 
14/02/2008  0     Nulo    25.5   9.5 
15/02/2008  0     Nulo    25     9.5 
16/02/2008  0     Nulo    26     9.5 
17/02/2008  0     Nulo    27     10 
18/02/2008  0     Nulo    26.5   10 
19/02/2008  0     Nulo    26.5   10.5 
20/02/2008  0     Nulo    26     10.5 
21/02/2008  0     Nulo    26     10 
22/02/2008  0     Nulo    26     10.5 
23/02/2008  0     Nulo    26     10.5 
24/02/2008  0     Nulo    27     11.5 
25/02/2008  0     Nulo    26     12 
26/02/2008  0     Nulo    28     10.5 
27/02/2008  0     Nulo    24     12 
28/02/2008  0     Nulo    24.5   9.5 
29/02/2008  0     Nulo    26.5   10.5 
01/03/2008  0     Nulo    26     11 
02/03/2008  0     Nulo    26     11.5 
03/03/2008  0     Nulo    26     10.5 
04/03/2008  0     Nulo    25     11 
05/03/2008  0     Nulo    27     10 
06/03/2008  0     Nulo    25     11.5 
07/03/2008  0     Nulo    24.5   8 
08/03/2008  0     Nulo    23     7 
09/03/2008  0     Nulo    24.5   8 
10/03/2008  0     Nulo    25.5   10 
11/03/2008  0     Nulo    25.5   11.5 
12/03/2008  0     Nulo    27     11 
13/03/2008  0     Nulo    27     11.5 
14/03/2008  0     Nulo    25     10 
15/03/2008  0     Nulo    26.5   10.5 
16/03/2008  0     Nulo    28     11 
17/03/2008  0     Nulo    28.5   11 
18/03/2008  0     Nulo    26     12 
19/03/2008  0     Nulo    23.5   9 
20/03/2008  0     Nulo    24     10 
21/03/2008  0     Nulo    25.5   11.5 
22/03/2008  0     Nulo    28     12.5 
23/03/2008  0     Nulo    28     12 
24/03/2008  0     Nulo    26     13 
25/03/2008  0     Nulo    25     11.5 
26/03/2008  0     Nulo    27     12.5 
27/03/2008  0     Nulo    28.5   13.5 
28/03/2008  0     Nulo    29     12 
29/03/2008  0     Nulo    29.5   12 
30/03/2008  0     Nulo    30     12 
31/03/2008  0     Nulo    30.5   13 
01/04/2008  0     Nulo    30.5   13.5 
02/04/2008  0     Nulo    30.5   14 
03/04/2008  0     Nulo    31     13.5 
04/04/2008  0     Nulo    31     15.5 
05/04/2008  0     Nulo    30     14 
06/04/2008  0     Nulo    29.5   14.5 
07/04/2008  0     Nulo    29.5   14.5 
08/04/2008  0     Nulo    30     15 
09/04/2008  0     Nulo    30     13.5 
10/04/2008  0     Nulo    30     12.5 
11/04/2008  0     Nulo    28.5   13 
12/04/2008  0     Nulo    29     14 
13/04/2008  15    Nulo    28     16.5 
14/04/2008  0     Nulo    25.5   13.5 
15/04/2008  0     Nulo    25.5   13 
16/04/2008  0     Nulo    28.5   13.5 
17/04/2008  0     Nulo    29     15 
18/04/2008  0     Nulo    29     14.5 
19/04/2008  0     Nulo    28.5   13.5 
20/04/2008  0     Nulo    30.5   14.5 
21/04/2008  0     Nulo    31.5   15 
22/04/2008  0     Nulo    32     15.5 
23/04/2008  0     Nulo    32     15.5 
24/04/2008  0     Nulo    32     16.5 
25/04/2008  0     Nulo    31.5   14.5 
26/04/2008  0     Nulo    31     14.5 
27/04/2008  0     Nulo    31     15 
28/04/2008  0     Nulo    30     14.5 
29/04/2008  0     Nulo    30     10 
30/04/2008  0     Nulo    30     12.5 
01/05/2008  0     Nulo    30.5   14.5 
02/05/2008  0     Nulo    30     14 
03/05/2008  0     Nulo    29     13.5 
04/05/2008  0     Nulo    30     14 
05/05/2008  0     Nulo    30.5   15.5 
06/05/2008  0     Nulo    30     16.5 
07/05/2008  0     Nulo    29.5   16 
08/05/2008  0     Nulo    31.5   15.5 
09/05/2008  0     Nulo    31     16 
10/05/2008  0     Nulo    32     16 
11/05/2008  0     Nulo    32.5   16 
12/05/2008  0     Nulo    29.5   17 
13/05/2008  0     Nulo    31     16 
14/05/2008  0     Nulo    30     16 
15/05/2008  1     Nulo    28     16.5 
16/05/2008  0     Nulo    30     16 
17/05/2008  0     Nulo    29     16 
18/05/2008  0     Nulo    29     15 
19/05/2008  0     Nulo    28.5   15 
20/05/2008  0     Nulo    28     15 
21/05/2008  0     Nulo    28     16 
22/05/2008  0     Nulo    27.5   15.5 
23/05/2008  0     Nulo    29.5   13 
24/05/2008  0     Nulo    30     13 
25/05/2008  0     Nulo    31     14 
26/05/2008  0     Nulo    31     17 
27/05/2008  0     Nulo    31     17.5 
28/05/2008  0     Nulo    30.5   18 
29/05/2008  0     Nulo    29.5   16.5 
30/05/2008  0     Nulo    30     16.5 
31/05/2008  0     Nulo    29.5   17 
01/06/2008  0     Nulo    32     18 
02/06/2008  0     Nulo    32.5   18 
03/06/2008  0     Nulo    31.5   17 
04/06/2008  0     Nulo    32     17.5 
05/06/2008  0     Nulo    30.5   17 
06/06/2008  24.5  Nulo    30.5   16.5 
07/06/2008  0     Nulo    29     16 
08/06/2008  7.9   Nulo    27     17.5 
09/06/2008  7.2   Nulo    26     17 
10/06/2008  68    Nulo    24     15.5 
11/06/2008  41.5  Nulo    24.5   15.5 
12/06/2008  7     Nulo    23.5   15.5 
13/06/2008  0     Nulo    27     16 
14/06/2008  27.2  Nulo    27.5   16.5 
15/06/2008  7     Nulo    27.5   13 
16/06/2008  0.5   Nulo    28     15 
17/06/2008  2.7   Nulo    29     15.5 
18/06/2008  0     Nulo    28.5   16.5 
19/06/2008  2.5   Nulo    28     17 
20/06/2008  22.6  Nulo    33     18 
21/06/2008  5.5   Nulo    27     15 
22/06/2008  4.8   Nulo    26     15.5 
23/06/2008  0     Nulo    27     15.5 
24/06/2008  22.3  Nulo    28.5   15.5 
25/06/2008  2.5   Nulo    26.5   16 
26/06/2008  1     Nulo    28.5   16 
27/06/2008  15    Nulo    28.5   16.5 
28/06/2008  9.5   Nulo    27.5   15 
29/06/2008  12.5  Nulo    28     15 
30/06/2008  4.1   Nulo    27     15.5 
01/07/2008  2.3   Nulo    24     15.5 
02/07/2008  0     Nulo    26.5   16.5 
03/07/2008  1.5   Nulo    27.5   17 
04/07/2008  2.4   Nulo    27.5   17 
05/07/2008  37.5  Nulo    26.5   17 
06/07/2008  14.7  Nulo    25.5   16.5 
07/07/2008  60    Nulo    23     16.5 
08/07/2008  51.9  Nulo    21.5   15.5 
09/07/2008  28.5  Nulo    22.5   15.5 
10/07/2008  21    Nulo    24     15 
11/07/2008  0.4   Nulo    25     15 
12/07/2008  2.7   Nulo    27     15.5 
13/07/2008  4     Nulo    27     15.5 
14/07/2008  3     Nulo    27     15.5 
15/07/2008  0     Nulo    27     16 
16/07/2008  0     Nulo    28     17 
17/07/2008  0     Nulo    27.5   17 
18/07/2008  0     Nulo    26     16 
19/07/2008  0     Nulo    27     16 
20/07/2008  0     Nulo    28     16.5 
21/07/2008  0     Nulo    27     16 
22/07/2008  0     Nulo    26.5   15.5 
23/07/2008  0     Nulo    28     15.5 
24/07/2008  37.5  Nulo    27     17.5 
25/07/2008  12.5  Nulo    27.5   16 
26/07/2008  10.4  Nulo    26.5   16 
27/07/2008  0     Nulo    25.5   14.5 
28/07/2008  0     Nulo    27.5   15 
29/07/2008  3.4   Nulo    28     15 
30/07/2008  0     Nulo    27.5   14.5 
31/07/2008  4.3   Nulo    27.5   15 
01/08/2008  0     Nulo    28     16 
02/08/2008  3     Nulo    27.5   16 
03/08/2008  2.8   Nulo    27     14.5 
04/08/2008  1.4   Nulo    26     15 
05/08/2008  0.3   Nulo    27.5   16 
06/08/2008  0     Nulo    28     17 
07/08/2008  19.3  Nulo    24     17 
08/08/2008  0     Nulo    26     14.5 
09/08/2008  0     Nulo    27     14.5 
10/08/2008  0     Nulo    28.5   15 
11/08/2008  39.8  Nulo    28     17 
12/08/2008  1     Nulo    27.5   16 
13/08/2008  2.7   Nulo    28     15.5 
14/08/2008  0     Nulo    27.5   16.5 
15/08/2008  0     Nulo    28     16.5 
16/08/2008  0     Nulo    28.5   17.5 
17/08/2008  3.1   Nulo    26.5   17.5 
18/08/2008  1.5   Nulo    27     17.5 
19/08/2008  21.8  Nulo    26.5   16.5 
20/08/2008  15.2  Nulo    27     16.9 
21/08/2008  0.5   Nulo    27     16 
22/08/2008  0     Nulo    27     16 
23/08/2008  0     Nulo    27.5   16.5 
24/08/2008  2.5   Nulo    28     16 
25/08/2008  8.9   Nulo    27     16.5 
26/08/2008  23.5  Nulo    23     16.5 
27/08/2008  3.7   Nulo    26     16 
28/08/2008  20.5  Nulo    27     16 
29/08/2008  21.9  Nulo    28     16.5 
30/08/2008  2     Nulo    26.5   16.5 
31/08/2008  1.3   Nulo    27.5   16.5 
01/09/2008  14.7  Nulo    27.5   15.5 
02/09/2008  14.5  Nulo    28     16 
03/09/2008  7.5   Nulo    27     15.5 
04/09/2008  0     Nulo    27.5   16 
05/09/2008  0     Nulo    27.5   14 
06/09/2008  0     Nulo    28     15 
07/09/2008  3.7   Nulo    27     16.5 
08/09/2008  16.7  Nulo    25.5   17 
09/09/2008  8     Nulo    27     16.5 
10/09/2008  3.5   Nulo    26     16.5 
11/09/2008  0.5   Nulo    26     16.5 
12/09/2008  0     Nulo    27.5   17 
13/09/2008  21.5  Nulo    27.5   17 
14/09/2008  36.3  Nulo    26     14.5 
15/09/2008  6.5   Nulo    24.5   14.5 
16/09/2008  0.5   Nulo    24.5   15.5 
17/09/2008  0     Nulo    25     15.5 
18/09/2008  9.8   Nulo    27     16 
