CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A MARZO 2020;CON LA INFORMACION SUMINISTRADA POR LAS OFICINAS REGIONALES
 
ESTACION  : 14392
NOMBRE    : PASO DEL CUARENTA II
ESTADO    : JALISCO
MUNICIPIO : LAGOS DE MORENO
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 021.489°
LONGITUD  : -101.753°
ALTITUD   : 1,998 msnm
 
EMISION   : 06/04/2020 
 
           PRECIP  EVAP   TMAX   TMIN
  FECHA     (MM)   (MM)   (°C)   (°C)
01/01/2008  0      3.6    21     4.5 
02/01/2008  0      4.1    13     4 
03/01/2008  0      3.8    19     1 
04/01/2008  0      4      24     0.5 
05/01/2008  0      3.6    26.5   1 
06/01/2008  0      2.7    27     2 
07/01/2008  0      3.2    26.5   1 
08/01/2008  0      4.2    26     1 
09/01/2008  0      3.5    26.5   0 
10/01/2008  0      3.8    25    -1 
11/01/2008  0      3.5    25.5  -1.5 
12/01/2008  0      3.9    26    -2 
13/01/2008  0      3.2    25    -2 
14/01/2008  0      3.8    23.5  -3 
15/01/2008  0      2.7    22     2.5 
16/01/2008  0      2.9    22     4 
17/01/2008  0      3.3    26    -1 
18/01/2008  0      3.6    23    -1 
19/01/2008  0      3.3    22.5  -1.5 
20/01/2008  0      2.8    21.5   1 
21/01/2008  0      2.7    25     2 
22/01/2008  0      2.5    27     2 
23/01/2008  0      3.1    29     3.5 
24/01/2008  0      3.6    28     4 
25/01/2008  0      3.8    27.5   4 
26/01/2008  0      3.9    27     4 
27/01/2008  0      5      27     9 
28/01/2008  0      5.6    27.5   7.5 
29/01/2008  0      3.8    26     2 
30/01/2008  0      3.9    26     1 
31/01/2008  0      4.6    27.5   2 
01/02/2008  0      4.1    26     2.5 
02/02/2008  0      4.4    26     1.5 
03/02/2008  0      3.7    28     1.5 
04/02/2008  0      3.8    26.5   2 
05/02/2008  0      4.4    26.5   1.5 
06/02/2008  0      4.9    27.5   0 
07/02/2008  0      3.5    26     0 
08/02/2008  0      4.7    27.5   1.5 
09/02/2008  0      3.8    27.5   3 
10/02/2008  0      4.6    27.5   4 
11/02/2008  0      3.9    24.5   4 
12/02/2008  0      3.8    24     5 
13/02/2008  0      3.9    26.5   5 
14/02/2008  0      4.5    24.5   2.5 
15/02/2008  0      6.5    28.5   1 
16/02/2008  0      4.7    28.5   1 
17/02/2008  0      4.6    29     1 
18/02/2008  0      4.5    29.5   0 
19/02/2008  0      4.6    29    -0.5 
20/02/2008  0      5.2    29     1 
21/02/2008  0      5.7    27     0.5 
22/02/2008  0      4.4    29     0 
23/02/2008  0      5.5    29     1.5 
24/02/2008  0      5.8    31.5   4 
25/02/2008  0      5.9    31.5   2.5 
26/02/2008  0      5.5    31     3 
27/02/2008  0      6.9    24     2.5 
28/02/2008  0      6.3    26     5.5 
29/02/2008  0      3.9    28     3 
01/03/2008  0      5      31     4 
02/03/2008  0      5.2    29     4.5 
03/03/2008  0      6      28     3 
04/03/2008  0      6.6    26     5.5 
05/03/2008  0      4.7    26.5   3 
06/03/2008  0      7      24.5   0 
07/03/2008  0      6.6    24.5  -2 
08/03/2008  0      6.2    24    -3.5 
09/03/2008  0      4.9    24.5  -1.5 
10/03/2008  0      5.2    27    -1.5 
11/03/2008  0      5.4    27     1 
12/03/2008  0      4.7    29     3 
13/03/2008  0      5.9    27     3 
14/03/2008  0      6.6    29     1.5 
15/03/2008  0      5.5    30.5   0.5 
16/03/2008  0      6      29.5   0 
17/03/2008  0      6.5    29     3.5 
18/03/2008  0      8      26.5   3 
19/03/2008  0      7      26.5   7 
20/03/2008  0      7.7    27.5   7.5 
21/03/2008  0      6      30     7 
22/03/2008  0      4.9    30     4 
23/03/2008  0      6.2    29     4 
24/03/2008  0      6.3    24     5 
25/03/2008  0      5.2    28     5 
26/03/2008  0      4.8    30     6 
27/03/2008  0      5.7    30     5 
28/03/2008  0      6.2    31     4 
29/03/2008  0      7      31     5 
30/03/2008  0      6.8    32     5 
31/03/2008  0      7.1    33.5   5 
01/04/2008  0      6.6    35     5 
02/04/2008  0      6.9    34     6 
03/04/2008  0      5.9    34     9 
04/04/2008  0      6.7    33     6.5 
05/04/2008  0      8.7    30.5   4 
06/04/2008  0      6.1    30.5   3 
07/04/2008  0      6.4    31.5   3.5 
08/04/2008  0      5.8    32     3 
09/04/2008  0      7.5    32     4 
10/04/2008  0      7.6    32     6 
11/04/2008  0      7.2    33     4 
12/04/2008  1.9    5.8    31     4 
13/04/2008  5.2    4.8    25.5   11 
14/04/2008  0      3.9    25     10 
15/04/2008  0      6.2    28     9.5 
16/04/2008  0      6.9    30.5   10 
17/04/2008  0      5.1    30     6.5 
18/04/2008  0      6.9    32     3.5 
19/04/2008  0      7.8    33     3 
20/04/2008  0      5.2    33     8 
21/04/2008  0      6.4    34     5.5 
22/04/2008  0      6.8    35     6 
23/04/2008  0      7.8    34.5   7.5 
24/04/2008  0      8.3    33.5   13 
25/04/2008  0      6.3    33.5   6 
26/04/2008  0      7.1    34     6 
27/04/2008  0      8      33     7 
28/04/2008  0      7.3    30.5   6 
29/04/2008  0.1    7.6    29.5   11 
30/04/2008  0      4.6    30     9 
01/06/2008  0      7.4    33     12 
02/06/2008  0      7.7    34     14 
03/06/2008  0      9.2    33     13 
04/06/2008  0      9.3    34     12 
05/06/2008  0      8.3    34     11 
06/06/2008  2.6    8.1    33     13 
07/06/2008  5.2    8      27     12 
08/06/2008  29.8   3.1    26     15.5 
09/06/2008  0.8    2      28     16 
10/06/2008  19.5   3.9    22     16 
11/06/2008  12.3   3.3    23     15 
12/06/2008  0      0.4    28     15 
13/06/2008  0      5      30     14 
14/06/2008  0      7.1    29.5   15 
15/06/2008  0      5.7    29     14.5 
16/06/2008  0      4.5    29     13 
17/06/2008  7.6    6.2    30     13.5 
18/06/2008  0      5.9    30     13 
19/06/2008  0      6.1    30     13 
20/06/2008  0      7.7    32     13 
21/06/2008  0      9.5    29.5   12 
22/06/2008  0      7.2    30     15 
23/06/2008  0      8      29     14 
24/06/2008  0      5.8    31     14 
25/06/2008  0      6.8    30     15.5 
26/06/2008  0      8      31     13 
27/06/2008  5.7    4.9    30.5   12 
28/06/2008  0      4.2    31     13 
29/06/2008  0      6.7    30     16 
30/06/2008  0      5.7    26     14 
01/07/2008  0      7.2    26.5   15 
02/07/2008  38.5   2.7    27.5   14 
03/07/2008  5.7    7.8    24     15 
04/07/2008  1      3.8    22.5   14 
05/07/2008  13.5   0.9    24     15 
06/07/2008  2.5    4.2    27     14 
07/07/2008  13.6   2.5    21.5   14 
08/07/2008  27.1   0.8    20.5   16 
09/07/2008  1      0.4    18.5   15 
10/07/2008  0      1.2    24.5   15 
11/07/2008  0      4.8    23     15 
12/07/2008  0      3.3    27     15 
13/07/2008  0      5.4    27     15 
14/07/2008  0      5.7    27     15 
15/07/2008  0      3.9    28     15 
16/07/2008  0      7.1    28     14 
17/07/2008  4.3    7      30     13 
18/07/2008  2.8    4.9    28     12 
19/07/2008  5.3    3      24.5   12 
20/07/2008  0      3.6    26     13 
21/07/2008  0      5.4    27     13 
22/07/2008  0      6.6    28     10 
23/07/2008  0      5.3    28     9 
24/07/2008  4.3    4      27     13 
25/07/2008  2.7    3.6    26     15 
26/07/2008  0      4.2    27.5   14 
27/07/2008  0      5.1    26     14 
28/07/2008  11.2   4.6    29     10 
29/07/2008  18.5   6.2    28     10 
30/07/2008  19.5   8.5    27     12 
31/07/2008  8.5    6.1    24     12 
01/08/2008  21.1   1.4    24     12 
02/08/2008  0      1.1    26     14 
03/08/2008  0      5.9    26     15 
04/08/2008  0      4.1    26     12.5 
05/08/2008  0      5.2    27     12.5 
06/08/2008  0      7.1    26.5   13 
07/08/2008  7      7.2    25.5   15 
08/08/2008  0.5    2.3    25.5   13.5 
09/08/2008  0      3      26     13 
10/08/2008  0      3.2    29     12 
11/08/2008  0      4.2    29.5   10 
12/08/2008  1.2    6.1    28     8.5 
13/08/2008  0      5.6    27     13 
14/08/2008  0.8    4.5    27     12 
15/08/2008  1.8    3      29     12 
16/08/2008  0      5.7    28     15 
17/08/2008  0      5.9    26     14 
18/08/2008  23.5   3.5    24.5   15 
19/08/2008  5.1    1.7    24     14 
20/08/2008  8      2.1    22     15 
21/08/2008  27.5   1.6    23.5   14 
22/08/2008  10.9   1.1    27     14 
23/08/2008  37.4   2.2    26     13 
24/08/2008  20.8   2.6    24.5   14 
25/08/2008  32.8   2.8    26.5   14.5 
26/08/2008  20.5   2.7    26     15.5 
27/08/2008  21.5   2.9    23     14 
28/08/2008  4.5    3.1    22     14 
29/08/2008  0      3      24.5   14 
30/08/2008  0      3.1    24     15 
31/08/2008  0      5.4    26     15.5 
01/09/2008  0      5.4    27     14 
02/09/2008  5      3.2    28     13.5 
03/09/2008  0      4.7    27.5   12 
04/09/2008  0      5      20     12 
05/09/2008  0      5.4    25.5   14 
06/09/2008  0      5.8    24.5   14 
07/09/2008  0      4.9    24.5   15 
08/09/2008  37.2   2.3    24     15 
09/09/2008  0      3.4    24     16.5 
10/09/2008  37     1.9    25     16 
11/09/2008  0      2.2    26     15.5 
12/09/2008  0      1.6    26     15.5 
13/09/2008  13.9   4.9    26     16 
14/09/2008  1.3    9.8    22.5   15 
15/09/2008  6.5    1.9    21     15 
16/09/2008  0      1.6    21.5   15 
17/09/2008  0      3.6    22.5   14 
18/09/2008  0      2.5    24.5   13 
19/09/2008  0      3.7    25     12 
20/09/2008  0      4.1    25     12 
21/09/2008  0      4.9    24.5   14 
22/09/2008  0      2.9    21.5   13 
23/09/2008  0      2.5    23     15 
24/09/2008  0      3.3    25     15 
25/09/2008  0      3.2    26     16 
26/09/2008  0      4.2    23     13 
27/09/2008  0      4.7    25     11 
28/09/2008  0      5.3    24     10.5 
29/09/2008  0      5.5    25     11 
30/09/2008  0      5.9    24.5   10 
01/10/2008  0      5.5    23.5   9.5 
02/10/2008  0      6.8    22.5   9.5 
03/10/2008  0      5.8    26     7.5 
04/10/2008  0      5.8    25     6.5 
05/10/2008  0      5.7    27.5   7 
06/10/2008  0      4.7    27     6 
07/10/2008  0      2.1    27     9 
08/10/2008  0      4.8    25     8 
09/10/2008  0      3.9    24     9 
10/10/2008  0      3.8    28     12 
11/10/2008  1.2    5.3    27     12 
12/10/2008  0      3.9    26     11 
13/10/2008  0      3.3    27     12 
14/10/2008  0      5.5    24.5   13 
15/10/2008  0      4.6    27     9 
16/10/2008  0      4.4    25     9 
17/10/2008  0      3.8    25.5   13 
18/10/2008  0      4.9    24     15 
19/10/2008  0      4.3    24     12 
20/10/2008  0      4.5    26     11 
21/10/2008  0      5.8    27.5   7 
22/10/2008  0      5.8    29     5 
23/10/2008  0      4.5    26     7 
24/10/2008  0      5.4    29     10 
25/10/2008  0      4.9    26     10 
26/10/2008  0      3.8    28     10 
27/10/2008  0      7      21     13 
28/10/2008  0      5.2    15     10 
29/10/2008  0      2.4    23     7.5 
30/10/2008  0      5.1    26     5 
31/10/2008  0      5.3    23.5   4.5 
01/11/2008  0      4.7    24     5 
02/11/2008  0      4.6    25     7 
03/11/2008  0      4.4    26     6 
04/11/2008  0      4      27.5   5 
05/11/2008  0      4.2    26.5   5 
06/11/2008  0      3.6    27     4 
07/11/2008  0      3.4    27     5 
08/11/2008  0      3.5    26     4 
09/11/2008  0      3.6    27     7 
10/11/2008  0      4      26     6 
11/11/2008  0      4      27     4 
12/11/2008  0      4.1    26.5   5 
13/11/2008  0      3.8    27     3 
14/11/2008  0      3.8    28     1 
15/11/2008  0      3.7    22     0.5 
16/11/2008  0      4.6    21.5   5 
17/11/2008  0      8.9    22.5   3.5 
18/11/2008  0      3.6    21     2 
19/11/2008  0      5.5    22     4 
20/11/2008  0      4.7    19     3 
21/11/2008  0      4.3    20     5 
22/11/2008  0      3.5    22.5   8 
23/11/2008  0      3.9    23     5.5 
24/11/2008  0      4.7    26     4 
25/11/2008  0      4.2    23     5.5 
26/11/2008  0      4.8    27     4.5 
27/11/2008  0      3.4    28     3.5 
28/11/2008  0      3.7    28     2 
29/11/2008  0      3      25     1 
30/11/2008  0      3.8    24.5   1 
01/12/2008  0      4.2    15    -1 
02/12/2008  0      3.6    25     2 
03/12/2008  0      3.4    24    -1.5 
04/12/2008  0      3.9    25    -1.5 
05/12/2008  0      3.8    24.5   6.5 
06/12/2008  0      3.5    26.5   1 
07/12/2008  0      2      26.5   1 
08/12/2008  0      3.6    26     3 
09/12/2008  0      4.5    25     4 
10/12/2008  0      4.3    21     0.5 
11/12/2008  0      3.8    23     1 
12/12/2008  0      3.5    26     0 
13/12/2008  0      3.5    24     0 
14/12/2008  0      3.6    26.5   1 
15/12/2008  0      3.7    27    -2 
16/12/2008  0      4.3    29    -1.5 
17/12/2008  0      11     27     0 
18/12/2008  0      3.1    26.5   0.5 
19/12/2008  0      3.2    29     2 
20/12/2008  0      3.4    27     8 
21/12/2008  0      3.8    26     4 
22/12/2008  0      3.7    29     2.5 
23/12/2008  0      4.1    23.5   0.5 
24/12/2008  0      3.4    25     1.5 
25/12/2008  0      5.5    25     1 
26/12/2008  0      3.7    26     1.5 
27/12/2008  0      3.8    26     1.5 
28/12/2008  0      3.9    24     2 
29/12/2008  0      2.8    29     0.5 
30/12/2008  0      2      24     2.5 
31/12/2008  0      2.4    25     2.5 
01/01/2009  0      4.6    23.5   2 
02/01/2009  0      3.3    24     1 
03/01/2009  0      3.6    24     1 
04/01/2009  0      2.4    25     1 
05/01/2009  0      3.7    26     1 
06/01/2009  0      2.6    23     1 
07/01/2009  0      3.5    23.5   1 
08/01/2009  0      3.2    29     0 
09/01/2009  0      3.5    28.5   2 
10/01/2009  0      3.7    29     0.5 
11/01/2009  0      3.4    25     1 
12/01/2009  0      2.5    23.5   1.5 
13/01/2009  0      3.9    21.5   6 
14/01/2009  0      3.1    24     4.5 
15/01/2009  0      2.3    19     5.5 
16/01/2009  0      2.8    16.5   9.5 
17/01/2009  0      3.3    22.5   3 
18/01/2009  0      2.5    19     4 
19/01/2009  0      3.5    19     2 
20/01/2009  0      4.2    24.5   2.5 
21/01/2009  0      5.4    21     5.5 
22/01/2009  0      2      27.5   4 
23/01/2009  0      6      28     6 
24/01/2009  0      3.8    27     4 
25/01/2009  0      4      28.5   7 
26/01/2009  0      4.1    29     4 
27/01/2009  0      4.4    29     3.5 
28/01/2009  0      3.2    30     2 
29/01/2009  0      5.5    28     0.5 
30/01/2009  0      5.3    26     0 
31/01/2009  0      4      27     5.5 
01/02/2009  0      4.1    24     1 
02/02/2009  0      6      25     1 
03/02/2009  0      2.8    25     0.5 
04/02/2009  0      4.7    22.5   7.5 
05/02/2009  0      4.9    22.5   6.5 
06/02/2009  0      5.7    25     3.5 
07/02/2009  0      5.7    27     2.5 
