CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A MARZO 2020;CON LA INFORMACION SUMINISTRADA POR LAS OFICINAS REGIONALES
 
ESTACION  : 14395
NOMBRE    : IXTLAHUACAN DE SANTIAGO
ESTADO    : JALISCO
MUNICIPIO : UNION DE TULA
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA
CVE-OMM   : Nulo
LATITUD   : 019.997°
LONGITUD  : -104.185°
ALTITUD   : 1,460 msnm
 
EMISION   : 06/04/2020 
 
           PRECIP  EVAP   TMAX   TMIN
  FECHA     (MM)   (MM)   (°C)   (°C)
01/01/2008  0      4      36     8 
02/01/2008  0      5.1    32     12 
03/01/2008  0      5      30     6.5 
04/01/2008  0      4.2    35     3 
05/01/2008  0      4.7    30     5 
06/01/2008  0      4.6    36     6 
07/01/2008  0      5.3    29     2 
08/01/2008  0      5      30     3 
09/01/2008  0      3.8    29     4 
10/01/2008  0      3.5    28     5 
11/01/2008  0      3.7    27     4 
12/01/2008  0      3.9    30     5 
13/01/2008  0      4      29     3 
14/01/2008  0      3.1    21     6 
15/01/2008  0      4.9    23     7 
16/01/2008  0      3.7    24     5 
17/01/2008  0      3.9    21     2.5 
18/01/2008  0      2.9    23     3.5 
19/01/2008  0      3.1    24     5 
20/01/2008  0      3.3    22     6 
21/01/2008  0      3.4    27     7 
22/01/2008  0      3.8    21     7 
23/01/2008  0      4.5    31     7 
24/01/2008  0      4.4    30     7 
25/01/2008  0      3.8    30.5   9 
26/01/2008  0      3.5    30     10 
27/01/2008  0      5.7    30     9 
28/01/2008  0      3.3    30.5   8 
29/01/2008  0      4.5    30     7 
30/01/2008  0      5.8    28     7 
31/01/2008  0      4.9    30     8 
01/02/2008  0      3.3    27     6 
02/02/2008  0      3.6    27     6 
03/02/2008  0      4.6    27.5   6.5 
04/02/2008  0      4.9    28     7 
05/02/2008  0      5.9    27     5 
06/02/2008  0      5.1    28     5 
07/02/2008  0      5.1    28     6 
08/02/2008  0      4.1    28     6.5 
09/02/2008  0      5      28.5   8 
10/02/2008  0      5.9    29     7.5 
11/02/2008  0      4.5    29     7 
12/02/2008  0      5.1    27     6 
13/02/2008  0      5.1    28     4 
14/02/2008  0      6      28     4 
15/02/2008  0      5      31     3 
16/02/2008  0      4.6    30     5 
17/02/2008  0      4.8    30.5   4 
18/02/2008  0      4.5    29     5 
19/02/2008  0      4.9    28     4 
20/02/2008  0      4.8    29     4 
21/02/2008  0      5.3    28     6 
22/02/2008  0      5.8    31     7 
23/02/2008  0      6      32     6 
24/02/2008  0      5.1    35     7 
25/02/2008  0      4      31     8 
26/02/2008  0      7.3    32     7 
27/02/2008  0      4      32     6 
28/02/2008  0      4.6    35     7 
29/02/2008  0      6.2    34     6 
01/03/2008  0      3.4    37     7 
02/03/2008  0      5.7    36     7 
03/03/2008  0      5.2    36     3 
04/03/2008  0      4.9    32     5 
05/03/2008  0      5.7    30     6 
06/03/2008  0      6.3    28     5 
07/03/2008  0      5.8    27     3 
08/03/2008  0      5.6    31     5 
09/03/2008  0      5.4    29     6 
10/03/2008  0      6.2    29     5 
11/03/2008  0      5.2    29     6 
12/03/2008  0      5.6    33     6.5 
13/03/2008  0      6.3    29     7 
14/03/2008  0      6.9    31     5 
15/03/2008  0      8.4    31     5 
16/03/2008  0      8      32     6 
17/03/2008  0      5.8    31     10 
18/03/2008  0      8.1    30     5 
19/03/2008  0      5.6    30     6.5 
20/03/2008  0      6.6    31.5   8.5 
21/03/2008  0      7.2    31     8 
22/03/2008  0      6.1    30     6.5 
23/03/2008  0      4.9    30     7 
24/03/2008  0      5.2    29     8 
25/03/2008  0      5.4    31     9 
26/03/2008  0      5.9    31     8 
27/03/2008  0      6.1    30     2 
28/03/2008  0      6.7    31     6 
29/03/2008  0      7.2    32     8.5 
30/03/2008  0      7.1    30     8 
31/03/2008  0      6.8    33     7.5 
01/04/2008  0      6.9    33     7 
02/04/2008  0      6.1    34     8 
03/04/2008  0      5.8    34.5   9 
04/04/2008  0      5.4    33     9.5 
05/04/2008  0      6.3    30     10 
06/04/2008  0      6.3    30.5   11.5 
07/04/2008  0      5.9    33     11 
08/04/2008  0      6.5    32     10 
09/04/2008  0      6.2    33.5   9 
10/04/2008  0      5.7    33     10 
11/04/2008  0      5.8    33.5   8 
12/04/2008  0      5.9    31     9 
13/04/2008  0      4.6    34     10.5 
14/04/2008  0      6      33     8 
15/04/2008  0      5.6    29     12 
16/04/2008  0      6.4    32     9 
17/04/2008  0      7.5    33     8 
18/04/2008  0      6.6    31.5   7 
19/04/2008  0      6.4    32     8 
20/04/2008  0      5.9    30     9 
21/04/2008  0      6.2    31     8 
22/04/2008  0      6.3    34     10 
23/04/2008  0      4.4    31     11 
24/04/2008  0      7.2    34     11 
25/04/2008  0      7.4    35     10 
26/04/2008  0      5.5    34.5   9.5 
27/04/2008  0      7.3    35     10 
28/04/2008  0      7.8    33     11.5 
29/04/2008  0      7.4    35     11 
30/04/2008  0      5.1    36     10 
01/05/2008  0      5.2    33.5   9 
02/05/2008  0      6.1    38     8 
03/05/2008  0      5.8    41     9 
04/05/2008  0      7.3    39     11 
05/05/2008  0      6.9    33     9 
06/05/2008  0      7.2    34     10 
07/05/2008  0      7.8    34.5   8 
08/05/2008  0      6.7    40     8 
09/05/2008  0      7.2    40     7 
10/05/2008  0      7.5    39     8 
11/05/2008  0      7.1    36     10 
12/05/2008  0      6.9    34.5   9 
13/05/2008  0      8.5    32     12 
14/05/2008  0      8.1    32.5   13 
15/05/2008  0      7.8    33     11.5 
16/05/2008  0      7.4    35     12 
17/05/2008  0      7.2    31     13 
18/05/2008  0      0.9    30     12.5 
19/05/2008  0      7      29     11 
20/05/2008  0      5.4    31     12 
21/05/2008  0      6.2    30.5   11 
22/05/2008  0      5.5    31     11 
23/05/2008  0      6.1    30     8 
24/05/2008  0      8.1    34     9 
25/05/2008  0      8.8    33     11 
26/05/2008  0      7.9    39     12 
27/05/2008  0      7.9    32     14 
28/05/2008  0      8.9    32     15 
29/05/2008  0      7.4    33     16 
30/05/2008  0      6      33.5   11 
31/05/2008  0      6.4    34     10 
01/06/2008  0      3.3    34     11 
02/06/2008  0      6.5    33.5   13 
03/06/2008  0      6.8    32     13.5 
04/06/2008  0      6.4    33.5   14 
05/06/2008  0      5.9    33     14.5 
06/06/2008  0      5.6    31     15 
07/06/2008  8.3    5.4    31.5   16 
08/06/2008  16.2   5.4    32     17 
09/06/2008  0      5.2    31     15 
10/06/2008  0      5      27     17 
11/06/2008  0      4.8    25     15.5 
12/06/2008  0      4.9    26     16 
13/06/2008  0      4.8    27     17 
14/06/2008  0      4.8    28     16 
15/06/2008  7      4.5    30     15 
16/06/2008  0      5.1    28     16 
17/06/2008  0      5      31     15 
18/06/2008  24.5   4.9    31.5   15 
19/06/2008  0      4.7    32     12 
20/06/2008  21     4.5    32     16 
21/06/2008  32.5   4.7    27     14 
22/06/2008  5.8    5.3    33     15 
23/06/2008  0      4.8    33.5   11 
24/06/2008  0      4.7    36     16 
25/06/2008  0      5.1    35     11.5 
26/06/2008  0      4.8    28     13 
27/06/2008  0      5      25     16 
28/06/2008  6      5.2    31     14 
29/06/2008  0      5.6    35     15 
30/06/2008  0      6      34     17 
01/07/2008  0      5.5    36     15 
02/07/2008  0      6.2    29     16 
03/07/2008  31.1   5.9    28     16 
04/07/2008  0      5.7    29     12 
05/07/2008  0      5.3    30     15 
06/07/2008  0      4.9    29     15 
07/07/2008  17.7   5.4    28     14 
08/07/2008  18.5   5.1    25     17 
09/07/2008  15.6   5.8    26     16 
10/07/2008  0      6.1    23     11 
11/07/2008  0      5.7    26     13 
12/07/2008  13.3   5.9    25     14 
13/07/2008  0      5.4    28     13 
14/07/2008  0      4.9    25     14 
15/07/2008  0      4.8    29     16 
16/07/2008  0      5.3    28     17 
17/07/2008  0      5      27     16 
18/07/2008  11.5   5.4    29     16.5 
19/07/2008  0      4.9    27     14 
20/07/2008  6.8    5.1    28     15 
21/07/2008  3.6    5.2    28.5   14 
22/07/2008  0      5.6    29     15 
23/07/2008  0      5.8    26     16 
24/07/2008  0      5.7    25     15 
25/07/2008  12     5.9    31     11 
26/07/2008  8.5    6.3    28     12 
27/07/2008  0      5.9    27     15 
28/07/2008  0      5.8    29     14 
29/07/2008  4.5    5.3    30     13 
30/07/2008  8      5.5    29     14 
31/07/2008  0      5.5    31     12 
01/08/2008  5.5    5.6    29.5   13 
02/08/2008  0      5.2    25.5   16 
03/08/2008  0      4.7    27     17 
04/08/2008  0      4.5    28.5   15 
05/08/2008  0      4.1    27     16 
06/08/2008  3.4    3.9    29     16.5 
07/08/2008  6.1    3.7    28.5   17 
08/08/2008  0      3.9    27     16.5 
09/08/2008  0      4.2    26.5   14 
10/08/2008  0      4.1    24     14.5 
11/08/2008  8.3    3.9    27     13 
12/08/2008  0      3.9    26     14.5 
13/08/2008  0      3.3    25     14 
14/08/2008  3.5    4.6    27     13.5 
15/08/2008  0      4.3    25     15 
16/08/2008  5.7    4.6    28     13 
17/08/2008  0      4.7    27     15 
18/08/2008  0      4.2    29     15 
19/08/2008  12.5   3.7    27.5   17 
20/08/2008  3      3.3    25     15 
21/08/2008  0      2.7    28.5   16.5 
22/08/2008  0      2      29     15.5 
23/08/2008  0      2.9    27.5   16 
24/08/2008  0      3.2    28.5   13 
25/08/2008  15.2   3.8    28     16 
26/08/2008  18     4      25     17 
27/08/2008  18     5.5    26     16 
28/08/2008  0      4.4    22     14 
29/08/2008  0      3.6    27     12 
30/08/2008  0      2.8    27     14 
31/08/2008  0      3.2    28     17 
01/09/2008  6.9    3.8    28     15.5 
02/09/2008  0      3.6    30     16 
03/09/2008  0      4.1    29     17 
04/09/2008  0      3.8    30     16 
05/09/2008  0      3.7    29     17 
06/09/2008  0      3.2    30     16 
07/09/2008  0      3.7    29     16 
08/09/2008  0      4.2    30     17 
09/09/2008  0      4.1    25     16 
10/09/2008  21     3.8    26     17 
11/09/2008  0      3.2    28     17 
12/09/2008  0      2.8    28     16 
13/09/2008  0      3.1    30     17 
14/09/2008  6      11.9   25.5   17 
15/09/2008  14     5.7    27     17 
16/09/2008  0      5.8    26     14 
17/09/2008  0      5.6    27     15 
18/09/2008  14     5.7    29     13.5 
19/09/2008  0      4.8    26     11 
20/09/2008  0      4.2    26     12 
21/09/2008  6      4.1    27     13.5 
22/09/2008  0      5.2    25     15.5 
23/09/2008  2      4      27     15 
24/09/2008  2.5    4.2    26     15 
25/09/2008  0      4.1    21     16 
26/09/2008  0      3.7    29     14 
27/09/2008  0      4      30     16.5 
28/09/2008  0      4.7    28.5   18 
29/09/2008  0      3.8    29     15 
30/09/2008  0      4      29     14 
01/10/2008  0      4.2    29     16 
02/10/2008  0      4.7    29     12 
03/10/2008  0      2.6    28     12 
04/10/2008  0      3.2    31     11 
05/10/2008  0      4.2    30     11 
06/10/2008  6.5    7.9    29     10 
07/10/2008  0      6.9    28     13 
08/10/2008  0      2.6    29     14.5 
09/10/2008  0      8.1    28     15 
10/10/2008  0      5.5    31     14 
11/10/2008  0      4.1    29     14.5 
12/10/2008  0      4.1    29.5   15 
13/10/2008  0      3.5    29     14 
14/10/2008  0      3.2    28     13 
15/10/2008  0      3.4    30     13.5 
16/10/2008  0      3.2    30     14 
17/10/2008  0      3.7    29     14.5 
18/10/2008  0      8.8    31     15 
19/10/2008  0      4.8    30     16 
20/10/2008  0      4.6    30.5   11 
21/10/2008  4.5    4.4    27     13 
22/10/2008  0      2.8    29     13 
23/10/2008  0      3.7    28     11.5 
24/10/2008  0      2.1    28     13 
25/10/2008  0      2.7    29     10 
26/10/2008  0      3.1    31     11 
27/10/2008  0      3      30     11 
28/10/2008  0      2.8    30     12 
29/10/2008  0      3.1    30     10 
30/10/2008  0      2.8    30     11 
31/10/2008  0      3.2    29     12.5 
01/11/2008  0      3.5    30     13 
02/11/2008  0      3.1    30.5   13.5 
03/11/2008  0      4      30     11 
04/11/2008  0      2.6    28     9 
05/11/2008  0      2.8    28     13 
06/11/2008  0      2.6    27.5   12 
07/11/2008  0      3      27     11.5 
08/11/2008  0      1.9    26     11 
09/11/2008  0      1.4    28     13 
10/11/2008  0      8.4    33     6 
11/11/2008  0      3.5    30     7 
12/11/2008  0      5.1    27     7 
13/11/2008  0      3.3    27     6 
14/11/2008  0      5.5    29     8 
15/11/2008  0      1.5    29.5   7 
16/11/2008  0      2.8    30     7 
