CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A MARZO 2020;CON LA INFORMACION SUMINISTRADA POR LAS OFICINAS REGIONALES
 
ESTACION  : 14396
NOMBRE    : PIEDRA BARRENADA
ESTADO    : JALISCO
MUNICIPIO : JOCOTEPEC
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 020.267°
LONGITUD  : -103.425°
ALTITUD   : 1,530 msnm
 
EMISION   : 06/04/2020 
 
           PRECIP  EVAP   TMAX   TMIN
  FECHA     (MM)   (MM)   (°C)   (°C)
01/01/2008  0      3.1    24     13.5 
02/01/2008  0      2.9    21.5   11.5 
03/01/2008  0      2.2    22.5   10.5 
04/01/2008  0      3      24.5   7 
05/01/2008  0      2.9    23     9 
06/01/2008  0      4      24     10 
07/01/2008  0      3.2    24     11.5 
08/01/2008  0      4.9    23.5   11.5 
09/01/2008  0      4.6    26     12 
10/01/2008  0      4.3    24     12 
11/01/2008  0      3.8    24.5   12 
12/01/2008  0      3.7    24.5   12.5 
13/01/2008  0      3.3    24     13 
14/01/2008  0      4.8    26.5   11.5 
15/01/2008  0      3.2    23.5   11.5 
16/01/2008  0      5.1    24.5   10.5 
17/01/2008  0      4.1    25     11.5 
18/01/2008  0      1.3    21.5   13 
19/01/2008  0      3.2    21.5   12.5 
20/01/2008  0      2.3    18.5   12 
21/01/2008  0      3.7    23     12 
22/01/2008  0      3.2    24     12.5 
23/01/2008  0      4.1    25.5   14 
24/01/2008  0      5.4    26     14.5 
25/01/2008  0      3.8    26.5   14 
26/01/2008  0      3.4    27     14 
27/01/2008  0      4.6    23     14.5 
28/01/2008  0      4.4    26     14.5 
29/01/2008  0      3.4    27.5   12.5 
30/01/2008  0      4.8    28     13.5 
31/01/2008  0      5.7    27     12.5 
01/02/2008  0      3.7    25     14 
02/02/2008  0      4.7    23.5   12.5 
03/02/2008  0      4.6    26.5   13 
04/02/2008  0      6.7    27.5   12.5 
05/02/2008  0      5      27.5   12 
06/02/2008  0      3.3    24     12.5 
07/02/2008  0      5.3    23.5   13 
08/02/2008  0.6    4.4    24     12.5 
09/02/2008  0      3.3    25     13 
10/02/2008  0      5.1    24     14.5 
11/02/2008  0      4.2    24     14 
12/02/2008  0      5.2    27.5   13.5 
13/02/2008  0      5.6    24     12.5 
14/02/2008  0      4.3    28.5   11.5 
15/02/2008  0      5.2    25.5   12.5 
16/02/2008  0      4.7    29.5   13.5 
17/02/2008  0      5.8    28.5   13 
18/02/2008  0      5.2    28     13.5 
19/02/2008  0      6      28     13.5 
20/02/2008  0      7.1    29     12.5 
21/02/2008  0      4.9    28.5   13.5 
22/02/2008  0      4.4    25.5   13 
23/02/2008  0      5.3    25     14 
24/02/2008  0      5.2    30.5   16 
25/02/2008  0      6.8    29     16 
26/02/2008  0      7.1    29     14.5 
27/02/2008  0      5.4    22.5   15.5 
28/02/2008  0      6      23.5   14.5 
29/02/2008  0      5.7    29.5   13.5 
01/03/2008  0      6.5    27.5   15 
02/03/2008  0      6.5    30     15 
03/03/2008  0      6      30.5   14.5 
04/03/2008  0      6.6    29     16 
05/03/2008  0      6.7    29     13.5 
06/03/2008  0      7.9    28     12.5 
07/03/2008  0      7.1    27     10.5 
08/03/2008  0      6.1    23     12 
09/03/2008  0      6.1    27     11.5 
10/03/2008  0      5      27     11.5 
11/03/2008  0      6      25.5   14 
12/03/2008  0      7.6    29     14 
13/03/2008  0      6.4    31     14.5 
14/03/2008  0      7.9    26     12 
15/03/2008  0      5.5    26.5   14 
16/03/2008  0      8.2    28.5   14.5 
17/03/2008  0      7.7    28     15 
18/03/2008  0      9.2    25     15 
19/03/2008  0      5.5    25     12 
20/03/2008  0      6.8    25.5   13.5 
21/03/2008  0      8      27.5   14.5 
22/03/2008  0      4.6    30.5   15 
23/03/2008  0      8.5    31     14.5 
24/03/2008  0      5.3    28     15 
25/03/2008  0      6.1    24     15.5 
26/03/2008  0      6.1    29.5   15 
27/03/2008  0      8.5    32.5   15 
28/03/2008  0      7.5    32.5   15.5 
29/03/2008  0      8      32     15 
30/03/2008  0      7.8    30.5   15.5 
31/03/2008  0      7.2    30.5   16 
01/04/2008  0      8.6    32     17.5 
02/04/2008  0      7      32     15.5 
03/04/2008  0      10.5   32.5   16.5 
04/04/2008  0      8.2    34.5   18 
05/04/2008  0      8.8    31     15.5 
06/04/2008  0      7.3    31.5   15.5 
07/04/2008  0      7.2    29.5   15.5 
08/04/2008  0      9.6    33.5   16 
09/04/2008  0      7.4    33.5   15.5 
10/04/2008  0      9.5    34     14.5 
11/04/2008  0      7.6    32     16 
12/04/2008  0      7.5    30.5   17 
13/04/2008  0.3    5.3    27     17.5 
14/04/2008  0      7.4    23     15 
15/04/2008  0      8.2    27     15.5 
16/04/2008  0      6.2    30     16.5 
17/04/2008  0      8.9    32     16.5 
18/04/2008  0      8.6    32     15.5 
19/04/2008  0      6.3    30     17 
20/04/2008  0      8.5    30.5   16.5 
21/04/2008  0      8.5    32     17 
22/04/2008  0      9.4    33     18.5 
23/04/2008  0      9.2    31.5   17.5 
24/04/2008  0      10     35     18.5 
25/04/2008  0      7.3    33     17.5 
26/04/2008  0      9.4    32.5   17.5 
27/04/2008  0      7.6    32     17.5 
28/04/2008  0      7.8    31     17 
29/04/2008  0      7.5    32.5   18.5 
30/04/2008  0      9.7    33     16 
01/05/2008  0      9.2    33.5   15 
02/05/2008  0      9.4    33     16.5 
03/05/2008  0      7.2    30     16.5 
04/05/2008  0      6.9    29     17 
05/05/2008  0      9.7    34.5   17 
06/05/2008  0      6.2    32.5   17.5 
07/05/2008  0      5.9    32     17.5 
08/05/2008  0      7.5    33     17.5 
09/05/2008  0      9.8    34     18.5 
10/05/2008  0      8.4    33.5   18 
11/05/2008  0      6.5    34     19.5 
12/05/2008  2.9    5.1    30.5   21 
13/05/2008  0      6.9    34.5   17.5 
14/05/2008  0      6.8    33.5   18 
15/05/2008  0.5    5.3    31     19 
16/05/2008  0      8.6    31.5   18 
17/05/2008  0      6.3    33.5   16.5 
18/05/2008  0      7.7    32     16 
19/05/2008  0      5.1    31.5   16.5 
20/05/2008  0      4.4    30.5   16.5 
21/05/2008  0      4      30.5   15 
22/05/2008  0      9.8    30.5   15 
23/05/2008  0      6.7    30     14 
24/05/2008  0      7.4    31.5   15 
25/05/2008  0      7.2    31     16 
26/05/2008  0      7      32.5   18.5 
27/05/2008  0      7      33     19 
28/05/2008  0      8      29.5   19.5 
29/05/2008  0      6.8    29.5   18.5 
30/05/2008  0      7.1    31     18 
31/05/2008  0      5.5    32     18.5 
01/06/2008  0      7.5    32.5   19.5 
02/06/2008  0      9.2    30.5   20 
03/06/2008  0      6.1    30.5   20 
04/06/2008  0      7.2    34.5   19 
05/06/2008  0      7      32.5   17 
06/06/2008  13.6   11.4   33.5   17 
07/06/2008  30.3   4.3    30     18 
08/06/2008  0.6    5.8    28     17 
09/06/2008  77.6   3.1    27.5   18 
10/06/2008  15     2.6    22.5   15.5 
11/06/2008  11.7   4.5    26.5   16.5 
12/06/2008  15.3   3.5    22.5   17.5 
13/06/2008  0.3    4.2    28     17 
14/06/2008  6.1    6.7    28     18 
15/06/2008  7.3    4.3    26     17.5 
16/06/2008  0      6.7    28     16.5 
17/06/2008  0.3    5.3    29.5   18 
18/06/2008  0      6.9    29.5   19 
19/06/2008  3.7    4.9    28.5   18.5 
20/06/2008  11.7   7.7    29.5   18.5 
21/06/2008  12     6.2    27.5   16.5 
22/06/2008  30.8   7.5    26.5   17 
23/06/2008  0      5.8    26.5   17 
24/06/2008  12     7.4    27.5   18.5 
25/06/2008  1      3.9    26.5   16 
26/06/2008  0      5      26     17.5 
27/06/2008  8.5    5.2    28     18 
28/06/2008  1.5    6.6    26.5   16.5 
29/06/2008  55.2   4.7    27     17 
30/06/2008  0.7    0.5    26.5   16.5 
01/07/2008  2.8    3      23     17.5 
02/07/2008  1.6    3.9    26.5   18 
03/07/2008  0      5.8    28     18 
04/07/2008  0.5    5.3    28     18 
05/07/2008  24.2   6.8    27     18 
06/07/2008  47.5   6.9    27     17.5 
07/07/2008  34.2   5.1    24.5   17 
08/07/2008  37.9   3.8    24.5   17 
09/07/2008  18.7   2.2    24.5   17 
10/07/2008  5.8    1.9    24     17 
11/07/2008  3.8    5.6    23     16 
12/07/2008  0      4.5    26.5   16.5 
13/07/2008  12.7   5.5    26.5   17.5 
14/07/2008  1.9    4.4    25.5   17 
15/07/2008  0      4.8    25.5   17 
16/07/2008  0      4.6    26.5   17.5 
17/07/2008  0      6.1    27     18 
18/07/2008  0      6.3    27     16.5 
19/07/2008  0      6.4    26.5   17 
20/07/2008  0      5.4    26     17.5 
21/07/2008  0      6.8    25.5   17.5 
22/07/2008  0      6.4    26.5   17.5 
23/07/2008  0      7.8    29     17.5 
24/07/2008  52.3   3.7    28     18 
25/07/2008  3.7    5.6    26.5   16.5 
26/07/2008  35.3   8.2    26     17 
27/07/2008  0.8    3      25     15 
28/07/2008  0      4.4    27.5   17 
29/07/2008  3.6    5.7    28     17 
30/07/2008  0      5.7    27     16.5 
31/07/2008  0      3.5    27     17 
01/08/2008  0      4.1    26.5   17 
02/08/2008  5.5    5.6    27     17.5 
03/08/2008  0.9    4.9    25.5   16.5 
04/08/2008  1.3    3.2    24     17.5 
05/08/2008  0.3    3.8    25     17.5 
06/08/2008  1.1    5.4    27     17.5 
07/08/2008  9.7    4.3    24     17.5 
08/08/2008  0      4.9    25.5   17 
09/08/2008  0      5.5    27.5   17 
10/08/2008  4      6      29.5   18 
11/08/2008  12.1   6.2    28.5   17 
12/08/2008  4.2    3.4    27.5   16.5 
13/08/2008  1      6.9    28     16.5 
14/08/2008  0      4.8    27     18 
15/08/2008  0      6.1    28     18 
16/08/2008  0      4.7    27     18.5 
17/08/2008  0      4.1    27     19 
18/08/2008  0.4    5.6    28     19 
19/08/2008  9      3.7    26     17.5 
20/08/2008  1.2    3.3    27.5   17.5 
21/08/2008  8.9    4.2    27     17.5 
22/08/2008  4.3    3.8    25     17.5 
23/08/2008  5.3    5.1    27     18.5 
24/08/2008  0      5.7    27     17 
25/08/2008  8      4.9    28     18 
26/08/2008  8      2.6    23.5   18 
27/08/2008  9.1    2.4    24.5   17.5 
28/08/2008  0      5.1    26     17 
29/08/2008  10     3.3    25     18 
30/08/2008  1      4.5    25.5   17.5 
31/08/2008  0      3.7    25.5   18 
01/09/2008  0      6.4    27.5   18.5 
02/09/2008  15.4   7.7    27     19 
03/09/2008  0      4.7    26.5   16.5 
04/09/2008  0      6.2    27     18 
05/09/2008  0      6      26     18.5 
06/09/2008  1      6.9    25.5   18.5 
07/09/2008  8.7    2.5    25     19 
08/09/2008  0.4    3.3    25     18 
09/09/2008  8.2    4.1    27.5   17.5 
10/09/2008  0.8    4.2    26     17.5 
11/09/2008  0      4.9    28.5   17.5 
12/09/2008  0      4.8    28     17 
13/09/2008  44.2   5.4    29     18.5 
14/09/2008  15     5.4    24     16.5 
15/09/2008  40     6.7    21     17 
16/09/2008  9      4.3    24     16.5 
17/09/2008  0      4.4    24     17 
18/09/2008  9.5    3.8    26     17.5 
19/09/2008  5      4.8    24.5   17 
20/09/2008  0      4.1    26.5   16.5 
21/09/2008  0.1    6.4    25     17 
22/09/2008  5.5    6.1    25     17.5 
23/09/2008  11.7   5.4    25.5   18 
24/09/2008  0      4      26.5   17 
25/09/2008  0      5.1    25     18 
26/09/2008  0      4.3    24     16.5 
27/09/2008  0.4    5.4    26     16.5 
28/09/2008  0      5.8    26     16.5 
29/09/2008  0      5.3    23     16.5 
30/09/2008  0      6.9    23.5   15 
01/10/2008  0      6      24     14.5 
02/10/2008  0      4.9    24     14.5 
03/10/2008  0      5.3    25     14.5 
04/10/2008  0      5.1    25.5   15.5 
05/10/2008  0      6      25     15.5 
06/10/2008  0      4.8    27.5   15.5 
07/10/2008  0.9    5.3    25.5   17 
08/10/2008  0.4    4.3    25.5   18 
09/10/2008  6      5.8    26     18 
10/10/2008  6.4    4      25.5   18 
11/10/2008  1.9    3.9    23     18 
12/10/2008  0      2.7    25.5   17 
13/10/2008  16.4   6      27.5   17.5 
14/10/2008  0      5.3    24.5   15.5 
15/10/2008  0      3.9    25.5   16.5 
