CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A MARZO 2020;CON LA INFORMACION SUMINISTRADA POR LAS OFICINAS REGIONALES
 
ESTACION  : 14397
NOMBRE    : PRESA CALDERON
ESTADO    : JALISCO
MUNICIPIO : ZAPOTLANEJO
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 020.696°
LONGITUD  : -102.953°
ALTITUD   : 1,620 msnm
 
EMISION   : 06/04/2020 
 
           PRECIP  EVAP   TMAX   TMIN
  FECHA     (MM)   (MM)   (°C)   (°C)
01/01/2008  0      4.9    27.5   6 
02/01/2008  0      4.7    20     5.5 
03/01/2008  0      3.2    23     2.5 
04/01/2008  0      3.4    26.5   3.5 
05/01/2008  0      3.3    27     3.5 
06/01/2008  0      3.3    27.5   4 
07/01/2008  0      4.2    27     4 
08/01/2008  0      3.9    26.5   4.5 
09/01/2008  0      4.5    27     4.5 
10/01/2008  0      3.5    25.5   4.5 
11/01/2008  0      3.2    26     4.5 
12/01/2008  0      3.8    26     4.5 
13/01/2008  0      3.5    25.5   5 
14/01/2008  0      5.1    26     3 
15/01/2008  0      3.8    23.5   7.5 
16/01/2008  0      3.6    23     6 
17/01/2008  0      3      23     5 
18/01/2008  0      2.7    24     4.5 
19/01/2008  0      2.8    27     5 
20/01/2008  0      2.8    25     5 
21/01/2008  0      3.6    25.5   6 
22/01/2008  0      3.5    27     3.5 
23/01/2008  0      4.1    29     3.5 
24/01/2008  0      3.4    29     8 
25/01/2008  0      3.1    28     8.5 
26/01/2008  0      4.5    28.5   8 
27/01/2008  0      3.8    29     8 
28/01/2008  0      4.1    27     8.5 
29/01/2008  0      3.7    26     7 
30/01/2008  0      4.3    27     7 
31/01/2008  0      4.4    26.5   7 
01/02/2008  0      4      27     7 
02/02/2008  0      3.7    26     7 
03/02/2008  0      4.2    26.5   7 
04/02/2008  0      4.3    27     7 
05/02/2008  0      4.3    27     7 
06/02/2008  0      4.2    27     6 
07/02/2008  0      3.4    25     6.5 
08/02/2008  0      3.4    26     7 
09/02/2008  0      3.1    27     7 
10/02/2008  0      3.2    27     7 
11/02/2008  0      3.8    26     7 
