CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A MARZO 2020;CON LA INFORMACION SUMINISTRADA POR LAS OFICINAS REGIONALES
 
ESTACION  : 14199
NOMBRE    : QUITZEO
ESTADO    : JALISCO
MUNICIPIO : PONCITLAN
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA
CVE-OMM   : Nulo
LATITUD   : 020.270°
LONGITUD  : -102.770°
ALTITUD   : 1,531 msnm
 
EMISION   : 06/04/2020 
 
           PRECIP  EVAP   TMAX   TMIN
  FECHA     (MM)   (MM)   (°C)   (°C)
01/07/2013  0     Nulo   Nulo   Nulo
02/07/2013  0     Nulo   Nulo   Nulo
03/07/2013  17    Nulo   Nulo   Nulo
04/07/2013  2     Nulo   Nulo   Nulo
05/07/2013  1     Nulo   Nulo   Nulo
06/07/2013  5.5   Nulo   Nulo   Nulo
07/07/2013  0     Nulo   Nulo   Nulo
08/07/2013  0     Nulo   Nulo   Nulo
09/07/2013  0     Nulo   Nulo   Nulo
10/07/2013  33.5  Nulo   Nulo   Nulo
11/07/2013  1     Nulo   Nulo   Nulo
12/07/2013  0     Nulo    28    Nulo
13/07/2013  6.5    5.3    29     17 
14/07/2013  0      4.9    28     18 
15/07/2013  26     5.4    26     16 
16/07/2013  33     6.8    24     16 
17/07/2013  13     5.9    28     14 
18/07/2013  0      5.2    27     16 
19/07/2013  26     6.9    28     18 
20/07/2013  16     6      28     17 
21/07/2013  0      5.2    26     16 
22/07/2013  10     4.7    27     16 
23/07/2013  4      3.4    26     17 
24/07/2013  4.5    2.3    27     17 
25/07/2013  3.5    4.3    28     16 
26/07/2013  0      2.6    28     17 
27/07/2013  27.5   3.9    27     17 
28/07/2013  0      2.8    28     16 
29/07/2013  0      3.9    28     16 
30/07/2013  0      3.2    29     17 
31/07/2013  0      3.8    29     17 
01/08/2013  0      5.3    28     18 
02/08/2013  0      4      29     17 
03/08/2013  6.5    3.7    28     17 
04/08/2013  43.5   4.4    29     17 
05/08/2013  0      4.4    29     16 
06/08/2013  0      3.2    29     18 
07/08/2013  0      4.1    29     18 
08/08/2013  2.5    3.1    28     18 
09/08/2013  15     4.8    28     17 
10/08/2013  2      5.2    28     18 
11/08/2013  1      5      29     17 
12/08/2013  6      4.6    27     16 
13/08/2013  0      2.9    29     16 
14/08/2013  0      4.4    30     16 
15/08/2013  0      4.7    29     16 
16/08/2013  0      4.6    29     16 
17/08/2013  0      5.8    29     17 
18/08/2013  0      5.2    30     16 
19/08/2013  0      5.1    29     16 
20/08/2013  0.5    5.8    29     16 
21/08/2013  20.5   4.7    29     16 
22/08/2013  0      2.6    26     16 
23/08/2013  9      4.4    28     16 
24/08/2013  15     3.2    29     16 
25/08/2013  2      3.8    28     16 
26/08/2013  1.5    4      28     16 
27/08/2013  1      3.4    27     16 
28/08/2013  4      4.6    28     16 
29/08/2013  0      4.2    29     16 
30/08/2013  0      3.8    29     16 
31/08/2013  0      2.2    29     16 
01/09/2013  0      3      29     16 
02/09/2013  2      4.6    29     15 
03/09/2013  11.5   4.7    26     17 
04/09/2013  2      1.4    27     17 
05/09/2013  0      1.2    26     17 
06/09/2013  36     3.4    26     17 
07/09/2013  22     2.6    28     17 
08/09/2013  8      4.3    28     16 
09/09/2013  0      4.6    28     17 
10/09/2013  8      4.4    24     17 
11/09/2013  0      5.4    28     16 
12/09/2013  0      2.7    24     16 
13/09/2013  0      3.7    29     17 
14/09/2013  5      3.2    28     17 
15/09/2013  25     4.7    27     17 
16/09/2013  7      4      28     16 
17/09/2013  0      4.1    28     16 
18/09/2013  3.5    5      29     16 
19/09/2013  0      3.1    30     17 
20/09/2013  1.5    3.9    28     18 
21/09/2013  7      3.1    29     17 
22/09/2013  0      4.8    29     17 
23/09/2013  0      5.2    28     18 
24/09/2013  4.5    3.6    29     17 
25/09/2013  0      2.5    29     17 
26/09/2013  43.5   5.2    29     17 
27/09/2013  0      3.3    29     18 
28/09/2013  0      1.7    29     16 
29/09/2013  0      2.2    29     16 
30/09/2013  0      3.5    29     15 
01/10/2013  4      4.9    29     16 
02/10/2013  0      2.8    29     16 
03/10/2013  0      1.7    28     16 
04/10/2013  0      2.3    29     16 
05/10/2013  0      2.5    24.9   16 
06/10/2013  7      2.4    29     15 
07/10/2013  0      2.4    29     15 
08/10/2013  0      1.4    29     16 
09/10/2013  0      2.2    29     17 
10/10/2013  5.5    1.2    28     16 
11/10/2013  2      1.3    28     16 
12/10/2013  0      1.4    29     16 
13/10/2013  0      3.4    29     16 
14/10/2013  0      2.5    29     16 
15/10/2013  0      3.6    28     17 
16/10/2013  0      3.3    29     16 
17/10/2013  0      4.4    29     16 
18/10/2013  0      2.2    29     16 
19/10/2013  0      2.8    29     16 
20/10/2013  0      3.5    29     15 
21/10/2013  0      4.2    26     15 
22/10/2013  1      2.9    26     16 
23/10/2013  0      2.5    26     14 
24/10/2013  0      4.2    27     13 
25/10/2013  0      4.2    29     12 
26/10/2013  0      3.8    29     12 
27/10/2013  0      5.4    28     14 
28/10/2013  8.5    3.6    29     15 
29/10/2013  12.5   3.3    29     15 
30/10/2013  0      2.2    29     14 
31/10/2013  0      3.8    26     15 
01/11/2013  0      3.8    27     15 
02/11/2013  0      3.7    28     15 
