CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A MARZO 2020;CON LA INFORMACION SUMINISTRADA POR LAS OFICINAS REGIONALES
 
ESTACION  : 14388
NOMBRE    : ZAPOTLANEJO (DGE)
ESTADO    : JALISCO
MUNICIPIO : ZAPOTLANEJO
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 020.622°
LONGITUD  : -103.068°
ALTITUD   : 1,515 msnm
 
EMISION   : 06/04/2020 
 
           PRECIP  EVAP   TMAX   TMIN
  FECHA     (MM)   (MM)   (°C)   (°C)
07/10/1986  0     Nulo    34    Nulo
08/10/1986  31.5   6.2    26     11 
09/10/1986  0      2      26     16 
10/10/1986  0      2      25     16 
11/10/1986  0      3.1    27     15 
12/10/1986  0      6.5    27     15 
13/10/1986  0      3.7    28     13 
14/10/1986  0      4.2    29     14 
15/10/1986  0      4.2    28     16 
16/10/1986  0      6.2    28     13 
17/10/1986  0      3.4    27     11 
18/10/1986  1.5    3.8    28     13 
19/10/1986  1      2      28     11 
20/10/1986  4      2      22     13 
21/10/1986  2.7    0.7    22     14 
22/10/1986  0      4      25     14 
23/10/1986  0      3.7    25     10 
24/10/1986  0      4.1    26     8 
25/10/1986  0      5      21     8 
26/10/1986  0      5      26     7 
27/10/1986  0      4.1    26     7 
28/10/1986  0      3.7    24     8 
29/10/1986  0      5.4    26     8 
30/10/1986  0      4.8    25     6 
31/10/1986  0      4      25     6 
01/11/1986  0      4.3    28     7 
02/11/1986  0      4.9    28    Nulo
03/11/1986  0.4    3.4    28     11 
04/11/1986  0      2.5    25     14 
05/11/1986  6      3      25     11 
06/11/1986  0      3.5    25     11 
07/11/1986  0      3.8    26     11 
08/11/1986  0      4.1    29.5   11.5 
09/11/1986  0      5.9    29     11.5 
10/11/1986  0      4.5    29     10 
11/11/1986  0      4.6    28     10 
12/11/1986  0      4.4    28.5   12 
13/11/1986  0      5.3    27.5   12 
14/11/1986  0      4.8    27.5   10.5 
15/11/1986  0      3.1    27     11 
