CNA-SMN-CG-GMC-SMAA-CLIMATOLOGÍA
BASE DE DATOS CLIMATOLÓGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2019
 
ESTACIÓN  : 14067
NOMBRE    : HIGUERA BLANCA
ESTADO    : JALISCO
MUNICIPIO : TOMATLAN
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 0019.994°
LONGITUD  : -105.163°
ALTITUD   : 140 msnm
 
EMISIÓN   : 14/08/2019 
 
           PRECIP  EVAP   TMAX   TMIN
  FECHA      mm     mm     °C     °C 
01/01/2008    Nulo    Nulo    Nulo    Nulo
02/01/2008    Nulo    Nulo    Nulo    Nulo
03/01/2008    Nulo    Nulo    Nulo    Nulo
04/01/2008    Nulo    Nulo    Nulo    Nulo
05/01/2008    Nulo    Nulo    Nulo    Nulo
06/01/2008    Nulo    Nulo    Nulo    Nulo
07/01/2008    Nulo    Nulo    Nulo    Nulo
08/01/2008    Nulo    Nulo    Nulo    Nulo
09/01/2008    Nulo    Nulo    Nulo    Nulo
10/01/2008    Nulo    Nulo    Nulo    Nulo
11/01/2008    Nulo    Nulo    Nulo    Nulo
12/01/2008    Nulo    Nulo    Nulo    Nulo
13/01/2008    Nulo    Nulo    Nulo    Nulo
14/01/2008    Nulo    Nulo    Nulo    Nulo
15/01/2008    Nulo    Nulo    Nulo    Nulo
16/01/2008    Nulo    Nulo    Nulo    Nulo
17/01/2008    Nulo    Nulo    Nulo    Nulo
18/01/2008    Nulo    Nulo    Nulo    Nulo
19/01/2008    Nulo    Nulo    Nulo    Nulo
20/01/2008    Nulo    Nulo    Nulo    Nulo
21/01/2008    Nulo    Nulo    Nulo    Nulo
22/01/2008    Nulo    Nulo    Nulo    Nulo
23/01/2008    Nulo    Nulo    Nulo    Nulo
24/01/2008    Nulo    Nulo    Nulo    Nulo
25/01/2008    Nulo    Nulo    Nulo    Nulo
26/01/2008    Nulo    Nulo    Nulo    Nulo
27/01/2008    Nulo    Nulo    Nulo    Nulo
28/01/2008    Nulo    Nulo    Nulo    Nulo
29/01/2008    Nulo    Nulo    Nulo    Nulo
30/01/2008    Nulo    Nulo    Nulo    Nulo
31/01/2008    Nulo    Nulo    Nulo    Nulo
01/02/2008    0.0    4.3    31.0    14.0
02/02/2008    0.0    4.8    32.5    13.0
03/02/2008    0.0    4.7    33.0    12.5
04/02/2008    0.0    3.3    31.5    13.0
05/02/2008    0.0    4.9    30.0    13.5
06/02/2008    0.0    3.9    29.5    13.5
07/02/2008    0.0    3.0    30.5    14.5
08/02/2008    0.0    4.3    29.5    16.0
09/02/2008    0.0    4.3    30.0    15.5
10/02/2008    0.0    4.4    31.0    14.5
11/02/2008    0.0    3.4    31.5    15.0
12/02/2008    0.0    5.3    31.5    13.0
13/02/2008    0.0    3.7    32.0    12.0
14/02/2008    0.0    4.8    32.5    11.0
15/02/2008    0.0    5.2    32.0    13.0
16/02/2008    0.0    5.5    31.0    12.0
17/02/2008    0.0    3.2    28.5    11.0
18/02/2008    0.0    4.1    26.0    10.5
19/02/2008    0.0    5.4    27.5    13.0
20/02/2008    0.0    3.0    28.0    11.0
21/02/2008    0.0    3.7    28.5    13.0
22/02/2008    0.0    4.3    28.0    11.0
23/02/2008    0.0    4.2    29.0    10.0
24/02/2008    0.0    3.4    28.0    11.5
25/02/2008    0.0    4.7    28.5    14.0
26/02/2008    0.0    4.2    29.0    11.5
27/02/2008    0.0    5.2    26.5    13.0
28/02/2008    0.0    4.5    30.0    13.5
29/02/2008    0.0    4.5    29.5    11.5
01/03/2008    0.0    5.4    31.5    12.0
02/03/2008    0.0    5.1    27.5    13.0
03/03/2008    0.0    3.5    30.0    12.5
04/03/2008    0.0    5.6    28.5    14.0
05/03/2008    0.0    4.9    29.0    12.5
06/03/2008    0.0    5.2    28.5    11.0
07/03/2008    0.0    4.3    32.0    8.0
08/03/2008    0.0    4.9    25.0    11.0
09/03/2008    0.0    5.2    29.5    10.0
10/03/2008    0.0    6.6    33.0    12.5
11/03/2008    0.0    5.8    34.5    15.0
12/03/2008    0.0    5.2    29.5    11.0
13/03/2008    0.0    4.4    29.0    10.5
14/03/2008    0.0    5.2    29.5    8.5
15/03/2008    0.0    4.7    26.5    9.0
16/03/2008    0.0    4.9    28.0    11.0
17/03/2008    0.0    5.2    27.0    11.5
18/03/2008    0.0    5.9    27.0    12.0
19/03/2008    0.0    5.8    27.5    8.5
20/03/2008    0.0    4.4    28.0    12.0
21/03/2008    0.0    7.5    32.5    13.0
22/03/2008    0.0    4.9    32.0    12.0
23/03/2008    0.0    2.7    31.5    11.5
24/03/2008    0.0    5.2    29.0    10.5
25/03/2008    0.0    4.6    30.5    11.0
26/03/2008    0.0    6.9    32.0    14.0
27/03/2008    0.0    7.9    34.5    12.5
28/03/2008    0.0    4.6    31.0    9.5
29/03/2008    0.0    5.5    30.5    10.0
30/03/2008    0.0    5.8    28.0    9.5
31/03/2008    0.0    4.9    28.0    12.5
01/04/2008    0.0    4.3    29.0    15.5
02/04/2008    0.0    5.2    29.5    16.0
03/04/2008    0.0    4.9    30.5    14.5
04/04/2008    0.0    4.5    31.0    13.0
05/04/2008    0.0    4.6    32.0    14.5
06/04/2008    0.0    6.6    32.5    17.0
07/04/2008    0.0    5.4    32.0    19.0
08/04/2008    0.0    5.2    30.0    15.5
09/04/2008    0.0    5.6    31.0    16.0
10/04/2008    0.0    6.1    30.5    15.5
11/04/2008    0.0    5.4    31.0    15.0
12/04/2008    0.0    4.8    31.5    16.0
13/04/2008    0.0    5.5    30.5    15.0
14/04/2008    0.0    3.5    31.5    14.0
15/04/2008    0.0    6.6    33.0    17.0
16/04/2008    0.0    4.5    32.5    15.0
17/04/2008    0.0    5.6    29.0    13.0
18/04/2008    0.0    6.6    32.0    16.0
19/04/2008    0.0    5.7    29.5    15.0
20/04/2008    0.0    7.3    31.5    16.5
21/04/2008    0.0    6.2    32.0    14.5
22/04/2008    0.0    5.3    31.0    15.5
23/04/2008    0.0    6.3    30.5    18.0
24/04/2008    0.0    5.8    31.0    17.5
25/04/2008    0.0    6.7    31.5    17.0
26/04/2008    0.0    3.6    29.5    19.0
27/04/2008    0.0    4.9    31.0    18.5
28/04/2008    0.0    4.9    30.0    15.0
29/04/2008    0.0    4.6    30.0    15.0
30/04/2008    0.0    5.8    31.5    16.5
01/05/2008    0.0    5.1    32.0    15.0
02/05/2008    0.0    6.2    32.5    15.5
03/05/2008    0.0    5.2    30.5    13.5
04/05/2008    0.0    5.1    29.5    15.5
05/05/2008    0.0    6.2    31.5    18.0
06/05/2008    0.0    5.8    32.0    18.0
07/05/2008    0.0    5.7    32.5    19.5
08/05/2008    0.0    6.8    32.0    17.0
09/05/2008    0.0    5.4    30.5    20.0
10/05/2008    0.0    5.2    31.0    18.5
11/05/2008    0.0    5.5    31.5    19.0
12/05/2008    0.0    6.9    31.5    20.0
13/05/2008    0.0    4.8    32.5    18.5
14/05/2008    0.0    6.7    34.0    20.5
15/05/2008    0.0    6.8    34.5    20.5
16/05/2008    0.0    5.8    31.5    20.0
17/05/2008    0.0    6.6    32.5    19.0
18/05/2008    0.0    6.3    32.0    19.5
19/05/2008    0.0    6.8    32.5    20.0
20/05/2008    0.0    7.5    32.0    19.5
21/05/2008    0.0    7.1    32.5    20.0
22/05/2008    0.0    5.4    31.0    16.5
23/05/2008    0.0    7.1    32.0    17.0
24/05/2008    0.0    7.4    31.0    19.5
25/05/2008    0.0    5.9    32.0    19.0
26/05/2008    0.0    6.2    31.5    20.0
27/05/2008    0.0    6.0    31.0    19.5
28/05/2008    0.0    5.3    32.5    20.0
29/05/2008    0.0    7.6    33.5    21.0
30/05/2008    0.0    4.6    32.5    21.5
31/05/2008    0.0    7.2    31.5    20.5
01/06/2008    0.0    7.4    32.5    18.0
02/06/2008    0.0    5.7    31.0    19.0
03/06/2008    0.0    3.5    31.0    20.0
04/06/2008    0.0    5.6    31.5    21.5
05/06/2008    0.0    4.7    32.0    21.0
06/06/2008    0.0    6.8    32.5    21.5
07/06/2008    0.0    6.3    31.5    23.0
08/06/2008    4.0    6.1    32.0    21.5
09/06/2008    0.0    1.2    26.0    22.0
10/06/2008    8.0    1.5    24.5    22.5
11/06/2008    0.0    4.4    29.5    21.0
12/06/2008    0.0    4.6    31.5    19.5
13/06/2008    0.0    4.9    32.0    20.0
14/06/2008    2.5    5.3    32.5    20.5
15/06/2008    0.0    7.4    33.0    21.5
16/06/2008    0.0    4.1    34.5    23.5
17/06/2008    0.0    5.3    33.0    21.5
18/06/2008    0.0    6.6    34.5    22.0
19/06/2008    0.0    4.3    33.5    21.5
20/06/2008    8.0    7.2    34.0    21.0
21/06/2008    0.0    4.2    32.0    21.0
22/06/2008    2.5    2.6    33.0    21.5
23/06/2008    0.0    5.5    33.5    21.0
24/06/2008    0.0    6.6    35.5    23.0
25/06/2008    0.0    7.2    35.0    23.5
26/06/2008    0.0    6.5    33.5    25.0
27/06/2008    0.0    6.8    34.5    23.5
28/06/2008    0.0    4.3    35.0    24.0
29/06/2008    0.0    4.1    34.0    23.5
30/06/2008    0.0    8.4    35.5    24.0
01/07/2008    11.0    2.6    31.5    24.5
02/07/2008    24.5    1.7    28.0    23.5
03/07/2008    1.5    4.3    31.5    23.0
04/07/2008    2.0    6.3    32.0    23.0
05/07/2008    3.0    2.3    30.5    23.5
06/07/2008    5.0    3.0    31.5    22.0
07/07/2008    63.0    1.4    26.5    22.5
08/07/2008    0.0    1.4    27.0    22.0
09/07/2008    0.0    1.8    29.5    21.5
10/07/2008    55.0    1.4    32.5    22.0
11/07/2008    3.5    1.9    29.0    22.5
12/07/2008    0.0    4.6    32.0    23.0
13/07/2008    35.0    2.4    33.5    23.0
14/07/2008    0.5    1.3    31.5    22.5
15/07/2008    0.5    5.9    32.5    23.0
16/07/2008    3.0    3.5    32.0    22.0
17/07/2008    0.0    4.9    31.5    22.5
18/07/2008    0.0    4.7    33.0    23.0
19/07/2008    0.0    6.6    32.5    23.5
20/07/2008    0.0    2.5    32.0    22.5
21/07/2008    21.0    6.7    34.5    23.5
22/07/2008    0.0    3.3    30.0    22.5
23/07/2008    0.0    5.2    33.0    23.0
24/07/2008    39.0    8.4    32.5    23.5
25/07/2008    12.0    1.2    31.5    23.0
26/07/2008    0.0    5.0    32.0    21.5
27/07/2008    0.0    4.5    32.5    22.0
