CNA-SMN-CG-GMC-SMAA-CLIMATOLOGÍA
BASE DE DATOS CLIMATOLÓGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2019
 
ESTACIÓN  : 14112
NOMBRE    : PRESA TROJES
ESTADO    : JALISCO
MUNICIPIO : PIHUAMO
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA
CVE-OMM   : Nulo
LATITUD   : 0018.967°
LONGITUD  : -103.395°
ALTITUD   : 360 msnm
 
EMISIÓN   : 14/08/2019 
 
           PRECIP  EVAP   TMAX   TMIN
  FECHA      mm     mm     °C     °C 
01/01/2008    0.0    4.1    36.0    17.0
02/01/2008    0.0    6.8    33.0    16.0
03/01/2008    0.0    4.2    34.0    14.0
04/01/2008    0.0    3.7    31.0    11.5
05/01/2008    0.0    3.2    33.0    12.0
06/01/2008    0.0    3.8    35.0    13.0
07/01/2008    0.0    4.2    34.0    13.5
08/01/2008    0.0    4.2    35.0    12.0
09/01/2008    0.0    4.5    35.0    10.5
10/01/2008    0.0    4.0    34.0    10.5
11/01/2008    0.0    5.1    34.0    10.5
12/01/2008    0.0    3.8    33.0    9.5
13/01/2008    0.0    3.0    32.0    9.8
14/01/2008    0.0    5.1    33.0    11.0
15/01/2008    0.0    2.9    32.0    13.5
16/01/2008    0.0    4.3    32.5    12.5
17/01/2008    0.0    3.6    31.0    11.5
18/01/2008    0.0    3.2    33.0    12.0
19/01/2008    0.0    3.1    35.0    13.0
20/01/2008    0.0    6.7    34.0    12.0
21/01/2008    0.0    5.7    34.5    13.0
22/01/2008    0.0    3.2    35.0    14.0
23/01/2008    0.0    4.9    35.0    14.0
24/01/2008    0.0    4.1    34.0    14.0
25/01/2008    0.0    4.1    35.0    15.0
26/01/2008    0.0    5.6    36.0    16.0
27/01/2008    0.0    5.2    35.0    15.0
28/01/2008    0.0    3.3    34.5    14.0
29/01/2008    0.0    4.7    36.5    14.0
30/01/2008    0.0    5.7    35.0    14.5
31/01/2008    0.0    3.8    34.0    15.0
01/02/2008    0.0    4.8    33.0    15.0
02/02/2008    0.0    6.3    35.5    15.0
03/02/2008    0.0    4.1    33.0    13.0
04/02/2008    0.0    4.1    35.5    13.0
05/02/2008    0.0    5.2    34.0    13.5
06/02/2008    0.0    5.6    34.5    12.5
07/02/2008    0.0    4.8    34.0    13.0
08/02/2008    0.0    3.3    33.5    14.0
09/02/2008    0.0    5.4    34.0    14.0
10/02/2008    0.0    3.8    35.0    14.5
11/02/2008    0.0    6.4    36.0    14.5
12/02/2008    0.0    5.1    35.0    13.0
13/02/2008    0.0    5.6    36.0    12.5
14/02/2008    0.0    5.3    35.0    11.0
15/02/2008    0.0    6.5    36.0    11.0
16/02/2008    0.0    6.1    31.5    11.0
17/02/2008    0.0    6.7    34.0    10.5
18/02/2008    0.0    4.4    31.5    11.5
19/02/2008    0.0    6.5    32.5    12.5
20/02/2008    0.0    4.7    32.0    12.0
21/02/2008    0.0    5.8    35.0    12.0
22/02/2008    0.0    3.2    31.0    11.0
23/02/2008    0.0    6.6    35.0    11.5
24/02/2008    0.0    6.4    35.5    12.5
25/02/2008    0.0    7.3    36.5    12.5
26/02/2008    0.0    7.4    34.5    12.5
27/02/2008    0.0    6.4    32.5    12.0
28/02/2008    0.0    5.4    35.0    12.0
29/02/2008    0.0    6.6    36.0    12.5
01/03/2008    0.0    7.6    36.5    14.0
02/03/2008    0.0    5.1    33.0    13.0
03/03/2008    0.0    7.3    36.0    12.0
04/03/2008    0.0    3.9    32.0    12.5
05/03/2008    0.0    6.6    35.0    11.0
06/03/2008    0.0    7.4    36.0    11.0
07/03/2008    0.0    5.7    35.0    10.3
08/03/2008    0.0    6.4    33.5    8.5
09/03/2008    0.0    7.3    35.0    8.5
10/03/2008    0.0    7.2    37.0    11.0
11/03/2008    0.0    6.8    38.0    13.5
12/03/2008    0.0    7.8    37.0    13.5
13/03/2008    0.0    9.5    36.5    13.0
14/03/2008    0.0    8.3    35.0    12.0
15/03/2008    0.0    7.1    34.5    11.5
16/03/2008    0.0    6.8    36.0    11.0
17/03/2008    0.0    6.3    35.5    11.5
18/03/2008    0.0    7.1    34.0    12.0
19/03/2008    0.0    6.0    36.0    12.0
20/03/2008    0.0    7.8    36.0    12.5
21/03/2008    0.0    7.3    37.0    15.0
22/03/2008    0.0    8.3    38.0    16.0
23/03/2008    0.0    8.4    38.0    16.0
24/03/2008    0.0    8.6    37.0    13.5
25/03/2008    0.0    5.1    37.0    13.5
26/03/2008    0.0    8.7    38.0    16.0
27/03/2008    0.0    9.3    38.0    15.0
28/03/2008    0.0    8.4    38.0    15.0
29/03/2008    0.0    9.9    38.0    13.0
30/03/2008    0.0    7.7    38.0    13.0
31/03/2008    0.0    8.3    37.5    12.5
01/04/2008    0.0    8.8    35.5    13.0
02/04/2008    0.0    8.9    35.0    13.5
03/04/2008    0.0    6.9    37.5    14.5
04/04/2008    0.0    7.2    36.0    16.0
05/04/2008    0.0    6.9    35.0    18.0
06/04/2008    0.0    7.2    36.0    20.0
07/04/2008    0.0    8.6    37.5    16.0
08/04/2008    0.0    7.3    36.5    16.0
09/04/2008    0.0    6.8    37.0    17.0
10/04/2008    0.0    6.5    36.5    15.0
11/04/2008    0.0    7.0    37.0    16.0
12/04/2008    0.0    6.8    35.0    16.5
13/04/2008    0.0    7.7    36.5    17.0
14/04/2008    0.0    8.3    38.0    21.0
15/04/2008    0.0    8.7    37.5    20.0
16/04/2008    0.0    9.7    38.0    21.0
17/04/2008    0.0    9.7    34.0    17.0
18/04/2008    0.0    7.2    37.5    13.5
19/04/2008    0.0    7.7    37.0    14.5
20/04/2008    0.0    9.2    37.5    17.0
21/04/2008    0.0    9.6    38.0    17.0
22/04/2008    0.0    7.6    36.0    18.0
23/04/2008    0.0    7.0    37.0    19.0
24/04/2008    0.0    8.2    38.0    19.0
25/04/2008    0.0    7.3    39.0    16.0
26/04/2008    0.0    7.1    36.0    17.0
27/04/2008    0.0    7.8    35.0    18.5
28/04/2008    0.0    11.1    37.0    19.0
29/04/2008    0.0    7.9    33.0    18.0
30/04/2008    0.0    8.2    37.0    19.0
01/05/2008    0.0    10.0    38.0    14.0
02/05/2008    0.0    8.3    37.0    14.5
03/05/2008    0.0    7.0    36.0    15.0
04/05/2008    0.0    7.1    35.0    16.0
05/05/2008    0.0    7.6    38.0    17.0
06/05/2008    0.0    8.0    38.5    19.0
07/05/2008    0.0    7.1    37.0    21.5
08/05/2008    0.0    8.4    38.5    20.0
09/05/2008    0.0    7.7    37.0    20.5
10/05/2008    0.0    8.2    36.5    20.0
11/05/2008    0.0    8.6    36.5    21.0
12/05/2008    0.0    7.8    36.0    19.0
13/05/2008    0.0    8.0    37.0    20.0
14/05/2008    0.0    7.8    38.0    18.0
15/05/2008    0.0    8.8    38.0    19.0
16/05/2008    0.0    9.0    39.0    20.0
17/05/2008    0.0    7.5    37.5    19.0
18/05/2008    0.0    8.3    38.5    19.0
19/05/2008    0.0    8.2    37.0    19.5
20/05/2008    0.0    7.1    36.0    20.5
21/05/2008    0.0    8.3    36.0    20.0
22/05/2008    0.0    8.6    34.0    18.0
23/05/2008    0.0    9.5    36.0    17.0
24/05/2008    0.0    8.1    35.5    17.5
25/05/2008    0.0    5.6    34.5    18.5
26/05/2008    0.0    7.8    35.0    20.0
27/05/2008    0.0    7.3    35.0    20.0
28/05/2008    0.0    8.5    37.0    20.5
29/05/2008    0.0    8.4    38.0    22.0
30/05/2008    0.0    8.2    37.0    21.0
31/05/2008    0.0    9.2    32.0    22.0
01/06/2008    0.0    8.7    36.0    21.5
02/06/2008    0.0    7.3    36.0    20.0
03/06/2008    0.0    8.1    34.5    19.0
04/06/2008    0.0    8.3    35.0    20.0
05/06/2008    0.0    8.1    36.0    21.5
06/06/2008    0.0    7.9    35.0    22.0
07/06/2008    0.0    9.5    36.0    22.0
08/06/2008    0.0    6.3    36.0    23.0
09/06/2008    4.0    4.7    34.0    22.0
10/06/2008    12.0    2.1    26.0    21.0
11/06/2008    0.0    5.0    33.0    20.0
12/06/2008    0.5    5.6    33.0    21.0
13/06/2008    0.0    3.3    33.5    21.0
14/06/2008    0.0    6.6    36.0    22.0
15/06/2008    7.0    5.7    37.0    21.0
16/06/2008    0.0    6.1    36.5    21.0
17/06/2008    0.0    8.4    37.0    20.0
18/06/2008    0.0    7.3    37.0    21.0
19/06/2008    0.0    5.3    36.0    22.0
20/06/2008    0.0    8.4    37.0    21.0
21/06/2008    29.0    6.8    38.0    22.0
22/06/2008    0.0    5.3    35.0    21.5
23/06/2008    8.0    4.4    36.0    21.0
24/06/2008    2.5    8.1    38.0    21.0
