CNA-SMN-CG-GMC-SMAA-CLIMATOLOGÍA
BASE DE DATOS CLIMATOLÓGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2019
 
ESTACIÓN  : 14118
NOMBRE    : QUITO
ESTADO    : JALISCO
MUNICIPIO : TUXPAN
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 0019.525°
LONGITUD  : -103.433°
ALTITUD   : 1,045 msnm
 
EMISIÓN   : 14/08/2019 
 
           PRECIP  EVAP   TMAX   TMIN
  FECHA      mm     mm     °C     °C 
01/01/2008    0.2    7.5    30.3    10.6
02/01/2008    0.0    8.0    25.5    11.3
03/01/2008    0.0    3.3    25.1    8.3
04/01/2008    0.0    3.3    27.5    5.8
05/01/2008    0.0    4.7    28.9    6.5
06/01/2008    0.0    2.4    28.1    11.4
07/01/2008    0.0    4.0    29.4    6.4
08/01/2008    0.0    4.2    29.5    5.1
09/01/2008    0.0    4.4    28.5    5.1
10/01/2008    0.0    3.5    29.4    5.6
11/01/2008    0.0    4.0    28.1    6.4
12/01/2008    0.0    4.9    28.3    3.8
13/01/2008    0.0    3.2    30.5    7.0
14/01/2008    0.0    3.5    27.7    7.2
15/01/2008    0.0    4.0    26.1    8.0
16/01/2008    0.0    3.5    26.3    5.2
17/01/2008    0.0    3.1    25.7    5.6
18/01/2008    0.0    3.0    27.9    6.5
19/01/2008    0.0    5.5    30.9    9.0
20/01/2008    0.0    6.3    27.9    7.2
21/01/2008    0.0    3.6    29.4    6.9
22/01/2008    0.0    3.8    30.2    7.4
23/01/2008    0.0    5.0    32.0    9.1
24/01/2008    0.0    4.7    30.7    9.4
25/01/2008    0.0    3.8    30.2    9.9
26/01/2008    0.0    4.7    28.7    10.8
27/01/2008    0.0    5.0    31.1    10.1
28/01/2008    0.0    4.6    30.2    9.3
29/01/2008    0.0    4.7    31.0    10.0
30/01/2008    0.0    4.7    29.7    9.9
31/01/2008    0.0    4.7    29.7    8.2
01/02/2008    0.0    4.5    34.0    7.0
02/02/2008    0.0    4.8    35.0    7.0
03/02/2008    0.0    4.5    35.0    7.0
04/02/2008    0.0    4.9    35.0    7.0
05/02/2008    0.0    4.9    33.0    7.0
06/02/2008    0.0    5.2    34.0    6.0
07/02/2008    0.0    4.5    34.0    6.0
08/02/2008    0.0    4.6    35.0    7.0
09/02/2008    0.0    4.1    36.0    8.0
10/02/2008    0.0    4.0    36.0    9.0
11/02/2008    0.0    3.9    36.0    8.0
12/02/2008    0.0    3.7    35.0    7.0
13/02/2008    0.0    5.2    36.0    7.0
14/02/2008    0.0    5.4    34.0    5.0
