CNA-SMN-CG-GMC-SMAA-CLIMATOLOGÍA
BASE DE DATOS CLIMATOLÓGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2019
 
ESTACIÓN  : 14129
NOMBRE    : SAN MARCOS
ESTADO    : JALISCO
MUNICIPIO : TONILA
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 0019.445°
LONGITUD  : -103.504°
ALTITUD   : 1,120 msnm
 
EMISIÓN   : 14/08/2019 
 
           PRECIP  EVAP   TMAX   TMIN
  FECHA      mm     mm     °C     °C 
01/01/2008    Nulo    Nulo    Nulo    Nulo
02/01/2008    Nulo    Nulo    Nulo    Nulo
03/01/2008    Nulo    Nulo    Nulo    Nulo
04/01/2008    Nulo    Nulo    Nulo    Nulo
05/01/2008    Nulo    Nulo    Nulo    Nulo
06/01/2008    Nulo    Nulo    Nulo    Nulo
07/01/2008    Nulo    Nulo    Nulo    Nulo
08/01/2008    Nulo    Nulo    Nulo    Nulo
09/01/2008    Nulo    Nulo    Nulo    Nulo
10/01/2008    Nulo    Nulo    Nulo    Nulo
11/01/2008    Nulo    Nulo    Nulo    Nulo
12/01/2008    Nulo    Nulo    Nulo    Nulo
13/01/2008    Nulo    Nulo    Nulo    Nulo
14/01/2008    Nulo    Nulo    Nulo    Nulo
15/01/2008    Nulo    Nulo    Nulo    Nulo
16/01/2008    Nulo    Nulo    Nulo    Nulo
17/01/2008    Nulo    Nulo    Nulo    Nulo
18/01/2008    Nulo    Nulo    Nulo    Nulo
19/01/2008    Nulo    Nulo    Nulo    Nulo
20/01/2008    Nulo    Nulo    Nulo    Nulo
21/01/2008    Nulo    Nulo    Nulo    Nulo
22/01/2008    Nulo    Nulo    Nulo    Nulo
23/01/2008    Nulo    Nulo    Nulo    Nulo
24/01/2008    Nulo    Nulo    Nulo    Nulo
25/01/2008    Nulo    Nulo    Nulo    Nulo
26/01/2008    Nulo    Nulo    Nulo    Nulo
27/01/2008    Nulo    Nulo    Nulo    Nulo
28/01/2008    Nulo    Nulo    Nulo    Nulo
29/01/2008    Nulo    Nulo    Nulo    Nulo
30/01/2008    Nulo    Nulo    Nulo    Nulo
31/01/2008    Nulo    Nulo    Nulo    Nulo
01/02/2008    0.0    Nulo    33.1    6.8
02/02/2008    0.0    Nulo    34.0    6.7
03/02/2008    0.0    Nulo    34.1    6.7
04/02/2008    0.0    Nulo    34.1    6.7
05/02/2008    0.0    Nulo    32.2    6.6
06/02/2008    0.0    Nulo    33.1    5.7
07/02/2008    0.0    Nulo    33.1    5.7
08/02/2008    0.0    Nulo    34.1    7.1
09/02/2008    0.0    Nulo    35.1    7.7
10/02/2008    0.0    Nulo    34.8    8.7
11/02/2008    0.0    Nulo    34.8    7.9
12/02/2008    0.0    Nulo    34.0    6.7
13/02/2008    0.0    Nulo    35.0    6.7
14/02/2008    0.0    Nulo    33.1    4.8
15/02/2008    0.0    Nulo    35.0    5.6
16/02/2008    0.0    Nulo    35.2    5.7
17/02/2008    0.0    Nulo    35.1    5.7
18/02/2008    0.0    Nulo    31.1    5.5
19/02/2008    0.0    Nulo    34.1    4.8
20/02/2008    0.0    Nulo    35.1    4.7
21/02/2008    0.0    Nulo    35.1    5.7
22/02/2008    0.0    Nulo    36.2    4.9
23/02/2008    0.0    Nulo    38.2    5.9
24/02/2008    0.0    Nulo    37.8    Nulo
25/02/2008    0.0    Nulo    35.2    9.0
26/02/2008    0.0    Nulo    35.3    7.6
27/02/2008    0.0    Nulo    35.9    9.3
28/02/2008    0.0    Nulo    34.1    8.6
29/02/2008    0.0    Nulo    35.1    6.8
01/03/2008    0.0    Nulo    37.1    8.8
02/03/2008    0.0    Nulo    35.1    8.5
03/03/2008    0.0    Nulo    35.1    8.5
04/03/2008    0.0    Nulo    33.1    9.8
05/03/2008    0.0    Nulo    35.3    7.6
06/03/2008    0.0    Nulo    35.2    5.7
07/03/2008    0.0    Nulo    34.2    4.8
08/03/2008    0.0    Nulo    33.0    3.8
09/03/2008    0.0    Nulo    33.1    4.7
10/03/2008    0.0    Nulo    34.9    6.6
11/03/2008    0.0    Nulo    37.1    7.7
12/03/2008    0.0    Nulo    35.4    8.6
13/03/2008    0.0    Nulo    36.1    8.6
14/03/2008    0.0    Nulo    36.2    6.6
15/03/2008    0.0    Nulo    36.3    5.7
16/03/2008    0.0    Nulo    35.3    6.7
17/03/2008    0.0    Nulo    34.1    6.7
18/03/2008    0.0    Nulo    32.2    5.9
19/03/2008    0.0    Nulo    36.2    6.6
20/03/2008    0.0    Nulo    37.1    8.7
21/03/2008    0.0    Nulo    38.2    9.6
22/03/2008    0.0    Nulo    38.2    10.6
23/03/2008    0.0    Nulo    36.4    9.6
24/03/2008    0.0    Nulo    37.2    8.7
25/03/2008    0.0    Nulo    36.3    9.7
26/03/2008    0.0    Nulo    38.2    11.5
27/03/2008    0.0    Nulo    38.3    11.5
28/03/2008    0.0    Nulo    37.3    11.5
29/03/2008    0.0    Nulo    36.4    9.6
30/03/2008    0.0    Nulo    37.8    9.6
31/03/2008    0.0    Nulo    39.1    8.6
01/04/2008    0.0    Nulo    38.4    9.7
02/04/2008    0.0    Nulo    39.4    9.8
03/04/2008    0.0    Nulo    40.4    10.7
04/04/2008    0.0    Nulo    37.5    9.8
05/04/2008    0.0    Nulo    35.2    11.8
06/04/2008    0.0    Nulo    36.1    11.8
07/04/2008    0.0    Nulo    37.5    9.8
08/04/2008    0.0    Nulo    36.4    10.8
09/04/2008    0.0    Nulo    37.3    7.8
10/04/2008    0.0    Nulo    37.4    8.7
11/04/2008    0.0    Nulo    39.3    9.9
12/04/2008    0.0    Nulo    39.4    11.0
13/04/2008    0.0    Nulo    38.6    14.0
14/04/2008    0.0    Nulo    37.7    15.8
15/04/2008    0.0    Nulo    38.2    14.6
16/04/2008    0.0    Nulo    38.5    12.9
17/04/2008    0.0    Nulo    36.6    9.7
18/04/2008    0.0    Nulo    41.3    9.6
19/04/2008    0.0    Nulo    40.3    10.8
20/04/2008    0.0    Nulo    39.4    10.8
21/04/2008    0.0    Nulo    40.5    11.7
22/04/2008    0.0    Nulo    40.6    12.7
23/04/2008    0.0    Nulo    39.4    13.9
24/04/2008    0.0    Nulo    38.3    13.7
25/04/2008    0.0    Nulo    44.0    9.9
26/04/2008    0.0    Nulo    41.2    10.9
27/04/2008    0.0    Nulo    40.3    11.9
28/04/2008    0.0    Nulo    40.3    13.7
29/04/2008    0.0    Nulo    38.3    13.8
30/04/2008    0.0    Nulo    37.3    11.9
01/05/2008    0.0    Nulo    38.4    10.6
02/05/2008    0.0    Nulo    38.4    9.9
03/05/2008    0.0    Nulo    41.1    10.9
04/05/2008    0.0    Nulo    40.2    12.8
05/05/2008    0.0    Nulo    40.2    13.9
06/05/2008    0.0    Nulo    39.1    15.7
07/05/2008    0.0    Nulo    37.2    14.8
08/05/2008    0.0    Nulo    37.5    13.7
09/05/2008    0.0    Nulo    38.4    13.8
10/05/2008    0.0    Nulo    38.4    14.9
11/05/2008    0.0    Nulo    39.4    15.9
12/05/2008    0.0    Nulo    38.6    16.9
13/05/2008    0.0    Nulo    38.3    13.8
14/05/2008    0.0    Nulo    40.0    12.9
15/05/2008    0.0    Nulo    39.2    14.1
16/05/2008    0.0    Nulo    39.1    14.7
17/05/2008    0.0    Nulo    38.2    14.5
18/05/2008    0.0    Nulo    39.0    12.6
19/05/2008    0.0    Nulo    37.3    11.7
20/05/2008    0.0    Nulo    37.4    12.8
21/05/2008    0.0    Nulo    36.4    13.8
22/05/2008    0.0    Nulo    34.2    13.7
23/05/2008    0.0    Nulo    36.5    9.7
24/05/2008    0.0    Nulo    39.3    10.8
25/05/2008    8.0    Nulo    38.4    13.0
26/05/2008    0.0    Nulo    39.4    14.8
27/05/2008    0.0    Nulo    36.5    14.9
28/05/2008    0.0    Nulo    39.1    15.1
29/05/2008    0.0    Nulo    40.2    17.5
30/05/2008    0.0    Nulo    38.2    14.8
31/05/2008    0.0    Nulo    40.5    15.7
01/06/2008    0.0    Nulo    38.4    15.7
02/06/2008    0.0    Nulo    41.4    15.9
03/06/2008    0.0    Nulo    39.6    15.7
04/06/2008    0.0    Nulo    35.5    14.9
05/06/2008    0.0    Nulo    36.2    14.9
06/06/2008    0.0    Nulo    37.3    14.0
07/06/2008    0.0    Nulo    37.1    15.0
08/06/2008    0.0    Nulo    38.2    16.8
09/06/2008    0.0    Nulo    34.3    18.7
10/06/2008    6.0    Nulo    26.3    17.7
11/06/2008    0.0    Nulo    30.5    15.0
12/06/2008    4.0    Nulo    31.3    15.9
13/06/2008    0.0    Nulo    34.4    17.0
14/06/2008    8.0    Nulo    35.1    17.8
15/06/2008    12.0    Nulo    35.0    15.9
16/06/2008    0.0    Nulo    36.1    15.9
17/06/2008    0.0    Nulo    37.3    14.8
18/06/2008    0.0    Nulo    38.0    15.1
19/06/2008    0.0    Nulo    37.0    16.0
20/06/2008    0.0    Nulo    38.0    16.9
21/06/2008    10.0    Nulo    36.7    18.6
22/06/2008    10.0    Nulo    35.0    17.7
23/06/2008    0.0    Nulo    35.9    15.9
24/06/2008    12.0    Nulo    35.1    16.8
25/06/2008    2.0    Nulo    34.3    15.0
26/06/2008    0.0    Nulo    36.1    15.9
27/06/2008    10.0    Nulo    35.2    16.8
28/06/2008    9.0    Nulo    36.2    17.7
29/06/2008    0.0    Nulo    36.7    16.8
30/06/2008    22.0    Nulo    35.8    16.8
01/07/2008    0.0    Nulo    28.3    16.8
02/07/2008    10.0    Nulo    31.3    17.7
03/07/2008    1.0    Nulo    31.4    17.7
04/07/2008    9.0    Nulo    34.3    16.7
05/07/2008    21.0    Nulo    35.9    17.8
06/07/2008    33.0    Nulo    33.9    17.8
07/07/2008    4.0    Nulo    29.2    17.7
08/07/2008    11.0    Nulo    29.3    16.9
09/07/2008    2.0    Nulo    30.2    16.8
10/07/2008    5.0    Nulo    34.2    15.9
11/07/2008    0.0    Nulo    32.2    15.9
12/07/2008    7.0    Nulo    35.1    15.8
13/07/2008    5.0    Nulo    34.2    15.9
14/07/2008    12.0    Nulo    34.1    16.8
15/07/2008    21.0    Nulo    35.3    15.0
16/07/2008    8.0    Nulo    36.9    15.7
17/07/2008    28.0    Nulo    35.1    14.8
18/07/2008    0.0    Nulo    35.0    14.7
19/07/2008    10.0    Nulo    35.9    15.9
20/07/2008    30.0    Nulo    36.7    15.8
