CNA-SMN-CG-GMC-SMAA-CLIMATOLOGÍA
BASE DE DATOS CLIMATOLÓGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2019
 
ESTACIÓN  : 14090
NOMBRE    : LA YERBABUENA
ESTADO    : JALISCO
MUNICIPIO : TOTOTLAN
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 0020.582°
LONGITUD  : -102.746°
ALTITUD   : 1,588 msnm
 
EMISIÓN   : 14/08/2019 
 
           PRECIP  EVAP   TMAX   TMIN
  FECHA      mm     mm     °C     °C 
01/01/2008    0.0    5.0    27.3    6.4
02/01/2008    0.0    4.7    20.0    6.0
03/01/2008    0.0    2.9    23.0    1.8
04/01/2008    0.0    3.4    26.0    2.6
05/01/2008    0.0    3.2    27.2    3.3
06/01/2008    0.0    3.4    28.0    4.4
07/01/2008    0.0    4.2    27.5    4.7
08/01/2008    0.0    4.0    27.0    4.5
09/01/2008    0.0    4.5    27.4    4.5
10/01/2008    0.0    3.6    26.0    4.7
11/01/2008    0.0    3.3    26.0    4.5
12/01/2008    0.0    3.7    25.8    4.7
13/01/2008    0.0    3.4    26.0    4.6
14/01/2008    0.0    4.9    26.4    3.5
15/01/2008    0.0    3.7    24.2    7.7
16/01/2008    0.0    3.4    23.2    5.3
17/01/2008    0.0    2.9    23.7    4.6
18/01/2008    0.0    2.7    23.5    4.7
19/01/2008    0.0    2.8    26.8    5.4
20/01/2008    0.0    2.8    24.3    5.7
21/01/2008    0.0    3.4    26.4    6.2
22/01/2008    0.0    3.6    27.7    4.6
23/01/2008    0.0    4.1    29.7    4.7
24/01/2008    0.0    3.7    29.5    8.2
25/01/2008    0.0    3.4    28.9    8.7
26/01/2008    0.0    4.3    29.0    8.4
27/01/2008    0.0    4.2    29.5    8.7
28/01/2008    0.0    4.2    28.1    8.5
29/01/2008    0.0    3.6    26.5    7.2
30/01/2008    0.0    4.4    27.9    7.2
31/01/2008    0.0    4.3    27.4    6.8
01/02/2008    0.0    5.9    31.0    5.0
02/02/2008    0.0    5.2    31.5    8.5
03/02/2008    0.0    5.2    29.5    7.0
04/02/2008    0.0    5.2    29.0    7.5
05/02/2008    0.0    5.1    31.5    6.5
06/02/2008    0.0    3.4    29.5    7.5
07/02/2008    0.0    3.4    29.5    7.5
08/02/2008    6.5    4.7    28.5    6.5
09/02/2008    0.0    5.4    32.0    7.0
10/02/2008    0.0    6.0    29.0    8.0
11/02/2008    3.0    4.8    29.5    6.5
12/02/2008    0.0    5.1    27.5    6.5
13/02/2008    0.0    4.9    27.5    7.0
14/02/2008    0.0    4.6    28.0    7.5
15/02/2008    0.0    6.7    30.0    6.0
16/02/2008    0.0    5.2    32.0    7.0
17/02/2008    0.0    5.5    29.0    9.0
18/02/2008    0.0    5.2    31.0    7.0
19/02/2008    0.0    5.1    31.5    9.0
20/02/2008    0.0    5.8    28.5    9.0
21/02/2008    0.0    5.1    26.5    7.0
22/02/2008    0.0    5.8    31.0    2.0
23/02/2008    0.0    5.9    33.5    3.0
24/02/2008    0.0    6.2    34.5    8.5
25/02/2008    0.0    7.8    34.5    8.5
26/02/2008    0.0    5.9    32.5    8.5
27/02/2008    0.0    6.1    32.5    8.5
28/02/2008    0.0    4.2    28.5    7.5
29/02/2008    0.0    6.5    30.0    8.5
01/03/2008    0.0    6.2    30.0    9.0
02/03/2008    0.0    5.2    29.5    10.0
03/03/2008    0.0    5.6    29.5    7.0
04/03/2008    0.0    5.5    31.5    7.0
05/03/2008    0.0    5.2    29.5    9.0
06/03/2008    0.0    5.1    29.5    6.5
07/03/2008    0.0    4.9    29.5    3.5
08/03/2008    0.0    5.8    29.5    3.5
09/03/2008    0.0    4.2    29.5    3.5
10/03/2008    0.0    4.0    28.5    3.5
11/03/2008    0.0    6.0    28.5    7.5
12/03/2008    0.0    6.6    30.0    7.5
13/03/2008    0.0    5.6    29.5    9.5
14/03/2008    0.0    7.7    30.0    7.5
15/03/2008    0.0    6.8    31.5    7.5
16/03/2008    0.0    6.8    31.0    7.5
17/03/2008    0.0    7.2    28.5    7.5
