CNA-SMN-CG-GMC-SMAA-CLIMATOLOGÍA
BASE DE DATOS CLIMATOLÓGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2019
 
ESTACIÓN  : 14145
NOMBRE    : TEOCALTICHE (DGE)
ESTADO    : JALISCO
MUNICIPIO : TEOCALTICHE
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 0021.434°
LONGITUD  : -102.574°
ALTITUD   : 1,740 msnm
 
EMISIÓN   : 14/08/2019 
 
           PRECIP  EVAP   TMAX   TMIN
  FECHA      mm     mm     °C     °C 
01/01/2008    0.0    3.9    24.6    2.0
02/01/2008    0.0    4.0    20.3    3.4
03/01/2008    0.0    3.5    22.3    0.1
04/01/2008    0.0    3.2    24.9    0.6
05/01/2008    0.0    3.0    26.3    0.5
06/01/2008    0.0    3.7    26.9    1.8
07/01/2008    0.0    4.8    26.8    1.4
08/01/2008    0.0    4.2    27.0    1.9
09/01/2008    0.0    3.9    26.8    1.3
10/01/2008    0.0    4.4    25.5    1.5
11/01/2008    0.0    4.3    26.2    1.6
12/01/2008    0.0    3.7    26.2    0.3
13/01/2008    0.0    3.7    26.1    -0.2
14/01/2008    0.0    3.7    25.4    1.6
15/01/2008    0.0    5.0    24.1    5.2
16/01/2008    0.0    4.1    23.4    3.7
17/01/2008    0.0    3.7    24.7    1.7
18/01/2008    0.0    4.5    23.1    1.8
19/01/2008    0.5    2.2    24.7    1.4
20/01/2008    0.0    3.7    23.9    2.1
21/01/2008    0.0    3.4    25.8    0.3
22/01/2008    0.0    2.8    26.9    -0.4
23/01/2008    0.0    3.9    28.8    1.2
24/01/2008    0.0    3.3    29.0    1.0
25/01/2008    0.0    3.3    28.5    2.9
26/01/2008    0.0    3.9    29.0    3.3
27/01/2008    0.0    4.0    27.8    1.3
28/01/2008    0.0    4.3    27.8    -0.3
29/01/2008    0.0    4.1    27.1    -0.6
30/01/2008    0.0    4.2    27.5    0.7
31/01/2008    0.0    4.6    27.8    0.2
01/02/2008    0.0    5.4    32.0    5.0
02/02/2008    0.0    7.0    30.0    2.0
