CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A MARZO 2020;CON LA INFORMACION SUMINISTRADA POR LAS OFICINAS REGIONALES
 
ESTACION  : 14191
NOMBRE    : VALLE DE JUAREZ (SMN)
ESTADO    : JALISCO
MUNICIPIO : VALLE DE JUAREZ
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-SMN
CVE-OMM   : Nulo
LATITUD   : 019.933°
LONGITUD  : -102.950°
ALTITUD   : 1,950 msnm
 
EMISION   : 06/04/2020 
 
           PRECIP  EVAP   TMAX   TMIN
  FECHA     (MM)   (MM)   (°C)   (°C)
01/01/2008    0.0    4.3    23.7    1.6
02/01/2008    0.0    3.0    24.1    -0.1
03/01/2008    0.0    4.0    24.9    -0.5
04/01/2008    0.0    3.6    26.1    1.2
05/01/2008    0.0    4.1    25.9    2.2
06/01/2008    0.0    4.6    24.9    1.1
07/01/2008    0.0    3.4    26.2    2.2
08/01/2008    0.0    4.4    25.3    2.0
09/01/2008    0.0    3.3    25.7    2.9
10/01/2008    0.0    4.1    26.2    3.4
11/01/2008    0.0    4.5    25.6    2.6
12/01/2008    0.0    3.5    25.2    1.4
13/01/2008    0.0    4.6    26.9    2.7
14/01/2008    0.0    3.3    25.7    2.3
15/01/2008    0.0    3.8    26.9    2.9
16/01/2008    0.0    4.6    26.0    3.4
17/01/2008    0.0    3.9    25.6    3.9
18/01/2008    0.0    3.8    26.6    2.2
19/01/2008    0.0    3.5    27.2    4.3
20/01/2008    0.0    4.0    26.7    4.1
21/01/2008    0.0    4.5    26.8    4.1
22/01/2008    0.0    4.0    27.3    5.0
23/01/2008    0.0    2.7    26.1    5.1
24/01/2008    0.0    4.0    26.5    4.7
25/01/2008    0.0    3.8    24.6    5.2
26/01/2008    0.0    4.3    27.5    3.5
27/01/2008    0.0    3.9    27.0    4.8
28/01/2008    0.0    4.3    27.0    4.2
29/01/2008    0.0    4.7    27.4    5.2
30/01/2008    0.0    4.7    27.2    5.3
31/01/2008    0.0    4.7    26.3    0.9
01/02/2008    0.0    3.5    26.9    4.4
02/02/2008    0.0    4.9    27.8    4.7
03/02/2008    0.0    5.0    28.3    5.3
04/02/2008    0.0    5.3    27.8    5.8
