GENERADO-TT-2019-B082
BASE DE DATOS CLIMATOLÓGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A NOVIEMBRE 2020
 
ESTACIÓN  : 15009
NOMBRE    : COCULA
ESTADO    : JALISCO
MUNICIPIO :  COCULA
SITUACIÓN : -------
ORGANISMO : TT-2019-B082
CVE-OMM   : Nulo
LATITUD   :  20.363°
LONGITUD  :  -103.826°
ALTITUD   : ----------
 
EMISIÓN   : 11/11/2020 
 
           PRECIP  EVAP   TMAX   TMIN
  FECHA      mm     mm     °C     °C 
01/01/2008    0.0    3.3    28.8    7.4
02/01/2008    0.0    2.7    23.4    7.0
03/01/2008    0.0    2.3    24.9    7.4
04/01/2008    0.0    2.5    27.4    4.7
05/01/2008    0.0    2.5    27.6    5.0
06/01/2008    0.0    2.4    29.4    5.5
07/01/2008    0.0    2.4    30.1    5.4
08/01/2008    0.0    2.5    30.1    4.5
09/01/2008    0.0    2.6    29.6    5.0
10/01/2008    0.0    2.5    28.8    4.6
11/01/2008    0.0    2.5    29.0    5.2
12/01/2008    0.0    2.4    27.2    5.1
13/01/2008    0.0    2.2    30.1    3.8
14/01/2008    0.0    2.5    27.8    3.7
15/01/2008    0.0    2.3    26.1    6.0
16/01/2008    0.0    2.4    25.7    5.7
17/01/2008    0.0    2.2    27.1    4.3
18/01/2008    0.0    1.8    23.6    6.0
19/01/2008    0.3    1.6    26.7    6.8
20/01/2008    0.0    2.3    28.2    6.9
21/01/2008    0.0    2.5    27.2    7.1
22/01/2008    0.0    2.5    28.6    5.5
23/01/2008    0.0    3.0    30.7    8.2
24/01/2008    0.0    3.3    30.4    8.7
25/01/2008    0.0    3.0    29.7    9.8
26/01/2008    0.0    2.9    29.8    11.0
27/01/2008    0.0    3.2    30.0    10.0
28/01/2008    0.0    3.1    29.2    8.8
29/01/2008    0.0    3.0    28.6    8.4
30/01/2008    0.0    3.1    28.9    8.2
31/01/2008    0.0    3.3    28.1    7.9
01/02/2008    0.0    4.2    30.1    6.0
02/02/2008    0.0    5.2    30.8    5.8
03/02/2008    0.0    4.9    30.4    5.8
04/02/2008    0.0    4.8    30.4    5.4
05/02/2008    0.0    4.8    30.8    5.1
06/02/2008    0.0    4.6    30.4    4.6
07/02/2008    0.0    3.9    28.6    4.9
08/02/2008    0.0    4.3    30.4    5.6
09/02/2008    0.0    4.1    31.5    5.6
10/02/2008    0.0    3.5    30.6    5.6
11/02/2008    0.0    4.7    29.2    7.1
12/02/2008    0.0    5.1    30.1    6.2
13/02/2008    0.0    5.3    30.4    4.4
14/02/2008    0.0    4.2    30.0    4.8
15/02/2008    0.0    3.5    31.4    4.1
16/02/2008    0.0    3.9    31.2    3.8
17/02/2008    0.0    4.2    33.1    4.0
18/02/2008    0.0    4.4    32.1    4.2
19/02/2008    0.0    4.5    31.4    3.8
20/02/2008    0.0    4.2    31.4    3.8
21/02/2008    0.0    5.1    31.4    5.3
22/02/2008    0.0    5.4    33.4    5.4
23/02/2008    0.0    4.4    34.4    4.6
24/02/2008    0.0    4.5    36.4    5.4
25/02/2008    0.0    5.3    34.1    6.2
26/02/2008    0.0    6.4    34.6    4.6
27/02/2008    0.0    4.5    32.8    5.5
28/02/2008    0.0    4.8    31.4    6.6
29/02/2008    0.0    4.6    32.1    6.1
01/03/2008    0.0    4.9    32.4    6.9
02/03/2008    0.0    4.7    32.4    5.1
03/03/2008    0.0    5.2    32.9    4.0
04/03/2008    0.0    5.7    31.8    4.6
05/03/2008    0.0    5.3    32.4    3.7
06/03/2008    0.0    5.1    30.0    1.5
07/03/2008    0.0    4.7    29.2    2.5
08/03/2008    0.0    4.6    29.9    2.9
09/03/2008    0.0    4.3    30.9    4.6
10/03/2008    0.0    3.8    31.4    4.8
11/03/2008    0.0    6.0    31.4    4.0
12/03/2008    0.0    5.6    31.5    5.8
13/03/2008    0.0    5.5    33.8    6.8
14/03/2008    0.0    4.7    33.9    5.9
15/03/2008    0.0    5.6    33.4    4.4
16/03/2008    0.0    5.1    31.6    5.8
17/03/2008    0.0    5.1    31.1    3.9
18/03/2008    0.0    6.2    31.3    4.2
19/03/2008    0.0    5.5    32.5    6.0
20/03/2008    0.0    4.8    32.0    6.9
21/03/2008    0.0    6.2    34.1    7.5
22/03/2008    0.0    5.6    33.2    7.2
23/03/2008    0.0    6.4    34.1    7.1
24/03/2008    0.0    6.1    32.0    6.8
25/03/2008    0.0    5.5    32.1    8.1
