GENERADO-TT-2019-B082
BASE DE DATOS CLIMATOLÓGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A NOVIEMBRE 2020
 
ESTACIÓN  : 15035
NOMBRE    : ZAPOTILTIC
ESTADO    : JALISCO
MUNICIPIO :  ZAPOTILTIC
SITUACIÓN : -------
ORGANISMO : TT-2019-B082
CVE-OMM   : Nulo
LATITUD   :  19.629°
LONGITUD  :  -103.427°
ALTITUD   : ----------
 
EMISIÓN   : 11/11/2020 
 
           PRECIP  EVAP   TMAX   TMIN
  FECHA      mm     mm     °C     °C 
01/01/2008    0.1    7.9    27.6    8.9
02/01/2008    0.0    8.3    22.4    10.0
03/01/2008    0.0    3.1    21.8    6.5
04/01/2008    0.0    3.2    24.6    4.4
05/01/2008    0.0    4.6    26.8    5.2
06/01/2008    0.0    2.4    25.5    11.0
07/01/2008    0.0    3.9    26.8    5.0
08/01/2008    0.0    4.1    26.8    3.5
09/01/2008    0.0    4.1    26.0    3.6
10/01/2008    0.0    3.5    26.7    4.2
11/01/2008    0.0    3.7    25.1    5.1
12/01/2008    0.0    4.8    25.5    2.4
13/01/2008    0.0    3.2    28.5    6.2
14/01/2008    0.0    3.3    24.9    6.4
15/01/2008    0.0    3.6    23.6    7.4
16/01/2008    0.0    3.4    23.5    4.2
17/01/2008    0.0    3.0    23.3    4.7
18/01/2008    0.0    3.0    25.0    5.5
19/01/2008    0.0    5.4    28.0    8.3
20/01/2008    0.0    6.1    25.8    6.2
21/01/2008    0.0    3.5    26.9    5.8
22/01/2008    0.0    3.4    27.5    6.2
23/01/2008    0.0    4.7    29.7    7.8
24/01/2008    0.0    4.4    28.5    8.0
25/01/2008    0.0    3.6    27.7    8.5
26/01/2008    0.0    4.5    27.7    9.6
27/01/2008    0.0    4.6    28.8    9.0
28/01/2008    0.0    4.2    28.3    8.0
29/01/2008    0.0    4.8    28.7    8.9
30/01/2008    0.0    4.7    27.3    8.8
31/01/2008    0.0    4.7    27.3    6.6
01/02/2008    0.0    4.1    30.0    6.6
02/02/2008    0.0    4.4    30.5    6.2
03/02/2008    0.0    4.8    31.1    6.4
04/02/2008    0.0    4.6    30.8    6.5
05/02/2008    0.0    4.7    29.4    5.7
06/02/2008    0.0    4.9    30.0    5.5
07/02/2008    0.0    4.0    30.1    5.1
08/02/2008    0.0    4.5    30.9    7.5
09/02/2008    0.0    4.0    31.9    7.1
10/02/2008    0.0    3.7    30.9    8.2
11/02/2008    0.0    3.8    30.9    7.8
12/02/2008    0.0    4.0    30.4    6.4
13/02/2008    0.0    5.7    31.4    6.3
14/02/2008    0.0    5.7    30.2    4.7
15/02/2008    0.0    5.7    31.8    5.0
16/02/2008    0.0    5.3    32.6    5.4
17/02/2008    0.0    5.7    31.9    5.4
18/02/2008    0.0    5.8    20.7    4.7
19/02/2008    0.0    5.5    31.1    4.7
20/02/2008    0.0    4.9    32.0    4.4
21/02/2008    0.0    4.6    31.8    5.3
22/02/2008    0.0    4.9    33.3    5.1
23/02/2008    0.0    6.8    35.5    5.9
24/02/2008    0.0    6.1    34.4    8.8
25/02/2008    0.0    6.0    32.4    9.2
26/02/2008    0.0    5.9    32.9    6.8
27/02/2008    0.0    5.5    32.4    7.1
28/02/2008    0.0    5.7    31.1    7.5
29/02/2008    0.0    5.8    32.1    6.7
01/03/2008    0.0    5.1    33.9    8.4
02/03/2008    0.0    5.2    31.9    7.5
03/03/2008    0.0    5.2    32.0    7.2
04/03/2008    0.0    4.2    29.8    9.4
05/03/2008    0.0    6.4    32.9    6.9
