GENERADO-TT-2019-B082
BASE DE DATOS CLIMATOLÓGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A NOVIEMBRE 2020
 
ESTACIÓN  : 15034
NOMBRE    : VILLA HIDALGO
ESTADO    : JALISCO
MUNICIPIO :  VILLA HIDALGO
SITUACIÓN : -------
ORGANISMO : TT-2019-B082
CVE-OMM   : Nulo
LATITUD   :  21.675°
LONGITUD  :  -102.587°
ALTITUD   : ----------
 
EMISIÓN   : 11/11/2020 
 
           PRECIP  EVAP   TMAX   TMIN
  FECHA      mm     mm     °C     °C 
01/01/2008    0.0    4.1    23.2    2.1
02/01/2008    0.0    3.9    18.1    3.4
03/01/2008    0.0    3.5    21.4    -0.6
04/01/2008    0.0    3.2    24.5    -0.2
05/01/2008    0.0    3.3    26.3    -0.1
06/01/2008    0.0    3.6    26.8    1.9
07/01/2008    0.0    4.7    26.7    1.4
08/01/2008    0.0    4.2    26.6    1.7
09/01/2008    0.0    3.8    26.7    1.0
10/01/2008    0.0    4.3    25.1    1.1
11/01/2008    0.0    4.2    26.1    1.0
12/01/2008    0.0    3.6    25.8    -0.4
13/01/2008    0.0    3.6    25.6    -0.8
14/01/2008    0.0    3.7    24.5    0.2
15/01/2008    0.0    4.7    23.3    5.1
16/01/2008    0.0    3.8    22.7    4.0
17/01/2008    0.0    3.8    24.6    0.9
18/01/2008    0.0    4.4    22.3    1.1
19/01/2008    0.6    2.8    24.0    1.3
20/01/2008    0.0    3.6    22.9    2.2
21/01/2008    0.0    3.5    25.7    1.0
22/01/2008    0.0    2.8    26.7    0.4
23/01/2008    0.0    3.8    28.7    2.0
24/01/2008    0.0    3.4    28.8    1.8
25/01/2008    0.0    3.5    28.2    3.6
26/01/2008    0.0    4.1    28.7    3.9
27/01/2008    0.0    4.2    27.6    2.2
28/01/2008    0.0    4.5    27.7    1.1
29/01/2008    0.0    4.1    26.7    0.3
30/01/2008    0.0    4.3    27.1    1.3
31/01/2008    0.0    4.7    27.7    1.0
01/02/2008    0.0    3.7    29.0    4.1
02/02/2008    0.0    4.9    29.7    4.0
03/02/2008    0.0    4.0    29.1    4.8
04/02/2008    0.0    4.7    28.4    5.0
05/02/2008    0.0    5.0    29.0    5.2
06/02/2008    0.0    4.5    28.6    3.0
07/02/2008    0.0    4.8    28.4    3.5
08/02/2008    0.0    4.3    29.1    3.7
09/02/2008    0.2    4.3    29.6    3.9
10/02/2008    0.2    3.7    29.6    5.8
11/02/2008    0.2    4.2    27.5    7.0
12/02/2008    0.0    3.4    28.0    7.1
13/02/2008    0.0    4.0    28.7    6.3
14/02/2008    0.0    5.0    26.9    6.0
15/02/2008    0.0    4.2    29.8    4.2
16/02/2008    0.0    4.6    29.8    4.0
17/02/2008    0.0    5.1    30.7    3.8
18/02/2008    0.0    5.9    30.9    3.9
19/02/2008    0.0    5.6    30.1    4.8
20/02/2008    0.0    5.5    29.4    4.4
21/02/2008    0.0    5.4    27.3    4.7
22/02/2008    0.0    5.3    29.5    5.4
23/02/2008    0.0    5.2    31.4    4.5
24/02/2008    0.0    4.9    32.1    5.2
25/02/2008    0.0    5.3    31.8    5.2
26/02/2008    0.0    6.0    31.1    6.5
27/02/2008    0.0    6.5    26.4    7.0
28/02/2008    0.0    4.6    29.2    5.6
29/02/2008    0.0    5.3    30.0    6.0
01/03/2008    0.0    5.1    30.1    6.4
02/03/2008    0.0    5.6    29.9    6.8
03/03/2008    0.0    7.3    30.4    6.4
04/03/2008    0.0    6.6    30.4    7.1
05/03/2008    0.0    5.2    30.3    5.6
06/03/2008    0.0    7.3    29.3    3.8
07/03/2008    0.0    7.0    28.9    1.2
08/03/2008    0.0    5.8    25.6    1.6
09/03/2008    0.0    5.8    26.9    3.7
10/03/2008    0.0    7.6    28.4    4.5
11/03/2008    0.0    5.4    29.1    5.8
12/03/2008    0.0    5.4    29.5    6.4
13/03/2008    0.0    6.3    30.4    6.8
14/03/2008    0.0    7.6    30.9    2.8
