CNA-SMN-CG-GMC-SMAA-CLIMATOLOGÍA
BASE DE DATOS CLIMATOLÓGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2019
 
ESTACIÓN  : 14026
NOMBRE    : CASA LLANTA
ESTADO    : JALISCO
MUNICIPIO : COLOTLAN
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 0022.059°
LONGITUD  : -103.362°
ALTITUD   : 1,730 msnm
 
EMISIÓN   : 14/08/2019 
 
           PRECIP  EVAP   TMAX   TMIN
  FECHA      mm     mm     °C     °C 
01/01/2008    0.0    3.6    27.7    1.6
02/01/2008    0.0    5.5    22.7    0.2
03/01/2008    0.0    3.9    23.5    2.8
04/01/2008    0.0    3.7    26.5    2.2
05/01/2008    0.0    2.9    27.2    2.5
06/01/2008    0.0    4.2    26.4    3.0
07/01/2008    0.0    3.7    26.3    2.8
08/01/2008    0.0    3.8    25.9    1.0
09/01/2008    0.0    3.6    26.3    1.8
10/01/2008    0.0    3.9    25.4    2.1
11/01/2008    0.0    3.3    25.3    3.5
12/01/2008    0.0    3.4    26.3    0.1
13/01/2008    0.0    4.1    25.0    0.0
14/01/2008    0.0    4.2    24.5    4.6
15/01/2008    0.0    4.3    24.1    5.4
16/01/2008    0.0    3.9    23.9    3.6
17/01/2008    0.0    3.7    24.1    1.0
18/01/2008    0.0    3.0    22.0    -0.1
19/01/2008    0.0    3.4    24.3    0.6
20/01/2008    0.0    3.5    24.3    3.2
21/01/2008    0.0    3.5    25.4    1.1
22/01/2008    0.0    3.6    26.3    4.5
23/01/2008    0.0    4.2    29.1    5.2
24/01/2008    0.0    4.0    28.6    6.9
25/01/2008    0.0    3.9    28.9    5.0
26/01/2008    0.0    4.5    28.6    6.5
27/01/2008    0.0    4.9    29.8    8.0
28/01/2008    0.0    4.5    28.0    5.9
29/01/2008    0.0    4.0    26.5    4.7
30/01/2008    0.0    4.1    25.8    4.3
31/01/2008    0.0    5.6    25.6    3.2
01/02/2008    0.0    5.8    26.0    3.0
02/02/2008    0.0    4.9    25.0    5.0
03/02/2008    0.0    6.1    25.0    4.0
04/02/2008    0.0    5.4    24.0    4.0
05/02/2008    0.0    6.5    24.0    5.0
06/02/2008    0.0    6.9    24.0    3.0
07/02/2008    0.0    3.7    25.0    4.0
08/02/2008    0.0    6.3    26.0    5.0
09/02/2008    0.0    4.9    27.0    6.0
10/02/2008    0.0    5.3    26.0    6.0
11/02/2008    0.0    3.7    24.0    6.0
12/02/2008    0.0    3.4    24.0    7.0
13/02/2008    0.0    6.0    25.0    4.0
14/02/2008    0.0    7.6    24.0    5.0
15/02/2008    0.0    7.8    26.0    4.0
16/02/2008    0.0    5.3    27.0    5.0
17/02/2008    0.0    9.2    27.0    4.0
18/02/2008    0.0    7.1    28.0    4.0
19/02/2008    0.0    7.0    27.0    5.0
20/02/2008    0.0    7.2    26.0    4.0
21/02/2008    0.0    6.8    26.0    6.0
22/02/2008    0.0    7.4    28.0    4.0
23/02/2008    0.0    5.4    31.0    5.0
24/02/2008    0.0    4.3    32.0    7.0
25/02/2008    0.0    6.5    31.0    9.0
26/02/2008    0.0    8.1    31.0    8.0
27/02/2008    0.0    9.5    27.0    8.0
28/02/2008    0.0    7.0    26.0    8.0
29/02/2008    0.0    5.6    27.0    7.0
01/03/2008    0.0    6.7    29.0    7.0
02/03/2008    0.0    5.9    26.0    9.0
03/03/2008    0.0    9.2    26.0    7.0
04/03/2008    0.0    8.6    27.0    7.0
05/03/2008    0.0    9.8    26.0    6.0
06/03/2008    0.0    8.5    24.0    6.0
07/03/2008    0.0    10.3    24.0    1.0
08/03/2008    0.0    5.4    25.0    2.0
09/03/2008    0.0    6.1    24.0    5.0
