CNA-SMN-CG-GMC-SMAA-CLIMATOLOGÍA
BASE DE DATOS CLIMATOLÓGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2019
 
ESTACIÓN  : 14035
NOMBRE    : CORRINCHIS II
ESTADO    : JALISCO
MUNICIPIO : MASCOTA
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 0020.501°
LONGITUD  : -104.774°
ALTITUD   : 1,267 msnm
 
EMISIÓN   : 14/08/2019 
 
           PRECIP  EVAP   TMAX   TMIN
  FECHA      mm     mm     °C     °C 
01/01/2008    0.0    3.1    27.4    4.8
02/01/2008    0.0    1.8    25.6    5.5
03/01/2008    0.0    3.3    26.8    3.5
04/01/2008    0.0    3.1    26.7    2.8
05/01/2008    0.0    3.1    27.2    2.6
06/01/2008    0.0    2.4    28.4    2.8
07/01/2008    0.0    3.2    28.4    2.7
08/01/2008    0.0    3.8    27.3    1.4
09/01/2008    0.0    3.4    27.2    2.1
10/01/2008    0.0    3.5    26.5    2.1
11/01/2008    0.0    3.2    26.3    2.0
12/01/2008    0.0    4.2    26.0    0.7
13/01/2008    0.0    3.6    27.2    0.6
14/01/2008    0.0    3.6    25.9    2.2
15/01/2008    0.0    4.1    24.7    5.3
16/01/2008    0.0    5.2    24.2    4.9
17/01/2008    0.0    4.9    24.1    2.3
18/01/2008    0.0    4.3    23.2    2.7
19/01/2008    0.0    4.8    25.8    2.9
20/01/2008    0.0    4.5    25.3    3.7
21/01/2008    0.0    4.7    26.4    4.5
22/01/2008    0.0    1.7    27.2    5.1
23/01/2008    0.0    4.2    30.1    5.6
24/01/2008    0.0    2.5    27.6    5.9
25/01/2008    0.0    5.0    28.4    6.2
26/01/2008    0.0    4.9    28.1    6.8
27/01/2008    0.0    3.1    31.1    6.6
28/01/2008    0.0    2.8    28.9    5.6
29/01/2008    0.0    5.1    28.1    4.8
30/01/2008    0.0    4.4    27.3    5.4
31/01/2008    0.0    4.3    28.2    4.3
01/02/2008    0.0    3.1    28.0    5.5
02/02/2008    0.0    3.2    28.0    5.5
