CNA-SMN-CG-GMC-SMAA-CLIMATOLOGÍA
BASE DE DATOS CLIMATOLÓGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2019
 
ESTACIÓN  : 14071
NOMBRE    : HUEJUQUILLA EL ALTO (DGE)
ESTADO    : JALISCO
MUNICIPIO : HUEJUQUILLA EL ALTO
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 0022.628°
LONGITUD  : -103.898°
ALTITUD   : 1,740 msnm
 
EMISIÓN   : 14/08/2019 
 
           PRECIP  EVAP   TMAX   TMIN
  FECHA      mm     mm     °C     °C 
01/01/2008    0.0    3.7    24.5    0.0
02/01/2008    0.0    3.3    23.8    1.6
03/01/2008    0.0    2.7    24.0    1.3
04/01/2008    0.0    3.6    25.1    1.3
05/01/2008    0.0    3.1    23.3    0.1
06/01/2008    0.0    3.3    25.3    -1.4
07/01/2008    0.0    4.8    25.1    -1.4
08/01/2008    0.0    3.8    25.1    -1.7
09/01/2008    0.0    4.8    25.8    -0.9
10/01/2008    0.0    4.7    25.2    0.6
11/01/2008    0.0    4.1    25.2    0.8
12/01/2008    0.0    3.0    24.8    -2.9
13/01/2008    0.0    3.0    24.8    -3.3
14/01/2008    0.0    5.4    24.1    -2.5
15/01/2008    0.0    5.0    20.6    3.7
16/01/2008    0.0    4.4    21.8    -0.7
17/01/2008    0.0    3.6    21.1    -1.2
18/01/2008    0.0    3.6    19.1    -1.2
19/01/2008    0.0    3.0    21.3    -4.8
20/01/2008    0.0    4.2    24.1    -4.4
21/01/2008    0.0    4.1    24.5    0.0
22/01/2008    0.0    3.9    26.1    2.8
23/01/2008    0.0    4.5    28.8    3.6
24/01/2008    0.0    4.7    28.8    5.5
25/01/2008    0.0    4.6    28.7    5.2
26/01/2008    0.0    4.1    28.3    5.6
27/01/2008    0.0    3.7    29.1    5.1
28/01/2008    0.0    5.4    27.5    5.6
