CNA-SMN-CG-GMC-SMAA-CLIMATOLOGÍA
BASE DE DATOS CLIMATOLÓGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2019
 
ESTACIÓN  : 14081
NOMBRE    : LA DESEMBOCADA
ESTADO    : JALISCO
MUNICIPIO : PUERTO VALLARTA
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 0020.729°
LONGITUD  : -105.207°
ALTITUD   : 19 msnm
 
EMISIÓN   : 14/08/2019 
 
           PRECIP  EVAP   TMAX   TMIN
  FECHA      mm     mm     °C     °C 
01/01/2008    0.0    1.7    23.7    9.7
02/01/2008    0.0    2.9    28.0    11.5
03/01/2008    0.0    3.9    29.3    13.3
04/01/2008    0.0    3.3    26.5    12.5
05/01/2008    0.0    3.4    24.7    10.6
06/01/2008    0.0    1.8    27.9    10.6
07/01/2008    0.0    2.9    25.4    10.6
08/01/2008    0.0    3.6    24.0    9.4
09/01/2008    0.0    2.7    23.7    9.2
10/01/2008    0.0    2.0    24.6    9.5
11/01/2008    0.0    2.7    22.4    8.5
12/01/2008    0.0    3.2    24.2    8.1
13/01/2008    0.0    3.4    23.3    7.1
14/01/2008    0.0    1.5    24.2    7.3
15/01/2008    0.0    3.5    24.5    11.0
16/01/2008    0.0    3.0    23.2    10.7
17/01/2008    0.0    2.8    23.6    9.5
18/01/2008    0.0    1.7    22.3    8.6
19/01/2008    0.0    2.9    24.1    9.0
20/01/2008    0.0    2.9    24.6    8.6
21/01/2008    0.0    3.3    24.6    9.5
22/01/2008    0.0    1.5    25.5    11.3
23/01/2008    0.0    4.4    26.2    11.8
24/01/2008    0.0    1.4    26.6    11.8
25/01/2008    0.0    4.3    30.7    12.2
26/01/2008    0.0    2.7    25.7    13.6
27/01/2008    0.0    2.1    26.2    13.6
28/01/2008    0.0    3.5    26.2    12.7
29/01/2008    0.0    3.7    27.5    12.7
30/01/2008    0.0    3.2    26.2    12.7
31/01/2008    0.0    3.2    24.8    13.1
01/02/2008    0.0    3.6    29.5    12.0
02/02/2008    0.0    4.3    31.0    15.5
03/02/2008    0.0    4.4    34.5    15.0
04/02/2008    0.0    4.3    30.0    14.5
05/02/2008    0.0    4.7    29.5    15.0
06/02/2008    0.0    3.9    29.0    14.5
07/02/2008    0.0    4.0    31.0    15.0
08/02/2008    0.0    4.4    32.5    15.0
09/02/2008    0.0    5.0    33.0    15.5
10/02/2008    0.0    5.4    32.0    15.5
11/02/2008    0.0    3.3    32.0    15.0
12/02/2008    0.0    3.0    31.5    15.0
13/02/2008    0.0    5.1    32.5    14.5
14/02/2008    0.0    5.2    32.5    14.0
15/02/2008    0.0    3.7    33.0    13.0
16/02/2008    0.0    4.8    30.0    13.0
17/02/2008    0.0    4.9    29.0    13.0
18/02/2008    0.0    4.4    29.5    13.5
19/02/2008    0.0    4.7    28.5    14.0
20/02/2008    0.0    4.2    29.5    13.5
21/02/2008    0.0    4.0    28.0    13.0
22/02/2008    0.0    4.2    29.5    14.5
23/02/2008    0.0    7.0    31.5    11.5
24/02/2008    0.0    5.0    30.5    11.5
25/02/2008    0.0    4.4    30.5    14.0
26/02/2008    0.0    4.5    32.0    14.0
27/02/2008    0.0    4.6    29.5    14.0
28/02/2008    0.0    3.8    30.5    14.0
29/02/2008    0.0    5.2    33.0    16.5
01/03/2008    0.0    4.4    31.5    15.0
