CNA-SMN-CG-GMC-SMAA-CLIMATOLOGÍA
BASE DE DATOS CLIMATOLÓGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2019
 
ESTACIÓN  : 14142
NOMBRE    : TAPALPA (SMN)
ESTADO    : JALISCO
MUNICIPIO : TAPALPA
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-SMN
CVE-OMM   : Nulo
LATITUD   : 0019.945°
LONGITUD  : -103.758°
ALTITUD   : 2,060 msnm
 
EMISIÓN   : 14/08/2019 
 
           PRECIP  EVAP   TMAX   TMIN
  FECHA      mm     mm     °C     °C 
01/01/2008    0.0    4.6    31.5    8.5
02/01/2008    0.0    4.8    24.5    9.5
03/01/2008    0.0    4.6    24.6    7.5
04/01/2008    0.0    3.8    27.6    4.6
05/01/2008    0.0    2.2    30.3    5.7
06/01/2008    0.0    4.4    31.5    6.2
07/01/2008    0.0    4.0    31.6    6.2
08/01/2008    0.0    4.4    31.3    5.0
09/01/2008    0.0    4.2    30.7    4.8
10/01/2008    0.0    4.6    30.6    5.2
11/01/2008    0.0    3.9    29.4    5.1
12/01/2008    0.0    4.1    29.6    4.7
13/01/2008    0.0    4.3    30.1    4.5
14/01/2008    0.0    3.8    28.0    4.8
15/01/2008    0.0    3.9    27.6    8.9
16/01/2008    0.0    4.7    27.5    7.7
17/01/2008    0.0    4.0    26.7    7.6
18/01/2008    0.0    4.2    27.9    8.6
19/01/2008    0.0    2.8    30.3    8.8
20/01/2008    0.0    3.9    28.3    8.1
21/01/2008    0.0    4.8    30.3    7.6
22/01/2008    0.0    3.7    29.7    7.9
23/01/2008    0.0    3.3    33.8    8.4
24/01/2008    0.0    4.6    33.3    9.0
25/01/2008    0.0    4.4    32.3    9.1
26/01/2008    0.0    4.6    32.6    10.7
27/01/2008    0.0    4.5    32.2    10.6
28/01/2008    0.0    4.3    32.0    10.0
29/01/2008    0.0    4.4    31.0    9.1
30/01/2008    0.0    4.7    30.9    9.2
31/01/2008    0.0    4.7    31.4    8.2
01/02/2008    0.0    3.6    22.0    4.0
02/02/2008    0.0    4.4    22.0    4.0
03/02/2008    0.0    4.2    23.0    4.0
04/02/2008    0.0    3.0    22.0    5.0
05/02/2008    0.0    3.8    22.0    4.0
06/02/2008    0.0    3.8    23.0    4.0
07/02/2008    0.0    3.3    22.0    3.0
08/02/2008    0.0    3.7    22.0    5.0
09/02/2008    2.0    3.1    23.0    5.0
10/02/2008    0.0    2.5    22.0    6.0
11/02/2008    0.0    2.0    23.0    6.0
12/02/2008    0.0    3.5    21.0    4.0
13/02/2008    0.0    3.3    23.0    2.0
14/02/2008    0.0    2.9    23.0    2.0
15/02/2008    0.0    5.6    23.0    3.0
16/02/2008    0.0    4.4    25.0    4.0
17/02/2008    0.0    4.2    24.0    4.0
18/02/2008    0.0    4.7    24.0    4.0
19/02/2008    0.0    3.4    23.0    3.0
20/02/2008    0.0    4.8    23.0    2.0
21/02/2008    0.0    4.5    24.0    4.0
22/02/2008    0.0    4.2    25.0    4.0
23/02/2008    0.0    4.3    22.0    5.0
24/02/2008    0.0    3.9    28.0    5.0
25/02/2008    0.0    4.6    25.0    5.0
26/02/2008    0.0    4.4    26.0    4.0
27/02/2008    0.0    5.5    26.0    4.0
28/02/2008    0.0    4.4    23.0    6.0
29/02/2008    0.0    4.5    23.0    4.0
01/03/2008    0.0    4.2    25.0    6.0
02/03/2008    0.0    3.5    23.0    6.0
03/03/2008    0.0    4.4    22.0    3.0
04/03/2008    0.0    4.5    24.0    3.5
05/03/2008    0.0    4.6    23.0    4.0
06/03/2008    0.0    5.6    22.0    3.0
07/03/2008    0.0    4.5    22.0    0.0
08/03/2008    0.0    5.7    20.0    2.0
09/03/2008    0.0    6.0    21.0    2.5
10/03/2008    0.0    4.9    23.0    4.0
11/03/2008    0.0    4.8    24.0    4.0
12/03/2008    0.0    5.0    24.0    4.0
13/03/2008    0.0    6.8    23.0    5.0
14/03/2008    0.0    3.8    25.0    3.0
15/03/2008    0.0    6.8    25.0    4.0
16/03/2008    0.0    5.5    24.0    5.0
17/03/2008    0.0    4.5    23.0    4.0
18/03/2008    0.0    5.8    21.0    4.0
19/03/2008    0.0    4.8    24.0    2.0
20/03/2008    0.0    5.0    25.0    4.0
21/03/2008    0.0    5.9    25.0    6.0
22/03/2008    0.0    3.3    25.0    7.0
23/03/2008    0.0    6.0    25.0    7.0
24/03/2008    0.0    6.5    25.0    6.0
25/03/2008    0.0    5.1    24.0    6.0
26/03/2008    0.0    5.7    25.0    6.5
27/03/2008    0.0    4.1    25.0    7.0
28/03/2008    0.0    7.6    25.0    7.5
29/03/2008    0.0    5.7    25.0    6.0
30/03/2008    0.0    5.3    25.0    7.0
31/03/2008    0.0    5.0    28.0    7.0
01/04/2008    0.0    7.6    28.0    7.0
02/04/2008    0.0    5.7    29.0    8.0
03/04/2008    0.0    8.0    30.0    8.0
04/04/2008    0.0    8.0    29.0    10.0
05/04/2008    0.0    6.3    25.0    8.0
06/04/2008    0.0    5.8    25.0    6.0
07/04/2008    0.0    4.8    27.0    8.0
08/04/2008    0.0    6.7    27.0    7.0
09/04/2008    0.0    6.5    27.0    5.0
10/04/2008    0.0    6.6    27.0    6.0
11/04/2008    0.0    6.4    28.0    7.0
12/04/2008    0.0    6.5    28.0    7.0
13/04/2008    12.5    6.3    26.0    10.0
14/04/2008    0.0    4.9    23.0    11.0
15/04/2008    3.5    4.3    22.0    9.0
16/04/2008    0.0    4.3    25.0    8.0
17/04/2008    0.0    3.3    27.0    9.0
18/04/2008    0.0    3.2    28.0    7.0
19/04/2008    0.0    3.2    28.0    6.0
20/04/2008    0.0    4.2    28.0    8.0
21/04/2008    0.0    4.3    30.0    9.0
22/04/2008    0.0    6.9    31.0    9.0
23/04/2008    0.0    7.8    31.0    10.0
24/04/2008    0.0    7.6    30.0    10.0
25/04/2008    0.0    6.9    30.0    8.0
26/04/2008    0.0    7.2    29.0    8.0
27/04/2008    0.0    5.2    28.0    8.0
28/04/2008    0.0    5.5    28.0    8.0
29/04/2008    0.0    5.4    26.0    9.0
30/04/2008    0.0    5.2    25.0    10.0
01/05/2008    0.0    4.9    26.0    6.0
02/05/2008    0.0    6.8    26.0    8.0
03/05/2008    0.0    5.8    29.0    8.0
04/05/2008    0.0    7.8    29.0    10.0
05/05/2008    0.0    6.6    27.0    10.0
06/05/2008    0.0    4.6    26.0    11.0
07/05/2008    0.0    5.5    26.0    10.0
08/05/2008    0.0    5.2    29.0    9.0
09/05/2008    0.0    6.1    30.0    10.0
10/05/2008    0.0    5.3    30.0    10.0
11/05/2008    8.0    5.6    30.0    12.0
12/05/2008    0.0    5.9    26.0    12.0
13/05/2008    0.0    3.2    27.0    10.0
14/05/2008    0.0    6.9    27.0    11.0
15/05/2008    2.0    5.8    26.0    12.0
16/05/2008    0.0    4.9    25.0    10.0
17/05/2008    0.0    4.8    26.0    10.0
18/05/2008    0.0    4.2    27.0    10.0
19/05/2008    0.0    7.0    24.0    9.0
20/05/2008    0.0    4.7    24.0    10.0
21/05/2008    14.5    3.4    28.0    8.0
22/05/2008    0.0    7.6    21.0    8.0
23/05/2008    0.0    5.7    24.0    6.0
24/05/2008    0.0    4.6    28.0    6.0
25/05/2008    0.0    6.8    28.0    9.0
26/05/2008    0.0    6.0    28.0    12.0
27/05/2008    0.0    4.7    27.0    12.0
28/05/2008    0.0    5.2    28.0    12.0
29/05/2008    0.0    4.7    27.0    11.0
30/05/2008    0.0    5.2    26.0    12.0
31/05/2008    0.0    4.6    26.0    12.0
01/06/2008    0.0    4.8    28.0    12.0
02/06/2008    0.0    4.6    30.0    14.0
03/06/2008    0.0    4.6    29.0    14.0
04/06/2008    0.0    6.2    27.0    13.0
05/06/2008    0.0    6.2    26.0    12.0
06/06/2008    0.0    5.9    26.0    12.0
07/06/2008    2.0    5.6    26.0    12.0
08/06/2008    23.0    3.6    23.0    13.0
09/06/2008    39.0    5.4    23.0    13.0
10/06/2008    12.5    5.4    18.0    14.0
11/06/2008    0.0    2.7    19.0    13.0
12/06/2008    5.0    0.8    19.0    13.0
13/06/2008    0.0    0.3    24.0    13.0
14/06/2008    12.5    3.5    24.0    13.0
15/06/2008    4.0    4.8    24.0    12.0
16/06/2008    0.0    4.2    22.0    12.0
17/06/2008    0.0    4.7    25.0    12.0
18/06/2008    0.0    2.4    25.0    12.0
19/06/2008    0.0    4.7    24.0    12.0
20/06/2008    35.0    1.4    25.0    12.0
21/06/2008    6.0    5.8    24.0    12.0
22/06/2008    14.0    2.4    22.0    13.0
23/06/2008    0.0    3.3    24.0    13.0
24/06/2008    11.5    3.9    25.0    13.0
25/06/2008    0.0    4.2    25.0    13.0
26/06/2008    0.0    3.3    25.0    12.0
27/06/2008    1.0    3.6    22.0    12.0
28/06/2008    9.5    2.7    24.0    13.0
29/06/2008    0.0    4.0    23.0    13.0
30/06/2008    4.5    2.4    23.0    14.0
01/07/2008    0.0    4.7    20.0    14.0
02/07/2008    13.5    3.0    21.0    14.0
03/07/2008    0.0    3.3    21.0    14.0
04/07/2008    27.0    2.8    22.0    13.0
05/07/2008    30.0    2.9    23.0    13.0
06/07/2008    13.0    2.7    22.0    13.0
07/07/2008    23.5    3.2    20.0    14.0
08/07/2008    34.5    2.6    17.0    14.0
09/07/2008    18.5    2.9    17.0    14.0
10/07/2008    7.0    1.7    22.0    14.0
11/07/2008    0.0    5.3    21.0    13.0
12/07/2008    0.0    1.7    23.0    14.0
13/07/2008    6.5    0.4    23.0    14.0
14/07/2008    0.0    1.7    22.0    14.0
15/07/2008    2.5    2.2    23.0    13.0
16/07/2008    0.0    3.0    23.0    12.0
17/07/2008    3.5    4.9    23.0    12.0
18/07/2008    2.0    3.1    24.0    12.0
19/07/2008    0.0    4.2    23.0    11.0
20/07/2008    1.5    3.2    24.0    12.0
21/07/2008    0.0    4.1    24.0    13.0
22/07/2008    0.0    4.1    23.0    11.0
23/07/2008    0.0    2.9    25.0    13.0
24/07/2008    7.5    3.3    25.0    12.0
25/07/2008    2.0    1.7    23.0    13.0
26/07/2008    1.5    3.6    23.0    13.0
27/07/2008    0.0    2.0    24.0    12.0
28/07/2008    23.0    4.4    25.0    10.0
29/07/2008    7.0    3.7    25.0    10.0
30/07/2008    0.0    2.2    25.0    12.0
31/07/2008    0.0    2.9    22.0    11.0
01/08/2008    0.0    1.5    23.0    11.0
02/08/2008    0.0    3.5    23.0    11.0
03/08/2008    1.5    1.8    23.0    11.0
04/08/2008    1.0    3.7    23.0    12.0
05/08/2008    0.0    1.7    24.0    13.0
06/08/2008    3.0    5.4    23.0    13.0
07/08/2008    12.0    3.3    23.0    13.0
08/08/2008    1.0    2.9    23.0    12.0
09/08/2008    25.0    1.8    25.0    11.0
10/08/2008    0.0    3.5    24.0    9.0
11/08/2008    2.0    1.7    25.0    10.0
12/08/2008    0.0    1.7    23.0    12.0
13/08/2008    0.0    3.0    24.0    13.0
14/08/2008    11.0    3.5    23.0    14.0
15/08/2008    15.5    3.4    24.0    13.0
16/08/2008    3.5    2.4    23.0    13.0
17/08/2008    2.0    2.6    23.0    13.0
18/08/2008    12.0    2.9    23.0    13.0
19/08/2008    7.0    2.0    21.0    13.0
20/08/2008    7.5    2.0    22.0    13.0
21/08/2008    5.0    3.4    22.0    12.0
22/08/2008    0.0    3.1    23.0    12.0
23/08/2008    18.5    2.9    21.0    14.0
24/08/2008    0.0    5.7    23.0    12.0
25/08/2008    1.5    2.8    23.0    12.0
26/08/2008    10.0    4.1    21.0    12.0
27/08/2008    62.0    2.1    20.0    13.0
28/08/2008    0.0    1.4    23.0    12.0
29/08/2008    7.5    1.0    23.0    13.0
30/08/2008    4.5    2.1    24.0    13.0
31/08/2008    0.0    5.1    22.0    13.0
01/09/2008    0.0    2.1    24.0    14.0
02/09/2008    0.0    3.0    24.0    14.0
03/09/2008    0.0    2.6    25.0    15.0
04/09/2008    0.0    3.4    24.0    13.0
05/09/2008    0.0    4.4    24.0    12.0
06/09/2008    4.5    4.4    21.0    13.0
07/09/2008    0.0    2.2    21.0    14.0
08/09/2008    3.5    1.4    22.0    14.0
09/09/2008    9.0    1.2    22.0    13.0
10/09/2008    28.0    3.7    22.0    13.0
11/09/2008    0.0    3.4    23.0    13.0
12/09/2008    0.0    3.5    23.0    12.0
13/09/2008    4.5    2.8    24.0    13.0
14/09/2008    18.0    2.6    20.0    14.0
15/09/2008    1.5    3.9    20.0    13.0
16/09/2008    4.0    0.1    20.0    14.0
17/09/2008    0.0    3.7    24.0    13.0
18/09/2008    0.0    2.7    24.0    13.0
19/09/2008    0.0    2.2    23.0    13.0
20/09/2008    0.0    1.7    23.0    13.0
21/09/2008    0.0    2.4    24.0    14.0
22/09/2008    0.0    1.6    23.0    13.0
23/09/2008    4.0    4.0    25.0    14.0
24/09/2008    8.5    4.6    22.0    14.0
25/09/2008    3.0    1.7    22.0    14.0
26/09/2008    0.0    3.3    21.0    13.0
27/09/2008    0.0    4.5    25.0    13.0
28/09/2008    0.0    2.6    24.0    14.0
29/09/2008    0.0    3.0    23.0    12.0
30/09/2008    0.0    3.5    23.0    11.0
01/10/2008    0.0    5.0    24.0    9.0
02/10/2008    0.0    5.2    24.0    7.0
03/10/2008    0.0    3.9    24.0    7.0
04/10/2008    0.0    6.6    25.0    7.0
05/10/2008    7.0    6.2    26.0    8.0
06/10/2008    0.0    1.2    23.0    10.0
07/10/2008    11.0    0.9    24.0    12.0
08/10/2008    0.0    3.4    22.0    13.0
09/10/2008    0.0    2.4    23.0    10.0
10/10/2008    0.5    2.5    25.0    11.0
11/10/2008    18.0    2.2    20.0    13.0
12/10/2008    6.5    5.2    21.0    13.0
13/10/2008    1.5    3.4    24.0    12.0
14/10/2008    7.0    2.5    22.0    12.0
15/10/2008    0.0    3.3    24.0    9.0
16/10/2008    0.0    2.3    24.0    10.0
17/10/2008    0.0    3.2    24.0    12.0
18/10/2008    0.0    3.1    23.0    12.0
19/10/2008    0.0    6.7    25.0    12.0
20/10/2008    0.5    5.2    24.0    10.0
21/10/2008    16.0    2.0    23.0    11.0
