GENERADO-TT-2019-B082
BASE DE DATOS CLIMATOLÓGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A NOVIEMBRE 2020
 
ESTACIÓN  : 15028
NOMBRE    : TECALITLAN
ESTADO    : JALISCO
MUNICIPIO :  TECALITLAN
SITUACIÓN : -------
ORGANISMO : TT-2019-B082
CVE-OMM   : Nulo
LATITUD   :  19.469°
LONGITUD  :  -103.307°
ALTITUD   : ----------
 
EMISIÓN   : 11/11/2020 
 
           PRECIP  EVAP   TMAX   TMIN
  FECHA      mm     mm     °C     °C 
01/01/2008    0.4    4.6    29.4    14.0
02/01/2008    0.0    4.4    25.8    13.0
03/01/2008    0.0    3.4    26.2    10.4
04/01/2008    0.0    4.0    28.0    8.0
05/01/2008    0.0    4.4    26.1    8.4
06/01/2008    0.0    2.2    27.2    9.4
07/01/2008    0.0    3.7    25.6    9.7
08/01/2008    0.0    5.1    26.0    7.5
09/01/2008    0.0    4.2    24.8    7.3
10/01/2008    0.0    4.3    26.5    7.3
11/01/2008    0.0    4.6    26.5    7.9
12/01/2008    0.0    4.6    26.4    6.3
13/01/2008    0.0    3.4    26.3    6.7
14/01/2008    0.0    3.6    27.0    7.4
15/01/2008    0.0    4.4    24.5    7.3
16/01/2008    0.0    3.9    25.1    6.0
17/01/2008    0.0    3.0    25.3    6.2
18/01/2008    0.0    2.9    28.2    7.5
19/01/2008    0.0    4.9    29.0    8.8
20/01/2008    0.0    5.2    24.7    8.4
21/01/2008    0.0    3.4    28.0    8.5
22/01/2008    0.0    4.6    28.4    9.5
23/01/2008    0.0    5.7    28.1    11.0
24/01/2008    0.0    5.1    27.1    11.3
25/01/2008    0.0    4.1    27.8    11.4
26/01/2008    0.0    4.9    23.1    11.2
27/01/2008    0.0    5.9    29.0    11.1
28/01/2008    0.0    5.0    27.1    10.7
29/01/2008    0.0    5.0    28.5    11.3
30/01/2008    0.0    4.9    26.6    11.6
31/01/2008    0.0    4.9    26.8    10.8
01/02/2008    0.0    4.1    30.7    8.2
02/02/2008    0.0    4.6    31.4    8.2
03/02/2008    0.0    5.1    31.4    8.2
04/02/2008    0.0    4.4    31.4    8.3
05/02/2008    0.0    4.5    30.3    7.8
06/02/2008    0.0    4.2    30.8    7.4
07/02/2008    0.0    4.2    31.1    7.3
08/02/2008    0.0    5.5    31.5    7.8
09/02/2008    0.0    3.9    30.1    8.7
10/02/2008    0.0    3.7    32.3    9.9
11/02/2008    0.0    4.6    32.0    8.7
12/02/2008    0.0    3.8    31.4    8.1
13/02/2008    0.0    5.2    31.9    8.1
14/02/2008    0.0    4.9    30.6    6.1
15/02/2008    0.0    4.3    30.7    6.5
16/02/2008    0.0    5.1    32.3    6.8
17/02/2008    0.0    5.7    32.1    6.7
18/02/2008    0.0    4.9    31.4    6.7
19/02/2008    0.0    4.7    31.2    6.2
20/02/2008    0.0    4.1    31.9    6.1
21/02/2008    0.0    4.1    31.7    7.5
22/02/2008    0.0    4.2    32.7    6.6
23/02/2008    0.0    5.4    34.6    7.2
24/02/2008    0.0    5.4    35.1    8.7
25/02/2008    0.0    5.1    32.4    9.4
26/02/2008    0.0    5.2    32.6    8.4
27/02/2008    0.0    5.3    33.0    9.1
28/02/2008    0.0    4.5    31.9    9.1
29/02/2008    0.0    5.6    32.4    8.5
01/03/2008    0.0    4.8    33.7    9.7
02/03/2008    0.0    5.7    32.4    9.9
03/03/2008    0.0    5.3    32.5    9.3
04/03/2008    0.0    4.4    30.9    9.8
05/03/2008    0.0    5.7    32.4    9.0
06/03/2008    0.0    5.7    32.0    6.6
07/03/2008    0.0    5.3    31.4    5.8
08/03/2008    0.0    5.3    30.6    5.3
09/03/2008    0.0    5.3    30.7    6.2
10/03/2008    0.0    4.4    32.2    7.5
11/03/2008    0.0    4.2    33.6    8.4
12/03/2008    0.0    5.5    33.1    9.2
13/03/2008    0.0    5.7    32.7    9.2
14/03/2008    0.0    5.7    33.0    7.5
15/03/2008    0.0    5.9    33.0    6.5
16/03/2008    0.0    6.0    32.5    7.3
17/03/2008    0.0    5.8    31.6    7.8
18/03/2008    0.0    5.3    30.0    7.5
19/03/2008    0.0    5.6    33.1    7.8
20/03/2008    0.0    5.9    33.9    9.0
21/03/2008    0.0    5.8    35.1    10.2
22/03/2008    0.0    6.1    34.8    11.2
23/03/2008    0.0    5.6    33.1    10.3
24/03/2008    0.0    4.6    33.6    9.3
25/03/2008    0.0    5.0    33.8    9.9
26/03/2008    0.0    6.3    35.0    10.9
27/03/2008    0.0    5.7    35.0    11.3
28/03/2008    0.0    6.0    34.2    11.6
29/03/2008    0.0    5.8    33.8    10.2
30/03/2008    0.0    6.4    34.5    10.0
31/03/2008    0.0    6.4    35.3    9.4
01/04/2008    0.0    6.2    35.5    10.3
02/04/2008    0.0    6.3    36.1    10.8
03/04/2008    0.0    6.0    36.8    11.6
04/04/2008    0.0    6.3    35.2    11.1
05/04/2008    0.0    5.2    33.2    12.6
06/04/2008    0.0    5.7    33.8    12.8
07/04/2008    0.0    5.7    34.6    11.1
08/04/2008    0.0    6.7    33.8    11.2
09/04/2008    0.0    6.5    34.3    9.3
10/04/2008    0.0    6.3    34.5    9.6
11/04/2008    0.0    6.1    35.5    10.9
12/04/2008    0.0    5.6    35.8    12.3
13/04/2008    0.0    6.4    36.1    13.2
14/04/2008    0.0    5.8    35.4    14.4
15/04/2008    0.0    5.8    35.3    15.6
16/04/2008    0.1    6.1    35.1    14.4
17/04/2008    0.0    6.5    33.7    12.1
18/04/2008    0.0    6.2    37.4    10.6
19/04/2008    0.0    7.6    36.5    11.4
20/04/2008    0.0    6.9    35.9    12.2
21/04/2008    0.0    5.6    36.4    12.8
22/04/2008    0.0    6.3    36.7    13.1
23/04/2008    0.0    6.4    36.2    13.7
24/04/2008    0.0    6.7    35.2    14.0
25/04/2008    0.0    6.5    38.8    11.5
26/04/2008    0.0    6.9    36.8    12.2
27/04/2008    0.0    5.3    36.1    13.4
28/04/2008    0.0    7.4    36.5    15.2
29/04/2008    0.0    7.0    35.1    14.9
30/04/2008    0.0    6.8    34.5    13.7
01/05/2008    0.0    7.5    35.0    11.2
02/05/2008    0.0    7.2    35.0    11.0
03/05/2008    0.0    6.3    36.6    11.6
04/05/2008    0.0    6.3    36.4    12.8
05/05/2008    0.0    6.2    36.2    13.6
06/05/2008    0.0    6.5    36.2    15.4
07/05/2008    0.0    5.6    34.7    15.1
08/05/2008    0.0    6.7    35.0    15.0
09/05/2008    0.0    6.3    35.6    15.4
10/05/2008    0.0    5.4    36.0    15.9
11/05/2008    0.0    6.1    36.3    17.1
12/05/2008    0.0    6.0    35.7    17.5
13/05/2008    0.0    6.8    35.5    14.9
14/05/2008    0.0    6.6    36.4    14.2
15/05/2008    0.0    5.7    36.1    14.6
16/05/2008    0.0    6.5    36.1    15.5
17/05/2008    0.0    6.8    35.4    15.2
18/05/2008    0.0    6.5    35.6    13.9
19/05/2008    0.0    5.7    34.8    13.6
20/05/2008    0.0    6.4    35.4    14.2
21/05/2008    0.0    6.7    34.9    14.8
22/05/2008    0.0    6.5    32.9    14.9
23/05/2008    0.0    6.4    33.6    11.5
24/05/2008    0.0    6.1    35.6    12.2
25/05/2008    0.0    5.2    36.2    13.2
26/05/2008    0.0    7.3    36.4    15.4
27/05/2008    0.0    5.6    34.3    15.7
28/05/2008    0.0    5.5    36.3    16.0
29/05/2008    0.0    6.7    36.9    18.7
30/05/2008    0.1    5.9    36.1    17.0
31/05/2008    1.5    5.1    36.5    16.7
01/06/2008    0.0    5.4    35.7    16.8
02/06/2008    0.0    5.2    36.8    17.1
03/06/2008    0.0    6.4    36.6    16.9
04/06/2008    0.0    5.1    33.4    16.4
05/06/2008    0.0    5.5    34.1    16.2
06/06/2008    2.6    6.0    34.7    15.8
07/06/2008    7.0    6.6    34.4    16.5
08/06/2008    11.9    5.1    35.3    18.6
09/06/2008    12.0    5.2    32.6    19.5
10/06/2008    21.1    5.0    27.3    18.6
11/06/2008    0.8    4.1    29.5    16.4
12/06/2008    2.5    2.8    29.9    17.3
13/06/2008    2.2    2.8    32.6    18.1
14/06/2008    7.2    6.5    31.9    18.8
15/06/2008    8.7    4.5    33.1    17.2
16/06/2008    0.9    5.3    34.1    17.4
17/06/2008    1.4    5.0    34.3    16.8
18/06/2008    0.5    6.0    35.2    16.9
19/06/2008    7.5    4.6    34.7    17.4
