CNA-SMN-CG-GMC-SMAA-CLIMATOLOGÍA
BASE DE DATOS CLIMATOLÓGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2019
 
ESTACIÓN  : 14011
NOMBRE    : APAZULCO
ESTADO    : JALISCO
MUNICIPIO : LA HUERTA
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 0019.306°
LONGITUD  : -104.888°
ALTITUD   : 5 msnm
 
EMISIÓN   : 14/08/2019 
 
           PRECIP  EVAP   TMAX   TMIN
  FECHA      mm     mm     °C     °C 
01/02/2008    0.0    3.2    28.0    16.0
02/02/2008    0.0    3.1    30.0    16.0
03/02/2008    0.0    2.5    31.0    16.0
04/02/2008    0.0    2.3    29.0    14.0
05/02/2008    0.0    4.9    28.0    14.0
06/02/2008    0.0    4.2    28.0    14.0
07/02/2008    0.0    6.8    30.0    16.0
08/02/2008    0.0    7.8    28.0    16.0
09/02/2008    0.0    3.4    30.0    15.5
10/02/2008    0.0    2.8    29.0    13.0
11/02/2008    0.0    3.2    28.0    15.0
12/02/2008    0.0    2.9    31.0    15.5
13/02/2008    0.0    2.9    30.0    13.0
14/02/2008    0.0    2.2    30.0    11.0
15/02/2008    0.0    2.3    32.0    11.0
16/02/2008    0.0    5.3    29.0    12.0
17/02/2008    0.0    3.7    26.5    12.0
18/02/2008    0.0    2.8    28.5    14.0
19/02/2008    0.0    3.5    26.0    16.0
20/02/2008    0.0    3.4    26.0    11.5
21/02/2008    0.0    5.1    26.5    12.0
22/02/2008    0.0    3.2    29.0    12.5
23/02/2008    0.0    3.9    27.0    10.0
24/02/2008    0.0    2.6    28.0    14.0
25/02/2008    0.0    5.4    29.0    16.5
26/02/2008    0.0    4.2    29.0    12.0
27/02/2008    0.0    4.2    25.0    14.0
28/02/2008    0.0    3.9    29.0    14.0
29/02/2008    0.0    3.2    30.0    14.0
01/03/2008    0.0    6.1    32.0    13.0
02/03/2008    0.0    3.7    26.0    14.0
03/03/2008    0.0    4.6    28.0    12.5
04/03/2008    0.0    5.1    29.0    13.0
05/03/2008    0.0    4.8    28.0    13.0
06/03/2008    0.0    4.5    27.5    11.0
07/03/2008    0.0    6.0    30.0    8.5
08/03/2008    0.0    6.7    25.0    11.0
09/03/2008    0.0    3.4    28.0    10.0
10/03/2008    0.0    6.1    32.5    11.0
11/03/2008    0.0    7.9    33.0    14.0
12/03/2008    0.0    6.7    30.0    12.0
13/03/2008    0.0    6.5    30.0    8.5
14/03/2008    0.0    5.3    29.0    8.0
15/03/2008    0.0    5.8    33.0    10.0
16/03/2008    0.0    4.0    22.0    10.5
17/03/2008    0.0    3.8    29.0    11.0
18/03/2008    0.0    4.2    26.0    11.0
19/03/2008    0.0    5.8    25.0    11.0
20/03/2008    0.0    8.1    20.0    9.0
21/03/2008    0.0    8.4    30.0    13.0
22/03/2008    0.0    6.7    33.0    14.0
23/03/2008    0.0    7.0    29.0    11.0
24/03/2008    0.0    5.5    29.0    11.0
25/03/2008    0.0    3.1    31.5    13.0
26/03/2008    0.0    7.1    33.0    14.0
27/03/2008    0.0    7.2    33.0    14.0
28/03/2008    0.0    7.9    31.0    12.0
29/03/2008    0.0    8.8    31.0    11.0
30/03/2008    0.0    5.7    30.0    12.0
31/03/2008    0.0    7.0    28.0    14.0
01/04/2008    0.0    5.3    28.0    15.5
02/04/2008    0.0    5.1    29.0    16.5
03/04/2008    0.0    4.2    29.0    15.0
04/04/2008    0.0    5.5    30.0    16.0
05/04/2008    0.0    5.7    30.0    14.0
06/04/2008    0.0    4.7    30.0    20.0
07/04/2008    0.0    4.5    30.0    18.0
08/04/2008    0.0    4.5    28.0    18.0
09/04/2008    0.0    5.1    30.0    18.0
10/04/2008    0.0    5.5    28.5    16.0
11/04/2008    0.0    4.1    30.0    16.0
12/04/2008    0.0    6.6    29.0    18.0
13/04/2008    0.0    5.6    29.5    18.0
14/04/2008    0.0    5.2    30.0    18.0
15/04/2008    0.0    4.9    34.0    17.0
16/04/2008    0.0    5.5    32.0    17.0
17/04/2008    0.0    4.5    28.5    17.0
18/04/2008    0.0    5.5    32.0    14.5
19/04/2008    0.0    Nulo    30.0    17.0
20/04/2008    0.0    Nulo    30.0    17.0
21/04/2008    0.0    Nulo    31.0    18.0
22/04/2008    0.0    Nulo    29.0    16.0
23/04/2008    0.0    Nulo    30.0    18.0
24/04/2008    0.0    Nulo    31.0    18.0
25/04/2008    0.0    Nulo    31.0    18.0
26/04/2008    0.0    Nulo    29.0    20.0
27/04/2008    0.0    Nulo    30.0    20.0
28/04/2008    0.0    Nulo    29.5    18.0
29/04/2008    0.0    Nulo    30.5    20.5
30/04/2008    16.0    Nulo    32.0    16.0
01/05/2008    0.0    Nulo    31.0    16.0
02/05/2008    0.0    Nulo    31.0    17.0
03/05/2008    0.0    Nulo    31.5    11.0
04/05/2008    0.0    Nulo    30.0    17.0
05/05/2008    0.0    Nulo    30.0    18.5
06/05/2008    0.0    Nulo    31.0    20.5
07/05/2008    0.0    Nulo    31.0    21.0
08/05/2008    0.0    Nulo    32.0    17.0
09/05/2008    0.0    Nulo    30.0    17.0
10/05/2008    0.0    Nulo    31.0    21.0
11/05/2008    0.0    Nulo    31.0    19.0
12/05/2008    0.0    Nulo    30.0    21.0
13/05/2008    0.0    Nulo    32.0    20.0
14/05/2008    0.0    Nulo    34.0    21.0
15/05/2008    0.0    Nulo    33.0    22.0
16/05/2008    0.0    Nulo    33.0    22.0
17/05/2008    0.0    Nulo    30.0    22.0
18/05/2008    0.0    Nulo    32.0    21.0
19/05/2008    0.0    Nulo    32.0    21.0
20/05/2008    0.0    Nulo    32.0    20.0
