CNA-SMN-CG-GMC-SMAA-CLIMATOLOGÍA
BASE DE DATOS CLIMATOLÓGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2019
 
ESTACIÓN  : 14025
NOMBRE    : CALERA
ESTADO    : JALISCO
MUNICIPIO : TEOCALTICHE
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 0021.498°
LONGITUD  : -102.586°
ALTITUD   : 1,800 msnm
 
EMISIÓN   : 14/08/2019 
 
           PRECIP  EVAP   TMAX   TMIN
  FECHA      mm     mm     °C     °C 
01/02/2008    0.0    Nulo    40.0    17.0
02/02/2008    0.0    Nulo    41.0    18.0
03/02/2008    0.0    Nulo    39.0    18.0
04/02/2008    0.0    Nulo    39.0    19.0
05/02/2008    0.0    Nulo    40.0    18.0
06/02/2008    0.0    Nulo    39.0    18.0
07/02/2008    0.0    Nulo    40.0    19.0
08/02/2008    0.0    Nulo    41.0    18.0
09/02/2008    0.0    Nulo    41.0    18.0
10/02/2008    0.0    Nulo    41.0    19.0
11/02/2008    0.0    Nulo    42.0    19.0
12/02/2008    0.0    Nulo    41.0    21.0
13/02/2008    0.0    Nulo    41.0    21.0
14/02/2008    0.0    Nulo    31.0    21.0
15/02/2008    0.0    Nulo    40.0    21.0
16/02/2008    0.0    Nulo    37.0    20.0
17/02/2008    0.0    Nulo    38.0    21.0
18/02/2008    0.0    Nulo    39.0    19.0
19/02/2008    0.0    Nulo    37.0    22.0
20/02/2008    0.0    Nulo    32.0    21.0
21/02/2008    0.0    Nulo    32.0    19.0
22/02/2008    0.0    Nulo    39.0    19.0
23/02/2008    0.0    Nulo    39.0    19.0
24/02/2008    0.0    Nulo    38.0    21.0
25/02/2008    0.0    Nulo    36.0    19.0
26/02/2008    0.0    Nulo    34.0    22.0
27/02/2008    0.0    Nulo    33.0    21.0
28/02/2008    0.0    Nulo    41.0    20.0
29/02/2008    0.0    Nulo    40.0    20.0
01/03/2008    0.0    Nulo    39.0    19.0
02/03/2008    0.0    Nulo    39.0    19.0
03/03/2008    0.0    Nulo    43.0    19.0
04/03/2008    0.0    Nulo    44.0    22.0
05/03/2008    0.0    Nulo    44.0    21.0
06/03/2008    0.0    Nulo    44.0    17.0
07/03/2008    0.0    Nulo    45.0    18.0
08/03/2008    0.0    Nulo    32.0    17.0
09/03/2008    0.0    Nulo    34.0    20.0
10/03/2008    0.0    Nulo    36.0    21.0
11/03/2008    0.0    Nulo    39.0    20.0
12/03/2008    0.0    Nulo    38.0    19.0
13/03/2008    0.0    Nulo    41.0    21.0
14/03/2008    0.0    Nulo    40.0    14.0
15/03/2008    0.0    Nulo    39.0    14.0
16/03/2008    0.0    Nulo    41.0    13.0
17/03/2008    0.0    Nulo    42.0    14.0
18/03/2008    0.0    Nulo    41.0    13.0
19/03/2008    0.0    Nulo    42.0    13.0
20/03/2008    0.0    Nulo    43.0    18.0
21/03/2008    0.0    Nulo    42.0    19.0
