CNA-SMN-CG-GMC-SMAA-CLIMATOLOGÍA
BASE DE DATOS CLIMATOLÓGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2019
 
ESTACIÓN  : 14028
NOMBRE    : CIHUATLAN (DGE)
ESTADO    : JALISCO
MUNICIPIO : CIHUATLAN
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 0019.238°
LONGITUD  : -104.562°
ALTITUD   : 20 msnm
 
EMISIÓN   : 14/08/2019 
 
           PRECIP  EVAP   TMAX   TMIN
  FECHA      mm     mm     °C     °C 
01/02/2008    0.0    4.4    32.5    17.5
02/02/2008    0.0    5.1    33.5    17.5
03/02/2008    0.0    5.2    33.0    17.0
04/02/2008    0.0    5.2    34.0    16.5
05/02/2008    0.0    5.3    33.0    16.0
06/02/2008    0.0    3.1    32.0    15.5
07/02/2008    0.0    4.8    32.0    15.0
08/02/2008    0.0    3.7    32.5    16.0
09/02/2008    0.0    4.0    33.0    17.0
10/02/2008    0.0    4.2    33.0    17.0
11/02/2008    0.0    4.1    33.5    17.5
12/02/2008    0.0    3.8    33.0    16.5
13/02/2008    0.0    4.1    34.0    15.5
14/02/2008    0.0    3.8    33.0    15.0
15/02/2008    0.0    5.0    33.5    15.5
16/02/2008    0.0    5.0    34.0    13.5
17/02/2008    0.0    4.9    34.5    13.0
18/02/2008    0.0    4.1    28.0    14.5
19/02/2008    0.0    4.1    30.0    15.0
20/02/2008    0.0    4.5    30.0    13.5
21/02/2008    0.0    4.1    31.0    14.0
22/02/2008    0.0    4.5    31.5    12.5
23/02/2008    0.0    3.9    30.0    11.5
24/02/2008    0.0    4.9    31.5    13.0
25/02/2008    0.0    4.7    32.5    14.0
26/02/2008    0.0    4.1    31.5    13.0
27/02/2008    0.0    5.7    29.0    13.0
28/02/2008    0.0    5.3    33.0    13.5
29/02/2008    0.0    5.9    32.5    15.5
01/03/2008    0.0    5.7    33.0    14.0
02/03/2008    0.0    5.8    33.5    12.0
03/03/2008    0.0    4.8    32.5    13.5
04/03/2008    0.0    4.0    33.0    14.5
05/03/2008    0.0    5.4    31.5    13.5
06/03/2008    0.0    5.0    31.5    13.5
07/03/2008    0.0    5.7    32.0    12.5
08/03/2008    0.0    5.8    32.5    11.0
09/03/2008    0.0    6.0    32.5    12.0
10/03/2008    0.0    7.9    35.0    13.5
11/03/2008    0.0    6.1    35.0    17.5
12/03/2008    0.0    7.1    33.0    14.5
13/03/2008    0.0    6.3    31.5    12.5
14/03/2008    0.0    5.4    32.0    11.0
15/03/2008    0.0    5.6    32.5    13.0
16/03/2008    Nulo    Nulo    Nulo    13.5
01/04/2008    0.0    4.6    31.0    14.0
02/04/2008    0.0    4.8    32.5    15.0
03/04/2008    0.0    4.6    32.5    16.5
04/04/2008    0.0    5.2    33.0    18.0
05/04/2008    0.0    5.6    33.5    18.0
06/04/2008    0.0    5.7    34.0    18.5
07/04/2008    0.0    5.2    33.0    19.0
08/04/2008    0.0    4.8    32.0    18.5
09/04/2008    0.0    4.5    33.0    17.5
10/04/2008    0.0    9.4    32.0    17.5
11/04/2008    0.0    5.8    33.0    18.0
12/04/2008    0.0    5.9    32.0    17.5
13/04/2008    0.0    5.7    32.5    18.0
14/04/2008    0.0    6.5    34.0    18.0
15/04/2008    0.0    6.2    36.0    19.0
16/04/2008    0.0    7.9    36.0    19.0
17/04/2008    0.0    6.6    32.0    15.5
18/04/2008    0.0    4.5    33.0    16.5
19/04/2008    0.0    4.4    33.5    17.0
20/04/2008    0.0    4.3    34.0    17.5
21/04/2008    0.0    9.1    32.5    16.5
22/04/2008    0.0    8.7    32.5    17.5
23/04/2008    0.0    6.1    33.5    18.5
24/04/2008    0.0    6.0    33.5    19.0
25/04/2008    0.0    5.7    34.0    18.5
26/04/2008    0.0    5.5    33.5    18.0
27/04/2008    0.0    5.3    33.0    19.0
28/04/2008    0.0    5.1    33.0    19.0
29/04/2008    0.0    5.2    34.5    19.0
30/04/2008    0.0    7.9    34.0    19.5
01/05/2008    0.0    7.8    34.5    18.0
02/05/2008    0.0    5.6    33.0    17.0
03/05/2008    0.0    5.9    33.5    18.5
04/05/2008    0.0    5.7    34.0    19.0
05/05/2008    0.0    5.8    34.5    19.5
06/05/2008    0.0    6.0    35.0    20.0
07/05/2008    0.0    5.1    34.0    20.5
08/05/2008    0.0    6.7    34.5    18.5
09/05/2008    0.0    5.1    33.0    19.0
10/05/2008    0.0    4.9    34.0    19.5
11/05/2008    0.0    5.0    33.5    20.0
12/05/2008    0.0    5.1    33.0    19.0
13/05/2008    0.0    6.5    35.0    21.0
14/05/2008    0.0    8.6    36.5    20.5
15/05/2008    0.0    7.4    36.0    21.5
16/05/2008    0.0    7.1    35.0    21.5
17/05/2008    0.0    7.2    35.5    20.0
18/05/2008    0.0    7.2    35.0    20.5
19/05/2008    0.0    7.5    35.0    20.5
20/05/2008    0.0    6.9    34.0    21.5
21/05/2008    0.0    7.1    33.5    21.0
22/05/2008    0.0    8.0    33.0    19.0
23/05/2008    0.0    6.7    33.0    19.0
24/05/2008    0.0    6.4    33.5    18.5
25/05/2008    0.0    6.5    33.0    19.0
26/05/2008    0.0    6.3    34.0    20.0
27/05/2008    0.0    5.8    33.5    20.0
28/05/2008    0.0    6.5    36.0    21.0
29/05/2008    0.0    6.3    36.0    22.0
30/05/2008    0.0    4.5    36.0    21.5
31/05/2008    0.0    4.3    35.5    21.0
01/06/2008    0.0    7.0    35.0    21.0
02/06/2008    0.0    5.7    34.0    20.0
03/06/2008    0.0    5.7    33.0    19.5
04/06/2008    0.0    5.8    33.5    20.0
05/06/2008    0.0    5.3    33.5    21.0
06/06/2008    0.0    5.1    34.5    22.0
07/06/2008    0.0    4.7    34.0    23.0
08/06/2008    0.0    5.1    34.0    22.5
09/06/2008    26.5    6.5    32.5    22.0
10/06/2008    16.0    2.3    25.5    22.0
11/06/2008    0.0    4.1    32.0    21.5
12/06/2008    0.0    5.8    33.0    20.5
13/06/2008    0.0    3.4    32.0    21.0
14/06/2008    0.0    6.0    35.0    22.0
15/06/2008    0.0    7.7    35.5    22.0
16/06/2008    0.0    5.8    35.5    23.0
17/06/2008    0.0    6.4    35.5    22.5
18/06/2008    0.0    5.9    35.5    22.5
19/06/2008    0.0    6.2    35.0    23.0
20/06/2008    0.0    6.8    36.0    23.5
21/06/2008    0.5    4.6    36.0    23.5
22/06/2008    0.0    6.3    35.0    23.0
23/06/2008    0.0    6.8    36.0    23.0
24/06/2008    2.9    6.2    38.5    23.5
25/06/2008    0.0    6.6    36.5    23.5
26/06/2008    33.0    5.3    36.0    24.5
27/06/2008    0.2    4.4    35.0    23.5
28/06/2008    0.0    4.8    34.5    23.5
29/06/2008    0.0    3.0    33.0    23.5
30/06/2008    0.2    6.7    36.0    23.5
01/07/2008    5.3    4.1    34.0    24.0
02/07/2008    65.2    4.6    30.0    24.5
03/07/2008    26.4    5.3    32.5    22.0
04/07/2008    1.4    5.7    33.5    23.0
