CNA-SMN-CG-GMC-SMAA-CLIMATOLOGÍA
BASE DE DATOS CLIMATOLÓGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2019
 
ESTACIÓN  : 14044
NOMBRE    : EL BRAMADOR
ESTADO    : JALISCO
MUNICIPIO : TALPA DE ALLENDE
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 0020.310°
LONGITUD  : -105.050°
ALTITUD   : 1,704 msnm
 
EMISIÓN   : 14/08/2019 
 
           PRECIP  EVAP   TMAX   TMIN
  FECHA      mm     mm     °C     °C 
01/02/2008    0.0    Nulo    33.0    14.0
02/02/2008    0.0    Nulo    34.0    14.0
03/02/2008    0.0    Nulo    33.0    15.0
04/02/2008    0.0    Nulo    33.0    14.0
05/02/2008    0.0    Nulo    32.0    14.0
06/02/2008    0.0    Nulo    32.0    13.0
07/02/2008    0.0    Nulo    32.0    14.0
08/02/2008    0.0    Nulo    31.0    14.0
09/02/2008    0.0    Nulo    32.0    14.0
10/02/2008    0.0    Nulo    32.0    15.0
11/02/2008    0.0    Nulo    34.0    15.0
12/02/2008    0.0    Nulo    33.0    14.0
13/02/2008    0.0    Nulo    34.0    14.0
14/02/2008    0.0    Nulo    33.0    13.0
15/02/2008    0.0    Nulo    32.0    13.0
16/02/2008    0.0    Nulo    33.0    13.0
17/02/2008    0.0    Nulo    35.0    15.0
18/02/2008    0.0    Nulo    33.0    13.0
19/02/2008    0.0    Nulo    31.0    14.0
20/02/2008    0.0    Nulo    31.0    12.0
21/02/2008    0.0    Nulo    32.0    12.0
22/02/2008    0.0    Nulo    33.5    14.0
23/02/2008    0.0    Nulo    35.0    14.0
24/02/2008    0.0    Nulo    33.5    14.0
25/02/2008    0.0    Nulo    34.0    15.0
26/02/2008    0.0    Nulo    34.0    14.0
27/02/2008    0.0    Nulo    33.0    12.0
28/02/2008    0.0    Nulo    32.0    13.0
29/02/2008    0.0    Nulo    35.0    13.0
01/03/2008    0.0    Nulo    35.0    13.0
02/03/2008    0.0    Nulo    33.0    14.0
03/03/2008    0.0    Nulo    34.0    13.0
04/03/2008    0.0    Nulo    34.0    13.0
05/03/2008    0.0    Nulo    33.0    12.0
06/03/2008    0.0    Nulo    34.0    14.0
07/03/2008    0.0    Nulo    31.0    13.0
08/03/2008    0.0    Nulo    35.0    12.0
09/03/2008    0.0    Nulo    34.0    11.0
10/03/2008    0.0    Nulo    35.0    13.0
11/03/2008    0.0    Nulo    33.0    16.0
12/03/2008    0.0    Nulo    34.0    14.0
13/03/2008    0.0    Nulo    36.0    13.0
14/03/2008    0.0    Nulo    35.0    12.0
15/03/2008    0.0    Nulo    34.0    13.0
16/03/2008    0.0    Nulo    34.0    11.0
17/03/2008    0.0    Nulo    34.0    11.0
18/03/2008    0.0    Nulo    35.0    12.0
19/03/2008    0.0    Nulo    34.0    12.0
20/03/2008    0.0    Nulo    35.0    14.0
21/03/2008    0.0    Nulo    36.0    14.0
22/03/2008    0.0    Nulo    37.5    15.0
23/03/2008    0.0    Nulo    36.5    15.0
24/03/2008    0.0    Nulo    35.5    15.0
25/03/2008    0.0    Nulo    35.0    14.0
26/03/2008    0.0    Nulo    37.0    16.0
27/03/2008    0.0    Nulo    38.0    15.0
28/03/2008    0.0    Nulo    36.0    13.0
29/03/2008    0.0    Nulo    37.0    13.0
30/03/2008    0.0    Nulo    36.0    13.0
31/03/2008    0.0    Nulo    32.0    14.0
01/04/2008    0.0    Nulo    31.0    16.0
02/04/2008    0.0    Nulo    34.0    15.0
03/04/2008    0.0    Nulo    36.0    16.0
04/04/2008    0.0    Nulo    36.0    16.0
05/04/2008    0.0    Nulo    35.0    16.0
06/04/2008    0.0    Nulo    36.0    18.0
07/04/2008    0.0    Nulo    36.0    17.0
08/04/2008    0.0    Nulo    36.0    16.0
09/04/2008    0.0    Nulo    35.0    17.0
10/04/2008    0.0    Nulo    35.0    16.0
11/04/2008    0.0    Nulo    36.0    16.5
12/04/2008    0.0    Nulo    36.5    17.0
13/04/2008    0.0    Nulo    36.5    18.0
14/04/2008    0.0    Nulo    36.0    19.0
15/04/2008    0.0    Nulo    37.5    18.0
16/04/2008    0.0    Nulo    37.0    17.5
17/04/2008    0.0    Nulo    36.0    14.5
18/04/2008    0.0    Nulo    37.0    15.5
19/04/2008    0.0    Nulo    36.0    16.0
20/04/2008    0.0    Nulo    36.0    18.0
21/04/2008    0.0    Nulo    37.0    19.0
22/04/2008    0.0    Nulo    39.0    19.0
23/04/2008    0.0    Nulo    36.5    17.0
24/04/2008    0.0    Nulo    38.0    18.0
25/04/2008    0.0    Nulo    37.0    18.0
26/04/2008    0.0    Nulo    38.0    19.0
27/04/2008    0.0    Nulo    36.5    17.0
28/04/2008    0.0    Nulo    37.0    18.0
29/04/2008    0.0    Nulo    38.0    17.0
30/04/2008    0.0    Nulo    37.0    18.0
01/05/2008    0.0    Nulo    36.0    21.0
02/05/2008    0.0    Nulo    36.0    18.0
03/05/2008    0.0    Nulo    39.0    18.0
04/05/2008    0.0    Nulo    36.0    15.0
05/05/2008    0.0    Nulo    39.0    18.0
06/05/2008    0.0    Nulo    38.0    20.5
07/05/2008    0.0    Nulo    38.0    21.0
08/05/2008    0.0    Nulo    37.0    20.0
09/05/2008    0.0    Nulo    37.0    19.0
10/05/2008    0.0    Nulo    37.0    19.0
11/05/2008    0.0    Nulo    37.0    19.0
12/05/2008    0.0    Nulo    37.0    19.5
13/05/2008    0.0    Nulo    38.0    20.5
14/05/2008    0.0    Nulo    38.0    21.5
15/05/2008    0.0    Nulo    37.0    22.0
16/05/2008    0.0    Nulo    38.0    21.0
17/05/2008    0.0    Nulo    36.0    22.0
18/05/2008    0.0    Nulo    37.0    21.0
19/05/2008    0.0    Nulo    37.0    22.0
20/05/2008    0.0    Nulo    38.0    22.0
21/05/2008    0.0    Nulo    35.0    19.0
22/05/2008    0.0    Nulo    34.0    18.0
23/05/2008    0.0    Nulo    37.0    18.0
24/05/2008    0.0    Nulo    38.0    21.0
25/05/2008    0.0    Nulo    36.0    22.0
26/05/2008    0.0    Nulo    34.0    19.0
27/05/2008    0.0    Nulo    34.0    20.0
28/05/2008    0.0    Nulo    34.0    21.0
29/05/2008    0.0    Nulo    37.0    22.0
30/05/2008    0.0    Nulo    36.0    22.0
31/05/2008    0.0    Nulo    37.0    21.0
01/06/2008    0.0    Nulo    36.5    22.0
02/06/2008    0.0    Nulo    36.0    19.0
