CNA-SMN-CG-GMC-SMAA-CLIMATOLOGÍA
BASE DE DATOS CLIMATOLÓGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2019
 
ESTACIÓN  : 14085
NOMBRE    : LA HUERTA
ESTADO    : JALISCO
MUNICIPIO : LA HUERTA
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 0019.481°
LONGITUD  : -104.639°
ALTITUD   : 280 msnm
 
EMISIÓN   : 14/08/2019 
 
           PRECIP  EVAP   TMAX   TMIN
  FECHA      mm     mm     °C     °C 
01/01/2010    Nulo    2.3    24.5    7.5
02/01/2010    9.1    0.9    16.0    8.5
03/01/2010    0.0    1.6    22.5    9.0
04/01/2010    0.0    3.2    21.0    2.5
05/01/2010    0.0    2.0    19.0    -0.5
06/01/2010    0.0    2.5    21.5    2.0
07/01/2010    1.8    0.5    20.0    4.5
08/01/2010    0.0    0.4    15.0    5.0
09/01/2010    0.0    Nulo    21.5    5.5
10/01/2010    0.0    2.5    21.0    -2.0
11/01/2010    0.0    2.8    19.5    -3.0
12/01/2010    6.0    1.3    21.0    -2.0
13/01/2010    0.0    1.5    19.0    6.0
14/01/2010    0.0    3.2    20.5    5.0
15/01/2010    2.0    1.5    17.0    2.5
16/01/2010    0.0    1.6    19.0    -2.0
17/01/2010    0.0    2.5    Nulo    -2.0
18/01/2010    0.0    2.8    26.0    0.0
19/01/2010    0.0    3.5    26.0    1.5
20/01/2010    0.0    3.9    26.0    2.0
21/01/2010    0.0    4.1    26.0    0.0
22/01/2010    0.0    4.8    28.0    -1.5
23/01/2010    0.0    4.2    27.0    -0.5
24/01/2010    0.0    5.3    28.0    0.0
25/01/2010    0.0    4.8    28.0    -0.5
26/01/2010    0.0    3.8    27.0    2.0
27/01/2010    0.0    4.3    27.0    2.0
28/01/2010    0.0    4.4    26.0    1.5
29/01/2010    0.0    4.6    25.0    3.5
30/01/2010    0.0    2.6    22.5    4.5
31/01/2010    19.8    3.7    24.0    2.5
--------------------------------------
