CNA-SMN-CG-GMC-SMAA-CLIMATOLOGÍA
BASE DE DATOS CLIMATOLÓGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2019
 
ESTACIÓN  : 14087
NOMBRE    : LA RED
ESTADO    : JALISCO
MUNICIPIO : TEPATITLAN DE MORELOS
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 0020.725°
LONGITUD  : -102.813°
ALTITUD   : 1,774 msnm
 
EMISIÓN   : 14/08/2019 
 
           PRECIP  EVAP   TMAX   TMIN
  FECHA      mm     mm     °C     °C 
01/02/2008    0.0    4.7    27.0    4.0
02/02/2008    0.0    4.8    27.5    3.5
03/02/2008    0.0    4.6    26.0    3.5
04/02/2008    0.0    5.4    26.0    4.5
05/02/2008    0.0    5.7    26.0    3.5
06/02/2008    0.0    4.9    27.0    2.0
07/02/2008    0.0    4.3    25.5    3.0
08/02/2008    0.2    4.1    26.5    4.0
09/02/2008    0.0    5.0    28.0    4.5
10/02/2008    0.0    4.9    28.0    6.0
11/02/2008    0.0    5.1    25.5    7.5
12/02/2008    0.0    6.3    25.0    4.5
13/02/2008    0.0    5.3    26.5    4.0
14/02/2008    0.0    6.0    26.5    3.0
15/02/2008    0.0    6.1    28.0    2.5
16/02/2008    0.0    6.9    28.0    3.0
17/02/2008    0.0    6.6    28.0    2.5
18/02/2008    0.0    6.0    28.5    2.5
19/02/2008    0.0    6.0    28.5    4.0
20/02/2008    0.0    6.3    27.0    2.5
21/02/2008    0.0    5.3    26.5    3.0
22/02/2008    0.0    4.7    27.5    3.0
23/02/2008    0.0    6.1    30.0    3.0
24/02/2008    0.0    7.3    32.5    5.0
25/02/2008    0.0    6.9    31.0    7.0
26/02/2008    0.0    7.9    31.0    4.0
27/02/2008    0.0    6.2    27.5    6.0
28/02/2008    0.0    5.0    27.0    6.0
29/02/2008    0.0    6.1    28.0    5.5
01/03/2008    0.0    5.3    29.0    5.0
02/03/2008    0.0    8.2    28.0    6.0
03/03/2008    0.0    7.5    28.0    2.5
04/03/2008    0.0    6.8    27.0    5.0
05/03/2008    0.0    8.3    27.5    3.5
06/03/2008    0.0    8.3    23.0    3.0
07/03/2008    0.0    6.8    25.0    -2.0
08/03/2008    0.0    7.9    25.5    1.0
09/03/2008    0.0    7.6    24.0    2.0
10/03/2008    0.0    6.8    27.0    3.0
11/03/2008    0.0    6.6    28.0    4.5
12/03/2008    0.0    8.7    28.5    5.0
13/03/2008    0.0    10.0    28.0    5.0
14/03/2008    0.0    7.0    29.0    2.5
15/03/2008    0.0    7.6    31.0    4.0
16/03/2008    0.0    8.6    29.5    5.0
17/03/2008    0.0    9.1    28.5    4.5
18/03/2008    0.0    11.3    26.5    6.5
19/03/2008    0.0    7.6    27.0    5.5
20/03/2008    0.0    6.9    28.5    6.5
21/03/2008    0.0    7.6    29.5    6.0
22/03/2008    0.0    7.6    29.5    6.0
23/03/2008    0.0    8.2    30.0    6.5
24/03/2008    0.0    7.3    29.0    8.0
25/03/2008    0.0    5.9    27.0    8.0
26/03/2008    0.0    7.8    30.0    7.5
27/03/2008    0.0    9.2    29.0    7.0
28/03/2008    0.0    8.1    31.0    6.0
29/03/2008    0.0    9.5    31.5    6.5
30/03/2008    0.0    9.7    32.0    6.5
31/03/2008    0.0    9.7    32.0    5.5
01/04/2008    0.0    10.1    33.5    6.5
02/04/2008    0.0    8.8    35.0    8.0
03/04/2008    0.0    9.8    33.0    8.0
04/04/2008    0.0    10.0    32.0    7.0
05/04/2008    0.0    9.9    29.5    6.0
06/04/2008    0.0    9.4    29.5    8.0
07/04/2008    0.0    8.7    31.0    7.0
08/04/2008    0.0    11.1    31.0    7.0
09/04/2008    0.0    9.8    31.5    8.0
10/04/2008    0.0    10.0    31.5    5.5
11/04/2008    0.0    9.0    32.0    6.5
12/04/2008    0.0    8.2    33.0    8.0
13/04/2008    18.5    8.4    31.0    10.0
14/04/2008    0.0    7.3    26.5    12.0
15/04/2008    0.0    7.2    28.0    11.5
16/04/2008    0.0    8.3    30.0    11.0
17/04/2008    0.0    10.6    30.0    9.0
18/04/2008    0.0    8.4    32.0    5.0
19/04/2008    0.0    8.7    32.0    7.0
20/04/2008    0.0    9.8    33.0    9.5
21/04/2008    0.0    9.3    34.0    9.0
22/04/2008    0.0    10.1    35.0    9.5
23/04/2008    0.0    11.3    34.0    11.0
24/04/2008    0.0    10.5    32.5    11.0
25/04/2008    0.0    10.5    33.0    9.5
26/04/2008    0.0    9.9    32.5    9.5
27/04/2008    0.0    9.3    31.0    9.0
28/04/2008    0.0    9.1    31.0    11.0
29/04/2008    0.0    7.4    31.0    13.0
30/04/2008    0.0    10.6    30.0    10.5
01/05/2008    0.0    10.7    30.0    8.0
02/05/2008    0.0    9.2    30.0    7.5
03/05/2008    0.0    10.6    32.0    8.0
04/05/2008    0.0    9.6    32.5    10.0
05/05/2008    0.0    9.0    31.5    12.0
06/05/2008    0.0    9.2    32.0    11.0
07/05/2008    0.0    7.6    31.0    12.5
08/05/2008    0.0    10.7    33.5    11.0
09/05/2008    0.0    10.0    33.5    12.0
10/05/2008    0.0    9.8    35.5    11.0
11/05/2008    0.0    10.5    36.0    13.0
12/05/2008    1.8    6.2    34.0    15.5
13/05/2008    0.0    10.3    33.0    13.0
14/05/2008    0.0    9.5    32.0    12.0
