CNA-SMN-CG-GMC-SMAA-CLIMATOLOGÍA
BASE DE DATOS CLIMATOLÓGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2019
 
ESTACIÓN  : 14089
NOMBRE    : LA VEGA
ESTADO    : JALISCO
MUNICIPIO : TEUCHITLAN
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 0020.592°
LONGITUD  : -103.858°
ALTITUD   : 1,260 msnm
 
EMISIÓN   : 14/08/2019 
 
           PRECIP  EVAP   TMAX   TMIN
  FECHA      mm     mm     °C     °C 
01/01/2008    0.0    1.9    28.5    6.0
02/01/2008    0.0    1.8    21.5    5.0
03/01/2008    0.0    1.7    21.0    7.0
04/01/2008    0.0    1.8    25.0    3.5
05/01/2008    0.0    1.8    25.0    4.0
06/01/2008    0.0    1.1    26.5    2.5
07/01/2008    0.0    1.2    29.5    3.0
08/01/2008    0.0    1.1    29.0    2.0
09/01/2008    0.0    1.2    30.0    2.5
10/01/2008    0.0    1.1    25.5    2.0
11/01/2008    0.0    1.2    28.0    2.0
12/01/2008    0.0    1.2    26.0    2.0
13/01/2008    0.0    1.0    27.5    1.5
14/01/2008    0.0    1.1    24.5    0.5
15/01/2008    0.0    0.9    27.5    0.5
16/01/2008    0.0    0.8    26.5    4.0
17/01/2008    0.0    1.0    26.0    1.5
18/01/2008    0.0    1.2    23.5    1.5
19/01/2008    0.0    1.2    28.3    4.5
20/01/2008    0.0    1.6    30.5    4.0
21/01/2008    0.0    1.5    27.0    5.0
22/01/2008    0.0    1.6    28.0    0.0
23/01/2008    0.0    2.0    32.0    6.0
24/01/2008    0.0    2.0    31.5    6.0
25/01/2008    0.0    2.1    29.0    7.0
26/01/2008    0.0    2.2    29.0    7.0
27/01/2008    0.0    2.3    30.0    9.0
28/01/2008    0.0    2.0    30.0    6.0
29/01/2008    0.0    2.1    27.5    6.0
30/01/2008    0.0    2.1    27.5    6.0
31/01/2008    0.0    2.2    31.5    6.0
01/02/2008    0.0    2.5    31.0    6.5
02/02/2008    0.0    2.5    31.0    5.5
03/02/2008    0.0    2.5    27.5    6.0
04/02/2008    0.0    2.6    30.5    5.0
05/02/2008    0.0    1.6    27.0    5.0
06/02/2008    0.0    1.9    31.0    4.0
07/02/2008    0.0    1.7    26.5    3.5
08/02/2008    0.0    2.3    29.5    5.5
09/02/2008    0.0    2.2    28.0    6.5
10/02/2008    0.0    1.9    28.0    6.0
11/02/2008    0.0    1.7    29.0    7.0
12/02/2008    0.0    1.9    32.0    5.5
13/02/2008    0.0    1.7    31.5    5.0
14/02/2008    0.0    1.5    31.0    5.0
15/02/2008    0.0    1.5    31.5    4.5
16/02/2008    0.0    1.5    33.0    3.5
17/02/2008    0.0    1.5    31.0    3.0
18/02/2008    0.0    1.6    32.5    4.5
19/02/2008    0.0    1.8    33.0    4.0
20/02/2008    0.0    1.5    29.0    4.0
21/02/2008    0.0    1.9    29.5    4.5
22/02/2008    0.0    2.6    30.0    5.0
23/02/2008    0.0    2.6    33.0    5.0
24/02/2008    0.0    2.7    34.0    4.0
25/02/2008    0.0    2.5    34.0    5.0
26/02/2008    0.0    2.3    33.5    5.0
27/02/2008    0.0    2.3    33.0    5.5
28/02/2008    0.0    2.3    33.0    6.5
29/02/2008    0.0    2.5    31.0    6.0
01/03/2008    0.0    2.5    30.5    6.0
