CNA-SMN-CG-GMC-SMAA-CLIMATOLOGÍA
BASE DE DATOS CLIMATOLÓGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2019
 
ESTACIÓN  : 14099
NOMBRE    : MAZAMITLA
ESTADO    : JALISCO
MUNICIPIO : MAZAMITLA
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 0019.916°
LONGITUD  : -103.019°
ALTITUD   : 2,240 msnm
 
EMISIÓN   : 14/08/2019 
 
           PRECIP  EVAP   TMAX   TMIN
  FECHA      mm     mm     °C     °C 
01/02/2008    0.0    Nulo    Nulo    Nulo
02/02/2008    0.0    Nulo    Nulo    Nulo
03/02/2008    0.0    Nulo    Nulo    Nulo
04/02/2008    0.0    Nulo    Nulo    Nulo
05/02/2008    0.0    Nulo    Nulo    Nulo
06/02/2008    0.0    Nulo    Nulo    Nulo
07/02/2008    0.0    Nulo    Nulo    Nulo
08/02/2008    0.0    Nulo    Nulo    Nulo
09/02/2008    0.0    Nulo    Nulo    Nulo
10/02/2008    0.0    Nulo    Nulo    Nulo
11/02/2008    0.0    Nulo    Nulo    Nulo
12/02/2008    0.0    Nulo    Nulo    Nulo
13/02/2008    0.0    Nulo    Nulo    Nulo
14/02/2008    0.0    Nulo    Nulo    Nulo
15/02/2008    0.0    Nulo    Nulo    Nulo
16/02/2008    0.0    Nulo    Nulo    Nulo
17/02/2008    0.0    Nulo    Nulo    Nulo
18/02/2008    0.0    Nulo    Nulo    Nulo
19/02/2008    0.0    Nulo    Nulo    Nulo
20/02/2008    0.0    Nulo    Nulo    Nulo
21/02/2008    0.0    Nulo    Nulo    Nulo
22/02/2008    0.0    Nulo    Nulo    Nulo
23/02/2008    0.0    Nulo    Nulo    Nulo
24/02/2008    0.0    Nulo    Nulo    Nulo
25/02/2008    0.0    Nulo    Nulo    Nulo
26/02/2008    0.0    Nulo    Nulo    Nulo
27/02/2008    0.0    Nulo    Nulo    Nulo
28/02/2008    0.0    Nulo    Nulo    Nulo
29/02/2008    0.0    Nulo    Nulo    Nulo
01/03/2008    0.0    Nulo    Nulo    Nulo
02/03/2008    0.0    Nulo    Nulo    Nulo
03/03/2008    0.0    Nulo    Nulo    Nulo
04/03/2008    0.0    Nulo    Nulo    Nulo
05/03/2008    0.0    Nulo    Nulo    Nulo
06/03/2008    0.0    Nulo    Nulo    Nulo
07/03/2008    0.0    Nulo    Nulo    Nulo
08/03/2008    0.0    Nulo    Nulo    Nulo
09/03/2008    0.0    Nulo    Nulo    Nulo
10/03/2008    0.0    Nulo    Nulo    Nulo
11/03/2008    0.0    Nulo    Nulo    Nulo
12/03/2008    0.0    Nulo    Nulo    Nulo
13/03/2008    0.0    Nulo    Nulo    Nulo
14/03/2008    Nulo    Nulo    Nulo    Nulo
15/03/2008    0.0    Nulo    Nulo    Nulo
16/03/2008    0.0    Nulo    Nulo    Nulo
17/03/2008    0.0    Nulo    Nulo    Nulo
18/03/2008    0.0    Nulo    Nulo    Nulo
19/03/2008    0.0    Nulo    Nulo    Nulo
20/03/2008    0.0    Nulo    Nulo    Nulo
21/03/2008    0.0    Nulo    Nulo    Nulo
22/03/2008    0.0    Nulo    Nulo    Nulo
23/03/2008    0.0    Nulo    Nulo    Nulo
24/03/2008    0.0    Nulo    Nulo    Nulo
25/03/2008    0.0    Nulo    Nulo    Nulo
26/03/2008    0.0    Nulo    Nulo    Nulo
27/03/2008    0.0    Nulo    Nulo    Nulo
28/03/2008    0.0    Nulo    Nulo    Nulo
29/03/2008    0.0    Nulo    Nulo    Nulo
30/03/2008    0.0    Nulo    Nulo    Nulo
31/03/2008    0.0    Nulo    Nulo    Nulo
01/04/2008    0.0    Nulo    Nulo    Nulo
02/04/2008    0.0    Nulo    Nulo    Nulo
03/04/2008    0.0    Nulo    Nulo    Nulo
04/04/2008    0.0    Nulo    Nulo    Nulo
05/04/2008    0.0    Nulo    Nulo    Nulo
06/04/2008    0.0    Nulo    Nulo    Nulo
07/04/2008    0.0    Nulo    Nulo    Nulo
08/04/2008    0.0    Nulo    Nulo    Nulo
09/04/2008    0.0    Nulo    Nulo    Nulo
10/04/2008    0.0    Nulo    Nulo    Nulo
11/04/2008    0.0    Nulo    Nulo    Nulo
12/04/2008    0.0    Nulo    Nulo    Nulo
13/04/2008    7.0    Nulo    Nulo    Nulo
14/04/2008    0.0    Nulo    Nulo    Nulo
15/04/2008    0.0    Nulo    Nulo    Nulo
16/04/2008    0.0    Nulo    Nulo    Nulo
17/04/2008    0.0    Nulo    Nulo    Nulo
18/04/2008    0.0    Nulo    Nulo    Nulo
19/04/2008    0.0    Nulo    Nulo    Nulo
20/04/2008    0.0    Nulo    Nulo    Nulo
21/04/2008    0.0    Nulo    Nulo    Nulo
22/04/2008    0.0    Nulo    Nulo    Nulo
23/04/2008    0.0    Nulo    Nulo    Nulo
24/04/2008    0.0    Nulo    Nulo    Nulo
25/04/2008    0.0    Nulo    Nulo    Nulo
26/04/2008    0.0    Nulo    Nulo    Nulo
27/04/2008    0.0    Nulo    Nulo    Nulo
28/04/2008    0.0    Nulo    Nulo    Nulo
29/04/2008    0.0    Nulo    Nulo    Nulo
30/04/2008    0.0    Nulo    Nulo    Nulo
01/05/2008    0.0    Nulo    Nulo    Nulo
02/05/2008    0.0    Nulo    Nulo    Nulo
03/05/2008    0.0    Nulo    Nulo    Nulo
04/05/2008    0.0    Nulo    Nulo    Nulo
05/05/2008    0.0    Nulo    Nulo    Nulo
06/05/2008    0.0    Nulo    Nulo    Nulo
07/05/2008    0.0    Nulo    Nulo    Nulo
08/05/2008    0.0    Nulo    Nulo    Nulo
09/05/2008    0.0    Nulo    Nulo    Nulo
10/05/2008    0.0    Nulo    Nulo    Nulo
11/05/2008    0.0    Nulo    Nulo    Nulo
12/05/2008    0.0    Nulo    Nulo    Nulo
13/05/2008    0.0    Nulo    Nulo    Nulo
14/05/2008    0.0    Nulo    Nulo    Nulo
15/05/2008    0.0    Nulo    Nulo    Nulo
16/05/2008    0.0    Nulo    Nulo    Nulo
17/05/2008    0.0    Nulo    Nulo    Nulo
18/05/2008    0.0    Nulo    Nulo    Nulo
19/05/2008    0.0    Nulo    Nulo    Nulo
20/05/2008    35.0    Nulo    Nulo    Nulo
21/05/2008    0.0    Nulo    Nulo    Nulo
22/05/2008    0.0    Nulo    Nulo    Nulo
23/05/2008    0.0    Nulo    Nulo    Nulo
24/05/2008    0.0    Nulo    Nulo    Nulo
25/05/2008    0.0    Nulo    Nulo    Nulo
26/05/2008    0.0    Nulo    Nulo    Nulo
27/05/2008    0.0    Nulo    Nulo    Nulo
28/05/2008    0.0    Nulo    Nulo    Nulo
29/05/2008    0.0    Nulo    Nulo    Nulo
30/05/2008    0.0    Nulo    Nulo    Nulo
31/05/2008    0.0    Nulo    Nulo    Nulo
01/06/2008    0.0    Nulo    Nulo    Nulo
02/06/2008    0.0    Nulo    Nulo    Nulo
03/06/2008    0.0    Nulo    Nulo    Nulo
04/06/2008    0.0    Nulo    Nulo    Nulo
05/06/2008    0.0    Nulo    Nulo    Nulo
06/06/2008    5.0    Nulo    Nulo    Nulo
07/06/2008    4.0    Nulo    Nulo    Nulo
08/06/2008    40.0    Nulo    Nulo    Nulo
09/06/2008    27.0    Nulo    Nulo    Nulo
10/06/2008    2.0    Nulo    Nulo    Nulo
11/06/2008    0.0    Nulo    Nulo    Nulo
12/06/2008    7.0    Nulo    Nulo    Nulo
13/06/2008    7.0    Nulo    Nulo    Nulo
14/06/2008    16.0    Nulo    Nulo    Nulo
15/06/2008    11.0    Nulo    Nulo    Nulo
16/06/2008    0.0    Nulo    Nulo    Nulo
17/06/2008    0.0    Nulo    Nulo    Nulo
18/06/2008    0.0    Nulo    Nulo    Nulo
19/06/2008    0.0    Nulo    Nulo    Nulo
20/06/2008    0.0    Nulo    Nulo    Nulo
21/06/2008    0.0    Nulo    Nulo    Nulo
22/06/2008    20.0    Nulo    Nulo    Nulo
23/06/2008    11.0    Nulo    Nulo    Nulo
24/06/2008    12.0    Nulo    Nulo    Nulo
25/06/2008    7.0    Nulo    Nulo    Nulo
26/06/2008    2.0    Nulo    Nulo    Nulo
27/06/2008    10.0    Nulo    Nulo    Nulo
28/06/2008    6.0    Nulo    Nulo    Nulo
29/06/2008    7.0    Nulo    Nulo    Nulo
