CNA-SMN-CG-GMC-SMAA-CLIMATOLOGÍA
BASE DE DATOS CLIMATOLÓGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2019
 
ESTACIÓN  : 14104
NOMBRE    : PALO VERDE
ESTADO    : JALISCO
MUNICIPIO : ZAPOTLANEJO
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 0020.640°
LONGITUD  : -102.951°
ALTITUD   : 1,730 msnm
 
EMISIÓN   : 14/08/2019 
 
           PRECIP  EVAP   TMAX   TMIN
  FECHA      mm     mm     °C     °C 
01/02/2008    0.0    Nulo    26.0    3.0
02/02/2008    0.0    Nulo    25.5    3.0
03/02/2008    0.0    Nulo    24.0    2.5
04/02/2008    0.0    Nulo    25.0    2.5
05/02/2008    0.0    Nulo    26.5    3.0
06/02/2008    0.0    Nulo    26.0    3.0
07/02/2008    0.0    Nulo    26.0    3.0
08/02/2008    0.0    Nulo    24.5    2.5
09/02/2008    0.0    Nulo    26.0    2.5
10/02/2008    0.0    Nulo    25.0    3.0
11/02/2008    0.0    Nulo    24.0    2.5
12/02/2008    0.0    Nulo    26.0    2.5
13/02/2008    0.0    Nulo    26.5    3.0
14/02/2008    0.0    Nulo    26.0    3.0
15/02/2008    0.0    Nulo    24.5    3.0
16/02/2008    0.0    Nulo    24.5    3.0
17/02/2008    0.0    Nulo    24.0    2.5
18/02/2008    0.0    Nulo    26.5    2.5
19/02/2008    0.0    Nulo    26.0    3.0
20/02/2008    0.0    Nulo    25.0    3.0
21/02/2008    0.0    Nulo    26.0    3.0
22/02/2008    0.0    Nulo    26.0    3.0
23/02/2008    0.0    Nulo    25.5    3.0
24/02/2008    0.0    Nulo    24.5    2.5
25/02/2008    0.0    Nulo    26.5    2.5
26/02/2008    0.0    Nulo    31.5    3.0
27/02/2008    0.0    Nulo    28.0    3.0
28/02/2008    0.0    Nulo    27.5    2.5
29/02/2008    0.0    Nulo    27.5    2.5
01/03/2008    0.0    Nulo    26.5    2.5
02/03/2008    0.0    Nulo    25.0    2.5
03/03/2008    0.0    Nulo    27.5    2.5
04/03/2008    0.0    Nulo    26.5    3.0
05/03/2008    0.0    Nulo    30.0    2.5
06/03/2008    0.0    Nulo    35.0    5.0
07/03/2008    0.0    Nulo    28.0    3.0
08/03/2008    0.0    Nulo    30.0    3.0
09/03/2008    0.0    Nulo    29.0    3.5
10/03/2008    0.0    Nulo    29.0    3.0
11/03/2008    0.0    Nulo    28.0    3.0
12/03/2008    0.0    Nulo    26.0    3.0
13/03/2008    0.0    Nulo    27.5    3.0
14/03/2008    0.0    Nulo    28.0    3.5
15/03/2008    0.0    Nulo    28.0    3.5
16/03/2008    0.0    Nulo    29.0    3.5
17/03/2008    0.0    Nulo    30.0    4.5
18/03/2008    0.0    Nulo    29.0    4.5
19/03/2008    0.0    Nulo    31.0    4.0
20/03/2008    0.0    Nulo    29.5    5.0
21/03/2008    0.0    Nulo    31.0    4.0
22/03/2008    0.0    Nulo    29.5    5.0
23/03/2008    0.0    Nulo    30.0    3.5
24/03/2008    0.0    Nulo    31.0    3.5
25/03/2008    0.0    Nulo    29.0    4.5
26/03/2008    0.0    Nulo    30.0    3.5
27/03/2008    0.0    Nulo    29.5    4.0
28/03/2008    0.0    Nulo    28.0    3.5
29/03/2008    0.0    Nulo    30.5    3.0
30/03/2008    0.0    Nulo    31.5    4.5
31/03/2008    0.0    Nulo    31.5    5.0
01/04/2008    0.0    Nulo    32.0    5.0
02/04/2008    0.0    Nulo    30.0    5.0
03/04/2008    0.0    Nulo    32.0    6.0
04/04/2008    0.0    Nulo    31.5    5.0
05/04/2008    0.0    Nulo    31.0    4.5
06/04/2008    0.0    Nulo    30.0    4.0
07/04/2008    0.0    Nulo    29.5    4.0
08/04/2008    0.0    Nulo    30.0    3.0
09/04/2008    0.0    Nulo    33.5    3.5
10/04/2008    0.0    Nulo    29.5    3.5
11/04/2008    0.0    Nulo    31.0    4.0
12/04/2008    0.0    Nulo    30.0    4.0
13/04/2008    0.0    Nulo    31.0    4.0
14/04/2008    0.0    Nulo    29.0    4.0
15/04/2008    0.0    Nulo    30.0    4.0
16/04/2008    0.0    Nulo    30.0    4.0
17/04/2008    0.0    Nulo    31.5    4.0
18/04/2008    0.0    Nulo    32.0    4.5
19/04/2008    0.0    Nulo    31.0    5.0
20/04/2008    0.0    Nulo    29.0    4.5
21/04/2008    0.0    Nulo    30.5    4.0
22/04/2008    0.0    Nulo    29.5    3.5
23/04/2008    0.0    Nulo    30.0    3.0
24/04/2008    0.0    Nulo    31.0    3.0
25/04/2008    0.0    Nulo    31.0    3.0
26/04/2008    0.0    Nulo    32.0    3.0
27/04/2008    0.0    Nulo    33.0    4.0
28/04/2008    0.0    Nulo    31.0    5.0
