CNA-SMN-CG-GMC-SMAA-CLIMATOLOGÍA
BASE DE DATOS CLIMATOLÓGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2019
 
ESTACIÓN  : 14132
NOMBRE    : TLAQUEPAQUE
ESTADO    : JALISCO
MUNICIPIO : SAN PEDRO TLAQUEPAQUE
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-SMN
CVE-OMM   : Nulo
LATITUD   : 0020.638°
LONGITUD  : -103.311°
ALTITUD   : 1,540 msnm
 
EMISIÓN   : 14/08/2019 
 
           PRECIP  EVAP   TMAX   TMIN
  FECHA      mm     mm     °C     °C 
01/02/2008    0.0    Nulo    28.0    10.0
02/02/2008    0.0    Nulo    28.0    10.5
03/02/2008    0.0    Nulo    27.0    11.0
04/02/2008    0.0    Nulo    27.0    10.5
05/02/2008    0.0    Nulo    28.0    10.5
06/02/2008    0.0    Nulo    28.0    11.0
07/02/2008    0.0    Nulo    25.0    10.5
08/02/2008    0.0    Nulo    26.0    11.0
09/02/2008    0.0    Nulo    29.0    11.0
10/02/2008    0.0    Nulo    28.0    11.5
11/02/2008    0.0    Nulo    26.0    11.0
12/02/2008    0.0    Nulo    25.0    11.5
13/02/2008    0.0    Nulo    22.5    10.5
14/02/2008    0.0    Nulo    26.0    10.5
15/02/2008    0.0    Nulo    28.0    11.0
16/02/2008    0.0    Nulo    29.0    10.0
17/02/2008    0.0    Nulo    28.0    10.0
18/02/2008    0.0    Nulo    28.0    10.5
19/02/2008    0.0    Nulo    29.0    9.5
20/02/2008    0.0    Nulo    28.0    10.0
21/02/2008    0.0    Nulo    28.0    12.0
22/02/2008    0.0    Nulo    29.5    11.5
23/02/2008    0.0    Nulo    31.0    10.5
24/02/2008    0.0    Nulo    33.0    11.0
25/02/2008    0.0    Nulo    32.0    11.0
26/02/2008    0.0    Nulo    31.5    11.5
27/02/2008    0.0    Nulo    28.0    11.0
28/02/2008    0.0    Nulo    28.0    10.5
29/02/2008    0.0    Nulo    29.5    11.0
01/03/2008    0.0    Nulo    30.0    13.0
02/03/2008    0.0    Nulo    29.0    13.5
03/03/2008    0.0    Nulo    28.0    11.0
04/03/2008    0.0    Nulo    29.0    12.0
05/03/2008    0.0    Nulo    27.0    12.0
06/03/2008    0.0    Nulo    25.0    10.5
07/03/2008    0.0    Nulo    25.0    8.0
08/03/2008    0.0    Nulo    31.0    8.0
09/03/2008    0.0    Nulo    25.0    8.5
10/03/2008    0.0    Nulo    28.0    9.5
11/03/2008    0.0    Nulo    29.5    9.5
12/03/2008    0.0    Nulo    30.0    10.5
13/03/2008    0.0    Nulo    28.5    12.0
14/03/2008    0.0    Nulo    30.0    11.0
15/03/2008    0.0    Nulo    32.0    12.0
16/03/2008    0.0    Nulo    30.0    13.0
17/03/2008    0.0    Nulo    30.0    14.0
18/03/2008    0.0    Nulo    27.0    12.0
19/03/2008    0.0    Nulo    28.0    9.0
20/03/2008    0.0    Nulo    29.0    10.0
21/03/2008    0.0    Nulo    30.0    11.0
22/03/2008    0.0    Nulo    31.0    13.0
23/03/2008    0.0    Nulo    30.0    14.0
24/03/2008    0.0    Nulo    28.0    12.0
25/03/2008    0.0    Nulo    25.5    13.5
26/03/2008    0.0    Nulo    30.5    14.0
27/03/2008    0.0    Nulo    30.5    15.0
28/03/2008    0.0    Nulo    32.0    14.0
29/03/2008    0.0    Nulo    33.0    11.5
30/03/2008    0.0    Nulo    33.0    11.0
31/03/2008    0.0    Nulo    33.0    15.0
01/04/2008    0.0    Nulo    34.0    15.0
02/04/2008    0.0    Nulo    35.0    16.0
03/04/2008    0.0    Nulo    33.0    15.0
04/04/2008    0.0    Nulo    35.0    15.0
05/04/2008    0.0    Nulo    30.0    15.0
06/04/2008    0.0    Nulo    30.0    15.0
07/04/2008    0.0    Nulo    33.0    15.0
08/04/2008    0.0    Nulo    33.0    15.0
09/04/2008    0.0    Nulo    33.0    15.5
10/04/2008    0.0    Nulo    37.0    14.5
11/04/2008    0.0    Nulo    35.0    14.0
12/04/2008    0.0    Nulo    35.0    15.0
13/04/2008    0.0    Nulo    35.0    16.5
14/04/2008    0.0    Nulo    27.0    16.0
15/04/2008    0.0    Nulo    31.0    16.0
16/04/2008    0.0    Nulo    32.0    15.0
17/04/2008    0.0    Nulo    31.0    16.0
18/04/2008    0.0    Nulo    34.0    14.5
19/04/2008    0.0    Nulo    35.0    15.0
20/04/2008    0.0    Nulo    34.0    17.0
21/04/2008    0.0    Nulo    35.0    17.0
22/04/2008    0.0    Nulo    30.0    17.0
23/04/2008    0.0    Nulo    32.0    17.0
24/04/2008    0.0    Nulo    33.0    18.0
25/04/2008    0.0    Nulo    35.0    18.0
26/04/2008    0.0    Nulo    34.0    17.5
27/04/2008    0.0    Nulo    35.0    17.0
28/04/2008    0.0    Nulo    33.0    16.0
29/04/2008    0.0    Nulo    32.0    16.0
30/04/2008    0.0    Nulo    32.0    16.5
01/05/2008    0.0    Nulo    32.0    15.5
02/05/2008    0.0    Nulo    33.0    15.0
03/05/2008    0.0    Nulo    35.0    15.5
04/05/2008    0.0    Nulo    35.0    16.0
05/05/2008    0.0    Nulo    34.5    17.0
06/05/2008    0.0    Nulo    33.5    18.0
07/05/2008    0.0    Nulo    31.5    19.0
08/05/2008    0.0    Nulo    35.0    17.5
09/05/2008    0.0    Nulo    34.0    17.0
10/05/2008    0.0    Nulo    37.0    17.5
11/05/2008    0.0    Nulo    37.0    18.0
12/05/2008    0.0    Nulo    34.0    20.0
13/05/2008    0.0    Nulo    34.5    19.0
14/05/2008    0.0    Nulo    34.0    19.5
15/05/2008    1.0    Nulo    30.0    19.0
16/05/2008    0.0    Nulo    32.0    18.0
17/05/2008    0.0    Nulo    32.0    17.0
18/05/2008    0.0    Nulo    30.5    16.0
19/05/2008    0.0    Nulo    29.0    17.0
20/05/2008    0.0    Nulo    30.0    15.0
21/05/2008    0.0    Nulo    29.5    15.0
22/05/2008    0.0    Nulo    29.5    14.5
23/05/2008    0.0    Nulo    31.0    14.0
24/05/2008    0.0    Nulo    35.0    14.0
25/05/2008    0.0    Nulo    35.5    15.0
26/05/2008    0.0    Nulo    35.0    19.0
27/05/2008    0.0    Nulo    35.5    20.0
28/05/2008    0.0    Nulo    35.0    20.0
29/05/2008    0.0    Nulo    33.5    19.0
30/05/2008    0.0    Nulo    35.0    19.5
31/05/2008    0.0    Nulo    34.0    18.0
01/06/2008    0.0    Nulo    36.0    18.0
02/06/2008    0.0    Nulo    36.0    20.0
03/06/2008    0.0    Nulo    36.5    20.0
04/06/2008    0.0    Nulo    35.0    20.0
05/06/2008    0.0    Nulo    32.5    18.0
06/06/2008    1.0    Nulo    34.0    17.0
07/06/2008    85.0    Nulo    34.0    18.0
08/06/2008    15.5    Nulo    32.0    15.0
09/06/2008    19.0    Nulo    26.0    17.0
10/06/2008    22.5    Nulo    23.0    16.0
11/06/2008    31.5    Nulo    24.0    16.5
12/06/2008    1.5    Nulo    23.0    16.0
13/06/2008    2.0    Nulo    30.0    16.0
14/06/2008    6.3    Nulo    32.0    16.0
15/06/2008    12.5    Nulo    32.0    17.5
16/06/2008    2.0    Nulo    30.0    16.5
17/06/2008    2.0    Nulo    32.0    16.0
18/06/2008    0.0    Nulo    34.0    17.0
19/06/2008    0.0    Nulo    33.5    17.5
20/06/2008    16.5    Nulo    34.0    20.0
21/06/2008    21.0    Nulo    32.0    15.0
22/06/2008    3.5    Nulo    31.0    15.0
23/06/2008    0.0    Nulo    32.0    16.0
24/06/2008    7.5    Nulo    31.5    17.0
25/06/2008    0.0    Nulo    30.5    16.0
