CNA-SMN-CG-GMC-SMAA-CLIMATOLOGÍA
BASE DE DATOS CLIMATOLÓGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2019
 
ESTACIÓN  : 14139
NOMBRE    : TACOTAN
ESTADO    : JALISCO
MUNICIPIO : UNION DE TULA
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 0020.033°
LONGITUD  : -104.299°
ALTITUD   : 1,330 msnm
 
EMISIÓN   : 14/08/2019 
 
           PRECIP  EVAP   TMAX   TMIN
  FECHA      mm     mm     °C     °C 
01/04/2013    0.0    Nulo    34.0    9.0
02/04/2013    0.0    Nulo    36.0    10.0
03/04/2013    0.0    Nulo    34.0    11.0
04/04/2013    0.0    Nulo    36.0    10.0
05/04/2013    0.0    Nulo    32.0    9.0
06/04/2013    0.0    Nulo    34.0    11.0
07/04/2013    0.0    Nulo    38.0    10.0
08/04/2013    0.0    Nulo    33.0    12.0
09/04/2013    0.0    Nulo    36.0    9.0
10/04/2013    0.0    Nulo    37.0    10.0
11/04/2013    0.0    Nulo    32.0    11.0
12/04/2013    0.0    Nulo    33.0    9.0
13/04/2013    0.0    Nulo    35.0    10.0
14/04/2013    0.0    Nulo    34.0    11.0
15/04/2013    0.0    Nulo    31.0    9.0
16/04/2013    0.0    Nulo    36.0    10.0
17/04/2013    0.0    Nulo    32.0    11.0
18/04/2013    0.0    Nulo    34.0    12.0
19/04/2013    0.0    Nulo    31.0    10.0
20/04/2013    0.0    Nulo    36.0    9.0
21/04/2013    0.0    Nulo    32.0    12.0
22/04/2013    0.0    Nulo    33.0    9.0
23/04/2013    0.0    Nulo    34.0    11.0
24/04/2013    0.0    Nulo    32.0    12.0
25/04/2013    0.0    Nulo    31.0    10.0
26/04/2013    0.0    Nulo    36.0    10.0
27/04/2013    0.0    Nulo    34.0    11.0
28/04/2013    0.0    Nulo    32.0    9.0
29/04/2013    0.0    Nulo    35.0    11.0
30/04/2013    0.0    Nulo    35.0    10.0
01/05/2013    0.0    Nulo    34.0    9.0
02/05/2013    0.0    Nulo    36.0    11.0
03/05/2013    0.0    Nulo    34.0    10.0
04/05/2013    0.0    Nulo    36.0    11.0
05/05/2013    0.0    Nulo    32.0    12.0
06/05/2013    0.0    Nulo    34.0    10.0
07/05/2013    0.0    Nulo    37.0    9.0
08/05/2013    0.0    Nulo    33.0    12.0
09/05/2013    0.0    Nulo    30.0    10.0
10/05/2013    0.0    Nulo    32.0    9.0
11/05/2013    0.0    Nulo    34.0    11.0
12/05/2013    0.0    Nulo    36.0    12.0
13/05/2013    0.0    Nulo    32.0    10.0
14/05/2013    0.0    Nulo    34.0    9.0
15/05/2013    0.0    Nulo    32.0    11.0
16/05/2013    0.0    Nulo    34.0    10.0
17/05/2013    0.0    Nulo    37.0    9.0
18/05/2013    0.0    Nulo    34.0    12.0
19/05/2013    0.0    Nulo    35.0    10.0
20/05/2013    0.0    Nulo    32.0    12.0
21/05/2013    0.0    Nulo    36.0    10.0
22/05/2013    0.0    Nulo    34.0    12.0
23/05/2013    0.0    Nulo    31.0    11.0
24/05/2013    0.0    Nulo    33.0    10.0
25/05/2013    0.0    Nulo    34.0    10.0
26/05/2013    0.0    Nulo    32.0    11.0
27/05/2013    0.0    Nulo    34.0    9.0
28/05/2013    0.0    Nulo    32.0    10.0
29/05/2013    0.0    Nulo    34.0    10.0
30/05/2013    0.0    Nulo    35.0    9.0
31/05/2013    0.0    Nulo    32.0    8.0
01/06/2013    0.0    Nulo    38.0    9.0
02/06/2013    0.0    Nulo    36.0    12.0
03/06/2013    0.0    Nulo    34.0    10.0
04/06/2013    0.0    Nulo    32.0    11.0
05/06/2013    0.0    Nulo    38.0    9.0
06/06/2013    0.0    Nulo    32.0    12.0
07/06/2013    1.0    Nulo    30.0    10.0
08/06/2013    0.0    Nulo    35.0    9.0
09/06/2013    0.0    Nulo    34.0    11.0
10/06/2013    26.0    Nulo    32.0    9.0
11/06/2013    1.5    Nulo    33.0    12.0
12/06/2013    0.0    Nulo    35.0    11.0
13/06/2013    22.0    Nulo    32.0    9.0
14/06/2013    0.0    Nulo    36.0    10.0
15/06/2013    7.0    Nulo    34.0    12.0
16/06/2013    31.8    Nulo    35.0    11.0
17/06/2013    0.0    Nulo    32.0    10.0
18/06/2013    12.0    Nulo    36.0    9.0
19/06/2013    14.0    Nulo    34.0    12.0
20/06/2013    6.4    Nulo    32.0    10.0
21/06/2013    0.0    Nulo    36.0    12.0
22/06/2013    12.5    Nulo    34.0    11.0
23/06/2013    0.0    Nulo    31.0    12.0
24/06/2013    0.0    Nulo    36.0    11.0
25/06/2013    0.0    Nulo    34.0    9.0
26/06/2013    7.5    Nulo    35.0    11.0
27/06/2013    0.0    Nulo    34.0    10.0
28/06/2013    5.0    Nulo    36.0    11.0
29/06/2013    5.8    Nulo    32.0    10.0
30/06/2013    0.0    Nulo    37.0    9.0
01/07/2013    10.8    Nulo    37.0    10.0
02/07/2013    0.0    Nulo    35.0    12.0
03/07/2013    2.0    Nulo    38.0    9.0
04/07/2013    0.0    Nulo    37.0    8.0
05/07/2013    0.0    Nulo    36.0    11.0
06/07/2013    64.0    Nulo    39.0    9.0
07/07/2013    10.5    Nulo    38.0    8.0
08/07/2013    0.0    Nulo    37.0    11.0
09/07/2013    0.0    Nulo    39.0    9.0
10/07/2013    4.0    Nulo    38.0    9.0
11/07/2013    0.0    Nulo    37.0    11.0
12/07/2013    0.0    Nulo    35.0    12.0
13/07/2013    8.6    Nulo    36.0    9.0
14/07/2013    9.0    Nulo    34.0    11.0
15/07/2013    0.0    Nulo    36.0    13.0
16/07/2013    30.7    Nulo    37.0    11.0
17/07/2013    3.0    Nulo    34.0    11.0
18/07/2013    0.0    Nulo    38.0    10.0
