CNA-SMN-CG-GMC-SMAA-CLIMATOLOGÍA
BASE DE DATOS CLIMATOLÓGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2019
 
ESTACIÓN  : 14155
NOMBRE    : TUXCACUESCO
ESTADO    : JALISCO
MUNICIPIO : TUXCACUESCO
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 0019.697°
LONGITUD  : -103.983°
ALTITUD   : 720 msnm
 
EMISIÓN   : 14/08/2019 
 
           PRECIP  EVAP   TMAX   TMIN
  FECHA      mm     mm     °C     °C 
01/01/2008    0.0    Nulo    Nulo    Nulo
02/01/2008    0.0    Nulo    Nulo    Nulo
03/01/2008    0.0    Nulo    Nulo    Nulo
04/01/2008    0.0    Nulo    Nulo    Nulo
05/01/2008    0.0    Nulo    Nulo    Nulo
06/01/2008    0.0    Nulo    Nulo    Nulo
07/01/2008    0.0    Nulo    Nulo    Nulo
08/01/2008    0.0    Nulo    Nulo    Nulo
09/01/2008    0.0    Nulo    Nulo    Nulo
10/01/2008    0.0    Nulo    Nulo    Nulo
11/01/2008    0.0    Nulo    Nulo    Nulo
12/01/2008    0.0    Nulo    Nulo    Nulo
13/01/2008    0.0    Nulo    Nulo    Nulo
14/01/2008    0.0    Nulo    Nulo    Nulo
15/01/2008    0.0    Nulo    Nulo    Nulo
16/01/2008    0.0    Nulo    Nulo    Nulo
17/01/2008    0.0    Nulo    Nulo    Nulo
18/01/2008    0.0    Nulo    Nulo    Nulo
19/01/2008    0.0    Nulo    Nulo    Nulo
20/01/2008    0.0    Nulo    Nulo    Nulo
21/01/2008    0.0    Nulo    Nulo    Nulo
22/01/2008    0.0    Nulo    Nulo    Nulo
23/01/2008    0.0    Nulo    Nulo    Nulo
24/01/2008    0.0    Nulo    Nulo    Nulo
25/01/2008    0.0    Nulo    Nulo    Nulo
26/01/2008    0.0    Nulo    Nulo    Nulo
27/01/2008    0.0    Nulo    Nulo    Nulo
28/01/2008    0.0    Nulo    Nulo    Nulo
29/01/2008    0.0    Nulo    Nulo    Nulo
30/01/2008    0.0    Nulo    Nulo    Nulo
31/01/2008    0.0    Nulo    Nulo    Nulo
01/02/2008    0.0    Nulo    Nulo    Nulo
02/02/2008    0.0    Nulo    Nulo    Nulo
03/02/2008    0.0    Nulo    Nulo    Nulo
04/02/2008    0.0    Nulo    Nulo    Nulo
05/02/2008    0.0    Nulo    Nulo    Nulo
