CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A MARZO 2020;CON LA INFORMACION SUMINISTRADA POR LAS OFICINAS REGIONALES
 
ESTACION  : 14191
NOMBRE    : VALLE DE JUAREZ (SMN)
ESTADO    : JALISCO
MUNICIPIO : VALLE DE JUAREZ
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-SMN
CVE-OMM   : Nulo
LATITUD   : 019.933°
LONGITUD  : -102.950°
ALTITUD   : 1,950 msnm
 
EMISION   : 06/04/2020 
 
           PRECIP  EVAP   TMAX   TMIN
  FECHA     (MM)   (MM)   (°C)   (°C)
01/04/2014    0.0    3.8    24.0    12.0
02/04/2014    0.0    3.8    26.0    11.0
03/04/2014    0.0    3.8    27.0    12.0
04/04/2014    0.0    4.5    26.0    14.0
05/04/2014    0.0    3.5    25.0    16.0
06/04/2014    0.0    4.5    28.0    11.0
07/04/2014    0.0    3.0    27.0    11.0
08/04/2014    0.0    4.8    26.0    12.0
09/04/2014    0.0    2.4    28.0    10.0
10/04/2014    0.0    3.0    27.0    11.0
11/04/2014    0.0    2.4    29.0    11.0
12/04/2014    0.0    4.9    30.0    13.0
13/04/2014    0.0    4.8    28.0    15.0
14/04/2014    0.0    3.2    27.0    13.0
15/04/2014    0.0    0.2    26.0    12.0
16/04/2014    0.0    4.2    28.0    11.0
17/04/2014    0.0    4.1    26.0    12.0
18/04/2014    0.0    Nulo    28.0    14.0
19/04/2014    0.0    Nulo    27.0    11.0
20/04/2014    0.0    Nulo    29.0    13.0
21/04/2014    0.0    Nulo    30.0    12.0
22/04/2014    0.0    Nulo    28.0    11.0
23/04/2014    0.0    Nulo    29.0    11.0
24/04/2014    0.0    Nulo    27.0    13.0
25/04/2014    0.0    Nulo    28.0    14.0
26/04/2014    0.0    Nulo    27.0    15.0
27/04/2014    0.0    Nulo    26.0    11.0
28/04/2014    0.0    Nulo    26.0    13.0
29/04/2014    0.0    Nulo    28.0    14.0
30/04/2014    0.0    Nulo    26.0    15.0
01/05/2014    0.0    5.1    26.0    14.0
02/05/2014    0.0    4.8    27.0    12.0
03/05/2014    1.0    3.3    28.0    12.0
04/05/2014    10.0    4.1    30.0    13.0
05/05/2014    0.0    3.7    30.0    12.0
06/05/2014    15.0    4.3    27.0    12.0
07/05/2014    13.0    3.1    28.0    12.0
08/05/2014    0.0    4.6    27.0    12.0
09/05/2014    0.0    5.2    27.0    13.0
10/05/2014    0.0    6.5    26.0    15.0
11/05/2014    0.0    8.0    28.0    14.0
12/05/2014    0.0    8.2    29.0    15.0
13/05/2014    0.0    5.4    29.0    15.0
14/05/2014    8.0    4.7    30.0    13.0
15/05/2014    0.0    6.8    29.0    12.0
16/05/2014    0.0    4.8    25.0    11.0
17/05/2014    0.0    4.2    28.0    12.0
18/05/2014    16.0    5.7    26.0    11.0
19/05/2014    13.0    7.3    29.0    10.0
20/05/2014    16.0    3.8    25.0    11.0
21/05/2014    2.0    2.1    29.0    12.0
22/05/2014    4.0    4.1    28.0    11.0
23/05/2014    3.0    3.3    28.0    11.0
24/05/2014    3.0    5.1    23.0    11.0
25/05/2014    8.0    3.1    25.0    13.0
26/05/2014    3.0    1.8    26.0    13.0
27/05/2014    4.0    6.9    26.0    14.0
28/05/2014    2.0    2.0    29.0    13.0
29/05/2014    15.0    9.6    25.0    11.0
30/05/2014    3.0    1.6    28.0    10.0
31/05/2014    0.0    4.1    30.0    10.0
01/06/2014    0.0    5.6    28.0    12.0
02/06/2014    0.0    4.4    28.0    11.0
03/06/2014    8.0    1.4    30.0    11.0
04/06/2014    0.0    4.2    28.0    12.0
05/06/2014    0.0    4.3    32.0    9.0
06/06/2014    0.0    5.1    29.0    11.0
07/06/2014    0.0    3.7    28.0    11.0
08/06/2014    16.0    2.1    31.0    10.0
09/06/2014    4.0    4.1    28.0    12.0
10/06/2014    6.0    3.2    30.0    11.0
11/06/2014    0.0    4.5    29.0    12.0
12/06/2014    0.0    6.3    31.0    12.0
13/06/2014    14.0    3.7    30.0    14.0
14/06/2014    0.0    4.2    28.0    13.0
15/06/2014    8.0    3.2    27.0    11.0
16/06/2014    0.0    4.6    32.0    11.0
17/06/2014    5.0    3.3    28.0    12.0
18/06/2014    0.0    5.4    30.0    8.0
19/06/2014    18.0    2.7    28.0    10.0
