CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A MARZO 2020;CON LA INFORMACION SUMINISTRADA POR LAS OFICINAS REGIONALES
 
ESTACION  : 14198
NOMBRE    : LAS COMPUERTAS
ESTADO    : JALISCO
MUNICIPIO : CUAUTITLAN DE GARCIA BARRAGAN
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA
CVE-OMM   : Nulo
LATITUD   : 019.474°
LONGITUD  : -104.406°
ALTITUD   : 590 msnm
 
EMISION   : 06/04/2020 
 
           PRECIP  EVAP   TMAX   TMIN
  FECHA     (MM)   (MM)   (°C)   (°C)
21/12/2011    0.0    Nulo    30.5    Nulo
22/12/2011    0.0    2.0    32.5    13.5
23/12/2011    0.0    2.7    32.5    10.2
24/12/2011    0.0    2.9    34.0    9.0
25/12/2011    0.0    4.7    34.5    9.0
26/12/2011    0.0    1.3    31.0    10.5
27/12/2011    0.0    2.9    35.0    10.5
28/12/2011    0.0    2.2    32.0    12.0
29/12/2011    0.0    2.8    31.0    12.5
30/12/2011    0.0    3.0    31.0    13.0
31/12/2011    0.0    1.9    31.5    13.0
01/01/2012    0.0    4.8    31.5    15.0
02/01/2012    0.0    2.3    34.5    15.0
03/01/2012    0.0    2.0    30.5    12.5
04/01/2012    0.0    3.2    32.5    11.5
05/01/2012    0.0    2.2    31.0    11.0
06/01/2012    0.0    3.3    30.0    11.5
07/01/2012    0.0    2.7    30.0    14.0
08/01/2012    0.0    3.5    31.0    7.0
09/01/2012    0.0    2.8    30.5    5.5
10/01/2012    0.0    2.7    31.0    6.0
11/01/2012    0.0    3.1    32.0    8.0
12/01/2012    0.0    0.6    30.5    8.0
13/01/2012    0.0    3.2    30.5    8.5
14/01/2012    0.0    2.9    29.0    11.5
15/01/2012    0.0    2.6    34.0    8.0
16/01/2012    0.0    4.2    33.5    8.0
17/01/2012    0.0    5.4    36.0    9.0
18/01/2012    0.0    2.0    33.0    9.5
19/01/2012    0.0    2.7    31.5    11.0
20/01/2012    0.0    2.3    31.0    12.5
21/01/2012    0.0    2.7    31.5    13.5
22/01/2012    0.0    3.2    30.5    14.0
23/01/2012    0.0    2.8    30.5    13.5
24/01/2012    0.0    3.2    29.5    13.5
25/01/2012    0.0    3.4    31.0    15.0
26/01/2012    0.0    4.4    32.5    13.5
