CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A MARZO 2020;CON LA INFORMACION SUMINISTRADA POR LAS OFICINAS REGIONALES
 
ESTACION  : 14200
NOMBRE    : TOLUQUILLA -CRAE-
ESTADO    : JALISCO
MUNICIPIO : SAN PEDRO TLAQUEPAQUE
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA
CVE-OMM   : Nulo
LATITUD   : 020.584°
LONGITUD  : -103.362°
ALTITUD   : 1,607 msnm
 
EMISION   : 06/04/2020 
 
           PRECIP  EVAP   TMAX   TMIN
  FECHA     (MM)   (MM)   (°C)   (°C)
20/07/2013    24.5    Nulo    Nulo    Nulo
21/07/2013    0.0    Nulo    22.0    16.0
22/07/2013    33.5    Nulo    26.5    18.0
23/07/2013    0.3    Nulo    28.0    16.5
24/07/2013    10.3    5.3    29.5    16.5
25/07/2013    1.0    2.2    27.0    16.5
26/07/2013    0.0    1.0    29.0    17.0
27/07/2013    5.5    4.4    30.5    17.0
28/07/2013    0.0    4.4    28.5    15.0
29/07/2013    0.0    4.8    29.5    15.5
30/07/2013    0.4    3.8    30.0    17.0
31/07/2013    57.7    3.9    30.5    18.5
01/08/2013    0.0    5.0    27.5    16.0
02/08/2013    0.0    3.5    30.0    16.0
03/08/2013    13.7    5.1    30.5    16.5
04/08/2013    0.3    4.6    29.0    15.0
05/08/2013    0.4    5.3    30.0    15.0
06/08/2013    0.0    4.3    29.0    17.0
07/08/2013    0.0    4.9    30.0    16.5
08/08/2013    23.5    8.0    30.0    17.0
09/08/2013    20.1    5.8    28.0    15.0
10/08/2013    37.7    6.9    30.5    15.5
11/08/2013    0.0    2.8    25.0    15.5
12/08/2013    0.0    2.8    32.0    16.5
13/08/2013    0.0    3.6    31.0    16.5
14/08/2013    0.0    2.0    29.0    16.0
15/08/2013    0.0    7.9    29.0    16.0
16/08/2013    0.0    6.2    30.0    16.5
17/08/2013    0.0    5.9    31.0    16.0
18/08/2013    0.0    7.5    30.5    16.0
19/08/2013    0.0    6.7    30.0    16.5
20/08/2013    5.8    6.1    30.0    16.5
21/08/2013    0.0    2.4    25.5    17.0
22/08/2013    0.2    1.5    26.5    16.0
23/08/2013    0.3    3.1    29.0    16.0
24/08/2013    26.5    2.5    29.0    16.0
25/08/2013    4.0    2.8    29.0    16.0
26/08/2013    0.6    1.0    26.0    16.0
27/08/2013    4.8    2.5    26.0    16.0
28/08/2013    4.2    4.2    27.0    16.0
29/08/2013    4.4    1.8    27.0    15.5
30/08/2013    3.0    5.5    28.0    15.0
31/08/2013    0.0    3.9    29.0    15.0
01/09/2013    48.9    6.1    26.5    17.0
02/09/2013    6.1    4.6    28.0    15.5
03/09/2013    8.6    3.1    26.5    15.0
04/09/2013    4.5    2.6    24.0    16.0
05/09/2013    6.5    3.1    22.0    16.5
06/09/2013    11.1    4.4    27.5    16.5
07/09/2013    57.3    9.1    26.5    16.0
08/09/2013    5.4    2.0    26.5    16.5
09/09/2013    0.2    5.2    27.0    16.5
10/09/2013    83.1    12.1    29.0    17.0
11/09/2013    21.0    2.2    28.0    16.5
12/09/2013    0.0    5.4    27.0    17.0
13/09/2013    0.0    4.9    27.5    16.5
14/09/2013    0.8    2.7    26.0    16.5
15/09/2013    22.4    2.0    20.0    16.0
16/09/2013    2.5    0.1    22.0    16.5
17/09/2013    0.3    1.1    24.5    16.0
18/09/2013    0.0    5.1    29.0    16.0
19/09/2013    0.0    6.2    29.0    16.0
20/09/2013    9.4    1.5    29.0    18.0
21/09/2013    16.3    3.0    26.5    17.5
22/09/2013    7.1    3.7    27.5    17.0
23/09/2013    19.0    2.9    28.0    17.0
24/09/2013    0.2    4.4    28.0    18.0
25/09/2013    0.0    8.8    28.0    17.5
26/09/2013    51.0    0.3    29.0    17.0
27/09/2013    0.1    7.8    24.0    17.5
28/09/2013    0.0    1.4    27.5    16.5
29/09/2013    1.9    1.4    28.5    15.5
30/09/2013    0.0    4.2    29.0    16.0
01/10/2013    16.7    5.2    29.0    17.0
02/10/2013    0.6    4.9    29.0    16.0
03/10/2013    9.7    2.5    28.5    17.0
04/10/2013    0.8    5.0    28.0    16.5
05/10/2013    0.0    2.1    28.0    17.0
06/10/2013    1.4    5.2    29.0    18.0
07/10/2013    0.0    3.5    27.5    18.0
08/10/2013    0.0    4.0    27.5    16.0
09/10/2013    0.0    4.4    28.5    16.0
10/10/2013    5.2    3.0    29.0    16.5
11/10/2013    2.3    3.7    27.5    16.5
12/10/2013    0.0    3.7    27.5    17.5
13/10/2013    0.0    4.2    29.0    16.5
14/10/2013    1.6    2.6    28.0    17.0
15/10/2013    0.0    3.2    29.0    18.0
16/10/2013    0.0    3.8    28.5    17.0
17/10/2013    0.0    2.8    27.5    17.0
18/10/2013    0.0    4.0    27.5    16.5
19/10/2013    Nulo    Nulo    Nulo    15.5
01/01/2015    0.0    4.6    27.0    10.5
02/01/2015    0.0    2.4    24.0    11.5
03/01/2015    0.0    3.2    23.5    11.0
04/01/2015    0.0    1.7    23.0    11.0
05/01/2015    0.0    2.2    20.0    10.5
06/01/2015    0.0    3.3    24.0    10.5
07/01/2015    0.0    2.4    24.0    10.0
08/01/2015    0.0    3.5    23.5    11.0
09/01/2015    0.0    3.1    25.5    10.5
10/01/2015    0.0    2.7    25.0    9.5
11/01/2015    0.0    4.9    25.5    9.0
12/01/2015    0.0    3.5    26.0    8.0
13/01/2015    0.0    2.3    24.5    7.5
14/01/2015    0.0    5.4    27.0    8.0
15/01/2015    0.0    2.9    27.5    9.0
16/01/2015    0.0    5.2    27.5    8.5
17/01/2015    0.0    3.5    27.0    10.0
18/01/2015    0.0    4.6    28.0    11.0
19/01/2015    0.0    4.2    28.0    11.0
20/01/2015    0.0    5.7    28.0    11.0
21/01/2015    0.0    5.2    27.5    11.0
22/01/2015    0.0    3.9    25.5    12.0
23/01/2015    0.0    3.4    26.5    11.5
24/01/2015    0.0    3.4    27.0    10.0
25/01/2015    0.2    2.1    24.0    11.5
26/01/2015    0.4    1.5    24.0    13.0
27/01/2015    0.0    5.5    29.5    13.0
28/01/2015    0.0    3.8    28.5    11.5
29/01/2015    0.0    5.0    30.0    12.0
30/01/2015    0.0    3.0    27.0    12.0
31/01/2015    0.3    6.7    24.5    12.0
01/02/2015    1.8    1.3    20.5    12.0
02/02/2015    1.5    0.8    19.5    11.5
03/02/2015    0.0    2.3    22.5    12.0
04/02/2015    0.0    5.4    25.0    7.0
05/02/2015    0.0    3.2    27.0    7.0
06/02/2015    0.0    2.6    26.0    8.0
07/02/2015    0.0    5.9    27.0    8.0
08/02/2015    0.0    5.2    29.5    8.5
09/02/2015    0.0    6.1    28.5    9.5
10/02/2015    0.0    4.6    28.0    10.0
11/02/2015    0.7    3.7    27.0    11.0
12/02/2015    14.3    4.5    27.5    11.0
13/02/2015    4.4    0.4    17.5    11.0
14/02/2015    0.0    1.9    19.0    11.0
15/02/2015    0.0    1.4    22.0    11.0
16/02/2015    0.0    4.1    24.0    11.0
17/02/2015    0.0    4.1    26.0    12.0
18/02/2015    0.0    7.6    29.0    12.0
19/02/2015    0.0    5.4    29.5    10.5
20/02/2015    0.0    7.3    28.0    13.0
21/02/2015    0.0    5.0    29.5    11.0
22/02/2015    0.0    6.8    30.0    11.0
23/02/2015    0.0    5.0    33.0    12.0
24/02/2015    0.0    7.7    30.0    13.0
