CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A MARZO 2020;CON LA INFORMACION SUMINISTRADA POR LAS OFICINAS REGIONALES
 
ESTACION  : 14294
NOMBRE    : TLAJOMULCO DE ZUÑIGA
ESTADO    : JALISCO
MUNICIPIO : TLAJOMULCO DE ZUÑIGA
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-SMN
CVE-OMM   : Nulo
LATITUD   : 020.473°
LONGITUD  : -103.447°
ALTITUD   : 1,560 msnm
 
EMISION   : 06/04/2020 
 
           PRECIP  EVAP   TMAX   TMIN
  FECHA     (MM)   (MM)   (°C)   (°C)
01/02/2008    0.0    Nulo    26.0    6.0
02/02/2008    0.0    Nulo    26.0    6.0
03/02/2008    0.0    Nulo    26.0    6.0
04/02/2008    0.0    Nulo    26.5    5.5
05/02/2008    0.0    Nulo    26.5    4.5
06/02/2008    0.0    Nulo    25.5    3.0
07/02/2008    0.0    Nulo    26.0    4.0
08/02/2008    0.0    Nulo    27.0    5.5
09/02/2008    0.0    Nulo    27.0    5.5
10/02/2008    0.0    Nulo    25.5    3.5
11/02/2008    0.0    Nulo    25.5    6.5
12/02/2008    0.0    Nulo    25.5    7.0
13/02/2008    0.0    Nulo    26.5    5.0
14/02/2008    0.0    Nulo    27.0    4.5
15/02/2008    0.0    Nulo    28.5    3.0
16/02/2008    0.0    Nulo    28.5    4.0
17/02/2008    0.0    Nulo    29.0    3.5
18/02/2008    0.0    Nulo    28.5    3.5
19/02/2008    0.0    Nulo    28.0    2.5
20/02/2008    0.0    Nulo    28.0    3.0
21/02/2008    0.0    Nulo    29.0    4.0
22/02/2008    0.0    Nulo    30.5    4.5
23/02/2008    0.0    Nulo    31.5    4.5
24/02/2008    0.0    Nulo    30.5    5.5
25/02/2008    0.0    Nulo    31.0    8.0
26/02/2008    0.0    Nulo    26.0    7.5
27/02/2008    0.0    Nulo    26.0    9.5
28/02/2008    0.0    Nulo    27.5    7.0
29/02/2008    0.0    Nulo    28.5    6.0
01/03/2008    0.0    Nulo    28.5    7.5
02/03/2008    0.0    Nulo    28.5    8.0
03/03/2008    0.0    Nulo    28.5    5.0
04/03/2008    0.0    Nulo    27.5    9.5
05/03/2008    0.0    Nulo    26.0    5.5
06/03/2008    0.0    Nulo    25.5    3.5
07/03/2008    0.0    Nulo    25.5    -0.5
08/03/2008    0.0    Nulo    26.0    5.5
09/03/2008    0.0    Nulo    27.0    5.5
10/03/2008    0.0    Nulo    27.5    3.5
11/03/2008    0.0    Nulo    29.0    6.5
12/03/2008    0.0    Nulo    28.0    6.5
13/03/2008    0.0    Nulo    29.0    7.5
14/03/2008    0.0    Nulo    29.0    3.5
15/03/2008    0.0    Nulo    29.5    4.5
16/03/2008    0.0    Nulo    28.5    6.5
17/03/2008    0.0    Nulo    28.0    6.0
18/03/2008    0.0    Nulo    27.0    12.5
19/03/2008    0.0    Nulo    27.0    5.5
20/03/2008    0.0    Nulo    29.0    7.5
21/03/2008    0.0    Nulo    30.0    7.0
22/03/2008    0.0    Nulo    29.5    11.0
23/03/2008    0.0    Nulo    26.0    7.0
24/03/2008    0.0    Nulo    27.0    10.5
25/03/2008    0.0    Nulo    29.5    7.5
26/03/2008    0.0    Nulo    30.5    12.0
27/03/2008    0.0    Nulo    31.0    8.5
28/03/2008    0.0    Nulo    31.5    8.0
29/03/2008    0.0    Nulo    32.0    8.0
30/03/2008    0.0    Nulo    32.5    8.0
31/03/2008    0.0    Nulo    33.5    7.0
01/04/2008    0.0    Nulo    34.0    11.5
02/04/2008    0.0    Nulo    33.5    9.5
03/04/2008    0.0    Nulo    32.5    7.0
