CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A MARZO 2020;CON LA INFORMACION SUMINISTRADA POR LAS OFICINAS REGIONALES
 
ESTACION  : 14317
NOMBRE    : MIXTLAN
ESTADO    : JALISCO
MUNICIPIO : MIXTLAN
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 020.438°
LONGITUD  : -104.409°
ALTITUD   : 1,540 msnm
 
EMISION   : 06/04/2020 
 
           PRECIP  EVAP   TMAX   TMIN
  FECHA     (MM)   (MM)   (°C)   (°C)
01/01/2008    0.0    3.9    30.0    6.0
02/01/2008    0.0    1.3    29.0    6.0
03/01/2008    0.0    3.5    27.0    3.0
04/01/2008    0.0    3.5    27.0    3.0
05/01/2008    0.0    2.6    29.0    3.0
06/01/2008    0.0    2.3    30.0    3.5
07/01/2008    0.0    3.6    31.0    4.0
08/01/2008    0.0    4.3    28.0    3.0
09/01/2008    0.0    3.9    29.0    2.0
10/01/2008    0.0    4.8    27.0    3.0
11/01/2008    0.0    3.0    27.0    2.0
12/01/2008    0.0    4.9    25.0    2.0
13/01/2008    0.0    3.7    29.0    0.5
14/01/2008    0.0    4.1    25.0    2.0
15/01/2008    0.0    4.3    23.0    6.0
16/01/2008    0.0    7.6    24.0    6.0
17/01/2008    0.0    7.6    24.0    3.0
18/01/2008    0.0    7.5    24.0    3.0
19/01/2008    0.0    6.7    24.0    3.0
20/01/2008    0.0    6.0    26.0    4.0
21/01/2008    0.0    6.0    28.0    5.0
22/01/2008    0.0    0.2    29.0    5.0
23/01/2008    0.0    3.8    31.0    5.5
24/01/2008    0.0    2.0    23.0    7.0
25/01/2008    0.0    5.4    31.0    7.0
26/01/2008    0.0    7.5    30.0    7.0
27/01/2008    0.0    3.3    39.0    8.0
28/01/2008    0.0    2.3    31.0    6.0
29/01/2008    0.0    5.3    30.0    5.0
30/01/2008    0.0    5.3    28.0    5.0
31/01/2008    0.0    5.3    28.0    5.0
01/02/2008    0.0    5.5    28.0    8.0
02/02/2008    0.0    5.0    27.0    6.5
03/02/2008    0.0    5.0    27.0    5.5
04/02/2008    0.0    5.0    30.0    5.5
05/02/2008    0.0    5.0    30.0    3.0
06/02/2008    0.0    5.0    29.0    3.0
07/02/2008    0.0    3.7    30.0    5.0
08/02/2008    0.0    3.1    30.0    5.5
09/02/2008    0.0    4.0    31.0    6.0
10/02/2008    1.5    1.4    28.0    7.0
11/02/2008    0.0    4.9    27.0    7.0
12/02/2008    0.0    4.9    21.0    4.0
13/02/2008    0.0    5.8    30.0    3.0
14/02/2008    0.0    4.2    28.0    3.0
15/02/2008    0.0    7.4    32.0    3.0
16/02/2008    0.0    1.3    31.0    4.0
17/02/2008    0.0    5.9    31.0    4.0
18/02/2008    0.0    5.9    32.0    5.0
19/02/2008    0.0    6.8    30.0    3.0
20/02/2008    0.0    5.2    29.0    4.0
21/02/2008    0.0    5.8    28.0    4.0
22/02/2008    0.0    4.4    33.0    5.0
23/02/2008    0.0    6.8    34.0    3.0
24/02/2008    0.0    1.8    35.0    5.0
25/02/2008    0.0    9.6    34.0    5.5
26/02/2008    0.0    6.3    33.0    5.0
27/02/2008    0.0    4.5    32.0    4.5
28/02/2008    0.0    4.9    29.0    5.0
29/02/2008    0.0    4.8    32.0    5.0
01/03/2008    0.0    7.6    30.0    6.0
02/03/2008    0.0    7.6    28.0    6.0
03/03/2008    0.0    5.7    32.0    3.0
04/03/2008    0.0    5.9    30.0    4.0
05/03/2008    0.0    9.2    30.0    4.0
06/03/2008    0.0    5.8    22.0    3.0
07/03/2008    0.0    5.7    29.0    1.5
08/03/2008    0.0    7.2    27.0    2.0
09/03/2008    0.0    7.0    25.0    3.0
10/03/2008    0.0    5.3    28.0    4.0
11/03/2008    0.0    7.3    29.0    5.0
12/03/2008    0.0    9.3    28.0    6.0
13/03/2008    0.0    6.6    28.0    7.0
14/03/2008    0.0    6.3    32.0    9.0
15/03/2008    0.0    7.9    33.0    5.0
16/03/2008    0.0    8.4    28.0    4.5
17/03/2008    0.0    8.4    26.0    5.0
18/03/2008    0.0    9.3    25.0    6.0
19/03/2008    0.0    10.1    31.0    3.0
20/03/2008    0.0    8.6    30.0    5.0
21/03/2008    0.0    6.5    32.0    6.0
