CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A MARZO 2020;CON LA INFORMACION SUMINISTRADA POR LAS OFICINAS REGIONALES
 
ESTACION  : 14323
NOMBRE    : TECHALUTA
ESTADO    : JALISCO
MUNICIPIO : TECHALUTA DE MONTENEGRO
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 020.067°
LONGITUD  : -103.550°
ALTITUD   : 1,406 msnm
 
EMISION   : 06/04/2020 
 
           PRECIP  EVAP   TMAX   TMIN
  FECHA     (MM)   (MM)   (°C)   (°C)
12/03/2014    0.0    Nulo    38.0    Nulo
13/03/2014    0.0    9.1    31.5    9.5
14/03/2014    0.0    6.8    30.0    11.0
15/03/2014    0.0    6.3    31.0    11.5
16/03/2014    0.0    8.8    29.5    12.0
17/03/2014    0.0    6.7    21.5    8.0
18/03/2014    0.0    8.9    28.0    9.0
19/03/2014    0.0    5.1    30.0    8.0
20/03/2014    0.0    6.1    33.0    12.5
21/03/2014    0.0    7.5    33.0    10.0
22/03/2014    0.0    6.0    33.0    13.5
23/03/2014    0.0    5.6    35.0    15.0
24/03/2014    0.0    0.6    35.0    11.0
25/03/2014    0.0    8.4    33.0    10.0
26/03/2014    0.0    10.4    31.0    12.5
27/03/2014    0.0    Nulo    30.0    13.0
28/03/2014    0.0    6.9    31.0    13.5
29/03/2014    0.0    7.0    32.5    13.5
30/03/2014    0.0    8.8    32.0    11.0
31/03/2014    0.0    9.0    32.0    12.0
01/06/2014    0.0    6.8    32.5    19.0
02/06/2014    0.0    7.6    32.0    19.0
03/06/2014    0.0    8.1    32.0    19.5
04/06/2014    0.0    7.4    33.0    20.0
05/06/2014    2.6    4.6    33.0    18.5
06/06/2014    0.0    4.9    29.0    18.5
07/06/2014    0.6    5.6    32.0    18.5
08/06/2014    0.0    7.8    31.0    18.5
09/06/2014    0.0    6.4    31.0    19.0
10/06/2014    0.0    5.7    32.0    19.0
11/06/2014    0.0    7.5    31.0    18.5
12/06/2014    0.0    6.0    31.0    18.5
13/06/2014    0.0    7.1    32.5    19.0
14/06/2014    0.0    6.9    33.0    19.5
15/06/2014    0.0    5.6    32.0    17.5
16/06/2014    0.0    7.8    31.0    18.0
17/06/2014    26.5    7.1    32.0    18.0
18/06/2014    9.5    4.8    29.0    17.0
19/06/2014    0.0    5.4    29.0    18.0
20/06/2014    28.0    2.3    28.0    19.0
21/06/2014    0.5    8.8    27.0    17.0
22/06/2014    3.0    5.3    28.0    17.5
23/06/2014    0.2    2.5    28.0    18.0
24/06/2014    0.2    2.9    27.0    17.0
25/06/2014    40.0    11.4    29.0    18.0
26/06/2014    0.0    6.2    26.0    18.5
27/06/2014    0.0    4.8    26.5    18.0
28/06/2014    0.0    6.1    27.0    18.5
29/06/2014    0.2    1.9    28.0    18.5
30/06/2014    0.7    1.9    23.0    18.0
01/07/2014    0.0    5.2    25.0    18.0
02/07/2014    0.0    3.6    27.0    18.5
03/07/2014    0.8    3.3    26.0    18.0
04/07/2014    0.6    1.7    27.0    17.5
05/07/2014    10.8    3.4    28.0    17.5
06/07/2014    70.2    3.7    29.0    18.0
07/07/2014    0.0    3.6    28.0    11.5
08/07/2014    0.0    5.0    29.0    16.0
09/07/2014    0.0    4.0    28.0    17.0
10/07/2014    33.0    9.7    26.0    17.5
11/07/2014    0.0    4.0    29.0    16.5
12/07/2014    0.0    4.6    27.0    16.0
13/07/2014    0.0    4.1    29.5    16.0
14/07/2014    0.0    5.6    29.0    15.5
15/07/2014    0.0    4.3    31.0    16.0
16/07/2014    0.0    5.8    32.0    15.0
17/07/2014    0.0    3.3    28.0    16.0
18/07/2014    0.0    5.4    30.0    16.5
19/07/2014    0.0    4.6    29.0    17.0
20/07/2014    0.0    3.9    29.0    17.0
21/07/2014    0.0    6.6    32.0    16.5
22/07/2014    0.0    2.5    30.0    17.0
23/07/2014    0.0    1.9    33.0    17.5
24/07/2014    0.0    5.9    26.0    18.0
25/07/2014    0.0    1.9    28.0    15.0
26/07/2014    Nulo    1.4    33.0    15.5
27/07/2014    0.0    2.8    29.0    15.0
28/07/2014    0.0    5.2    32.0    17.0
29/07/2014    0.0    5.4    29.0    15.0
30/07/2014    0.0    5.6    30.0    14.5
31/07/2014    0.0    4.3    30.0    15.0
01/09/2018    0.0    8.0    28.0    15.0
02/09/2018    0.0    5.3    31.0    17.0
03/09/2018    0.0    2.1    31.0    17.5
04/09/2018    4.8    0.9    30.5    16.0
05/09/2018    0.0    2.1    30.5    17.0
06/09/2018    0.0    3.2    32.0    17.0
07/09/2018    0.0    6.7    30.5    17.0
08/09/2018    1.4    3.1    29.5    16.5
09/09/2018    24.7    8.4    29.0    17.0
