CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A MARZO 2020;CON LA INFORMACION SUMINISTRADA POR LAS OFICINAS REGIONALES
 
ESTACION  : 14331
NOMBRE    : EL ZAPOTE
ESTADO    : JALISCO
MUNICIPIO : COLOTLAN
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 022.043°
LONGITUD  : -103.329°
ALTITUD   : 1,458 msnm
 
EMISION   : 06/04/2020 
 
           PRECIP  EVAP   TMAX   TMIN
  FECHA     (MM)   (MM)   (°C)   (°C)
01/03/2008    0.0    Nulo    34.0    1.5
02/03/2008    0.0    Nulo    33.0    1.0
03/03/2008    0.0    Nulo    34.0    1.0
04/03/2008    0.0    Nulo    31.5    -1.0
05/03/2008    0.0    Nulo    32.0    0.0
06/03/2008    0.0    Nulo    33.0    1.0
07/03/2008    0.0    Nulo    34.0    1.5
08/03/2008    0.0    Nulo    33.0    2.0
09/03/2008    0.0    Nulo    32.0    2.0
10/03/2008    0.0    Nulo    33.0    2.0
11/03/2008    0.0    Nulo    34.0    2.0
12/03/2008    0.0    Nulo    31.5    2.0
13/03/2008    0.0    Nulo    33.0    2.0
14/03/2008    0.0    Nulo    34.0    2.0
15/03/2008    0.0    Nulo    32.5    1.0
16/03/2008    0.0    Nulo    33.0    1.5
17/03/2008    0.0    Nulo    33.0    2.0
18/03/2008    0.0    Nulo    33.0    2.0
19/03/2008    0.0    Nulo    33.0    1.0
20/03/2008    0.0    Nulo    33.0    1.0
21/03/2008    0.0    Nulo    34.0    2.0
22/03/2008    0.0    Nulo    33.0    2.0
23/03/2008    0.0    Nulo    33.0    2.5
24/03/2008    0.0    Nulo    34.0    2.0
25/03/2008    0.0    Nulo    34.0    5.0
26/03/2008    0.0    Nulo    33.0    2.0
27/03/2008    0.0    Nulo    34.0    3.5
28/03/2008    0.0    Nulo    34.0    4.0
29/03/2008    0.0    Nulo    34.0    4.0
30/03/2008    0.0    Nulo    34.0    5.0
