CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A MARZO 2020;CON LA INFORMACION SUMINISTRADA POR LAS OFICINAS REGIONALES
 
ESTACION  : 14343
NOMBRE    : PRESA BASILIO BADILLO
ESTADO    : JALISCO
MUNICIPIO : EJUTLA
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 019.914°
LONGITUD  : -104.064°
ALTITUD   : 824 msnm
 
EMISION   : 06/04/2020 
 
           PRECIP  EVAP   TMAX   TMIN
  FECHA     (MM)   (MM)   (°C)   (°C)
01/01/2008    0.0    4.4    34.0    12.0
02/01/2008    0.0    4.3    30.0    10.0
03/01/2008    0.0    4.1    30.0    12.0
04/01/2008    0.0    4.3    32.0    10.0
05/01/2008    0.0    4.2    32.0    11.0
06/01/2008    0.0    4.4    31.0    10.0
07/01/2008    0.0    4.0    32.0    10.0
08/01/2008    0.0    4.1    32.0    9.0
09/01/2008    0.0    4.0    32.0    9.0
10/01/2008    0.0    4.2    31.0    8.0
11/01/2008    0.0    4.3    32.0    8.0
12/01/2008    0.0    4.4    32.0    7.0
13/01/2008    0.0    4.2    31.0    8.0
14/01/2008    0.0    4.3    32.0    10.0
15/01/2008    0.0    4.2    28.0    10.0
16/01/2008    0.0    4.3    30.0    9.0
17/01/2008    0.0    4.1    29.0    8.0
18/01/2008    0.0    4.2    29.0    10.0
19/01/2008    0.0    4.4    32.0    11.0
20/01/2008    0.0    4.0    30.0    10.0
21/01/2008    0.0    4.4    33.0    10.0
22/01/2008    0.0    6.0    31.0    10.0
23/01/2008    0.0    4.1    31.0    10.0
24/01/2008    0.0    4.9    35.0    10.0
25/01/2008    0.0    4.7    34.0    11.0
26/01/2008    0.0    4.8    35.0    12.0
27/01/2008    0.0    4.9    35.0    13.0
28/01/2008    0.0    4.7    35.0    13.0
29/01/2008    0.0    4.8    35.0    10.0
30/01/2008    0.0    4.6    33.0    11.0
31/01/2008    0.0    4.8    34.0    12.0
01/02/2008    0.0    4.6    34.0    12.0
02/02/2008    0.0    4.3    33.0    10.0
03/02/2008    0.0    4.4    33.0    10.0
04/02/2008    0.0    4.6    33.0    10.0
05/02/2008    0.0    4.6    33.0    10.0
06/02/2008    0.0    4.7    33.0    10.0
07/02/2008    0.0    4.8    33.0    10.0
08/02/2008    0.0    4.5    33.0    11.0
09/02/2008    0.0    4.9    34.0    11.0
10/02/2008    0.0    4.9    34.0    11.0
11/02/2008    0.0    5.0    35.0    12.0
12/02/2008    0.0    4.6    32.0    11.0
13/02/2008    0.0    4.8    33.0    10.0
14/02/2008    0.0    4.7    32.0    10.0
15/02/2008    0.0    4.9    34.0    9.0
16/02/2008    0.0    5.0    35.0    9.0
17/02/2008    0.0    5.0    35.0    10.0
18/02/2008    0.0    5.1    35.0    10.0
19/02/2008    0.0    5.0    35.0    10.0
