CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A MARZO 2020;CON LA INFORMACION SUMINISTRADA POR LAS OFICINAS REGIONALES
 
ESTACION  : 14367
NOMBRE    : TLACUITAPAN
ESTADO    : JALISCO
MUNICIPIO : UNION DE SAN ANTONIO
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 021.198°
LONGITUD  : -102.125°
ALTITUD   : 1,800 msnm
 
EMISION   : 06/04/2020 
 
           PRECIP  EVAP   TMAX   TMIN
  FECHA     (MM)   (MM)   (°C)   (°C)
01/02/2008    0.0    6.2    29.5    7.0
02/02/2008    0.0    0.2    29.5    7.0
03/02/2008    0.0    4.3    29.0    7.0
04/02/2008    0.0    4.4    29.0    11.0
05/02/2008    0.0    1.7    29.0    6.0
06/02/2008    0.0    6.0    29.0    5.0
07/02/2008    0.0    3.0    29.0    9.0
08/02/2008    0.0    4.9    29.0    5.0
09/02/2008    0.0    2.6    29.0    4.5
10/02/2008    0.0    2.0    29.0    4.5
11/02/2008    0.0    1.9    29.5    8.5
12/02/2008    0.0    4.8    29.0    6.5
13/02/2008    0.0    3.5    29.5    6.5
14/02/2008    0.0    4.2    29.0    3.5
15/02/2008    0.0    4.1    29.0    3.0
16/02/2008    0.0    2.4    29.0    9.0
17/02/2008    0.0    6.8    28.5    5.0
18/02/2008    0.0    5.7    28.5    4.5
19/02/2008    0.0    4.3    29.0    5.0
20/02/2008    0.0    3.0    29.0    6.5
21/02/2008    0.0    5.5    30.0    4.0
22/02/2008    0.0    3.3    29.0    6.0
23/02/2008    0.0    4.0    32.0    6.0
24/02/2008    0.0    6.9    32.0    12.0
25/02/2008    0.0    5.8    32.0    11.0
26/02/2008    0.0    4.6    32.0    8.0
27/02/2008    0.0    4.4    32.0    10.0
28/02/2008    0.0    4.2    30.0    4.0
29/02/2008    0.0    3.2    30.0    8.0
01/03/2008    0.0    5.6    32.5    7.0
02/03/2008    0.0    4.4    32.0    9.5
03/03/2008    0.0    5.5    31.5    9.0
04/03/2008    0.0    7.0    31.0    8.5
05/03/2008    0.0    3.2    31.0    3.5
06/03/2008    0.0    4.6    30.0    8.0
07/03/2008    0.0    7.4    31.0    8.0
08/03/2008    0.0    4.6    30.5    3.0
09/03/2008    0.0    3.5    30.5    4.5
10/03/2008    0.0    5.2    30.5    5.0
11/03/2008    0.0    5.3    30.0    6.0
12/03/2008    0.0    5.2    30.0    9.5
13/03/2008    0.0    5.1    30.0    5.0
14/03/2008    0.0    8.9    29.0    5.0
15/03/2008    Nulo    5.1    30.0    8.0
16/03/2008    0.0    6.9    30.0    9.0
17/03/2008    0.0    7.1    30.0    12.0
18/03/2008    0.0    5.0    30.0    13.0
19/03/2008    0.0    7.2    30.0    12.0
20/03/2008    0.0    6.9    30.0    10.0
21/03/2008    0.0    3.8    30.0    11.0
22/03/2008    0.0    3.6    30.0    8.0
23/03/2008    0.0    9.0    29.0    10.0
